"","Row.names","GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"13492","ENSG00000196277.15","GRM7",82.4389251410603,-3.92888817704766,0.423641604774795,-9.27408482256181,1.79150350899669e-20,3.54556459465535e-16
"13061","ENSG00000186487.17","MYT1L",350.636628516824,-3.53138913441753,0.409852311345167,-8.61624794264852,6.91838572304184e-18,6.84608859223605e-14
"372","ENSG00000022355.16","GABRA1",287.431512728108,-5.44979108461348,0.654743859390624,-8.32354669150415,8.53696260738114e-17,5.63183423208934e-13
"3768","ENSG00000114279.13","FGF12",797.712618184868,-2.08131704742182,0.257053167198418,-8.09683486924424,5.64075578722157e-16,2.53725726595223e-12
"278","ENSG00000011677.12","GABRA3",168.977920677694,-3.18833974515979,0.394535007983742,-8.0812594082682,6.41012901306712e-16,2.53725726595223e-12
"3680","ENSG00000113327.16","GABRG2",307.062123315779,-5.04291653187381,0.627609396046902,-8.03511955626769,9.34876999103456e-16,3.08369178154275e-12
"7544","ENSG00000145451.12","GLRA3",171.755642931816,-4.64322599976301,0.583141645778903,-7.96243251253483,1.68689622965049e-15,4.50892005061239e-12
"8182","ENSG00000151952.15","TMEM132D",71.7786028804728,-4.52266311359811,0.569308935380652,-7.94412810432031,1.95561411229836e-15,4.50892005061239e-12
"8481","ENSG00000154975.13","CA10",489.97100235357,-4.29560880680211,0.541127535875265,-7.93825581219783,2.05044113261136e-15,4.50892005061239e-12
"5095","ENSG00000126733.20","DACH2",47.8938441011229,-4.12642446048045,0.526915683466543,-7.83128039259143,4.82926297713424e-15,9.55759435804637e-12
"10037","ENSG00000166006.12","KCNC2",218.871252693815,-5.03630513366415,0.648044634153096,-7.77154052088696,7.75372662081566e-15,1.39503639593239e-11
"8282","ENSG00000152931.7","PART1",96.8841256508276,-2.90778054893662,0.377638161842344,-7.69991182763611,1.36160151243852e-14,2.24562129438924e-11
"13657","ENSG00000196990.8","FAM163B",58.2733351935983,-4.34766002305836,0.566969982914291,-7.6682366863778,1.74376893835118e-14,2.62687349385164e-11
"12199","ENSG00000180332.6","KCTD4",66.8789741073454,-3.35500979075578,0.437986485138266,-7.66007606306997,1.85822994865964e-14,2.62687349385164e-11
"13160","ENSG00000187398.11","LUZP2",988.560370765648,-3.21180289583439,0.420224031207627,-7.6430728785415,2.12097857196327e-14,2.79841912784834e-11
"7599","ENSG00000145920.14","CPLX2",1063.13036251209,-3.71201859612786,0.491440503529102,-7.55334281458556,4.24226424820694e-14,5.24741573351647e-11
"10618","ENSG00000168959.14","GRM5",373.926267708645,-3.00364476910766,0.399921245707749,-7.51059065089689,5.88611791139498e-14,6.852479975554e-11
"10807","ENSG00000170091.10","HGNC:24955",554.844459854846,-2.80967768276842,0.37609418164674,-7.47067575059566,7.97840314414029e-14,8.77225425698225e-11
"8087","ENSG00000151150.21","ANK3",2023.6437022386,-1.21099854545501,0.16249373353274,-7.45258613441241,9.15280617673242e-14,8.78810498749081e-11
"639","ENSG00000053108.16","FSTL4",57.1461220861484,-3.57923519927685,0.480403798699728,-7.45047230884621,9.30066613540869e-14,8.78810498749081e-11
"17840","ENSG00000265579.1","AC023301.1",128.535483085391,-3.97145309085914,0.533071777295135,-7.4501282191504,9.32495602735117e-14,8.78810498749081e-11
"7890","ENSG00000148798.10","INA",247.769051080212,-3.39714162130293,0.457458468330801,-7.42612030704909,1.11829290835514e-13,1.00600613405711e-10
"10080","ENSG00000166206.14","GABRB3",588.673073589143,-2.60529458356319,0.352152324349927,-7.39820357106138,1.38039125828088e-13,1.18779666924509e-10
"13131","ENSG00000187094.11","CCK",113.635501079508,-4.54773855715134,0.615405662588744,-7.38982241083221,1.47025047974267e-13,1.2124053018578e-10
"6357","ENSG00000136750.11","GAD2",241.214089627883,-4.27841517469217,0.580938092843772,-7.36466626546855,1.77590587059894e-13,1.40587812340095e-10
"4860","ENSG00000124507.10","PACSIN1",407.174420030078,-3.68617069524531,0.503751378990064,-7.31744040608973,2.52745316141728e-13,1.92387790452344e-10
"4228","ENSG00000118160.13","SLC8A2",145.195933188669,-3.12608500666052,0.428104259455472,-7.30215814866394,2.83188122203165e-13,2.0757689357492e-10
"5978","ENSG00000134343.12","ANO3",93.7533649307716,-2.60681005620627,0.357521150587609,-7.29134500692284,3.06875793025683e-13,2.16906386420404e-10
"12686","ENSG00000184113.9","CLDN5",605.748571799376,-2.29204195575645,0.317622667449501,-7.21624175680366,5.34440095204734e-13,3.6472772152403e-10
"12410","ENSG00000182256.12","GABRG3",74.8114792318248,-4.14791918981461,0.586416079606284,-7.07333808547592,1.51250381690411e-12,9.97798768011639e-10
"7852","ENSG00000148408.12","CACNA1B",201.209659992787,-3.02516609970732,0.429911351860377,-7.03672067884779,1.96816836643613e-12,1.25651677871411e-09
"12120","ENSG00000179542.15","SLITRK4",129.51439576112,-2.98423296255445,0.424478913825044,-7.03034441843783,2.06024337900118e-12,1.27419614730664e-09
"2823","ENSG00000105784.15","RUNDC3B",161.739836222549,-1.78977426885774,0.25593342583851,-6.99312433690104,2.68831055868862e-12,1.61225315960625e-09
"10111","ENSG00000166342.18","NETO1",257.216315969992,-2.94239648419014,0.421757935142789,-6.97650533402287,3.02612855678478e-12,1.76147383139199e-09
"2669","ENSG00000104888.9","SLC17A7",884.08289840681,-3.23602005308998,0.465090657820367,-6.95782639078474,3.4556267680517e-12,1.95400883904317e-09
"9756","ENSG00000164588.6","HCN1",98.5505983143047,-3.66635349883102,0.531261477139998,-6.90122219771802,5.15570150820591e-12,2.8343469041362e-09
"12405","ENSG00000182230.11","FAM153B",43.2577509520504,-4.35912179453894,0.64022374151105,-6.80874749232289,9.84521044281484e-12,5.24622131962042e-09
"3823","ENSG00000114812.12","VIPR1",73.6243426681568,-2.1001451726562,0.308597350837893,-6.80545431434831,1.00730842375613e-11,5.24622131962042e-09
"10688","ENSG00000169313.9","P2RY12",626.454604218978,-1.8589179296993,0.274101869094555,-6.78185061575789,1.18646123370258e-11,6.02083442979686e-09
"11876","ENSG00000177511.5","ST8SIA3",515.385971555152,-3.24614885830289,0.479257740295506,-6.773284154579,1.25891342759783e-11,6.22878891139718e-09
"350","ENSG00000019505.7","SYT13",291.617908425784,-3.70792984019292,0.549921443115822,-6.74265367646696,1.55519606522088e-11,7.50704520165525e-09
"10008","ENSG00000165816.12","VWA2",26.1672987676637,-3.28159824617548,0.488438587120601,-6.71854831437635,1.83543887850837e-11,8.64885020108552e-09
"19507","ENSG00000280165.1","PCDH20",131.069471621383,-2.59715371491938,0.389603198190518,-6.66615091195775,2.62599243456326e-11,1.20862828540562e-08
"10937","ENSG00000170876.7","TMEM43",2724.2674604613,0.382649809048087,0.0574951596339405,6.65533953613378,2.82646778280867e-11,1.27133236112651e-08
"9496","ENSG00000163630.10","SYNPR",167.56072091178,-3.42620558220742,0.516568096375218,-6.63263102434947,3.29755397618599e-11,1.4502642387266e-08
"7790","ENSG00000147676.13","MAL2",78.9087975246228,-3.84032368589965,0.580458990627692,-6.61601206615273,3.69018261624583e-11,1.58766095995916e-08
"7078","ENSG00000141668.9","CBLN2",55.4487669139576,-3.57482353791076,0.542631972551609,-6.58793384602999,4.45989266638231e-11,1.87799437788026e-08
"10862","ENSG00000170419.10","VSTM2A",502.128571383505,-2.82989590763137,0.430492033672843,-6.57363130157706,4.91027328883356e-11,2.02456705540219e-08
"11796","ENSG00000176884.14","GRIN1",361.508433490744,-4.27436048862658,0.650743407970408,-6.56842687343972,5.08495935676158e-11,2.05380470672793e-08
"13028","ENSG00000186297.11","GABRA5",135.374498641688,-3.63323298599335,0.553557418027387,-6.56342570376972,5.25854417776456e-11,2.08143695644277e-08
