,Row.names,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Row,stat
8406,ENSG00000154027.18,AK5,1110.893773,2.834534919,0.251851069,11.25480597,2.19E-29,4.42E-25,,ENSG00000154027,11.25480597
13799,ENSG00000197430.10,OPALIN,929.0299142,4.768714372,0.429194732,11.11084088,1.11E-28,1.12E-24,,ENSG00000197430,11.11084088
1150,ENSG00000074211.13,PPP2R2C,1157.334909,2.649413222,0.239412123,11.06632858,1.83E-28,1.23E-24,,ENSG00000074211,11.06632858
4868,ENSG00000124507.10,PACSIN1,876.9656241,3.222315703,0.292856804,11.00304197,3.69E-28,1.86E-24,,ENSG00000124507,11.00304197
2163,ENSG00000100884.9,CPNE6,219.5992865,3.243197094,0.29855386,10.8630218,1.73E-27,6.97E-24,,ENSG00000100884,10.8630218
12938,ENSG00000185518.11,SV2B,883.7220117,3.193821687,0.295160805,10.82061587,2.75E-27,9.23E-24,,ENSG00000185518,10.82061587
14043,ENSG00000198626.15,RYR2,664.4832357,2.691855794,0.252277763,10.67020635,1.40E-26,4.04E-23,,ENSG00000198626,10.67020635
11826,ENSG00000176884.14,GRIN1,593.8783807,3.401092032,0.319285947,10.65218204,1.70E-26,4.29E-23,,ENSG00000176884,10.65218204
9789,ENSG00000164588.6,HCN1,184.7105277,3.562613797,0.337416972,10.5584902,4.64E-26,1.04E-22,,ENSG00000164588,10.5584902
374,ENSG00000022355.16,GABRA1,455.8084537,3.47928242,0.331616413,10.49188846,9.41E-26,1.90E-22,,ENSG00000022355,10.49188846
9436,ENSG00000163285.7,GABRG1,531.6301786,3.928918659,0.375163636,10.47254658,1.15E-25,2.12E-22,,ENSG00000163285,10.47254658
10168,ENSG00000166448.14,TMEM130,578.5773799,2.43713768,0.234007468,10.41478592,2.12E-25,3.31E-22,,ENSG00000166448,10.41478592
10645,ENSG00000168952.15,STXBP6,483.3869859,2.386188078,0.229125376,10.41433348,2.13E-25,3.31E-22,,ENSG00000168952,10.41433348
8188,ENSG00000151834.15,GABRA2,780.4610954,2.66154614,0.267827602,9.937534883,2.86E-23,4.11E-20,,ENSG00000151834,9.937534883
6956,ENSG00000140600.16,SH3GL3,416.3641447,3.132527761,0.315621118,9.9249625,3.24E-23,4.35E-20,,ENSG00000140600,9.9249625
11711,ENSG00000175874.9,CREG2,912.9809265,2.497869734,0.251996823,9.912306446,3.68E-23,4.63E-20,,ENSG00000175874,9.912306446
13133,ENSG00000186732.13,MPPED1,149.0803958,2.91841736,0.296775951,9.833739382,8.06E-23,9.55E-20,,ENSG00000186732,9.833739382
9376,ENSG00000162989.4,KCNJ3,213.7903568,2.880803945,0.293251609,9.823659465,8.91E-23,9.97E-20,,ENSG00000162989,9.823659465
8710,ENSG00000157152.16,SYN2,1191.372817,2.813603853,0.28890649,9.738804587,2.06E-22,2.18E-19,,ENSG00000157152,9.738804587
12675,ENSG00000183780.12,SLC35F3,66.74748772,2.514260731,0.259383168,9.693230116,3.22E-22,3.21E-19,,ENSG00000183780,9.693230116
13729,ENSG00000197106.6,SLC6A17,451.683655,2.33695996,0.241191623,9.689225217,3.35E-22,3.21E-19,,ENSG00000197106,9.689225217
8067,ENSG00000150672.16,DLG2,2041.556396,1.502234037,0.15517784,9.680725292,3.64E-22,3.33E-19,,ENSG00000150672,9.680725292
10563,ENSG00000168490.13,PHYHIP,863.2946425,2.320738555,0.24032159,9.65680425,4.60E-22,4.03E-19,,ENSG00000168490,9.65680425
2495,ENSG00000103184.11,SEC14L5,638.3805798,2.673147068,0.277952842,9.61726836,6.76E-22,5.54E-19,,ENSG00000103184,9.61726836
3442,ENSG00000111344.11,RASAL1,134.2916857,3.043845901,0.316552777,9.615603226,6.87E-22,5.54E-19,,ENSG00000111344,9.615603226
13067,ENSG00000186297.11,GABRA5,154.9955388,3.259467521,0.340639996,9.568657712,1.08E-21,8.39E-19,,ENSG00000186297,9.568657712
11052,ENSG00000171435.13,KSR2,288.0051895,2.599368363,0.273959541,9.488146882,2.35E-21,1.75E-18,,ENSG00000171435,9.488146882
739,ENSG00000059915.16,PSD,771.7320861,1.85676482,0.195969544,9.47476215,2.67E-21,1.86E-18,,ENSG00000059915,9.47476215
5497,ENSG00000130643.8,CALY,112.1640657,3.162020238,0.333761922,9.473879525,2.70E-21,1.86E-18,,ENSG00000130643,9.473879525
12333,ENSG00000181215.14,C4orf50,149.6921851,2.595680604,0.274125713,9.468942447,2.83E-21,1.86E-18,,ENSG00000181215,9.468942447
6210,ENSG00000135750.14,KCNK1,386.5447942,2.555126835,0.269877096,9.467742427,2.86E-21,1.86E-18,,ENSG00000135750,9.467742427
9077,ENSG00000160678.11,S100A1,1356.569522,2.002595982,0.211840081,9.453338448,3.28E-21,2.07E-18,,ENSG00000160678,9.453338448
13499,ENSG00000196104.10,SPOCK3,1569.724188,3.072175361,0.325830823,9.428743841,4.15E-21,2.53E-18,,ENSG00000196104,9.428743841
4810,ENSG00000124140.13,SLC12A5,562.9782849,2.209864452,0.234446528,9.425878352,4.27E-21,2.53E-18,,ENSG00000124140,9.425878352
7608,ENSG00000145864.12,GABRB2,658.1311515,2.6526211,0.28240199,9.393068029,5.83E-21,3.35E-18,,ENSG00000145864,9.393068029
11045,ENSG00000171368.11,TPPP,3308.81935,2.163481377,0.230905959,9.369534638,7.29E-21,4.08E-18,,ENSG00000171368,9.369534638
4286,ENSG00000118733.16,OLFM3,109.5357681,2.9602469,0.316683869,9.347640324,8.96E-21,4.88E-18,,ENSG00000118733,9.347640324
5816,ENSG00000132932.16,ATP8A2,408.0641518,2.459338455,0.263385052,9.337426101,9.87E-21,5.23E-18,,ENSG00000132932,9.337426101
227,ENSG00000010282.14,HHATL,623.7922257,2.309888768,0.247531108,9.331711036,1.04E-20,5.38E-18,,ENSG00000010282,9.331711036
6539,ENSG00000137766.16,UNC13C,496.0452555,3.180456483,0.342101473,9.296821942,1.45E-20,7.29E-18,,ENSG00000137766,9.296821942
10625,ENSG00000168843.13,FSTL5,109.4474906,2.677834305,0.288606869,9.278484315,1.72E-20,8.45E-18,,ENSG00000168843,9.278484315
7874,ENSG00000148408.12,CACNA1B,255.197571,2.692030011,0.291615367,9.231440859,2.67E-20,1.28E-17,,ENSG00000148408,9.231440859
12236,ENSG00000180332.6,KCTD4,95.30773259,2.744423485,0.297445256,9.22665073,2.79E-20,1.31E-17,,ENSG00000180332,9.22665073
12580,ENSG00000183166.10,CALN1,487.9004411,2.356801947,0.255907723,9.209577255,3.27E-20,1.50E-17,,ENSG00000183166,9.209577255
294,ENSG00000013293.5,SLC7A14,855.2936182,2.216443529,0.241967371,9.160092637,5.19E-20,2.32E-17,,ENSG00000013293,9.160092637
7618,ENSG00000145920.14,CPLX2,2357.301987,2.876626002,0.314288603,9.152816775,5.55E-20,2.43E-17,,ENSG00000145920,9.152816775
7994,ENSG00000149575.5,SCN2B,358.8004592,1.787848616,0.196187513,9.112958268,8.02E-20,3.44E-17,,ENSG00000149575,9.112958268
4313,ENSG00000119125.16,GDA,630.8432326,2.777054135,0.305381459,9.093722127,9.57E-20,4.02E-17,,ENSG00000119125,9.093722127
6018,ENSG00000134548.9,SPX,302.8963088,2.431748192,0.26765076,9.085526948,1.03E-19,4.24E-17,,ENSG00000134548,9.085526948
3023,ENSG00000107295.9,SH3GL2,766.6263118,2.185103293,0.240682344,9.078785171,1.10E-19,4.41E-17,,ENSG00000107295,9.078785171
12351,ENSG00000181418.7,DDN,561.6948308,2.519927079,0.277615009,9.077056347,1.12E-19,4.41E-17,,ENSG00000181418,9.077056347
8647,ENSG00000156486.7,KCNS2,93.04545243,2.830890038,0.312805462,9.050001945,1.43E-19,5.54E-17,,ENSG00000156486,9.050001945
455,ENSG00000033122.18,LRRC7,567.1966715,2.472437777,0.273484206,9.040513939,1.56E-19,5.93E-17,,ENSG00000033122,9.040513939
8204,ENSG00000151952.15,TMEM132D,89.76159842,3.512606613,0.389297068,9.02294648,1.83E-19,6.74E-17,,ENSG00000151952,9.02294648
4037,ENSG00000116254.17,CHD5,561.4492421,2.270858771,0.251690414,9.02242853,1.84E-19,6.74E-17,,ENSG00000116254,9.02242853
5186,ENSG00000127561.14,SYNGR3,236.4317352,1.808169643,0.200944809,8.998339673,2.29E-19,8.24E-17,,ENSG00000127561,8.998339673
3689,ENSG00000113327.16,GABRG2,500.3314204,3.268515276,0.363605564,8.989178375,2.49E-19,8.80E-17,,ENSG00000113327,8.989178375
1304,ENSG00000078328.20,RBFOX1,442.5039817,2.669737421,0.297547542,8.972473447,2.90E-19,1.01E-16,,ENSG00000078328,8.972473447
10812,ENSG00000169933.13,FRMPD4,175.3025791,2.6382198,0.294270751,8.965280428,3.09E-19,1.06E-16,,ENSG00000169933,8.965280428
13704,ENSG00000196990.8,FAM163B,94.03747119,3.376314199,0.377333174,8.947832927,3.63E-19,1.22E-16,,ENSG00000196990,8.947832927
8024,ENSG00000149927.17,DOC2A,189.6862369,1.747645277,0.195393029,8.944256008,3.74E-19,1.24E-16,,ENSG00000149927,8.944256008
4069,ENSG00000116661.10,FBXO2,504.6934338,2.183225481,0.244143184,8.942397836,3.81E-19,1.24E-16,,ENSG00000116661,8.942397836
9669,ENSG00000164089.8,ETNPPL,941.1029052,2.707370377,0.303262889,8.927470123,4.36E-19,1.39E-16,,ENSG00000164089,8.927470123
935,ENSG00000067606.16,PRKCZ,605.8687183,1.748016491,0.195908059,8.922636985,4.55E-19,1.43E-16,,ENSG00000067606,8.922636985
6161,ENSG00000135472.8,FAIM2,2905.712329,1.356137219,0.152100599,8.916054416,4.83E-19,1.50E-16,,ENSG00000135472,8.916054416
4123,ENSG00000116983.12,HPCAL4,1272.601083,2.23057952,0.25088103,8.89098518,6.06E-19,1.85E-16,,ENSG00000116983,8.89098518
8892,ENSG00000158865.12,SLC5A11,273.7598231,3.154269944,0.355070702,8.883498213,6.48E-19,1.95E-16,,ENSG00000158865,8.883498213
12443,ENSG00000182230.11,FAM153B,70.29166775,3.54015184,0.399093426,8.87048398,7.28E-19,2.16E-16,,ENSG00000182230,8.87048398
943,ENSG00000067842.17,ATP2B3,156.041614,2.522845651,0.285656766,8.831737769,1.03E-18,2.99E-16,,ENSG00000067842,8.831737769
13175,ENSG00000187094.11,CCK,197.1678053,3.318027796,0.375725131,8.83099777,1.04E-18,2.99E-16,,ENSG00000187094,8.83099777
8065,ENSG00000150656.14,CNDP1,2159.843821,3.040926452,0.344691026,8.822180516,1.12E-18,3.18E-16,,ENSG00000150656,8.822180516
5773,ENSG00000132639.12,SNAP25,5047.958205,2.23558793,0.253922694,8.804206873,1.32E-18,3.69E-16,,ENSG00000132639,8.804206873
17718,ENSG00000260878.1,AC104072.1,57.97899719,3.046679262,0.347043087,8.778965436,1.65E-18,4.55E-16,,ENSG00000260878,8.778965436
4772,ENSG00000123612.15,ACVR1C,215.162705,2.063683182,0.235556851,8.760870973,1.94E-18,5.27E-16,,ENSG00000123612,8.760870973
10559,ENSG00000168481.8,LGI3,754.4732717,2.550107926,0.292143039,8.728970338,2.57E-18,6.90E-16,,ENSG00000168481,8.728970338
6467,ENSG00000137261.13,KIAA0319,262.4434617,1.559699647,0.178739872,8.726086851,2.64E-18,6.99E-16,,ENSG00000137261,8.726086851
177,ENSG00000008056.13,SYN1,1185.837989,2.033519715,0.23322808,8.719017534,2.81E-18,7.34E-16,,ENSG00000008056,8.719017534
12119,ENSG00000179178.10,TMEM125,195.8699912,3.685922738,0.424130622,8.690536699,3.61E-18,9.32E-16,,ENSG00000179178,8.690536699
4714,ENSG00000123119.11,NECAB1,1402.624032,1.773497813,0.204837074,8.658089974,4.80E-18,1.22E-15,,ENSG00000123119,8.658089974
7567,ENSG00000145526.11,CDH18,99.39711258,3.083518032,0.35687056,8.64043823,5.60E-18,1.41E-15,,ENSG00000145526,8.64043823
2661,ENSG00000104833.11,TUBB4A,3428.678827,2.262435492,0.262830575,8.607961579,7.44E-18,1.85E-15,,ENSG00000104833,8.607961579
2648,ENSG00000104722.13,NEFM,571.6679712,2.619053704,0.304340523,8.605668676,7.59E-18,1.86E-15,,ENSG00000104722,8.605668676
8032,ENSG00000150051.13,MKX,45.54769723,2.686480387,0.312289936,8.602519905,7.80E-18,1.89E-15,,ENSG00000150051,8.602519905
14589,ENSG00000213424.8,KRT222,55.22927057,3.572760354,0.415516899,8.598351501,8.09E-18,1.94E-15,,ENSG00000213424,8.598351501
13365,ENSG00000188580.14,NKAIN2,589.5880011,2.88470635,0.335937641,8.587029257,8.92E-18,2.12E-15,,ENSG00000188580,8.587029257
5600,ENSG00000131242.17,RAB11FIP4,1520.968029,1.781600641,0.207900241,8.569497729,1.04E-17,2.43E-15,,ENSG00000131242,8.569497729
17797,ENSG00000261340.1,LINC01616,14.95578256,3.188657026,0.372660942,8.556456192,1.16E-17,2.69E-15,,ENSG00000261340,8.556456192
2676,ENSG00000104888.9,SLC17A7,1727.389641,2.986213898,0.349039718,8.555513155,1.17E-17,2.69E-15,,ENSG00000104888,8.555513155
334,ENSG00000016602.9,CLCA4,129.4594274,3.802066698,0.444545977,8.552696218,1.20E-17,2.72E-15,,ENSG00000016602,8.552696218
10531,ENSG00000168314.17,MOBP,5690.117028,3.129368332,0.36756858,8.51369922,1.68E-17,3.77E-15,,ENSG00000168314,8.51369922
18746,ENSG00000272321.1,AP003355.2,36.67796767,3.436631548,0.404336863,8.499426739,1.91E-17,4.22E-15,,ENSG00000272321,8.499426739
16380,ENSG00000242173.8,ARHGDIG,170.3315785,1.91754983,0.225815856,8.491652732,2.04E-17,4.43E-15,,ENSG00000242173,8.491652732
11158,ENSG00000172005.10,MAL,741.3293527,2.793086307,0.328936016,8.491275419,2.04E-17,4.43E-15,,ENSG00000172005,8.491275419
13184,ENSG00000187135.7,VSTM2B,202.7463256,2.6066431,0.307088492,8.488247407,2.10E-17,4.50E-15,,ENSG00000187135,8.488247407
11526,ENSG00000174514.12,MFSD4A,363.6258023,1.66001722,0.196608442,8.443265215,3.09E-17,6.54E-15,,ENSG00000174514,8.443265215
352,ENSG00000019505.7,SYT13,555.8440724,2.894154739,0.343788577,8.418414495,3.82E-17,8.01E-15,,ENSG00000019505,8.418414495
4680,ENSG00000122733.12,PHF24,442.3168481,2.078208245,0.247006579,8.413574479,3.98E-17,8.26E-15,,ENSG00000122733,8.413574479
6349,ENSG00000136541.14,ERMN,4768.41358,2.547985555,0.303076787,8.407062724,4.20E-17,8.64E-15,,ENSG00000136541,8.407062724
325,ENSG00000015413.9,DPEP1,53.73371848,-3.374420261,0.402007423,-8.393925266,4.70E-17,9.54E-15,,ENSG00000015413,-8.393925266
12325,ENSG00000181072.11,CHRM2,29.04240248,2.742995606,0.326817236,8.393056747,4.74E-17,9.54E-15,,ENSG00000181072,8.393056747
7647,ENSG00000146151.12,HMGCLL1,90.10986783,2.604449719,0.310404261,8.390508919,4.84E-17,9.65E-15,,ENSG00000146151,8.390508919
5483,ENSG00000130540.13,SULT4A1,392.0979816,2.521278576,0.300696023,8.384808515,5.08E-17,1.00E-14,,ENSG00000130540,8.384808515
11075,ENSG00000171532.4,NEUROD2,78.14380026,2.781038168,0.331993711,8.376779673,5.44E-17,1.06E-14,,ENSG00000171532,8.376779673
12976,ENSG00000185737.12,NRG3,244.9206233,2.121026299,0.253245105,8.37538913,5.50E-17,1.07E-14,,ENSG00000185737,8.37538913
