geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0007268	chemical synaptic transmission	http://amigo.geneontology.org/amigo/term/GO:0007268	278	20	5.498351813005694	3.637453673424896	1.5965606769974272e-7	2.525391266575694e-4	2555;2558;2561;2572;2902;2915;2917;4761;4852;6620;6750;6854;6857;9899;23316;57030;57497;57586;140679;143425	ENSG00000019505;ENSG00000067715;ENSG00000074317;ENSG00000101438;ENSG00000104888;ENSG00000111249;ENSG00000122585;ENSG00000136750;ENSG00000145864;ENSG00000151834;ENSG00000156564;ENSG00000157005;ENSG00000157152;ENSG00000168959;ENSG00000170743;ENSG00000171532;ENSG00000176884;ENSG00000185518;ENSG00000186297;ENSG00000196277
GO:0098916	anterograde trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0098916	278	20	5.498351813005694	3.637453673424896	1.5965606769974272e-7	2.525391266575694e-4	2555;2558;2561;2572;2902;2915;2917;4761;4852;6620;6750;6854;6857;9899;23316;57030;57497;57586;140679;143425	ENSG00000019505;ENSG00000067715;ENSG00000074317;ENSG00000101438;ENSG00000104888;ENSG00000111249;ENSG00000122585;ENSG00000136750;ENSG00000145864;ENSG00000151834;ENSG00000156564;ENSG00000157005;ENSG00000157152;ENSG00000168959;ENSG00000170743;ENSG00000171532;ENSG00000176884;ENSG00000185518;ENSG00000186297;ENSG00000196277
GO:0099537	trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099537	281	20	5.5576865448007196	3.598619648441712	1.9108003612711144e-7	2.525391266575694e-4	2555;2558;2561;2572;2902;2915;2917;4761;4852;6620;6750;6854;6857;9899;23316;57030;57497;57586;140679;143425	ENSG00000019505;ENSG00000067715;ENSG00000074317;ENSG00000101438;ENSG00000104888;ENSG00000111249;ENSG00000122585;ENSG00000136750;ENSG00000145864;ENSG00000151834;ENSG00000156564;ENSG00000157005;ENSG00000157152;ENSG00000168959;ENSG00000170743;ENSG00000171532;ENSG00000176884;ENSG00000185518;ENSG00000186297;ENSG00000196277
GO:0099536	synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099536	282	20	5.577464788732395	3.5858585858585856	2.02761241796523e-7	2.525391266575694e-4	2555;2558;2561;2572;2902;2915;2917;4761;4852;6620;6750;6854;6857;9899;23316;57030;57497;57586;140679;143425	ENSG00000019505;ENSG00000067715;ENSG00000074317;ENSG00000101438;ENSG00000104888;ENSG00000111249;ENSG00000122585;ENSG00000136750;ENSG00000145864;ENSG00000151834;ENSG00000156564;ENSG00000157005;ENSG00000157152;ENSG00000168959;ENSG00000170743;ENSG00000171532;ENSG00000176884;ENSG00000185518;ENSG00000186297;ENSG00000196277
GO:0006820	anion transport	http://amigo.geneontology.org/amigo/term/GO:0006820	134	13	2.650284686844471	4.90513342379014	1.3039288589977716e-6	0.0012992347151053794	885;2555;2558;2561;2915;2917;6857;51761;57030;57709;80763;140679;388662	ENSG00000013293;ENSG00000067715;ENSG00000101438;ENSG00000104888;ENSG00000132932;ENSG00000134548;ENSG00000145864;ENSG00000151834;ENSG00000168959;ENSG00000186297;ENSG00000187094;ENSG00000196277;ENSG00000197106
GO:0006811	ion transport	http://amigo.geneontology.org/amigo/term/GO:0006811	450	24	8.900209769253822	2.696565656565656	1.8726962955906146e-6	0.0015549621574387404	492;885;2555;2558;2561;2902;2915;2917;3208;3739;3747;3760;3788;4852;6857;7781;51761;57030;57586;57709;80763;140679;143425;388662	ENSG00000013293;ENSG00000019505;ENSG00000067715;ENSG00000067842;ENSG00000101438;ENSG00000104888;ENSG00000115194;ENSG00000121905;ENSG00000122585;ENSG00000132932;ENSG00000134548;ENSG00000145864;ENSG00000151834;ENSG00000156486;ENSG00000162989;ENSG00000166006;ENSG00000168959;ENSG00000170743;ENSG00000176884;ENSG00000182255;ENSG00000186297;ENSG00000187094;ENSG00000196277;ENSG00000197106
GO:0006865	amino acid transport	http://amigo.geneontology.org/amigo/term/GO:0006865	38	7	0.751573269403656	9.313795853269538	6.664727789429392e-6	0.0047433819781338895	885;2917;6857;57030;57709;140679;388662	ENSG00000013293;ENSG00000067715;ENSG00000101438;ENSG00000104888;ENSG00000187094;ENSG00000196277;ENSG00000197106
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	145	12	2.867845370092898	4.184326018808777	1.8660200849729414e-5	0.011620640079168992	885;2555;2558;2561;2902;2915;3747;3760;23316;23620;57030;64208	ENSG00000104888;ENSG00000111249;ENSG00000132429;ENSG00000145864;ENSG00000151834;ENSG00000162989;ENSG00000166006;ENSG00000168959;ENSG00000169006;ENSG00000176884;ENSG00000186297;ENSG00000187094
GO:0007267	cell-cell signaling	http://amigo.geneontology.org/amigo/term/GO:0007267	581	25	11.491159724303268	2.175585458717989	5.279504720501205e-5	0.029224991686152224	2555;2558;2561;2572;2902;2915;2917;3747;3760;4761;4852;5950;6620;6750;6854;6857;9899;23316;57030;57497;57586;130399;140679;143425;340419	ENSG00000019505;ENSG00000067715;ENSG00000074317;ENSG00000101438;ENSG00000104888;ENSG00000111249;ENSG00000122585;ENSG00000123612;ENSG00000136750;ENSG00000138207;ENSG00000145864;ENSG00000147655;ENSG00000151834;ENSG00000156564;ENSG00000157005;ENSG00000157152;ENSG00000162989;ENSG00000166006;ENSG00000168959;ENSG00000170743;ENSG00000171532;ENSG00000176884;ENSG00000185518;ENSG00000186297;ENSG00000196277
GO:0015849	organic acid transport	http://amigo.geneontology.org/amigo/term/GO:0015849	76	8	1.503146538807312	5.3221690590111645	9.887966416888272e-5	0.044783498808124884	885;2917;6857;57030;57709;80763;140679;388662	ENSG00000013293;ENSG00000067715;ENSG00000101438;ENSG00000104888;ENSG00000134548;ENSG00000187094;ENSG00000196277;ENSG00000197106
