Cohort	Responder	Primary	Recurrent	count
Stead	Up	Mesenchymal	Classical	2
Stead	Up	Mesenchymal	Proneural	5
Stead	Up	Mesenchymal	Mesenchymal	7
Stead	Up	Classical	Classical	16
Stead	Up	Classical	Proneural	8
Stead	Up	Classical	Mesenchymal	1
Stead	Up	Proneural	Classical	2
Stead	Up	Proneural	Proneural	8
Stead	Up	Proneural	Mesenchymal	2
Stead	Down	Mesenchymal	Classical	3
Stead	Down	Mesenchymal	Proneural	0
Stead	Down	Mesenchymal	Mesenchymal	7
Stead	Down	Classical	Classical	12
Stead	Down	Classical	Proneural	1
Stead	Down	Classical	Mesenchymal	4
Stead	Down	Proneural	Classical	1
Stead	Down	Proneural	Proneural	2
Stead	Down	Proneural	Mesenchymal	3
GLASS	Up	Mesenchymal	Classical	2
GLASS	Up	Mesenchymal	Proneural	1
GLASS	Up	Mesenchymal	Mesenchymal	1
GLASS	Up	Classical	Classical	3
GLASS	Up	Classical	Proneural	2
GLASS	Up	Classical	Mesenchymal	1
GLASS	Up	Proneural	Classical	1
GLASS	Up	Proneural	Proneural	3
GLASS	Up	Proneural	Mesenchymal	0
GLASS	Down	Mesenchymal	Classical	0
GLASS	Down	Mesenchymal	Proneural	1
GLASS	Down	Mesenchymal	Mesenchymal	0
GLASS	Down	Classical	Classical	1
GLASS	Down	Classical	Proneural	0
GLASS	Down	Classical	Mesenchymal	2
GLASS	Down	Proneural	Classical	1
GLASS	Down	Proneural	Proneural	2
GLASS	Down	Proneural	Mesenchymal	2
