NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000120278	3	3.4500787258148193	0.008560788	Yes	
row_1	ENSG00000159388	4	2.835326910018921	0.015887322	Yes	
row_2	ENSG00000124762	6	2.565385580062866	0.02239823	Yes	
row_3	ENSG00000069667	8	2.2621426582336426	0.028125554	Yes	
row_4	ENSG00000162772	10	2.169217586517334	0.033612758	Yes	
row_5	ENSG00000026103	13	2.094295024871826	0.03878827	Yes	
row_6	ENSG00000162643	24	1.752426266670227	0.042135652	Yes	
row_7	ENSG00000163661	42	1.5465284585952759	0.04412435	Yes	
row_8	ENSG00000231999	43	1.5342967510223389	0.048089	Yes	
row_9	ENSG00000108370	48	1.433970332145691	0.051322035	Yes	
row_10	ENSG00000112096	59	1.3491839170455933	0.053627435	Yes	
row_11	ENSG00000164683	64	1.2965192794799805	0.056505296	Yes	
row_12	ENSG00000164938	74	1.2215733528137207	0.05859904	Yes	
row_13	ENSG00000261115	77	1.190804362297058	0.061439916	Yes	
row_14	ENSG00000164741	92	1.0838544368743896	0.06258733	Yes	
row_15	ENSG00000227855	93	1.0753889083862305	0.06536616	Yes	
row_16	ENSG00000115380	101	1.0540893077850342	0.0672633	Yes	
row_17	ENSG00000006459	111	1.0062981843948364	0.06880076	Yes	
row_18	ENSG00000183087	113	0.9981644153594971	0.07126195	Yes	
row_19	ENSG00000125462	124	0.9585747718811035	0.072558	Yes	
row_20	ENSG00000198729	126	0.9552794694900513	0.07490837	Yes	
row_21	ENSG00000023445	128	0.9522535800933838	0.07725092	Yes	
row_22	ENSG00000196083	138	0.9285575151443481	0.0785875	Yes	
row_23	ENSG00000106484	144	0.9072073698043823	0.08034129	Yes	
row_24	ENSG00000144218	146	0.9042308926582336	0.08255974	Yes	
row_25	ENSG00000148219	152	0.893415629863739	0.08427788	Yes	
row_26	ENSG00000163412	158	0.8675748705863953	0.08592925	Yes	
row_27	ENSG00000196562	159	0.8675354719161987	0.08817098	Yes	
row_28	ENSG00000134070	163	0.8590992093086243	0.09003663	Yes	
row_29	ENSG00000116016	164	0.8565740585327148	0.092250034	Yes	
row_30	ENSG00000074416	165	0.8549656271934509	0.09445928	Yes	
row_31	ENSG00000218175	168	0.8438037633895874	0.0964035	Yes	
row_32	ENSG00000156804	169	0.8418312072753906	0.09857881	Yes	
row_33	ENSG00000137449	171	0.8392661213874817	0.1006294	Yes	
row_34	ENSG00000095066	177	0.8199452757835388	0.10215769	Yes	
row_35	ENSG00000243444	181	0.8106036186218262	0.103898026	Yes	
row_36	ENSG00000186352	182	0.8092928528785706	0.105989255	Yes	
row_37	ENSG00000153904	184	0.8071305751800537	0.107956804	Yes	
row_38	ENSG00000118257	185	0.8065686821937561	0.11004099	Yes	
row_39	ENSG00000127824	195	0.7954424023628235	0.1110336	Yes	
row_40	ENSG00000136153	203	0.7746437788009644	0.11220865	Yes	
row_41	ENSG00000106066	209	0.7647078633308411	0.11359421	Yes	
row_42	ENSG00000116514	210	0.7639548182487488	0.11556829	Yes	
row_43	ENSG00000197321	222	0.7382177114486694	0.11617684	Yes	
row_44	ENSG00000239467	228	0.7277703285217285	0.11746696	Yes	
row_45	ENSG00000157214	231	0.7256388664245605	0.11910584	Yes	
row_46	ENSG00000090530	241	0.7084322571754456	0.11987361	Yes	
row_47	ENSG00000138795	243	0.7067103385925293	0.12158167	Yes	
row_48	ENSG00000168917	247	0.6998661160469055	0.12303586	Yes	
row_49	ENSG00000143344	249	0.6990219950675964	0.12472406	Yes	
row_50	ENSG00000111981	250	0.6981270909309387	0.12652802	Yes	
row_51	ENSG00000186340	251	0.6979310512542725	0.1283315	Yes	
row_52	ENSG00000188916	258	0.6869422793388367	0.12939802	Yes	
row_53	ENSG00000010810	259	0.6857863068580627	0.1311701	Yes	
row_54	ENSG00000155816	265	0.6754919290542603	0.13232513	Yes	
row_55	ENSG00000173482	267	0.6728100180625916	0.13394558	Yes	
row_56	ENSG00000109738	270	0.6693406105041504	0.135439	Yes	
row_57	ENSG00000115295	273	0.6678674817085266	0.13692859	Yes	
row_58	ENSG00000178607	274	0.6676384806632996	0.13865378	Yes	
row_59	ENSG00000020577	277	0.6668453216552734	0.14014074	Yes	
row_60	ENSG00000102452	278	0.6667555570602417	0.14186364	Yes	
row_61	ENSG00000112249	281	0.6651652455329895	0.14334626	Yes	
row_62	ENSG00000197959	283	0.6566674709320068	0.14492501	Yes	
row_63	ENSG00000156453	284	0.653799295425415	0.14661443	Yes	
row_64	ENSG00000255248	290	0.6478936672210693	0.14769815	Yes	
row_65	ENSG00000139344	293	0.6459931135177612	0.14913122	Yes	
row_66	ENSG00000179163	301	0.637476921081543	0.14995183	Yes	
row_67	ENSG00000135919	307	0.6316917538642883	0.15099367	Yes	
row_68	ENSG00000110076	308	0.6315202116966248	0.15262553	Yes	
row_69	ENSG00000053254	310	0.6309574842453003	0.15413785	Yes	
row_70	ENSG00000151748	314	0.6302557587623596	0.15541217	Yes	
row_71	ENSG00000168386	318	0.621420681476593	0.15666366	Yes	
row_72	ENSG00000124813	325	0.6151415705680847	0.15754464	Yes	
