NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000163661	19	2.3031973838806152	0.0030338445	Yes	
row_1	ENSG00000174021	51	1.8828030824661255	0.003687291	Yes	
row_2	ENSG00000175592	53	1.8716398477554321	0.007857907	Yes	
row_3	ENSG00000139344	80	1.7408419847488403	0.008776519	Yes	
row_4	ENSG00000228109	85	1.708211064338684	0.012218377	Yes	
row_5	ENSG00000064199	91	1.6610404253005981	0.015434055	Yes	
row_6	ENSG00000233593	104	1.6007367372512817	0.01768491	Yes	
row_7	ENSG00000187556	122	1.5226980447769165	0.01916649	Yes	
row_8	ENSG00000100490	138	1.4289913177490234	0.02066953	Yes	
row_9	ENSG00000148848	153	1.3783289194107056	0.022174573	Yes	
row_10	ENSG00000272702	155	1.3720237016677856	0.02520036	Yes	
row_11	ENSG00000171530	156	1.371530532836914	0.02834311	Yes	
row_12	ENSG00000106355	165	1.3546404838562012	0.030502422	Yes	
row_13	ENSG00000276966	168	1.3508861064910889	0.03336168	Yes	
row_14	ENSG00000116016	182	1.328844428062439	0.03487143	Yes	
row_15	ENSG00000029993	183	1.3240934610366821	0.037905477	Yes	
row_16	ENSG00000162174	186	1.3162851333618164	0.040685453	Yes	
row_17	ENSG00000165046	194	1.2864419221878052	0.042806588	Yes	
row_18	ENSG00000197238	196	1.2843971252441406	0.045631584	Yes	
row_19	ENSG00000127528	203	1.269615888595581	0.047832254	Yes	
row_20	ENSG00000108370	205	1.2600046396255493	0.05060136	Yes	
row_21	ENSG00000125148	212	1.2337136268615723	0.05271976	Yes	
row_22	ENSG00000104611	217	1.2240551710128784	0.055052217	Yes	
row_23	ENSG00000117525	251	1.1526846885681152	0.053796474	Yes	
row_24	ENSG00000250222	266	1.1266202926635742	0.05472475	Yes	
row_25	ENSG00000127920	283	1.097777247428894	0.055350747	Yes	
row_26	ENSG00000111981	295	1.0798641443252563	0.056526158	Yes	
row_27	ENSG00000205763	312	1.049573302268982	0.0570417	Yes	
row_28	ENSG00000121211	323	1.03257155418396	0.05822684	Yes	
row_29	ENSG00000183023	324	1.0315463542938232	0.06059054	Yes	
row_30	ENSG00000180818	339	1.0175405740737915	0.061268866	Yes	
row_31	ENSG00000151929	346	1.0133607387542725	0.06288235	Yes	
row_32	ENSG00000109390	351	1.005031943321228	0.064712934	Yes	
row_33	ENSG00000204381	360	0.9966334700584412	0.0660519	Yes	
row_34	ENSG00000159840	361	0.9946802258491516	0.06833113	Yes	
row_35	ENSG00000217801	367	0.9812527894973755	0.06998913	Yes	
row_36	ENSG00000198832	372	0.9775968790054321	0.07175685	Yes	
row_37	ENSG00000143819	374	0.9748634099960327	0.07387257	Yes	
row_38	ENSG00000080845	380	0.9634722471237183	0.075489834	Yes	
row_39	ENSG00000026103	403	0.9381738901138306	0.07504156	Yes	
row_40	ENSG00000105401	411	0.9244706034660339	0.07633327	Yes	
row_41	ENSG00000136938	433	0.898510754108429	0.07591221	Yes	
row_42	ENSG00000128283	437	0.8935317397117615	0.07760539	Yes	
row_43	ENSG00000166347	448	0.886121928691864	0.07845494	Yes	
row_44	ENSG00000231999	450	0.884988009929657	0.08036473	Yes	
row_45	ENSG00000197321	467	0.8719372153282166	0.08047324	Yes	
row_46	ENSG00000134202	471	0.8677646517753601	0.08210737	Yes	
row_47	ENSG00000153904	489	0.8586742877960205	0.08206739	Yes	
row_48	ENSG00000134590	495	0.8548706769943237	0.0834358	Yes	
row_49	ENSG00000065413	496	0.8548700213432312	0.085394666	Yes	
row_50	ENSG00000141040	506	0.8516215682029724	0.08628326	Yes	
row_51	ENSG00000225177	510	0.8500519394874573	0.08787681	Yes	
row_52	ENSG00000157510	519	0.8455241918563843	0.08886953	Yes	
row_53	ENSG00000151491	527	0.838705837726593	0.08996471	Yes	
row_54	ENSG00000164105	535	0.8337675333023071	0.091048576	Yes	
row_55	ENSG00000174720	536	0.8337635397911072	0.092959076	Yes	
row_56	ENSG00000175390	549	0.8216103315353394	0.093424626	Yes	
row_57	ENSG00000124762	553	0.8205540776252747	0.09495059	Yes	
row_58	ENSG00000181982	554	0.8202146291732788	0.09683004	Yes	
row_59	ENSG00000159685	556	0.8189803957939148	0.09858857	Yes	
row_60	ENSG00000105767	557	0.8183872699737549	0.10046384	Yes	
row_61	ENSG00000274213	564	0.8136642575263977	0.101619735	Yes	
row_62	ENSG00000150687	565	0.81342613697052	0.10348363	Yes	
row_63	ENSG00000023572	569	0.8114290237426758	0.10498868	Yes	
row_64	ENSG00000154678	570	0.8105077743530273	0.10684589	Yes	
row_65	ENSG00000113083	585	0.7986792325973511	0.10702272	Yes	
row_66	ENSG00000167863	608	0.776759922504425	0.10620458	Yes	
row_67	ENSG00000006625	609	0.7759571075439453	0.10798262	Yes	
row_68	ENSG00000117791	613	0.7750004529953003	0.1094042	Yes	
row_69	ENSG00000197959	621	0.7702186703681946	0.11034245	Yes	
row_70	ENSG00000243449	624	0.7690905928611755	0.11186857	Yes	
row_71	ENSG00000164323	637	0.7606167197227478	0.11219436	Yes	
row_72	ENSG00000170545	649	0.752670407295227	0.11262003	Yes	
row_73	ENSG00000183011	658	0.7486366033554077	0.113390744	Yes	
row_74	ENSG00000011422	664	0.7473219633102417	0.11451271	Yes	
row_75	ENSG00000102007	670	0.7445799112319946	0.11562839	Yes	
row_76	ENSG00000064042	683	0.7371731400489807	0.115900464	Yes	
row_77	ENSG00000103187	688	0.7349546551704407	0.11711219	Yes	
row_78	ENSG00000134013	697	0.7296727895736694	0.11783944	Yes	
row_79	ENSG00000146776	717	0.7186759114265442	0.117242485	Yes	
row_80	ENSG00000112977	735	0.7119152545928955	0.11686622	Yes	
row_81	ENSG00000112773	750	0.705369770526886	0.11682923	Yes	
row_82	ENSG00000135912	761	0.6988860368728638	0.11724976	Yes	
row_83	ENSG00000197747	763	0.6987435221672058	0.11873278	Yes	
row_84	ENSG00000139200	770	0.69483482837677	0.11961638	Yes	
row_85	ENSG00000019549	777	0.6936204433441162	0.12049721	Yes	
row_86	ENSG00000123685	779	0.6927695870399475	0.12196654	Yes	
row_87	ENSG00000063854	782	0.6910271048545837	0.12331379	Yes	
row_88	ENSG00000105696	789	0.6890093684196472	0.12418405	Yes	
row_89	ENSG00000026508	799	0.6844140887260437	0.1246895	Yes	
row_90	ENSG00000130956	811	0.6792380213737488	0.12494691	Yes	
row_91	ENSG00000177606	817	0.6768390536308289	0.12590738	Yes	
row_92	ENSG00000140937	819	0.6761828660964966	0.12733869	Yes	
row_93	ENSG00000107263	833	0.6694753170013428	0.12733756	Yes	
row_94	ENSG00000026297	855	0.6601755619049072	0.12637037	Yes	
row_95	ENSG00000125898	861	0.6572427153587341	0.12728593	Yes	
row_96	ENSG00000128487	865	0.655514657497406	0.1284337	Yes	
row_97	ENSG00000236830	873	0.6506538391113281	0.12909798	Yes	
row_98	ENSG00000074416	878	0.648296058177948	0.13011114	Yes	
row_99	ENSG00000118515	881	0.6454164385795593	0.13135387	Yes	
row_100	ENSG00000127124	893	0.642099142074585	0.13152619	Yes	
row_101	ENSG00000124813	906	0.6379857063293457	0.13157097	Yes	
row_102	ENSG00000166979	908	0.6377170085906982	0.13291416	Yes	
row_103	ENSG00000235884	912	0.6367049813270569	0.13401884	Yes	
row_104	ENSG00000159388	925	0.6313824653625488	0.13404849	Yes	
row_105	ENSG00000132613	932	0.6274283528327942	0.13477765	Yes	
row_106	ENSG00000107404	941	0.6234145164489746	0.13526142	Yes	
row_107	ENSG00000143320	949	0.6220793724060059	0.13586022	Yes	
row_108	ENSG00000169122	950	0.6218194365501404	0.13728507	Yes	
row_109	ENSG00000111907	952	0.6212327480316162	0.13859048	Yes	
row_110	ENSG00000109099	956	0.6195421814918518	0.13965583	Yes	
row_111	ENSG00000132329	968	0.6163307428359985	0.13976909	Yes	
row_112	ENSG00000135919	979	0.6132753491401672	0.13999344	Yes	
row_113	ENSG00000138795	980	0.6128453016281128	0.14139773	Yes	
row_114	ENSG00000005249	1008	0.6041017174720764	0.13959351	Yes	
row_115	ENSG00000010803	1011	0.602717936038971	0.1407384	Yes	
row_116	ENSG00000119139	1012	0.6012922525405884	0.14211622	Yes	
row_117	ENSG00000162595	1020	0.5989581942558289	0.14266203	Yes	
row_118	ENSG00000196839	1026	0.5966832041740417	0.14343883	Yes	
row_119	ENSG00000005243	1030	0.595733642578125	0.14444962	Yes	
row_120	ENSG00000197461	1031	0.595475435256958	0.1458141	Yes	
row_121	ENSG00000008513	1043	0.5924477577209473	0.14587265	Yes	
row_122	ENSG00000242759	1051	0.5902073979377747	0.14639843	Yes	
row_123	ENSG00000153814	1058	0.587785542011261	0.14703673	Yes	
row_124	ENSG00000115963	1061	0.586411714553833	0.14814426	Yes	
row_125	ENSG00000171223	1063	0.5860821604728699	0.14936912	Yes	
row_126	ENSG00000068028	1064	0.5860814452171326	0.15071209	Yes	
row_127	ENSG00000171132	1068	0.5845131278038025	0.15169717	Yes	
row_128	ENSG00000196083	1073	0.5802138447761536	0.15255432	Yes	
row_129	ENSG00000101210	1098	0.5736925601959229	0.15103468	Yes	
row_130	ENSG00000137203	1116	0.5690554976463318	0.15033108	Yes	
row_131	ENSG00000237380	1123	0.5672072172164917	0.15092224	Yes	
row_132	ENSG00000196975	1130	0.5642091035842896	0.15150651	Yes	
row_133	ENSG00000141576	1133	0.5625253319740295	0.15255931	Yes	
row_134	ENSG00000141905	1147	0.5584205985069275	0.1523037	Yes	
row_135	ENSG00000148335	1152	0.5564965605735779	0.1531065	Yes	
row_136	ENSG00000018236	1158	0.5537065267562866	0.15378481	Yes	
row_137	ENSG00000154734	1162	0.552601158618927	0.15469678	Yes	
row_138	ENSG00000186951	1169	0.5511651635169983	0.15525118	Yes	
row_139	ENSG00000164877	1185	0.5463006496429443	0.1547316	Yes	
row_140	ENSG00000022267	1191	0.5449082255363464	0.15538976	Yes	
row_141	ENSG00000114446	1196	0.5441137552261353	0.15616418	Yes	
row_142	ENSG00000172171	1209	0.540408194065094	0.15598539	Yes	
row_143	ENSG00000173320	1216	0.5395142436027527	0.1565131	Yes	
row_144	ENSG00000102452	1225	0.5368944406509399	0.1567986	Yes	
row_145	ENSG00000069399	1242	0.5300081968307495	0.15612361	Yes	
row_146	ENSG00000106853	1243	0.5299594402313232	0.15733796	Yes	
row_147	ENSG00000230747	1244	0.5296811461448669	0.1585517	Yes	
row_148	ENSG00000173276	1245	0.5296268463134766	0.15976529	Yes	
row_149	ENSG00000240429	1247	0.5285434722900391	0.1608583	Yes	
row_150	ENSG00000135842	1251	0.5276616811752319	0.16171312	Yes	
row_151	ENSG00000163132	1253	0.5270007848739624	0.1628026	Yes	
row_152	ENSG00000188290	1255	0.5265437364578247	0.16389105	Yes	
row_153	ENSG00000260027	1263	0.5245306491851807	0.16426633	Yes	
row_154	ENSG00000065485	1281	0.5191165804862976	0.16344827	Yes	
row_155	ENSG00000219626	1293	0.5150574445724487	0.16332948	Yes	
row_156	ENSG00000164741	1294	0.5149850845336914	0.16450953	Yes	
row_157	ENSG00000239467	1305	0.5127397179603577	0.16450351	Yes	
