NAME	TITLE	SCORE	
ENSG00000273061		6.7910132	
ENSG00000249222		5.129868	
ENSG00000258427		4.9697123	
ENSG00000234975		3.9926608	
ENSG00000231579		3.9168205	
ENSG00000169020		2.9118974	
ENSG00000226415		2.8966718	
ENSG00000131469		2.875843	
ENSG00000177954		2.8395338	
ENSG00000218227		2.7568352	
ENSG00000274012		2.664182	
ENSG00000213433		2.6363006	
ENSG00000234498		2.5981207	
ENSG00000234782		2.4375203	
ENSG00000168653		2.3916118	
ENSG00000255129		2.35273	
ENSG00000145592		2.3280358	
ENSG00000155368		2.3180192	
ENSG00000130332		2.3067577	
ENSG00000163661		2.3031974	
ENSG00000145494		2.3024354	
ENSG00000260708		2.2857673	
ENSG00000175701		2.2731411	
ENSG00000240509		2.2641072	
ENSG00000139239		2.2575786	
ENSG00000213904		2.2571418	
ENSG00000128016		2.2556007	
ENSG00000234009		2.2472482	
ENSG00000253948		2.2298017	
ENSG00000104979		2.2226586	
ENSG00000201098		2.2164538	
ENSG00000253570		2.169487	
ENSG00000198886		2.1267765	
ENSG00000229833		2.0877438	
ENSG00000219507		2.0755138	
ENSG00000198712		2.0678873	
ENSG00000164182		2.0650918	
ENSG00000196507		2.0603323	
ENSG00000198763		2.0530035	
ENSG00000214182		2.0390887	
ENSG00000130255		2.0322871	
ENSG00000134056		2.0263128	
ENSG00000244398		2.0122328	
ENSG00000165502		1.9988725	
ENSG00000107223		1.9876375	
ENSG00000106028		1.9384133	
ENSG00000183648		1.931897	
ENSG00000164346		1.9239862	
ENSG00000241343		1.9213299	
ENSG00000277998		1.9052649	
ENSG00000138326		1.8869432	
ENSG00000174021		1.8828031	
ENSG00000168528		1.8774948	
ENSG00000175592		1.8716398	
ENSG00000225573		1.8579069	
ENSG00000130770		1.8564453	
ENSG00000247092		1.8456184	
ENSG00000213178		1.8358248	
ENSG00000260442		1.8286616	
ENSG00000236824		1.8285519	
ENSG00000271913		1.82469	
ENSG00000240356		1.8153167	
ENSG00000143256		1.8100878	
ENSG00000218426		1.8096992	
ENSG00000101132		1.7990202	
ENSG00000267751		1.7955731	
ENSG00000232346		1.7953793	
ENSG00000214975		1.7938794	
ENSG00000282105		1.7935303	
ENSG00000259781		1.7917632	
ENSG00000214026		1.7913641	
ENSG00000226564		1.7887193	
ENSG00000214756		1.7886167	
ENSG00000130311		1.7836562	
ENSG00000137434		1.7761183	
ENSG00000197756		1.7678025	
ENSG00000217624		1.7624915	
ENSG00000168556		1.7611891	
ENSG00000142676		1.754239	
ENSG00000187118		1.744962	
ENSG00000139344		1.740842	
ENSG00000125971		1.7270433	
ENSG00000132967		1.7237244	
ENSG00000255198		1.7229486	
ENSG00000198899		1.7148662	
ENSG00000228109		1.7082111	
ENSG00000034510		1.6912873	
ENSG00000172586		1.6890608	
ENSG00000173272		1.6800221	
ENSG00000168661		1.66725	
ENSG00000223361		1.6654798	
ENSG00000064199		1.6610404	
ENSG00000219200		1.6567866	
ENSG00000265735		1.6491188	
ENSG00000233762		1.646731	
ENSG00000124097		1.6454725	
ENSG00000245910		1.6436132	
ENSG00000234851		1.6425774	
ENSG00000156467		1.6358311	
ENSG00000005075		1.6312028	
ENSG00000175550		1.6259974	
ENSG00000087086		1.6179994	
ENSG00000232187		1.6121542	
ENSG00000239523		1.6025912	
ENSG00000233593		1.6007367	
ENSG00000154222		1.5990015	
ENSG00000233954		1.5916235	
ENSG00000147684		1.5913647	
ENSG00000181524		1.5817466	
ENSG00000163319		1.5703201	
ENSG00000197958		1.5618858	
ENSG00000198888		1.5593661	
ENSG00000198786		1.5567524	
ENSG00000164494		1.5515395	
ENSG00000263740		1.5484418	
ENSG00000218283		1.5474132	
ENSG00000143942		1.5421237	
ENSG00000071082		1.5401465	
ENSG00000065978		1.5332047	
ENSG00000196683		1.5321026	
ENSG00000182899		1.5248283	
ENSG00000109846		1.5235654	
