NAME	TITLE	SCORE	
ENSG00000249222		5.548526	
ENSG00000258427		4.911706	
ENSG00000273061		4.778481	
ENSG00000156265		3.9835365	
ENSG00000135525		3.9443126	
ENSG00000177337		3.84677	
ENSG00000133134		3.7385237	
ENSG00000101255		3.6877656	
ENSG00000146592		3.6583784	
ENSG00000120278		3.4824305	
ENSG00000153885		3.3216567	
ENSG00000213433		3.266947	
ENSG00000135069		3.2581012	
ENSG00000156453		3.253652	
ENSG00000154639		3.2122877	
ENSG00000262001		3.0324092	
ENSG00000231579		2.94406	
ENSG00000164683		2.9385126	
ENSG00000245468		2.931719	
ENSG00000239467		2.828312	
ENSG00000260916		2.82167	
ENSG00000111341		2.79065	
ENSG00000196668		2.7894623	
ENSG00000145703		2.785393	
ENSG00000169302		2.7565346	
ENSG00000225177		2.748192	
ENSG00000236824		2.7441478	
ENSG00000135842		2.6937783	
ENSG00000128965		2.6843643	
ENSG00000243444		2.6447253	
ENSG00000115380		2.6041086	
ENSG00000162772		2.600093	
ENSG00000073605		2.5872748	
ENSG00000223803		2.5841439	
ENSG00000065911		2.5044694	
ENSG00000282105		2.4921613	
ENSG00000111275		2.4780328	
ENSG00000088899		2.4622748	
ENSG00000197321		2.4387295	
ENSG00000054690		2.4335039	
ENSG00000111981		2.4072483	
ENSG00000081181		2.4056742	
ENSG00000196781		2.4023695	
ENSG00000236778		2.3906252	
ENSG00000130766		2.387236	
ENSG00000185250		2.3768997	
ENSG00000234782		2.3733528	
ENSG00000111962		2.3671649	
ENSG00000141337		2.3608413	
ENSG00000272702		2.3559895	
ENSG00000163412		2.354305	
ENSG00000135318		2.351589	
ENSG00000271913		2.3490922	
ENSG00000135951		2.3456943	
ENSG00000171951		2.3456101	
ENSG00000177694		2.3407063	
ENSG00000259673		2.3087175	
ENSG00000232533		2.290301	
ENSG00000172432		2.2870014	
ENSG00000225793		2.2757428	
ENSG00000131018		2.2497993	
ENSG00000280744		2.23944	
ENSG00000128294		2.2298036	
ENSG00000124107		2.217752	
ENSG00000163536		2.2143755	
ENSG00000139173		2.1869822	
ENSG00000126860		2.1826816	
ENSG00000106366		2.1802497	
ENSG00000128564		2.1753466	
ENSG00000078018		2.1553173	
ENSG00000068305		2.0967915	
ENSG00000204334		2.0957706	
ENSG00000117791		2.0898876	
ENSG00000163083		2.0868497	
ENSG00000254615		2.072883	
ENSG00000151012		2.0278237	
ENSG00000116678		1.9990227	
ENSG00000135549		1.9962761	
ENSG00000235082		1.9952499	
ENSG00000272368		1.98446	
ENSG00000109323		1.9842973	
ENSG00000173320		1.9833736	
ENSG00000086619		1.9754763	
ENSG00000105281		1.975152	
ENSG00000102265		1.9713558	
ENSG00000235194		1.9703838	
ENSG00000277998		1.9679316	
ENSG00000163328		1.9659888	
ENSG00000230615		1.9505861	
ENSG00000174827		1.946392	
ENSG00000166173		1.9408875	
ENSG00000196083		1.9331465	
ENSG00000273329		1.9272561	
ENSG00000224165		1.9215122	
ENSG00000228889		1.9188668	
ENSG00000115902		1.9093162	
ENSG00000068615		1.9081802	
ENSG00000231999		1.9067814	
ENSG00000139187		1.9055909	
ENSG00000069667		1.9035606	
ENSG00000074416		1.9022799	
ENSG00000274012		1.8943545	
ENSG00000166033		1.8931398	
ENSG00000144218		1.8874505	
ENSG00000255248		1.8862292	
ENSG00000250222		1.8833317	
ENSG00000155085		1.8761657	
ENSG00000112773		1.8746512	
ENSG00000100889		1.8737079	
ENSG00000153879		1.8727406	
ENSG00000241399		1.8634443	
ENSG00000261889		1.8632154	
ENSG00000266904		1.8627887	
ENSG00000263766		1.858504	
ENSG00000225377		1.8544602	
ENSG00000095203		1.8543141	
ENSG00000010810		1.8526168	
ENSG00000261220		1.8505485	
ENSG00000081189		1.8454764	
ENSG00000082781		1.8417017	
ENSG00000047457		1.8325552	
ENSG00000179912		1.8315123	
ENSG00000226415		1.8273219	
ENSG00000092621		1.822375	
ENSG00000105928		1.815996	
ENSG00000247137		1.803754	
ENSG00000261087		1.8013681	
ENSG00000064042		1.7794386	
ENSG00000279673		1.7778498	
ENSG00000091039		1.7698847	
ENSG00000139344		1.7683647	
ENSG00000186340		1.7645721	
ENSG00000106070		1.7613181	
ENSG00000234975		1.7611738	
ENSG00000154678		1.7552016	
ENSG00000235560		1.749647	
ENSG00000170017		1.7480797	
ENSG00000152413		1.7438458	
ENSG00000169239		1.7299098	
ENSG00000159200		1.7217051	
ENSG00000184575		1.7175915	
ENSG00000138735		1.7170657	
ENSG00000139132		1.7125123	
ENSG00000246560		1.7112678	
ENSG00000255471		1.709698	
ENSG00000059728		1.7058591	
ENSG00000137478		1.7015696	
ENSG00000026297		1.6965878	
ENSG00000248508		1.6935803	
ENSG00000272579		1.6859596	
ENSG00000120885		1.683315	
ENSG00000116584		1.6809058	
ENSG00000072682		1.6736964	
ENSG00000242687		1.6678001	
ENSG00000089041		1.6643558	
ENSG00000233429		1.6580268	
ENSG00000106404		1.657192	
ENSG00000163794		1.655347	
ENSG00000111371		1.6549549	
ENSG00000069493		1.6546522	
ENSG00000106799		1.6463525	
ENSG00000049759		1.6457362	
ENSG00000121039		1.6451265	
ENSG00000173276		1.64468	
ENSG00000124788		1.6444458	
ENSG00000154217		1.6440008	
ENSG00000221817		1.6190829	
ENSG00000105696		1.617185	
ENSG00000228109		1.6109904	
ENSG00000132718		1.6103084	
ENSG00000140931		1.6061968	
ENSG00000102271		1.6006241	
ENSG00000187735		1.5982726	
ENSG00000226564		1.5928701	
ENSG00000231770		1.5895915	
ENSG00000178607		1.5886062	
ENSG00000246695		1.5772116	
ENSG00000217624		1.5751847	
ENSG00000120129		1.5715493	
ENSG00000058668		1.5707608	
ENSG00000187840		1.5691864	
ENSG00000011422		1.5688021	
ENSG00000227855		1.5671738	
ENSG00000176597		1.5645115	
ENSG00000137501		1.5595571	
ENSG00000204634		1.5538841	
ENSG00000197959		1.5521948	
ENSG00000277149		1.5519412	
ENSG00000271133		1.5507494	
ENSG00000060982		1.548439	
ENSG00000144724		1.5454437	
ENSG00000173334		1.541592	
ENSG00000105655		1.5415134	
ENSG00000188559		1.5392218	
ENSG00000113916		1.5381794	
ENSG00000271576		1.5335858	
ENSG00000071242		1.5317767	
ENSG00000157240		1.5307521	
ENSG00000049323		1.5288752	
ENSG00000143036		1.5168417	
ENSG00000228451		1.5164503	
ENSG00000175879		1.5112909	
ENSG00000215861		1.5096678	
ENSG00000133401		1.5095484	
ENSG00000233230		1.5075687	
ENSG00000006459		1.5015898	
ENSG00000167555		1.4995207	
ENSG00000227540		1.4971844	
ENSG00000110841		1.4949124	
ENSG00000233384		1.4919866	
ENSG00000119950		1.4915862	
ENSG00000219665		1.4893726	
ENSG00000224738		1.4872984	
ENSG00000055163		1.4845065	
ENSG00000235217		1.4828004	
ENSG00000112320		1.4804622	
ENSG00000079156		1.4793035	
ENSG00000158079		1.4775746	
ENSG00000106948		1.4763238	
ENSG00000157800		1.475096	
ENSG00000089057		1.4694782	
ENSG00000140332		1.466278	
ENSG00000095637		1.4481839	
ENSG00000108582		1.4469665	
ENSG00000143195		1.4451581	
ENSG00000145819		1.4448745	
ENSG00000003096		1.4446464	
ENSG00000153982		1.4427928	
ENSG00000145715		1.4422394	
ENSG00000162702		1.4401602	
ENSG00000070778		1.4396174	
ENSG00000162599		1.4370059	
ENSG00000223745		1.4364827	
ENSG00000198342		1.4364657	
ENSG00000267040		1.4326777	
ENSG00000197044		1.4277451	
ENSG00000259431		1.4270197	
ENSG00000163697		1.4242657	
ENSG00000176887		1.4228547	
ENSG00000080845		1.4170913	
ENSG00000229950		1.416941	
ENSG00000251442		1.4149305	
ENSG00000145730		1.4137031	
ENSG00000144468		1.4119508	
ENSG00000214530		1.4117218	
ENSG00000020577		1.408563	
ENSG00000130513		1.4033691	
ENSG00000130158		1.4030788	
ENSG00000157227		1.4008005	
ENSG00000272420		1.3969014	
ENSG00000163297		1.3964885	
ENSG00000112379		1.3918239	
ENSG00000102547		1.3911053	
ENSG00000142192		1.3886564	
