NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000120278	2	4.921574115753174	0.005135083	Yes	
row_1	ENSG00000164683	5	4.018294334411621	0.009284353	Yes	
row_2	ENSG00000156453	13	3.1628336906433105	0.011909538	Yes	
row_3	ENSG00000122432	15	3.1165177822113037	0.015192726	Yes	
row_4	ENSG00000140332	16	3.109563112258911	0.018586416	Yes	
row_5	ENSG00000117791	17	3.028357744216919	0.021891478	Yes	
row_6	ENSG00000250222	20	2.8895325660705566	0.02480885	Yes	
row_7	ENSG00000115380	26	2.75622820854187	0.027226461	Yes	
row_8	ENSG00000163412	27	2.7545034885406494	0.030232647	Yes	
row_9	ENSG00000272702	31	2.6988558769226074	0.032823827	Yes	
row_10	ENSG00000141337	32	2.6808888912200928	0.035749674	Yes	
row_11	ENSG00000146592	33	2.678577423095703	0.038673	Yes	
row_12	ENSG00000102362	39	2.516960859298706	0.04082948	Yes	
row_13	ENSG00000243444	41	2.491239309310913	0.043430254	Yes	
row_14	ENSG00000239467	45	2.4144973754882812	0.045711093	Yes	
row_15	ENSG00000225177	46	2.4027957916259766	0.048333436	Yes	
row_16	ENSG00000162772	57	2.306276798248291	0.049669527	Yes	
row_17	ENSG00000069667	59	2.2780561447143555	0.05203764	Yes	
row_18	ENSG00000106070	64	2.2446320056915283	0.054015003	Yes	
row_19	ENSG00000135842	73	2.1902596950531006	0.055460658	Yes	
row_20	ENSG00000131018	78	2.167154550552368	0.05735346	Yes	
row_21	ENSG00000166033	83	2.1366145610809326	0.059212934	Yes	
row_22	ENSG00000006459	84	2.1319172382354736	0.06153965	Yes	
row_23	ENSG00000104419	86	2.0833568572998047	0.063695274	Yes	
row_24	ENSG00000086619	92	2.0546815395355225	0.06534724	Yes	
row_25	ENSG00000082781	94	2.051278829574585	0.06746785	Yes	
row_26	ENSG00000178607	95	2.0452747344970703	0.06970001	Yes	
row_27	ENSG00000074416	97	2.0408554077148438	0.07180925	Yes	
row_28	ENSG00000227855	101	2.0005269050598145	0.07363829	Yes	
row_29	ENSG00000255248	103	1.9923704862594604	0.07569461	Yes	
row_30	ENSG00000232533	105	1.983173131942749	0.07774091	Yes	
row_31	ENSG00000121039	120	1.886579990386963	0.078146584	Yes	
row_32	ENSG00000233593	123	1.8618744611740112	0.0799424	Yes	
row_33	ENSG00000139344	125	1.8550447225570679	0.081848845	Yes	
row_34	ENSG00000228109	127	1.8499035835266113	0.08374969	Yes	
row_35	ENSG00000231999	131	1.8289153575897217	0.08539144	Yes	
row_36	ENSG00000177990	132	1.8238961696624756	0.08738199	Yes	
row_37	ENSG00000182247	133	1.8230534791946411	0.089371614	Yes	
row_38	ENSG00000279673	134	1.8207972049713135	0.09135878	Yes	
row_39	ENSG00000135318	141	1.7798279523849487	0.09259269	Yes	
row_40	ENSG00000105928	145	1.7627495527267456	0.094162226	Yes	
row_41	ENSG00000010810	150	1.7473976612091064	0.09559692	Yes	
row_42	ENSG00000105696	151	1.7401081323623657	0.097496025	Yes	
row_43	ENSG00000165113	153	1.7374645471572876	0.09927415	Yes	
row_44	ENSG00000118257	156	1.729118824005127	0.10092508	Yes	
row_45	ENSG00000106066	157	1.7275722026824951	0.1028105	Yes	
row_46	ENSG00000168792	166	1.6969808340072632	0.10371781	Yes	
row_47	ENSG00000101493	168	1.691275954246521	0.10544553	Yes	
row_48	ENSG00000116678	174	1.6628779172897339	0.10666989	Yes	
row_49	ENSG00000163083	180	1.6386818885803223	0.10786784	Yes	
row_50	ENSG00000135549	182	1.6341553926467896	0.10953322	Yes	
row_51	ENSG00000272382	188	1.615106463432312	0.11070544	Yes	
row_52	ENSG00000230747	192	1.610087513923645	0.11210837	Yes	
row_53	ENSG00000173320	195	1.6010204553604126	0.1136195	Yes	
row_54	ENSG00000145730	196	1.6002094745635986	0.11536592	Yes	
row_55	ENSG00000003096	197	1.5994168519973755	0.117111474	Yes	
row_56	ENSG00000164949	198	1.5913418531417847	0.11884822	Yes	
row_57	ENSG00000225138	199	1.588157296180725	0.12058149	Yes	
row_58	ENSG00000115902	201	1.5820046663284302	0.122189954	Yes	
row_59	ENSG00000081189	203	1.5792391300201416	0.123795405	Yes	
row_60	ENSG00000112320	204	1.5785205364227295	0.12551816	Yes	
row_61	ENSG00000112379	216	1.559197187423706	0.12592082	Yes	
row_62	ENSG00000100307	218	1.556343674659729	0.12750126	Yes	
row_63	ENSG00000162576	219	1.554392695426941	0.12919769	Yes	
row_64	ENSG00000163297	220	1.5481834411621094	0.13088733	Yes	
row_65	ENSG00000138744	223	1.5449796915054321	0.1323373	Yes	
row_66	ENSG00000072682	226	1.5311040878295898	0.13377212	Yes	
row_67	ENSG00000148848	228	1.5281639099121094	0.13532183	Yes	
row_68	ENSG00000176597	231	1.5205113887786865	0.13674508	Yes	
row_69	ENSG00000119950	236	1.5118197202682495	0.13792267	Yes	
row_70	ENSG00000068615	243	1.4963475465774536	0.13884719	Yes	
row_71	ENSG00000111981	244	1.4961025714874268	0.14048	Yes	
row_72	ENSG00000229358	245	1.4956508874893188	0.1421123	Yes	
row_73	ENSG00000011422	246	1.4914625883102417	0.14374004	Yes	
row_74	ENSG00000124762	253	1.4718574285507202	0.14463784	Yes	
row_75	ENSG00000076641	258	1.455573320388794	0.14575404	Yes	
row_76	ENSG00000241399	259	1.4525562524795532	0.14733933	Yes	
row_77	ENSG00000163697	264	1.4392870664596558	0.14843775	Yes	
row_78	ENSG00000249242	273	1.418753743171692	0.14904141	Yes	
row_79	ENSG00000157240	274	1.4172275066375732	0.15058812	Yes	
row_80	ENSG00000143786	275	1.4148802757263184	0.15213229	Yes	
row_81	ENSG00000249992	280	1.408125638961792	0.1531967	Yes	
row_82	ENSG00000250303	282	1.4074790477752686	0.1546147	Yes	
row_83	ENSG00000133401	284	1.4023292064666748	0.15602708	Yes	
row_84	ENSG00000224424	286	1.4004573822021484	0.1574374	Yes	
row_85	ENSG00000168297	288	1.397990107536316	0.15884504	Yes	
row_86	ENSG00000102452	289	1.395782232284546	0.16036835	Yes	
row_87	ENSG00000112406	290	1.3935261964797974	0.16188921	Yes	
row_88	ENSG00000071242	295	1.3873082399368286	0.1629309	Yes	
row_89	ENSG00000110841	298	1.3827886581420898	0.16420387	Yes	
row_90	ENSG00000167323	303	1.3778387308120728	0.16523524	Yes	
row_91	ENSG00000154310	305	1.3772035837173462	0.16662018	Yes	
row_92	ENSG00000116574	309	1.3716281652450562	0.16776286	Yes	
row_93	ENSG00000100592	310	1.3706378936767578	0.16925874	Yes	
row_94	ENSG00000196083	311	1.3653459548950195	0.17074884	Yes	
row_95	ENSG00000074410	312	1.3643288612365723	0.17223783	Yes	
row_96	ENSG00000242759	328	1.333881139755249	0.1719222	Yes	
row_97	ENSG00000116016	330	1.3315048217773438	0.17325729	Yes	
row_98	ENSG00000108582	335	1.3187702894210815	0.1742242	Yes	
row_99	ENSG00000083857	340	1.3160653114318848	0.17518814	Yes	
row_100	ENSG00000233384	342	1.3125810623168945	0.17650256	Yes	
row_101	ENSG00000186340	344	1.3096026182174683	0.17781374	Yes	
row_102	ENSG00000221890	347	1.3023968935012817	0.17899895	Yes	
row_103	ENSG00000197321	353	1.2982319593429565	0.17982535	Yes	
row_104	ENSG00000159200	357	1.2958074808120728	0.18088529	Yes	
row_105	ENSG00000233429	358	1.2936911582946777	0.18229717	Yes	
row_106	ENSG00000079156	363	1.2853140830993652	0.18322757	Yes	
row_107	ENSG00000250565	374	1.2721459865570068	0.18343504	Yes	
row_108	ENSG00000245526	389	1.2560819387435913	0.1831526	Yes	
row_109	ENSG00000274213	393	1.2511718273162842	0.18416382	Yes	
row_110	ENSG00000197044	396	1.247851014137268	0.1852895	Yes	
row_111	ENSG00000185129	401	1.2394222021102905	0.1861698	Yes	
row_112	ENSG00000143847	405	1.2353407144546509	0.18716376	Yes	
row_113	ENSG00000137449	415	1.2097898721694946	0.18742126	Yes	
row_114	ENSG00000271133	424	1.1984403133392334	0.18778446	Yes	
row_115	ENSG00000080845	427	1.1941157579421997	0.1888515	Yes	
row_116	ENSG00000163633	438	1.181972861289978	0.18896057	Yes	
row_117	ENSG00000114861	444	1.1776149272918701	0.18965532	Yes	
row_118	ENSG00000229950	445	1.177213191986084	0.1909401	Yes	
row_119	ENSG00000109466	447	1.1766923666000366	0.19210622	Yes	
row_120	ENSG00000162994	448	1.1721460819244385	0.19338547	Yes	
row_121	ENSG00000276141	453	1.1687091588974	0.1941886	Yes	
row_122	ENSG00000101439	460	1.1633175611495972	0.19474965	Yes	
row_123	ENSG00000131015	463	1.1597588062286377	0.1957792	Yes	
row_124	ENSG00000175879	468	1.1551002264022827	0.19656748	Yes	
row_125	ENSG00000139173	470	1.1543684005737305	0.19770923	Yes	
row_126	ENSG00000172159	478	1.1480021476745605	0.19813548	Yes	
row_127	ENSG00000172986	481	1.144187331199646	0.19914803	Yes	
row_128	ENSG00000145545	491	1.1286512613296509	0.199317	Yes	
row_129	ENSG00000260088	502	1.1138008832931519	0.19935164	Yes	
row_130	ENSG00000144802	507	1.1117005348205566	0.20009255	Yes	
row_131	ENSG00000198380	512	1.1054798364639282	0.20082667	Yes	
row_132	ENSG00000026297	518	1.1000608205795288	0.20143679	Yes	
row_133	ENSG00000159733	526	1.0884194374084473	0.20179802	Yes	
row_134	ENSG00000187957	527	1.0877256393432617	0.20298514	Yes	
row_135	ENSG00000113580	531	1.0864825248718262	0.20381662	Yes	
row_136	ENSG00000135749	533	1.0814403295516968	0.20487878	Yes	
row_137	ENSG00000180354	537	1.074511170387268	0.2056972	Yes	
row_138	ENSG00000233006	540	1.0733457803726196	0.20663244	Yes	
row_139	ENSG00000139631	542	1.071183204650879	0.2076834	Yes	
row_140	ENSG00000183087	543	1.071016788482666	0.20885228	Yes	
row_141	ENSG00000060982	549	1.063767671585083	0.20942278	Yes	
row_142	ENSG00000186951	557	1.0592985153198242	0.20975223	Yes	
row_143	ENSG00000175265	558	1.0583374500274658	0.21090727	Yes	
row_144	ENSG00000143195	572	1.0490037202835083	0.21051693	Yes	
row_145	ENSG00000049860	574	1.0484811067581177	0.21154313	Yes	
row_146	ENSG00000196365	576	1.0481411218643188	0.21256894	Yes	
row_147	ENSG00000158863	581	1.0445101261138916	0.21323653	Yes	
row_148	ENSG00000205730	586	1.0395772457122803	0.21389872	Yes	
row_149	ENSG00000173890	595	1.0336569547653198	0.21408209	Yes	
row_150	ENSG00000020577	600	1.031702995300293	0.2147357	Yes	
row_151	ENSG00000219626	604	1.0293453931808472	0.21550483	Yes	
row_152	ENSG00000163132	611	1.024879813194275	0.2159148	Yes	
row_153	ENSG00000159388	614	1.023095965385437	0.21679519	Yes	
row_154	ENSG00000171016	615	1.0209755897521973	0.21790946	Yes	
row_155	ENSG00000138646	616	1.0198944807052612	0.21902254	Yes	
row_156	ENSG00000179476	620	1.0178154706954956	0.21977907	Yes	
row_157	ENSG00000145016	628	1.0089905261993408	0.22005363	Yes	
row_158	ENSG00000166986	635	1.0038690567016602	0.22044067	Yes	
row_159	ENSG00000168938	648	0.994503378868103	0.22010894	Yes	
row_160	ENSG00000123552	649	0.9939950108528137	0.22119376	Yes	
row_161	ENSG00000173276	650	0.9938351511955261	0.2222784	Yes	
row_162	ENSG00000169129	655	0.9897933602333069	0.22288626	Yes	
row_163	ENSG00000234456	658	0.9864064455032349	0.22372662	Yes	
row_164	ENSG00000159267	666	0.9818661212921143	0.22397156	Yes	
row_165	ENSG00000103528	672	0.9761145114898682	0.2244464	Yes	
row_166	ENSG00000154134	673	0.9753199219703674	0.22551084	Yes	
row_167	ENSG00000095066	678	0.971993625164032	0.22609928	Yes	
row_168	ENSG00000168461	680	0.970093846321106	0.22703992	Yes	
row_169	ENSG00000169184	681	0.970093846321106	0.22809866	Yes	
row_170	ENSG00000131067	684	0.9625883102416992	0.22891301	Yes	
row_171	ENSG00000157680	693	0.9574389457702637	0.2290132	Yes	
row_172	ENSG00000189050	700	0.953248918056488	0.22934501	Yes	
row_173	ENSG00000154917	716	0.9428730607032776	0.22860265	Yes	
row_174	ENSG00000188938	720	0.9410102963447571	0.22927538	Yes	
row_175	ENSG00000106069	721	0.9398196339607239	0.23030107	Yes	
row_176	ENSG00000008513	728	0.9373005628585815	0.23061545	Yes	
row_177	ENSG00000181619	732	0.9348186254501343	0.23128141	Yes	
row_178	ENSG00000109738	735	0.9340469837188721	0.23206462	Yes	
row_179	ENSG00000196547	738	0.9321743249893188	0.23284578	Yes	
row_180	ENSG00000157514	739	0.9316158890724182	0.23386253	Yes	
row_181	ENSG00000119729	745	0.928963303565979	0.23428592	Yes	
row_182	ENSG00000145362	761	0.920713484287262	0.23351938	Yes	
row_183	ENSG00000167778	766	0.9179752469062805	0.23404887	Yes	
row_184	ENSG00000163590	770	0.9158944487571716	0.23469417	Yes	
