NAME	TITLE	SCORE	
ENSG00000283390		9.336865	
ENSG00000277998		6.4896603	
ENSG00000240509		6.3140783	
ENSG00000219747		5.6554723	
ENSG00000232888		5.401238	
ENSG00000282978		4.38367	
ENSG00000196668		4.0911236	
ENSG00000250061		3.7485256	
ENSG00000120278		3.7198658	
ENSG00000280744		3.6091938	
ENSG00000167555		3.310134	
ENSG00000197497		3.1974077	
ENSG00000124107		3.1902182	
ENSG00000130513		2.9692876	
ENSG00000189058		2.9539654	
ENSG00000121577		2.8666127	
ENSG00000124762		2.8120954	
ENSG00000159388		2.810102	
ENSG00000026103		2.717122	
ENSG00000175600		2.6647992	
ENSG00000122432		2.628902	
ENSG00000135679		2.4493418	
ENSG00000106484		2.4208782	
ENSG00000113578		2.402429	
ENSG00000258199		2.2752938	
ENSG00000161513		2.2000654	
ENSG00000106366		2.181759	
ENSG00000113070		2.1810772	
ENSG00000162643		2.1734388	
ENSG00000183150		2.1197567	
ENSG00000205129		2.0990596	
ENSG00000162772		2.0601637	
ENSG00000080546		1.9820678	
ENSG00000146677		1.9678844	
ENSG00000242960		1.9630914	
ENSG00000273061		1.9481813	
ENSG00000224183		1.9188466	
ENSG00000232187		1.9041891	
ENSG00000175197		1.8988322	
ENSG00000146006		1.8939785	
ENSG00000105655		1.890595	
ENSG00000267419		1.882287	
ENSG00000197852		1.8378205	
ENSG00000173320		1.82454	
ENSG00000229132		1.8169986	
ENSG00000144802		1.7957811	
ENSG00000111341		1.7878368	
ENSG00000151967		1.7530314	
ENSG00000238113		1.7375743	
ENSG00000078237		1.7316331	
ENSG00000133134		1.725181	
ENSG00000048392		1.7217623	
ENSG00000173947		1.7072318	
ENSG00000230673		1.6906422	
ENSG00000105327		1.6820085	
ENSG00000134574		1.6470622	
ENSG00000228532		1.6386335	
ENSG00000136531		1.6173487	
ENSG00000065357		1.6082394	
ENSG00000144218		1.6024572	
ENSG00000165323		1.5926065	
ENSG00000175182		1.5853285	
ENSG00000135951		1.5813241	
ENSG00000115129		1.5572941	
ENSG00000256940		1.5564364	
ENSG00000055163		1.5321478	
ENSG00000100490		1.5274835	
ENSG00000264920		1.5226365	
ENSG00000198729		1.5160993	
ENSG00000172667		1.5061538	
ENSG00000060138		1.4850577	
ENSG00000271204		1.4840382	
ENSG00000104368		1.4834164	
ENSG00000023445		1.4779873	
ENSG00000226976		1.4766792	
ENSG00000148219		1.4733336	
ENSG00000140332		1.4586447	
ENSG00000172159		1.4576458	
ENSG00000139344		1.4506176	
ENSG00000169302		1.4465474	
ENSG00000249859		1.4440802	
ENSG00000181026		1.4432691	
ENSG00000165029		1.4427434	
ENSG00000164938		1.4339598	
ENSG00000239887		1.431129	
ENSG00000106069		1.4159652	
ENSG00000135525		1.3970464	
ENSG00000112096		1.3915634	
ENSG00000226564		1.3866372	
ENSG00000185088		1.361711	
ENSG00000152056		1.3602768	
ENSG00000185100		1.3454103	
ENSG00000211445		1.3339517	
ENSG00000198929		1.3304437	
ENSG00000226525		1.3262986	
ENSG00000245532		1.326167	
ENSG00000249673		1.3255268	
ENSG00000274012		1.3107127	
