NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000120278	2	3.8595635890960693	0.008420903	Yes	
row_1	ENSG00000159388	4	3.252875804901123	0.015599084	Yes	
row_2	ENSG00000106484	7	2.9573535919189453	0.02199631	Yes	
row_3	ENSG00000124762	8	2.890859603881836	0.02848057	Yes	
row_4	ENSG00000162772	11	2.7551348209381104	0.034424216	Yes	
row_5	ENSG00000026103	13	2.6331241130828857	0.04021228	Yes	
row_6	ENSG00000143195	14	2.348992109298706	0.045481123	Yes	
row_7	ENSG00000162643	28	1.9146701097488403	0.048240576	Yes	
row_8	ENSG00000076641	40	1.7851756811141968	0.05094576	Yes	
row_9	ENSG00000148219	52	1.6296199560165405	0.053302024	Yes	
row_10	ENSG00000164683	60	1.5907063484191895	0.05604337	Yes	
row_11	ENSG00000007372	69	1.5027952194213867	0.05846944	Yes	
row_12	ENSG00000112096	72	1.479247808456421	0.061551243	Yes	
row_13	ENSG00000023445	80	1.4422447681427002	0.06395959	Yes	
row_14	ENSG00000164938	84	1.424081802368164	0.06679956	Yes	
row_15	ENSG00000163661	86	1.415735125541687	0.069856994	Yes	
row_16	ENSG00000196562	92	1.3604599237442017	0.07231808	Yes	
row_17	ENSG00000172159	93	1.3585515022277832	0.07536534	Yes	
row_18	ENSG00000230747	94	1.3581902980804443	0.07841179	Yes	
row_19	ENSG00000156453	97	1.3470826148986816	0.08119714	Yes	
row_20	ENSG00000171444	103	1.2907549142837524	0.083501875	Yes	
row_21	ENSG00000143344	108	1.2675142288208008	0.08587257	Yes	
row_22	ENSG00000116514	117	1.195635437965393	0.08760968	Yes	
row_23	ENSG00000215068	120	1.1718051433563232	0.09000187	Yes	
row_24	ENSG00000156804	121	1.1712243556976318	0.092628956	Yes	
row_25	ENSG00000260088	130	1.1416358947753906	0.09424494	Yes	
row_26	ENSG00000144802	133	1.1247888803482056	0.09653168	Yes	
row_27	ENSG00000147408	142	1.0927844047546387	0.09803809	Yes	
row_28	ENSG00000154447	143	1.084702968597412	0.1004711	Yes	
row_29	ENSG00000135549	156	1.0502924919128418	0.10140983	Yes	
row_30	ENSG00000164949	157	1.047876000404358	0.10376024	Yes	
row_31	ENSG00000250222	170	1.013360857963562	0.104616135	Yes	
row_32	ENSG00000138696	177	1.002770185470581	0.10615682	Yes	
row_33	ENSG00000125462	181	0.9658756852149963	0.10796902	Yes	
row_34	ENSG00000233384	193	0.9467834234237671	0.108793676	Yes	
row_35	ENSG00000162783	196	0.9382029175758362	0.1106619	Yes	
row_36	ENSG00000134070	197	0.9367130994796753	0.112762965	Yes	
row_37	ENSG00000135919	202	0.9236857891082764	0.11436245	Yes	
row_38	ENSG00000058866	217	0.9039902687072754	0.11473683	Yes	
row_39	ENSG00000272382	220	0.8995896577835083	0.11651845	Yes	
row_40	ENSG00000115963	227	0.8909175992012024	0.11780825	Yes	
row_41	ENSG00000116016	228	0.8897213935852051	0.11980391	Yes	
row_42	ENSG00000198729	229	0.8883509039878845	0.1217965	Yes	
row_43	ENSG00000164741	242	0.8551157116889954	0.12229745	Yes	
row_44	ENSG00000204381	247	0.8379749059677124	0.12370468	Yes	
row_45	ENSG00000064692	252	0.8255087733268738	0.12508395	Yes	
row_46	ENSG00000233006	254	0.8238051533699036	0.12681367	Yes	
row_47	ENSG00000165891	255	0.8235638737678528	0.12866095	Yes	
row_48	ENSG00000136114	262	0.8154894709587097	0.12978154	Yes	
row_49	ENSG00000112249	269	0.8115162253379822	0.13089325	Yes	
row_50	ENSG00000196083	270	0.8106935024261475	0.13271165	Yes	
row_51	ENSG00000110171	273	0.8014598488807678	0.13427316	Yes	
row_52	ENSG00000168917	276	0.8005967140197754	0.13583274	Yes	
row_53	ENSG00000274213	278	0.7953141331672668	0.13749856	Yes	
row_54	ENSG00000125355	281	0.7945631146430969	0.13904458	Yes	
row_55	ENSG00000074416	282	0.7943255305290222	0.14082628	Yes	
row_56	ENSG00000106069	288	0.7826575040817261	0.14199135	Yes	
row_57	ENSG00000124813	289	0.7817121744155884	0.14374474	Yes	
row_58	ENSG00000197461	291	0.7800992131233215	0.14537643	Yes	
row_59	ENSG00000140332	297	0.7644510865211487	0.14650065	Yes	
row_60	ENSG00000116675	299	0.7626510262489319	0.1480932	Yes	
row_61	ENSG00000136826	302	0.7604668140411377	0.14956276	Yes	
row_62	ENSG00000128683	315	0.745577871799469	0.149818	Yes	
row_63	ENSG00000118257	318	0.7430397868156433	0.15124848	Yes	
row_64	ENSG00000131015	321	0.7402446269989014	0.15267268	Yes	
row_65	ENSG00000146674	324	0.7355934381484985	0.15408646	Yes	
row_66	ENSG00000124772	328	0.7282700538635254	0.1553657	Yes	
row_67	ENSG00000145431	331	0.7270218729972839	0.15676025	Yes	
row_68	ENSG00000011422	334	0.7241474390029907	0.15814833	Yes	
row_69	ENSG00000069020	336	0.7202568054199219	0.1596458	Yes	
row_70	ENSG00000157890	338	0.7193529605865479	0.16114123	Yes	
row_71	ENSG00000187957	339	0.71717369556427	0.16274987	Yes	
row_72	ENSG00000020577	344	0.7142425775527954	0.16387956	Yes	
row_73	ENSG00000162433	345	0.7135842442512512	0.16548015	Yes	
