NAME	TITLE	SCORE	
ENSG00000232454		5.8087916	
ENSG00000240509		5.7611575	
ENSG00000218996		2.8751981	
ENSG00000224183		2.6803954	
ENSG00000173727		2.218694	
ENSG00000203865		1.6638453	
ENSG00000144554		1.6400647	
ENSG00000250461		1.5387384	
ENSG00000272702		1.4368194	
ENSG00000154920		1.4152597	
ENSG00000224858		1.4085454	
ENSG00000108370		1.3961941	
ENSG00000177106		1.3807681	
ENSG00000167900		1.3751668	
ENSG00000130844		1.3742925	
ENSG00000183763		1.3666217	
ENSG00000179750		1.3511952	
ENSG00000144395		1.3275291	
ENSG00000146410		1.3132372	
ENSG00000129028		1.308153	
ENSG00000172244		1.3056992	
ENSG00000078401		1.2723109	
ENSG00000259865		1.2684627	
ENSG00000129810		1.2415636	
ENSG00000176244		1.2328519	
ENSG00000147536		1.2281983	
ENSG00000283390		1.2083379	
ENSG00000165490		1.1910868	
ENSG00000171241		1.1908323	
ENSG00000234782		1.1830553	
ENSG00000258427		1.1800591	
ENSG00000131435		1.1756351	
ENSG00000197497		1.1751641	
ENSG00000139173		1.1550905	
ENSG00000164087		1.1509821	
ENSG00000236824		1.1498212	
ENSG00000071539		1.1470144	
ENSG00000100749		1.1391153	
ENSG00000146670		1.1297004	
ENSG00000174371		1.1280128	
ENSG00000133103		1.1241915	
ENSG00000112742		1.111312	
ENSG00000139734		1.1015065	
ENSG00000139618		1.0983579	
ENSG00000011426		1.088832	
ENSG00000091651		1.082832	
ENSG00000167992		1.0704573	
ENSG00000112877		1.0638227	
ENSG00000143228		1.0558354	
ENSG00000186871		1.0529407	
ENSG00000158402		1.046251	
ENSG00000051180		1.0388393	
ENSG00000120539		1.0384912	
ENSG00000072571		1.0364017	
ENSG00000142731		1.0344491	
ENSG00000131747		1.0338581	
ENSG00000164406		1.0313318	
ENSG00000165480		1.0311717	
ENSG00000080986		1.0294185	
ENSG00000109674		1.0280899	
ENSG00000211445		1.0252944	
ENSG00000165028		1.0112677	
ENSG00000133119		1.0090154	
ENSG00000169607		1.0089334	
ENSG00000248483		1.0037706	
ENSG00000117650		0.994793	
ENSG00000197776		0.98969215	
ENSG00000175197		0.98935205	
ENSG00000171320		0.98903865	
ENSG00000157680		0.9845147	
ENSG00000121988		0.98354864	
ENSG00000249485		0.97861475	
ENSG00000140525		0.97176874	
ENSG00000274012		0.9706724	
ENSG00000166451		0.96708083	
ENSG00000120889		0.9656087	
ENSG00000103942		0.96367323	
ENSG00000224897		0.9612601	
ENSG00000127423		0.9570026	
ENSG00000168078		0.95230466	
ENSG00000112699		0.94029367	
ENSG00000181544		0.9391872	
ENSG00000177602		0.9352774	
ENSG00000178295		0.9317506	
ENSG00000162994		0.92976016	
ENSG00000174939		0.92905223	
ENSG00000181524		0.92580104	
ENSG00000230673		0.9247583	
ENSG00000100629		0.92468977	
ENSG00000099875		0.92457277	
ENSG00000111348		0.9067421	
ENSG00000101255		0.90483314	
ENSG00000101057		0.8983153	
ENSG00000135451		0.8970202	
ENSG00000233762		0.8959578	
ENSG00000121152		0.89527506	
ENSG00000073605		0.89152205	
ENSG00000173207		0.8900135	
ENSG00000256464		0.8875048	
ENSG00000130513		0.8864306	
ENSG00000234465		0.88266516	
ENSG00000162755		0.8762554	
ENSG00000116830		0.8697963	
ENSG00000203760		0.8693561	
ENSG00000142945		0.8681298	
ENSG00000089685		0.86498535	
ENSG00000228502		0.86383116	
ENSG00000170965		0.86172223	
ENSG00000100162		0.8604159	
ENSG00000138658		0.8601115	
