NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000129173	8	3.227440595626831	0.0047944086	No	
row_1	ENSG00000127423	17	3.0686371326446533	0.009306428	No	
row_2	ENSG00000101447	113	2.1748030185699463	0.0019550289	No	
row_3	ENSG00000076706	124	2.0819499492645264	0.004476305	No	
row_4	ENSG00000108370	183	1.7428910732269287	7.262566E-4	No	
row_5	ENSG00000228716	193	1.697677731513977	0.0026822987	No	
row_6	ENSG00000061656	197	1.6766083240509033	0.0053094244	No	
row_7	ENSG00000143320	198	1.6761391162872314	0.00828999	No	
row_8	ENSG00000136943	199	1.6716854572296143	0.011262637	No	
row_9	ENSG00000137563	203	1.6561927795410156	0.013853459	No	
row_10	ENSG00000278828	204	1.654848575592041	0.016796166	No	
row_11	ENSG00000162520	211	1.639661431312561	0.019003317	No	
row_12	ENSG00000101265	213	1.6238865852355957	0.021772873	No	
row_13	ENSG00000173442	223	1.5851713418960571	0.023528853	No	
row_14	ENSG00000123080	224	1.584765076637268	0.026346935	No	
row_15	ENSG00000241472	227	1.5788440704345703	0.028918304	No	
row_16	ENSG00000231991	230	1.5568681955337524	0.031450596	No	
row_17	ENSG00000121211	234	1.5516103506088257	0.033855446	No	
row_18	ENSG00000157890	244	1.5084434747695923	0.035474986	No	
row_19	ENSG00000125898	245	1.506287693977356	0.038153514	No	
row_20	ENSG00000189157	252	1.4567155838012695	0.040035345	No	
row_21	ENSG00000136895	258	1.4455430507659912	0.0420154	No	
row_22	ENSG00000189057	269	1.410613775253296	0.043342885	No	
row_23	ENSG00000171617	271	1.4029589891433716	0.04571958	No	
row_24	ENSG00000235162	287	1.3579304218292236	0.04636292	No	
row_25	ENSG00000197061	300	1.3310701847076416	0.047312777	No	
row_26	ENSG00000238113	304	1.323138952255249	0.04931135	No	
row_27	ENSG00000182809	315	1.3077079057693481	0.050455846	No	
row_28	ENSG00000101210	325	1.2783361673355103	0.0516662	No	
row_29	ENSG00000187608	327	1.2730094194412231	0.053811815	No	
row_30	ENSG00000007392	332	1.2652995586395264	0.055589445	No	
row_31	ENSG00000183814	333	1.2627077102661133	0.057834834	No	
row_32	ENSG00000135045	338	1.2466107606887817	0.059579235	No	
row_33	ENSG00000197238	342	1.2402571439743042	0.061430424	No	
row_34	ENSG00000136153	351	1.226683259010315	0.06266702	No	
row_35	ENSG00000188290	354	1.2235208749771118	0.06460654	No	
row_36	ENSG00000106355	361	1.21213960647583	0.06605346	No	
row_37	ENSG00000165891	364	1.2080750465393066	0.067965515	No	
row_38	ENSG00000101347	367	1.203690767288208	0.06986977	No	
row_39	ENSG00000106689	372	1.1907575130462646	0.07151485	No	
row_40	ENSG00000125462	374	1.1877756118774414	0.0735089	No	
row_41	ENSG00000121957	382	1.1636765003204346	0.07475155	No	
row_42	ENSG00000276966	384	1.1592316627502441	0.07669484	No	
row_43	ENSG00000068028	397	1.132462978363037	0.077291526	No	
row_44	ENSG00000132692	398	1.1313245296478271	0.07930329	No	
row_45	ENSG00000158164	401	1.1278506517410278	0.08107268	No	
row_46	ENSG00000205763	412	1.1133004426956177	0.08187147	No	
row_47	ENSG00000154102	418	1.1080102920532227	0.08325132	No	
row_48	ENSG00000168077	425	1.0979503393173218	0.08449518	No	
row_49	ENSG00000100490	430	1.0921719074249268	0.08596495	No	
row_50	ENSG00000116574	434	1.0862085819244385	0.087542206	No	
row_51	ENSG00000097046	437	1.0834227800369263	0.0892326	No	
row_52	ENSG00000118515	439	1.080708622932434	0.09103626	No	
row_53	ENSG00000164002	447	1.0730869770050049	0.092117816	No	
row_54	ENSG00000178401	456	1.063469648361206	0.09306418	No	
row_55	ENSG00000167964	457	1.0584758520126343	0.0949464	No	
