NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000108370	17	1.828575611114502	0.0015132776	No	
row_1	ENSG00000108551	32	1.6976512670516968	0.0031287414	No	
row_2	ENSG00000137767	34	1.6563574075698853	0.006199887	No	
row_3	ENSG00000274213	42	1.5735121965408325	0.008402969	No	
row_4	ENSG00000111981	44	1.5521246194839478	0.0112734195	No	
row_5	ENSG00000008513	47	1.503942608833313	0.013933006	No	
row_6	ENSG00000175592	52	1.4539821147918701	0.016260212	No	
row_7	ENSG00000188290	54	1.451207160949707	0.018936351	No	
row_8	ENSG00000145194	59	1.3918124437332153	0.021143854	No	
row_9	ENSG00000121039	67	1.3447825908660889	0.022906527	No	
row_10	ENSG00000063438	73	1.3224400281906128	0.024862364	No	
row_11	ENSG00000042286	74	1.319126844406128	0.02740228	No	
row_12	ENSG00000143819	83	1.2935415506362915	0.028948199	No	
row_13	ENSG00000101210	88	1.284014105796814	0.030948142	No	
row_14	ENSG00000138166	96	1.2123291492462158	0.032455783	No	
row_15	ENSG00000124762	98	1.2030844688415527	0.03465417	No	
row_16	ENSG00000138744	99	1.1977818012237549	0.036960445	No	
row_17	ENSG00000112379	129	1.124894380569458	0.03570172	No	
row_18	ENSG00000011422	141	1.0953823328018188	0.036511816	No	
row_19	ENSG00000115295	148	1.0809614658355713	0.037884604	No	
row_20	ENSG00000171223	152	1.072587490081787	0.039595548	No	
row_21	ENSG00000129173	155	1.0644181966781616	0.04140885	No	
row_22	ENSG00000116514	156	1.0584964752197266	0.043446936	No	
row_23	ENSG00000170293	158	1.0581680536270142	0.045366295	No	
row_24	ENSG00000162772	165	1.0420653820037842	0.046664193	No	
row_25	ENSG00000120875	167	1.0379635095596313	0.04854465	No	
row_26	ENSG00000156804	168	1.0374845266342163	0.050542276	No	
row_27	ENSG00000173276	170	1.0327684879302979	0.052412733	No	
row_28	ENSG00000276075	173	1.0267761945724487	0.054153558	No	
row_29	ENSG00000156453	174	1.0219464302062988	0.056121267	No	
row_30	ENSG00000198832	184	1.015238881111145	0.057013236	No	
row_31	ENSG00000162595	185	1.0150752067565918	0.058967717	No	
row_32	ENSG00000233384	188	1.004188060760498	0.06066505	No	
row_33	ENSG00000136826	194	0.9990049004554749	0.06199813	No	
row_34	ENSG00000164949	203	0.9919854402542114	0.06296341	No	
row_35	ENSG00000165046	207	0.9861801862716675	0.06450798	No	
row_36	ENSG00000180806	212	0.9800527691841125	0.06592266	No	
row_37	ENSG00000178401	216	0.9747354984283447	0.067445196	No	
row_38	ENSG00000196839	220	0.9731070399284363	0.06896459	No	
row_39	ENSG00000134202	231	0.96364426612854	0.069639124	No	
row_40	ENSG00000170545	234	0.9607030153274536	0.071252726	No	
row_41	ENSG00000185697	243	0.95148766040802	0.07214004	No	
row_42	ENSG00000104450	247	0.9506016373634338	0.0736161	No	
row_43	ENSG00000131015	248	0.9500318765640259	0.07544535	No	
row_44	ENSG00000127528	253	0.9474735856056213	0.07679729	No	
row_45	ENSG00000166986	260	0.9391368627548218	0.077897005	No	
row_46	ENSG00000138646	276	0.9265058636665344	0.077909574	No	
row_47	ENSG00000112096	277	0.9262556433677673	0.079693034	No	
row_48	ENSG00000221869	281	0.9246296286582947	0.08111909	No	
row_49	ENSG00000183087	289	0.9164788722991943	0.08205709	No	
row_50	ENSG00000183072	301	0.8946370482444763	0.08248066	No	
row_51	ENSG00000142046	304	0.892747700214386	0.08396342	No	
row_52	ENSG00000168994	306	0.8905466794967651	0.08556003	No	
row_53	ENSG00000183597	308	0.8877574801445007	0.087151274	No	
row_54	ENSG00000157514	313	0.884892463684082	0.08838273	No	
row_55	ENSG00000196365	314	0.8841243386268616	0.09008507	No	
row_56	ENSG00000058866	327	0.8685493469238281	0.09034032	No	
row_57	ENSG00000104419	343	0.8549543023109436	0.09021512	No	
row_58	ENSG00000127423	353	0.8392927646636963	0.090768315	No	
row_59	ENSG00000166823	366	0.8281823992729187	0.09094584	No	
row_60	ENSG00000148335	371	0.8226555585861206	0.09205745	No	
row_61	ENSG00000135454	372	0.8196226954460144	0.0936356	No	
row_62	ENSG00000063854	375	0.8189457654953003	0.09497626	No	
row_63	ENSG00000124145	385	0.8064741492271423	0.09546626	No	
row_64	ENSG00000165105	405	0.7968687415122986	0.09475685	No	
row_65	ENSG00000197776	421	0.7776390314102173	0.09448279	No	
row_66	ENSG00000175606	426	0.7749727964401245	0.09550259	No	
row_67	ENSG00000213626	428	0.7743765115737915	0.096875526	No	
row_68	ENSG00000118402	429	0.7727397680282593	0.0983634	No	
row_69	ENSG00000157680	438	0.7685949802398682	0.09889856	No	
row_70	ENSG00000086289	451	0.7568061351776123	0.09893865	No	
row_71	ENSG00000152078	453	0.755648672580719	0.100275524	No	
row_72	ENSG00000101400	454	0.754508912563324	0.1017283	No	
row_73	ENSG00000137463	462	0.7502501010894775	0.10234623	No	
row_74	ENSG00000234745	467	0.748298168182373	0.103314675	No	
row_75	ENSG00000068028	468	0.74774169921875	0.10475442	No	
row_76	ENSG00000243364	469	0.7476665377616882	0.10619401	No	
row_77	ENSG00000179833	475	0.7448028922080994	0.10703763	No	
row_78	ENSG00000106780	478	0.7430109977722168	0.10823208	No	
row_79	ENSG00000197885	488	0.7315272092819214	0.10857778	No	
row_80	ENSG00000151287	492	0.729863703250885	0.10962883	No	
row_81	ENSG00000134070	496	0.7275093793869019	0.110675335	No	
row_82	ENSG00000115963	501	0.7241015434265137	0.11159719	No	
row_83	ENSG00000162542	506	0.7195740342140198	0.11251033	No	
row_84	ENSG00000115758	513	0.7149755954742432	0.11317843	No	
row_85	ENSG00000168792	524	0.7076650261878967	0.11336009	No	
row_86	ENSG00000019549	532	0.7040500044822693	0.11388906	No	
row_87	ENSG00000164002	535	0.7028735876083374	0.11500623	No	
row_88	ENSG00000145391	545	0.6965467929840088	0.11528457	No	
row_89	ENSG00000143320	547	0.6945797204971313	0.11650386	No	
row_90	ENSG00000170425	548	0.6940763592720032	0.11784027	No	
row_91	ENSG00000148120	553	0.6894516944885254	0.11869541	No	
row_92	ENSG00000167543	555	0.6886914968490601	0.11990336	No	
row_93	ENSG00000118515	560	0.6856338381767273	0.12075115	No	
row_94	ENSG00000139173	578	0.6767745018005371	0.12004669	No	
row_95	ENSG00000168917	580	0.6764040589332581	0.12123098	No	
row_96	ENSG00000137575	585	0.6737817525863647	0.12205595	No	
row_97	ENSG00000140859	593	0.6708890199661255	0.12252107	No	
row_98	ENSG00000135919	594	0.669636070728302	0.123810425	No	
row_99	ENSG00000005243	600	0.6673475503921509	0.12450492	No	
row_100	ENSG00000140332	612	0.6636292934417725	0.12448369	No	
row_101	ENSG00000279602	613	0.6633115410804749	0.12576087	No	
row_102	ENSG00000049860	619	0.6600428223609924	0.12644129	No	
row_103	ENSG00000165891	624	0.6585231423377991	0.12723687	No	
row_104	ENSG00000100196	629	0.655272901058197	0.1280262	No	
row_105	ENSG00000119938	646	0.6484938263893127	0.1273854	No	
row_106	ENSG00000118804	647	0.6483034491539001	0.12863366	No	
row_107	ENSG00000023572	660	0.6441966891288757	0.12845694	No	
row_108	ENSG00000153094	667	0.6413730978965759	0.12898332	No	
row_109	ENSG00000198380	673	0.6388615369796753	0.12962295	No	
row_110	ENSG00000147894	687	0.6348342895507812	0.12931012	No	
row_111	ENSG00000083290	693	0.6328217387199402	0.12993813	No	
row_112	ENSG00000120910	695	0.6321807503700256	0.13103727	No	
row_113	ENSG00000181788	699	0.6300278902053833	0.13189608	No	
row_114	ENSG00000084072	712	0.6254696846008301	0.13168329	No	
row_115	ENSG00000100994	719	0.6226856112480164	0.13217369	No	
row_116	ENSG00000155158	722	0.6208551526069641	0.13313293	No	
row_117	ENSG00000106689	727	0.6181686520576477	0.13385083	No	
row_118	ENSG00000100490	769	0.6049104928970337	0.13017379	No	
row_119	ENSG00000168899	772	0.602607250213623	0.1310979	No	
row_120	ENSG00000161980	782	0.5982327461242676	0.13118695	No	
row_121	ENSG00000188483	791	0.5964646339416504	0.13139068	No	
row_122	ENSG00000196850	807	0.5905767679214478	0.13075642	No	
row_123	ENSG00000076706	810	0.5900202989578247	0.1316563	No	
row_124	ENSG00000272702	818	0.5882013440132141	0.13196221	No	
row_125	ENSG00000169692	830	0.583089292049408	0.13178591	No	
row_126	ENSG00000198055	845	0.5776699185371399	0.13124491	No	
row_127	ENSG00000242759	855	0.575930118560791	0.131291	No	
row_128	ENSG00000131149	857	0.5744344592094421	0.13227896	No	
row_129	ENSG00000151929	868	0.5720074772834778	0.13219942	No	
row_130	ENSG00000176978	875	0.5706166625022888	0.13258956	No	
row_131	ENSG00000001036	876	0.5703373551368713	0.13368772	No	
row_132	ENSG00000185567	884	0.5679997801780701	0.13395473	No	
row_133	ENSG00000166979	898	0.5600109696388245	0.13349782	No	
row_134	ENSG00000197375	922	0.555846631526947	0.13185197	No	
row_135	ENSG00000107537	923	0.5553557276725769	0.13292128	No	
row_136	ENSG00000137563	929	0.5539748668670654	0.13339747	No	
row_137	ENSG00000061918	932	0.5531941056251526	0.13422644	No	
row_138	ENSG00000123609	937	0.551733672618866	0.13481641	No	
row_139	ENSG00000141582	940	0.5498889088630676	0.13563901	No	
row_140	ENSG00000010219	953	0.5465642213821411	0.13527429	No	
row_141	ENSG00000175471	954	0.5461540222167969	0.1363259	No	
row_142	ENSG00000183814	960	0.5443091988563538	0.13678348	No	
row_143	ENSG00000178607	963	0.5434494018554688	0.13759367	No	
row_144	ENSG00000111907	982	0.5371811985969543	0.13650234	No	
row_145	ENSG00000115271	983	0.5370656251907349	0.13753644	No	
row_146	ENSG00000135446	997	0.5324397683143616	0.13702643	No	
row_147	ENSG00000185483	1037	0.5246819257736206	0.1334311	No	
row_148	ENSG00000102007	1049	0.5206748843193054	0.13313463	No	
row_149	ENSG00000051128	1066	0.5174242854118347	0.13224144	No	
row_150	ENSG00000103707	1073	0.515925407409668	0.1325263	No	
row_151	ENSG00000163132	1074	0.5159081816673279	0.13351965	No	
row_152	ENSG00000136717	1081	0.5144351720809937	0.13380161	No	
row_153	ENSG00000132613	1084	0.5141634345054626	0.13455543	No	
row_154	ENSG00000064225	1104	0.5090009570121765	0.13329175	No	
row_155	ENSG00000187147	1123	0.5067247152328491	0.13214177	No	
row_156	ENSG00000136854	1129	0.5057012438774109	0.13252501	No	
row_157	ENSG00000116096	1130	0.5054688453674316	0.13349827	No	
row_158	ENSG00000131981	1143	0.5024559497833252	0.13304862	No	
row_159	ENSG00000117385	1160	0.49927207827568054	0.13212049	No	
row_160	ENSG00000175305	1165	0.4984111785888672	0.13260779	No	
row_161	ENSG00000065882	1170	0.49642425775527954	0.13309126	No	
row_162	ENSG00000188313	1190	0.49363309144973755	0.13179798	No	
row_163	ENSG00000171453	1198	0.4922005832195282	0.13191906	No	
row_164	ENSG00000156787	1207	0.49003612995147705	0.13191786	No	
row_165	ENSG00000081087	1230	0.4845297932624817	0.13025278	No	
row_166	ENSG00000163754	1240	0.4823281764984131	0.13011865	No	
row_167	ENSG00000186951	1254	0.48066577315330505	0.12950897	No	
row_168	ENSG00000163291	1257	0.48054319620132446	0.13019805	No	
row_169	ENSG00000025156	1270	0.4754922389984131	0.12969649	No	
row_170	ENSG00000138709	1273	0.4743002951145172	0.13037354	No	
row_171	ENSG00000217801	1276	0.4737958312034607	0.13104963	No	
row_172	ENSG00000159231	1286	0.47245171666145325	0.1308965	No	
row_173	ENSG00000049449	1289	0.4720073342323303	0.13156913	No	
row_174	ENSG00000135045	1334	0.4637449383735657	0.12726602	No	
row_175	ENSG00000224424	1357	0.4593806862831116	0.12555252	No	
row_176	ENSG00000172171	1363	0.4584578573703766	0.1258448	No	
row_177	ENSG00000189114	1378	0.45613014698028564	0.12506978	No	
row_178	ENSG00000197355	1399	0.4523886442184448	0.123578995	No	
row_179	ENSG00000148444	1403	0.4512094259262085	0.1240935	No	
row_180	ENSG00000120256	1428	0.4479738771915436	0.122121856	No	
row_181	ENSG00000178951	1437	0.44662413001060486	0.122037075	No	
row_182	ENSG00000169251	1450	0.4439624845981598	0.12147481	No	
row_183	ENSG00000144218	1452	0.44369176030158997	0.122211024	No	
row_184	ENSG00000163577	1471	0.4396649897098541	0.12093192	No	
row_185	ENSG00000117280	1495	0.4357873499393463	0.119054906	No	
row_186	ENSG00000135838	1504	0.43479490280151367	0.11894735	No	
row_187	ENSG00000276141	1507	0.4345044195652008	0.119547784	No	
row_188	ENSG00000106348	1514	0.4329518675804138	0.119672865	No	
row_189	ENSG00000232533	1515	0.4327997863292694	0.1205062	No	
row_190	ENSG00000187608	1522	0.43231481313705444	0.12063005	No	
row_191	ENSG00000162409	1524	0.4321422278881073	0.12134403	No	
row_192	ENSG00000168765	1532	0.43020325899124146	0.12134572	No	
row_193	ENSG00000109762	1534	0.42994192242622375	0.12205546	No	
row_194	ENSG00000175390	1541	0.42768633365631104	0.1221704	No	
row_195	ENSG00000141574	1550	0.42537781596183777	0.12204471	No	
row_196	ENSG00000135622	1557	0.42335835099220276	0.12215132	No	
row_197	ENSG00000235590	1574	0.42041677236557007	0.121071346	No	
row_198	ENSG00000149273	1590	0.41785287857055664	0.12010453	No	
row_199	ENSG00000151689	1611	0.4131157398223877	0.118538134	No	
row_200	ENSG00000103187	1615	0.41234511137008667	0.11897781	No	
row_201	ENSG00000150687	1616	0.4123119115829468	0.1197717	No	
row_202	ENSG00000162545	1629	0.4102645814418793	0.11914454	No	
row_203	ENSG00000170088	1630	0.41001054644584656	0.11993399	No	
row_204	ENSG00000128789	1655	0.4058641493320465	0.11788127	No	
row_205	ENSG00000169567	1658	0.40563368797302246	0.118426114	No	
row_206	ENSG00000071242	1678	0.402955561876297	0.116958246	No	
row_207	ENSG00000130340	1680	0.4026515483856201	0.11761544	No	
row_208	ENSG00000151690	1702	0.3985843360424042	0.11590297	No	
row_209	ENSG00000180818	1705	0.3979485332965851	0.11643302	No	
row_210	ENSG00000100307	1722	0.39437729120254517	0.115302905	No	
row_211	ENSG00000136856	1725	0.39423367381095886	0.1158258	No	
row_212	ENSG00000152223	1741	0.39164280891418457	0.114808515	No	
row_213	ENSG00000084070	1746	0.39085933566093445	0.11508873	No	
row_214	ENSG00000143669	1754	0.39000943303108215	0.11501303	No	
row_215	ENSG00000113522	1756	0.389530211687088	0.11564496	No	
row_216	ENSG00000069399	1787	0.385130912065506	0.11284377	No	
row_217	ENSG00000135842	1812	0.3806781768798828	0.11074255	No	
row_218	ENSG00000102098	1820	0.37957629561424255	0.11064676	No	
row_219	ENSG00000121211	1821	0.3795310854911804	0.11137753	No	
row_220	ENSG00000152749	1846	0.3756618797779083	0.109266646	No	
row_221	ENSG00000143801	1857	0.37415075302124023	0.10880614	No	
row_222	ENSG00000119203	1858	0.3740861713886261	0.109526426	No	
row_223	ENSG00000122958	1867	0.37273281812667847	0.10929937	No	
row_224	ENSG00000139318	1868	0.37270987033843994	0.11001701	No	
row_225	ENSG00000015153	1869	0.37218907475471497	0.110733636	No	
row_226	ENSG00000162783	1871	0.37195783853530884	0.11133174	No	
row_227	ENSG00000233593	1874	0.37165042757987976	0.111811146	No	
row_228	ENSG00000075975	1879	0.37137988209724426	0.112053856	No	
row_229	ENSG00000112576	1880	0.3712998032569885	0.11276878	No	
row_230	ENSG00000152503	1882	0.3712295591831207	0.11336547	No	
row_231	ENSG00000127824	1885	0.37059709429740906	0.11384285	No	
row_232	ENSG00000162174	1887	0.37045881152153015	0.114438064	No	
row_233	ENSG00000260088	1889	0.36967703700065613	0.115031764	No	
row_234	ENSG00000115232	1893	0.36834126710891724	0.11538672	No	
row_235	ENSG00000172269	1902	0.36737579107284546	0.11514934	No	
row_236	ENSG00000178974	1908	0.366928368806839	0.11526539	No	
row_237	ENSG00000173166	1910	0.366560697555542	0.11585309	No	
row_238	ENSG00000072682	1917	0.3658152222633362	0.11584891	No	
row_239	ENSG00000136156	1924	0.36522573232650757	0.11584358	No	
row_240	ENSG00000134291	1934	0.36336466670036316	0.11548039	No	
row_241	ENSG00000170027	1945	0.36168304085731506	0.11499588	No	
row_242	ENSG00000169255	1967	0.35936304926872253	0.11320789	No	
row_243	ENSG00000157450	1968	0.35935619473457336	0.11389982	No	
row_244	ENSG00000187556	1972	0.35904037952423096	0.114236854	No	
row_245	ENSG00000137221	1998	0.35537880659103394	0.11196883	No	
row_246	ENSG00000188452	2007	0.35352176427841187	0.11170479	No	
row_247	ENSG00000180488	2009	0.35324621200561523	0.11226685	No	
row_248	ENSG00000096063	2020	0.35138019919395447	0.1117625	No	
row_249	ENSG00000151229	2025	0.350819855928421	0.11196563	No	
row_250	ENSG00000134278	2030	0.34949326515197754	0.11216619	No	
row_251	ENSG00000163633	2037	0.3480250835418701	0.11212774	No	
row_252	ENSG00000159733	2041	0.3470058739185333	0.112441614	No	
row_253	ENSG00000133019	2047	0.3460984230041504	0.11251755	No	
row_254	ENSG00000163935	2060	0.3436337113380432	0.11176211	No	
row_255	ENSG00000176407	2099	0.3386535346508026	0.10792668	No	
row_256	ENSG00000004455	2106	0.3380090296268463	0.107868955	No	
row_257	ENSG00000189157	2113	0.3367171883583069	0.10780874	No	
row_258	ENSG00000135314	2114	0.3365517556667328	0.10845675	No	
row_259	ENSG00000109452	2118	0.3364112973213196	0.10875022	No	
row_260	ENSG00000243444	2122	0.3361581861972809	0.1090432	No	
