NAME	TITLE	SCORE	
ENSG00000235082		6.6610084	
ENSG00000214975		4.9616003	
ENSG00000229097		3.852638	
ENSG00000236801		3.61564	
ENSG00000213763		2.6533751	
ENSG00000238000		2.639122	
ENSG00000225159		2.1082914	
ENSG00000172974		1.8534472	
ENSG00000247595		1.7110107	
ENSG00000233270		1.6658554	
ENSG00000185641		1.6492049	
ENSG00000236698		1.545008	
ENSG00000217241		1.4187459	
ENSG00000226221		1.415074	
ENSG00000072818		1.4059424	
ENSG00000232472		1.397592	
ENSG00000225573		1.3899436	
ENSG00000228446		1.3866304	
ENSG00000231245		1.3749757	
ENSG00000232645		1.3156525	
ENSG00000249485		1.3109643	
ENSG00000230673		1.3082927	
ENSG00000213839		1.2874864	
ENSG00000261377		1.2570187	
ENSG00000284106		1.2465003	
ENSG00000250222		1.2437917	
ENSG00000139239		1.2320377	
ENSG00000196656		1.2293135	
ENSG00000217094		1.2160473	
ENSG00000228502		1.2075603	
ENSG00000137434		1.2050136	
ENSG00000232187		1.1936904	
ENSG00000189157		1.1914583	
ENSG00000231991		1.1818048	
ENSG00000177855		1.1810669	
ENSG00000224905		1.1682813	
ENSG00000224831		1.1599294	
ENSG00000229119		1.1332988	
ENSG00000278771		1.1040106	
ENSG00000226266		1.0751901	
ENSG00000232454		1.0670605	
ENSG00000235084		1.0620464	
ENSG00000271913		1.0553317	
ENSG00000179476		1.0533142	
ENSG00000240036		1.050077	
ENSG00000237350		1.0448469	
ENSG00000233762		1.0423294	
ENSG00000137463		1.0397962	
ENSG00000204334		1.0388517	
ENSG00000232346		1.0326989	
ENSG00000213080		1.0319986	
ENSG00000276259		1.0267631	
ENSG00000229932		1.0190798	
ENSG00000186076		1.0165145	
ENSG00000179967		1.0150117	
ENSG00000167193		1.0114838	
ENSG00000224411		1.0089464	
ENSG00000187824		1.0040675	
ENSG00000248278		1.0036583	
ENSG00000185250		0.9888794	
ENSG00000253341		0.97836894	
ENSG00000234975		0.96443236	
ENSG00000257511		0.94614905	
ENSG00000108370		0.93662953	
ENSG00000242125		0.93526584	
ENSG00000234782		0.9273925	
ENSG00000203865		0.9240835	
ENSG00000224738		0.92403835	
ENSG00000155970		0.9198463	
ENSG00000134058		0.919133	
ENSG00000152582		0.9119359	
ENSG00000280852		0.9000243	
ENSG00000233230		0.8880803	
ENSG00000273748		0.88781184	
ENSG00000260160		0.88625085	
ENSG00000223551		0.87535083	
ENSG00000161040		0.87057316	
ENSG00000215154		0.8635631	
ENSG00000112877		0.86355084	
ENSG00000069493		0.8615814	
ENSG00000218227		0.84557587	
ENSG00000204253		0.8366743	
ENSG00000141934		0.83563197	
ENSG00000218426		0.827257	
ENSG00000213433		0.8213683	
ENSG00000166503		0.82099295	
ENSG00000160219		0.8193871	
ENSG00000196205		0.8139176	
ENSG00000242071		0.813033	
ENSG00000239467		0.81153667	
ENSG00000198157		0.78913075	
ENSG00000102524		0.7536009	
ENSG00000234465		0.7508259	
ENSG00000129173		0.7499644	
ENSG00000240695		0.7499446	
ENSG00000144395		0.74655086	
ENSG00000061656		0.74306864	
ENSG00000139173		0.73979944	
ENSG00000227615		0.7357949	
ENSG00000156313		0.7349063	
ENSG00000090530		0.7327331	
ENSG00000228589		0.7292185	
ENSG00000206530		0.72845405	
ENSG00000137193		0.7220749	
ENSG00000179859		0.7200723	
ENSG00000224578		0.71158946	
ENSG00000250461		0.7111748	
ENSG00000118804		0.71052235	
ENSG00000175197		0.70048434	
ENSG00000250182		0.69588596	
ENSG00000237854		0.695797	
ENSG00000151014		0.6939306	
ENSG00000265972		0.69271564	
ENSG00000226471		0.6905368	
ENSG00000104863		0.6878612	
ENSG00000144554		0.6841016	
ENSG00000112379		0.6836077	
ENSG00000272525		0.68323326	
ENSG00000269821		0.678889	
ENSG00000217801		0.6748328	
ENSG00000260329		0.67255074	
ENSG00000240489		0.6697012	
ENSG00000233476		0.6688611	
ENSG00000265735		0.66869605	
ENSG00000271204		0.6680314	
ENSG00000176142		0.6669487	
ENSG00000254612		0.6516687	
ENSG00000227540		0.64822084	
ENSG00000128564		0.6414724	
ENSG00000109819		0.6342024	
ENSG00000229944		0.6328805	
ENSG00000231908		0.6324887	
ENSG00000136895		0.62683284	
ENSG00000085514		0.624871	
ENSG00000238113		0.62404054	
ENSG00000167550		0.6214971	
ENSG00000159915		0.618877	
ENSG00000177106		0.6176778	
ENSG00000261087		0.61590403	
ENSG00000257815		0.6108608	
ENSG00000253626		0.6072187	
ENSG00000013588		0.6052855	
ENSG00000144161		0.6044303	
ENSG00000163517		0.6042969	
ENSG00000249936		0.60392284	
ENSG00000170522		0.6028523	
ENSG00000188994		0.60087705	
