NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000006459	2	2.6763687133789062	0.003994391	Yes	
row_1	ENSG00000121039	6	2.431048631668091	0.0074829096	Yes	
row_2	ENSG00000137767	17	2.066094398498535	0.009567899	Yes	
row_3	ENSG00000133401	28	1.8145794868469238	0.011255314	Yes	
row_4	ENSG00000276141	31	1.7989391088485718	0.013862739	Yes	
row_5	ENSG00000011422	34	1.7809498310089111	0.016441729	Yes	
row_6	ENSG00000008513	36	1.753248691558838	0.019095022	Yes	
row_7	ENSG00000165113	40	1.710984468460083	0.021445327	Yes	
row_8	ENSG00000156804	46	1.6229814291000366	0.023420338	Yes	
row_9	ENSG00000074410	48	1.609845757484436	0.025846953	Yes	
row_10	ENSG00000232533	50	1.596685528755188	0.028252764	Yes	
row_11	ENSG00000250565	53	1.5677664279937744	0.030494772	Yes	
row_12	ENSG00000178607	56	1.5421022176742554	0.032696214	Yes	
row_13	ENSG00000188452	60	1.5177500247955322	0.034741066	Yes	
row_14	ENSG00000172986	67	1.4697054624557495	0.0363557	Yes	
row_15	ENSG00000156453	75	1.4416086673736572	0.03780783	Yes	
row_16	ENSG00000170293	78	1.4098619222640991	0.039800238	Yes	
row_17	ENSG00000260088	84	1.375996708869934	0.041384835	Yes	
row_18	ENSG00000026297	85	1.3720086812973022	0.04355359	Yes	
row_19	ENSG00000112379	88	1.365343451499939	0.045475625	Yes	
row_20	ENSG00000159733	90	1.3602373600006104	0.04750768	Yes	
row_21	ENSG00000145194	94	1.3388839960098267	0.0492698	Yes	
row_22	ENSG00000072682	98	1.318923830986023	0.051000364	Yes	
row_23	ENSG00000230747	100	1.3150262832641602	0.052960955	Yes	
row_24	ENSG00000233384	102	1.3113042116165161	0.05491566	Yes	
row_25	ENSG00000163590	105	1.3104839324951172	0.05675098	Yes	
row_26	ENSG00000168792	108	1.302268385887146	0.05857331	Yes	
row_27	ENSG00000170006	109	1.299933910369873	0.060628135	Yes	
row_28	ENSG00000167778	110	1.297131896018982	0.06267853	Yes	
row_29	ENSG00000186951	111	1.2965703010559082	0.06472804	Yes	
row_30	ENSG00000141664	115	1.2890615463256836	0.0664114	Yes	
row_31	ENSG00000090530	126	1.2610125541687012	0.06722378	Yes	
row_32	ENSG00000143772	131	1.246781587600708	0.068722226	Yes	
row_33	ENSG00000186352	146	1.2147198915481567	0.06898906	Yes	
row_34	ENSG00000106780	147	1.210547685623169	0.07090259	Yes	
row_35	ENSG00000086619	149	1.209187626838684	0.07269588	Yes	
row_36	ENSG00000197375	152	1.1947451829910278	0.07434825	Yes	
row_37	ENSG00000065923	159	1.175153136253357	0.075497285	Yes	
row_38	ENSG00000115295	161	1.1697735786437988	0.07722827	Yes	
row_39	ENSG00000276075	178	1.1427758932113647	0.077145204	Yes	
row_40	ENSG00000100077	179	1.1396782398223877	0.07894671	Yes	
row_41	ENSG00000173011	182	1.13633131980896	0.08050674	Yes	
row_42	ENSG00000157514	185	1.134061574935913	0.08206318	Yes	
row_43	ENSG00000135318	187	1.1301233768463135	0.083731495	Yes	
row_44	ENSG00000233429	188	1.1296913623809814	0.08551721	Yes	
row_45	ENSG00000100307	190	1.1288230419158936	0.08718347	Yes	
row_46	ENSG00000139508	196	1.1061204671859741	0.088341475	Yes	
row_47	ENSG00000053254	199	1.1011701822280884	0.089845926	Yes	
row_48	ENSG00000221890	201	1.0951383113861084	0.09145893	Yes	
row_49	ENSG00000064309	208	1.0879790782928467	0.09247017	Yes	
row_50	ENSG00000138744	209	1.0876930952072144	0.0941895	Yes	
row_51	ENSG00000141337	212	1.0842968225479126	0.09566728	Yes	
row_52	ENSG00000151348	214	1.0764715671539307	0.09725078	Yes	
row_53	ENSG00000197776	215	1.0696897506713867	0.09894166	Yes	
row_54	ENSG00000185129	216	1.0687339305877686	0.10063102	Yes	
row_55	ENSG00000082781	218	1.0673075914382935	0.10220004	Yes	
row_56	ENSG00000227855	220	1.0623633861541748	0.10376124	Yes	
row_57	ENSG00000130529	234	1.0427920818328857	0.10387441	Yes	
row_58	ENSG00000104419	244	1.0306748151779175	0.104440786	Yes	
row_59	ENSG00000168283	247	1.0284359455108643	0.10583026	Yes	
row_60	ENSG00000058063	256	1.0200482606887817	0.106497936	Yes	
row_61	ENSG00000157077	260	1.0124832391738892	0.107744105	Yes	
row_62	ENSG00000146281	265	1.005127191543579	0.10886056	Yes	
row_63	ENSG00000175426	266	1.0049898624420166	0.11044916	Yes	
row_64	ENSG00000111981	269	1.0016030073165894	0.11179622	Yes	
row_65	ENSG00000271133	270	1.0006983280181885	0.11337804	Yes	
row_66	ENSG00000249242	272	0.9999551177024841	0.1148406	Yes	
row_67	ENSG00000131149	279	0.9923324584960938	0.11570064	Yes	
row_68	ENSG00000155158	284	0.9811782240867615	0.11677924	Yes	
row_69	ENSG00000116678	290	0.9750769734382629	0.117730096	Yes	
row_70	ENSG00000139173	294	0.9725783467292786	0.11891319	Yes	
row_71	ENSG00000108551	306	0.965133011341095	0.11913978	Yes	
