NAME	TITLE	SCORE	
ENSG00000235082		6.8665123	
ENSG00000236801		6.7928424	
ENSG00000214975		6.53087	
ENSG00000229097		5.7572155	
ENSG00000213763		4.268464	
ENSG00000185641		3.2435951	
ENSG00000217094		3.210442	
ENSG00000072818		3.0814424	
ENSG00000253341		2.8816981	
ENSG00000238000		2.8492918	
ENSG00000226221		2.8283396	
ENSG00000186076		2.809755	
ENSG00000225159		2.8080025	
ENSG00000238103		2.6917808	
ENSG00000228912		2.648567	
ENSG00000284106		2.6189206	
ENSG00000229932		2.5561967	
ENSG00000254893		2.5425422	
ENSG00000231245		2.4695127	
ENSG00000225573		2.4025042	
ENSG00000224411		2.397938	
ENSG00000172974		2.3800576	
ENSG00000212664		2.3675036	
ENSG00000229119		2.365231	
ENSG00000214389		2.3447382	
ENSG00000232472		2.2758102	
ENSG00000224831		2.1539984	
ENSG00000232187		2.1088185	
ENSG00000250182		2.0926752	
ENSG00000217241		2.0899706	
ENSG00000218996		2.084369	
ENSG00000273748		2.007875	
ENSG00000236698		1.999729	
ENSG00000227615		1.9773623	
ENSG00000226360		1.9744991	
ENSG00000213261		1.9536963	
ENSG00000228502		1.9488773	
ENSG00000280852		1.9357786	
ENSG00000196656		1.925703	
ENSG00000218227		1.9229734	
ENSG00000228589		1.9153389	
ENSG00000232645		1.8954933	
ENSG00000183199		1.894327	
ENSG00000213080		1.8755352	
ENSG00000170965		1.868942	
ENSG00000231991		1.8575801	
ENSG00000232454		1.8441784	
ENSG00000249485		1.8344293	
ENSG00000218175		1.8297814	
ENSG00000233426		1.8249918	
ENSG00000180581		1.8209025	
ENSG00000226525		1.7918009	
ENSG00000233476		1.7686038	
ENSG00000237493		1.7480783	
ENSG00000242071		1.7449983	
ENSG00000240489		1.741609	
ENSG00000198406		1.6727055	
ENSG00000155970		1.6579754	
ENSG00000146677		1.6485821	
ENSG00000228232		1.6206125	
ENSG00000189157		1.6170027	
ENSG00000271913		1.6060765	
ENSG00000240036		1.5910153	
ENSG00000139239		1.5869268	
ENSG00000220842		1.5799977	
ENSG00000213433		1.5773525	
ENSG00000180574		1.5655335	
ENSG00000254598		1.5623899	
ENSG00000249264		1.5622047	
ENSG00000213839		1.5520946	
ENSG00000178464		1.5475619	
ENSG00000267751		1.5439994	
ENSG00000213860		1.5362748	
ENSG00000234797		1.5292188	
ENSG00000237350		1.5086234	
ENSG00000226266		1.5085582	
ENSG00000249286		1.5043398	
ENSG00000174827		1.4890586	
ENSG00000229944		1.4618706	
ENSG00000223551		1.4586024	
ENSG00000235655		1.4416406	
ENSG00000228929		1.4127806	
ENSG00000204253		1.4105045	
ENSG00000085511		1.3805895	
ENSG00000232573		1.3792431	
ENSG00000196205		1.3716046	
ENSG00000229638		1.3199191	
ENSG00000175782		1.3196586	
ENSG00000233762		1.3186783	
ENSG00000165028		1.3122143	
ENSG00000231908		1.3119187	
ENSG00000088448		1.3069717	
ENSG00000223361		1.3055882	
ENSG00000233913		1.299407	
ENSG00000226054		1.2972026	
ENSG00000235453		1.2961677	
ENSG00000232024		1.295686	
ENSG00000237854		1.286325	
ENSG00000244313		1.2852528	
ENSG00000127589		1.275276	
ENSG00000250461		1.2621387	
ENSG00000226415		1.2620827	
ENSG00000177839		1.2616132	
ENSG00000235297		1.2499521	
ENSG00000242960		1.2398744	
ENSG00000253626		1.23924	
ENSG00000218426		1.2333081	
ENSG00000229132		1.2202797	
ENSG00000131781		1.2002774	
ENSG00000137970		1.20015	
ENSG00000230896		1.1934665	
ENSG00000179476		1.1727437	
ENSG00000223803		1.1715069	
ENSG00000235363		1.1668503	
ENSG00000095574		1.1655303	
ENSG00000213553		1.1616727	
ENSG00000157890		1.1592046	
ENSG00000273156		1.1521837	
ENSG00000005189		1.1450194	
ENSG00000212802		1.1384374	
ENSG00000225178		1.1322826	
ENSG00000167193		1.1317111	
ENSG00000249222		1.1211661	
ENSG00000231841		1.1167382	
ENSG00000273448		1.113275	
ENSG00000214455		1.1096858	
ENSG00000257511		1.1086795	
ENSG00000144426		1.1069603	
ENSG00000260490		1.1068474	
ENSG00000214485		1.1063479	
ENSG00000146856		1.1003109	
ENSG00000163378		1.0948986	
ENSG00000260400		1.0939469	
ENSG00000120756		1.0847521	
ENSG00000224699		1.0846037	
ENSG00000182359		1.0835189	
ENSG00000235084		1.0805553	
ENSG00000241288		1.0750289	
ENSG00000234975		1.0727197	
ENSG00000248527		1.0689775	
ENSG00000249936		1.0670644	
ENSG00000228305		1.0559566	
ENSG00000230673		1.0486401	
ENSG00000232593		1.0449014	
ENSG00000214110		1.0382396	
ENSG00000205771		1.0300683	
ENSG00000102524		1.0275803	
ENSG00000159915		1.0238162	
ENSG00000122873		1.0216819	
ENSG00000224837		1.0178437	
ENSG00000138134		0.9982328	
ENSG00000132199		0.99806476	
ENSG00000230202		0.9935103	
ENSG00000245275		0.9934607	
ENSG00000277998		0.99208206	
ENSG00000242299		0.9906161	
ENSG00000283041		0.98831445	
ENSG00000271204		0.9874834	
ENSG00000276115		0.97830474	
ENSG00000254612		0.97235084	
ENSG00000204177		0.9719834	
ENSG00000224897		0.9696991	
ENSG00000231767		0.9573787	
ENSG00000236552		0.9564191	
ENSG00000241506		0.9551375	
ENSG00000198225		0.9524106	
ENSG00000224905		0.94524527	
ENSG00000225265		0.9449285	
ENSG00000269821		0.9413006	
ENSG00000065029		0.94009036	
ENSG00000272807		0.93828505	
ENSG00000116641		0.93564945	
ENSG00000219507		0.93277514	
ENSG00000223960		0.9277129	
ENSG00000069493		0.9190158	
ENSG00000151320		0.9174242	
ENSG00000179454		0.91723245	
ENSG00000263266		0.90969175	
ENSG00000109452		0.9075327	
ENSG00000140386		0.9041026	
ENSG00000273271		0.9024756	
ENSG00000127914		0.8972416	
ENSG00000248483		0.89701766	
ENSG00000189144		0.8960171	
ENSG00000171262		0.89573616	
ENSG00000272420		0.89467514	
ENSG00000266904		0.89102703	
ENSG00000267419		0.87214035	
ENSG00000281501		0.8618061	
ENSG00000102271		0.85564065	
ENSG00000225791		0.8538628	
ENSG00000205309		0.8520833	
ENSG00000164576		0.8520019	
ENSG00000051180		0.84959346	
ENSG00000263535		0.8414212	
ENSG00000162999		0.83951926	
ENSG00000255471		0.8389596	
ENSG00000198157		0.83556753	
ENSG00000244119		0.8332613	
ENSG00000240032		0.83320034	
ENSG00000151014		0.8313017	
ENSG00000256667		0.8289279	
ENSG00000161040		0.82149625	
ENSG00000226686		0.8201665	
ENSG00000251247		0.8189395	
ENSG00000197776		0.81840557	
ENSG00000258427		0.8150252	
ENSG00000152380		0.81500536	
ENSG00000154654		0.8146517	
ENSG00000156500		0.8146274	
ENSG00000259972		0.81366235	
ENSG00000144224		0.81089133	
ENSG00000213047		0.80749625	
ENSG00000247595		0.80685663	
ENSG00000224032		0.8041973	
ENSG00000175066		0.7993227	
ENSG00000130559		0.79807526	
ENSG00000148459		0.7970022	
ENSG00000166192		0.796525	
ENSG00000198162		0.7945813	
ENSG00000152942		0.7921864	
ENSG00000123219		0.78994584	
ENSG00000167992		0.78900236	
ENSG00000185261		0.788876	
ENSG00000048392		0.7884389	
ENSG00000258017		0.7877382	
ENSG00000172244		0.7826837	
ENSG00000115556		0.7787597	
