NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000276141	1	2.385810375213623	0.017568855	No	
row_1	ENSG00000260088	7	1.294858694076538	0.02657769	No	
row_2	ENSG00000217801	15	1.0876579284667969	0.033814285	No	
row_3	ENSG00000187556	16	1.0506608486175537	0.041603245	No	
row_4	ENSG00000113296	23	0.9554589986801147	0.047977887	No	
row_5	ENSG00000109771	31	0.8158666491508484	0.053199586	No	
row_6	ENSG00000157890	33	0.8078487515449524	0.05907039	No	
row_7	ENSG00000233006	38	0.7737898826599121	0.06433443	No	
row_8	ENSG00000247809	39	0.7315590381622314	0.06975777	No	
row_9	ENSG00000160219	42	0.705819308757782	0.0747541	No	
row_10	ENSG00000164002	54	0.6199638843536377	0.07805113	No	
row_11	ENSG00000238113	59	0.613971471786499	0.08213037	No	
row_12	ENSG00000218175	67	0.5726364254951477	0.08554891	No	
row_13	ENSG00000102934	78	0.5299325585365295	0.088296585	No	
row_14	ENSG00000140332	94	0.4833267629146576	0.090108305	No	
row_15	ENSG00000141574	108	0.4351121783256531	0.09179877	No	
row_16	ENSG00000215068	111	0.42054757475852966	0.09468027	No	
row_17	ENSG00000102452	112	0.41747912764549255	0.097775206	No	
row_18	ENSG00000231607	114	0.4121769666671753	0.10071275	No	
row_19	ENSG00000006459	116	0.40821558237075806	0.10362092	No	
row_20	ENSG00000106484	118	0.40534508228302	0.10650781	No	
row_21	ENSG00000159733	120	0.40275004506111145	0.109375454	No	
row_22	ENSG00000121211	130	0.37751689553260803	0.11111131	No	
row_23	ENSG00000179163	142	0.3590794503688812	0.1124743	No	
row_24	ENSG00000134897	143	0.357547402381897	0.11512494	No	
row_25	ENSG00000139173	190	0.31134527921676636	0.11200085	No	
row_26	ENSG00000143847	194	0.30670616030693054	0.11392031	No	
row_27	ENSG00000168283	205	0.298583984375	0.114952914	No	
row_28	ENSG00000116675	210	0.2960285246372223	0.11667512	No	
row_29	ENSG00000039319	216	0.2929297387599945	0.11825626	No	
row_30	ENSG00000164576	220	0.29000982642173767	0.12005195	No	
row_31	ENSG00000271133	223	0.2848743498325348	0.12192765	No	
row_32	ENSG00000178607	226	0.2822716236114502	0.12378406	No	
row_33	ENSG00000219626	231	0.2794628143310547	0.12538345	No	
row_34	ENSG00000181381	236	0.27547648549079895	0.1269533	No	
row_35	ENSG00000173890	241	0.2741391062736511	0.12851325	No	
row_36	ENSG00000106069	247	0.27133309841156006	0.12993428	No	
row_37	ENSG00000123096	249	0.27043822407722473	0.13182105	No	
row_38	ENSG00000143995	253	0.2683041989803314	0.13345583	No	
row_39	ENSG00000250303	256	0.26576533913612366	0.13518986	No	
row_40	ENSG00000160271	264	0.263420045375824	0.13631606	No	
row_41	ENSG00000162994	268	0.2606160342693329	0.13789383	No	
row_42	ENSG00000110171	271	0.25849008560180664	0.13957393	No	
row_43	ENSG00000196839	287	0.2519831359386444	0.13967061	No	
row_44	ENSG00000141337	292	0.24905751645565033	0.1410446	No	
row_45	ENSG00000116678	297	0.24832965433597565	0.1424132	No	
row_46	ENSG00000104611	305	0.2457476258277893	0.14340839	No	
row_47	ENSG00000148690	313	0.2431245595216751	0.14438412	No	
row_48	ENSG00000077044	314	0.24299295246601105	0.14618552	No	
row_49	ENSG00000167964	320	0.23948043584823608	0.14737043	No	
row_50	ENSG00000157617	325	0.2367457002401352	0.14865315	No	
row_51	ENSG00000139344	343	0.22773289680480957	0.14833386	No	
row_52	ENSG00000173320	344	0.22763915359973907	0.15002145	No	
row_53	ENSG00000166839	350	0.22414878010749817	0.1510927	No	
row_54	ENSG00000233384	354	0.22203734517097473	0.15238446	No	
row_55	ENSG00000261115	359	0.21871857345104218	0.15353355	No	
row_56	ENSG00000177738	366	0.2150089144706726	0.15441895	No	
row_57	ENSG00000163083	371	0.21403515338897705	0.1555333	No	
row_58	ENSG00000158292	376	0.21247617900371552	0.1566361	No	
row_59	ENSG00000125898	384	0.20981454849243164	0.15736489	No	
row_60	ENSG00000176171	400	0.20517167448997498	0.15711454	No	
row_61	ENSG00000179476	406	0.20225462317466736	0.15802348	No	
row_62	ENSG00000169299	410	0.2016209363937378	0.15916389	No	
row_63	ENSG00000181619	419	0.19877147674560547	0.15969273	No	
row_64	ENSG00000118402	420	0.19805143773555756	0.16116096	No	
row_65	ENSG00000157833	423	0.19694465398788452	0.16238481	No	
row_66	ENSG00000136826	424	0.19667188823223114	0.16384281	No	
row_67	ENSG00000186352	434	0.19503964483737946	0.16422589	No	
row_68	ENSG00000119397	436	0.19493858516216278	0.16555296	No	
row_69	ENSG00000129173	470	0.1849454939365387	0.163027	No	
row_70	ENSG00000138744	483	0.18122296035289764	0.16295339	No	
row_71	ENSG00000233237	492	0.17887815833091736	0.16333474	No	
row_72	ENSG00000139318	495	0.17801184952259064	0.16441824	No	
row_73	ENSG00000123104	521	0.17034026980400085	0.16272874	No	
row_74	ENSG00000136895	523	0.16955940425395966	0.16386767	No	
row_75	ENSG00000181264	527	0.1687130331993103	0.16476412	No	
row_76	ENSG00000158169	531	0.16819237172603607	0.16565673	No	
row_77	ENSG00000104067	533	0.16786625981330872	0.1667831	No	
row_78	ENSG00000138785	536	0.1676064431667328	0.16778944	No	
row_79	ENSG00000233429	537	0.1675991415977478	0.16903192	No	
row_80	ENSG00000186088	547	0.16612637042999268	0.16920066	No	
row_81	ENSG00000135838	549	0.16591237485408783	0.17031254	No	
row_82	ENSG00000160746	561	0.1642063558101654	0.17023085	No	
row_83	ENSG00000152503	576	0.16105639934539795	0.16977155	No	
row_84	ENSG00000103942	579	0.16063691675662994	0.17072622	No	
row_85	ENSG00000147894	581	0.16041922569274902	0.17179738	No	
row_86	ENSG00000157734	603	0.15730121731758118	0.1704836	No	
row_87	ENSG00000137563	610	0.15664827823638916	0.17093635	No	
row_88	ENSG00000157680	613	0.15655674040317535	0.17186077	No	
row_89	ENSG00000150527	618	0.15578986704349518	0.17254335	No	
row_90	ENSG00000173588	635	0.15365107357501984	0.17179295	No	
row_91	ENSG00000128683	638	0.1534212976694107	0.17269413	No	
row_92	ENSG00000175471	646	0.1522539108991623	0.17299621	No	
row_93	ENSG00000136943	650	0.1518697440624237	0.1737678	No	
row_94	ENSG00000164542	662	0.15051817893981934	0.17358465	No	
row_95	ENSG00000100077	675	0.14908240735530853	0.17327276	No	
row_96	ENSG00000134070	712	0.14401957392692566	0.17008914	No	
row_97	ENSG00000143801	718	0.1429474651813507	0.17055841	No	
row_98	ENSG00000230747	737	0.14038965106010437	0.16947351	No	
row_99	ENSG00000086619	742	0.13966161012649536	0.17003651	No	
row_100	ENSG00000166833	745	0.1394129991531372	0.17083386	No	
row_101	ENSG00000143320	746	0.13932359218597412	0.17186671	No	
row_102	ENSG00000054654	751	0.13904529809951782	0.17242515	No	
row_103	ENSG00000239445	771	0.13670560717582703	0.17119485	No	
row_104	ENSG00000095066	773	0.13644756376743317	0.17208831	No	
row_105	ENSG00000197461	779	0.1353909969329834	0.17250155	No	
row_106	ENSG00000103707	782	0.1353462189435959	0.17326875	No	
row_107	ENSG00000142634	792	0.13432511687278748	0.17320172	No	
row_108	ENSG00000136052	802	0.13326196372509003	0.17312682	No	
