NAME	TITLE	SCORE	
ENSG00000223803		4.693894	
ENSG00000106976		2.8673432	
ENSG00000072818		2.8533194	
ENSG00000226221		2.3680623	
ENSG00000225573		2.163625	
ENSG00000236801		1.8704422	
ENSG00000170161		1.7567793	
ENSG00000234782		1.6689932	
ENSG00000263563		1.3698052	
ENSG00000198046		1.259215	
ENSG00000074416		1.2368622	
ENSG00000061656		1.1708664	
ENSG00000180806		1.1282935	
ENSG00000237350		1.0883029	
ENSG00000267419		1.0881844	
ENSG00000251580		1.0164706	
ENSG00000239213		1.0149044	
ENSG00000225159		1.0032531	
ENSG00000278041		0.97675633	
ENSG00000277998		0.950789	
ENSG00000232573		0.92670596	
ENSG00000232888		0.92512006	
ENSG00000196263		0.9034997	
ENSG00000248278		0.8967038	
ENSG00000227615		0.86954933	
ENSG00000173531		0.8646759	
ENSG00000166153		0.863851	
ENSG00000205771		0.85934347	
ENSG00000235043		0.8484769	
ENSG00000231767		0.84751236	
ENSG00000179988		0.82848746	
ENSG00000196668		0.8143764	
ENSG00000259673		0.803572	
ENSG00000278784		0.7916489	
ENSG00000164241		0.78967166	
ENSG00000226314		0.7801282	
ENSG00000134058		0.7680302	
ENSG00000112981		0.75539595	
ENSG00000226310		0.7550062	
ENSG00000139132		0.74985945	
ENSG00000120915		0.73727787	
ENSG00000214223		0.73510444	
ENSG00000166575		0.7331266	
ENSG00000243444		0.731584	
ENSG00000154102		0.7193808	
ENSG00000258741		0.70499045	
ENSG00000213178		0.7015493	
ENSG00000224831		0.6921028	
ENSG00000104450		0.6875691	
ENSG00000266993		0.6871048	
ENSG00000213433		0.68668294	
ENSG00000247595		0.6575434	
ENSG00000238000		0.6444972	
ENSG00000228265		0.6422519	
ENSG00000154240		0.63433886	
ENSG00000235084		0.63237375	
ENSG00000225138		0.6292217	
ENSG00000240489		0.6203851	
ENSG00000214796		0.6172906	
ENSG00000170468		0.6167138	
ENSG00000225131		0.61647874	
ENSG00000213801		0.61637133	
ENSG00000141934		0.61283	
ENSG00000186076		0.6059763	
ENSG00000185418		0.5972722	
ENSG00000144554		0.58969367	
ENSG00000165113		0.5832578	
ENSG00000174501		0.5757374	
ENSG00000260160		0.56560355	
ENSG00000186364		0.5625558	
ENSG00000189143		0.5571844	
ENSG00000011422		0.5571079	
ENSG00000235423		0.5502636	
ENSG00000167992		0.5488301	
ENSG00000235082		0.5486877	
ENSG00000197497		0.54548264	
ENSG00000235884		0.5431222	
ENSG00000131069		0.5430094	
ENSG00000064547		0.542351	
ENSG00000156453		0.5391095	
ENSG00000223705		0.53012156	
ENSG00000105649		0.52474475	
ENSG00000226380		0.5216299	
ENSG00000136943		0.52098936	
ENSG00000143847		0.52075934	
ENSG00000170006		0.51913595	
ENSG00000263272		0.51655763	
ENSG00000213839		0.5139752	
ENSG00000189343		0.5130593	
ENSG00000240032		0.5105679	
ENSG00000184068		0.50950515	
ENSG00000180574		0.50733596	
ENSG00000235590		0.5049884	
ENSG00000212664		0.5012971	
ENSG00000256742		0.5012448	
ENSG00000113108		0.5003766	
ENSG00000127423		0.49542898	
ENSG00000169598		0.4946916	
ENSG00000065054		0.49428585	
ENSG00000140326		0.49208888	
ENSG00000223509		0.49016365	
ENSG00000279673		0.47769997	
ENSG00000169710		0.47475174	
ENSG00000127125		0.47388744	
ENSG00000138162		0.47297204	
ENSG00000134490		0.47279742	
ENSG00000071539		0.46751556	
ENSG00000122966		0.46672368	
ENSG00000143891		0.46348044	
ENSG00000151131		0.4630099	
ENSG00000102098		0.4608053	
ENSG00000154134		0.45915312	
ENSG00000198467		0.45744598	
ENSG00000197696		0.45527712	
ENSG00000085117		0.45330393	
ENSG00000273723		0.45162404	
ENSG00000175567		0.4506692	
ENSG00000256061		0.4465331	
ENSG00000175697		0.44575712	
ENSG00000109113		0.44517606	
ENSG00000157510		0.44297233	
ENSG00000229980		0.4424777	
ENSG00000124549		0.441072	
ENSG00000260490		0.43967998	
ENSG00000236924		0.4383184	
ENSG00000196605		0.43449008	
ENSG00000261377		0.43088827	
ENSG00000249264		0.43056083	
ENSG00000161996		0.42976737	
ENSG00000229944		0.42894003	
ENSG00000167280		0.42885298	
ENSG00000112877		0.42860758	
ENSG00000239569		0.42651948	
ENSG00000245571		0.42572588	
ENSG00000125967		0.42472497	
ENSG00000104611		0.4235702	
ENSG00000144535		0.42217717	
ENSG00000146410		0.4218565	
ENSG00000010295		0.42054057	
ENSG00000158402		0.41914243	
ENSG00000245532		0.41799068	
ENSG00000218175		0.41698304	
ENSG00000173209		0.41429612	
ENSG00000100532		0.41350758	
ENSG00000168476		0.41112292	
ENSG00000168078		0.41065198	
ENSG00000118961		0.40953037	
ENSG00000244627		0.40880442	
ENSG00000166451		0.4086189	
ENSG00000184988		0.4067277	
ENSG00000196656		0.40651733	
ENSG00000130529		0.40468463	
ENSG00000100416		0.40467757	
ENSG00000214021		0.4040071	
ENSG00000148341		0.4038025	
ENSG00000248866		0.40360424	
ENSG00000261115		0.4023985	
ENSG00000165323		0.4019224	
ENSG00000255284		0.40156922	
ENSG00000239697		0.39957908	
ENSG00000154920		0.39880437	
ENSG00000051009		0.39872456	
ENSG00000135124		0.39840978	
ENSG00000157978		0.39708808	
