NAME	TITLE	SCORE	
ENSG00000228912		5.447751	
ENSG00000175741		2.6533484	
ENSG00000228106		2.6467419	
ENSG00000213453		2.4359107	
ENSG00000273306		1.9457716	
ENSG00000274421		1.7254353	
ENSG00000261008		1.5121976	
ENSG00000250299		1.4509646	
ENSG00000272807		1.4499805	
ENSG00000198707		1.4236118	
ENSG00000184588		1.4001508	
ENSG00000239445		1.3345886	
ENSG00000138778		1.2762101	
ENSG00000256464		1.2621728	
ENSG00000251562		1.2490561	
ENSG00000247595		1.228623	
ENSG00000198786		1.2097847	
ENSG00000212907		1.1979426	
ENSG00000250461		1.1618913	
ENSG00000234518		1.1272224	
ENSG00000245532		1.0981199	
ENSG00000175265		1.0826763	
ENSG00000253553		1.0423137	
ENSG00000235082		1.0316737	
ENSG00000144395		1.0279808	
ENSG00000156042		1.0222499	
ENSG00000196912		1.0048004	
ENSG00000228049		0.99890167	
ENSG00000264112		0.9821223	
ENSG00000206530		0.97745305	
ENSG00000238103		0.9749318	
ENSG00000184903		0.96075666	
ENSG00000072818		0.92685026	
ENSG00000198727		0.9080757	
ENSG00000162755		0.9043515	
ENSG00000276115		0.90234816	
ENSG00000073849		0.89154005	
ENSG00000198886		0.89079714	
ENSG00000132199		0.8775964	
ENSG00000123066		0.8763684	
ENSG00000279557		0.86950064	
ENSG00000230673		0.8682464	
ENSG00000271895		0.8637052	
ENSG00000229989		0.8608599	
ENSG00000213366		0.8565698	
ENSG00000189144		0.84962225	
ENSG00000173230		0.83379096	
ENSG00000198899		0.831614	
ENSG00000242960		0.8306578	
ENSG00000233264		0.8250438	
ENSG00000257354		0.82429296	
ENSG00000085514		0.8169958	
ENSG00000107201		0.80993116	
ENSG00000117724		0.80951744	
ENSG00000061656		0.8095169	
ENSG00000258427		0.80465585	
ENSG00000139675		0.80178386	
ENSG00000261377		0.79844683	
ENSG00000166432		0.7967046	
ENSG00000198712		0.79078394	
ENSG00000124224		0.7895311	
ENSG00000176225		0.78927517	
ENSG00000102524		0.7888868	
ENSG00000114857		0.78557485	
ENSG00000198763		0.7765807	
ENSG00000113296		0.7748724	
ENSG00000197124		0.76819545	
ENSG00000007944		0.7624977	
ENSG00000102934		0.7614227	
ENSG00000132510		0.7599004	
ENSG00000226310		0.7594252	
ENSG00000198888		0.75634325	
ENSG00000197386		0.7509328	
ENSG00000170379		0.7491051	
ENSG00000278238		0.74106693	
ENSG00000179476		0.740078	
ENSG00000228253		0.7392402	
ENSG00000108474		0.73585796	
ENSG00000250061		0.735644	
ENSG00000198840		0.734893	
