NAME	TITLE	SCORE	
ENSG00000283390		9.60237	
ENSG00000250061		5.6162844	
ENSG00000258427		5.199896	
ENSG00000258102		4.012971	
ENSG00000226976		2.9378784	
ENSG00000224858		2.2306068	
ENSG00000226608		2.212822	
ENSG00000258704		2.1391246	
ENSG00000277998		2.1077104	
ENSG00000273061		2.030829	
ENSG00000282105		2.0268154	
ENSG00000253553		2.015778	
ENSG00000137434		1.9773211	
ENSG00000078403		1.9346792	
ENSG00000141574		1.8861237	
ENSG00000235082		1.7943763	
ENSG00000223361		1.7597262	
ENSG00000101255		1.7429231	
ENSG00000130513		1.7356141	
ENSG00000109113		1.7327936	
ENSG00000231908		1.7020139	
ENSG00000235363		1.6746345	
ENSG00000125740		1.6744423	
ENSG00000273723		1.6604708	
ENSG00000181019		1.6562437	
ENSG00000111275		1.585985	
ENSG00000232888		1.520459	
ENSG00000234498		1.5191169	
ENSG00000196839		1.4974715	
ENSG00000151012		1.4968796	
ENSG00000229132		1.4821563	
ENSG00000166153		1.4706919	
ENSG00000128965		1.4656361	
ENSG00000112379		1.4651283	
ENSG00000214975		1.4618863	
ENSG00000164932		1.4515566	
ENSG00000198431		1.4357616	
ENSG00000023909		1.4250566	
ENSG00000224831		1.4155241	
ENSG00000218996		1.4061048	
ENSG00000183072		1.3873785	
ENSG00000111981		1.3855731	
ENSG00000261889		1.3623441	
ENSG00000108551		1.3417425	
ENSG00000133134		1.3265362	
ENSG00000226686		1.3220327	
ENSG00000269427		1.3187898	
ENSG00000229097		1.3175979	
ENSG00000211445		1.3039025	
ENSG00000108448		1.3022497	
ENSG00000155962		1.2836876	
ENSG00000105499		1.2750621	
ENSG00000175592		1.2599691	
ENSG00000141934		1.2580798	
ENSG00000159733		1.2545213	
ENSG00000130766		1.2542424	
ENSG00000234782		1.2489146	
ENSG00000137463		1.2334011	
ENSG00000215190		1.2267252	
ENSG00000219507		1.2222773	
ENSG00000146677		1.2204312	
ENSG00000189157		1.2179765	
ENSG00000061656		1.2147205	
ENSG00000144554		1.2071176	
ENSG00000239523		1.169662	
ENSG00000137767		1.1695266	
ENSG00000187556		1.1653634	
ENSG00000131389		1.164829	
ENSG00000100490		1.1586412	
ENSG00000051180		1.1461571	
ENSG00000211584		1.1380732	
ENSG00000175197		1.1305292	
ENSG00000278771		1.1252375	
ENSG00000249222		1.124934	
ENSG00000106948		1.1125807	
ENSG00000087086		1.1049222	
ENSG00000175567		1.0996071	
ENSG00000115295		1.0849645	
ENSG00000104863		1.0723587	
ENSG00000167550		1.0688306	
ENSG00000176142		1.0599014	
ENSG00000122966		1.0576435	
ENSG00000023445		1.0461056	
ENSG00000116761		1.0395738	
ENSG00000065911		1.0373063	
ENSG00000167995		1.0220592	
ENSG00000253341		1.0194743	
ENSG00000142046		1.0170677	
ENSG00000168209		1.0120226	
ENSG00000137193		1.0080336	
ENSG00000217094		1.0055517	
ENSG00000143819		1.0011274	
ENSG00000175906		1.0004351	
ENSG00000128564		0.99771917	
ENSG00000078487		0.99637794	
ENSG00000259673		0.9947649	
ENSG00000185418		0.9936094	
ENSG00000064763		0.99300194	
ENSG00000077044		0.99207115	
ENSG00000106617		0.99058783	
ENSG00000198355		0.9808846	
ENSG00000168528		0.9805417	
ENSG00000120889		0.9803332	
ENSG00000161011		0.9761292	
ENSG00000213860		0.969921	
ENSG00000154920		0.96632457	
ENSG00000104687		0.9640947	
ENSG00000221926		0.963601	
ENSG00000138166		0.9597034	
ENSG00000269439		0.95471966	
ENSG00000091651		0.94702625	
ENSG00000197989		0.945208	
ENSG00000050438		0.9443744	
ENSG00000152078		0.9363467	
ENSG00000136810		0.9360217	
ENSG00000178105		0.93493795	
ENSG00000176046		0.9336596	
ENSG00000233476		0.9329997	
ENSG00000178607		0.9286487	
ENSG00000120875		0.91752756	
ENSG00000124107		0.9170001	
ENSG00000075234		0.91456324	
ENSG00000125347		0.9097269	
ENSG00000099875		0.9092982	
ENSG00000266921		0.90453154	
ENSG00000175536		0.9043712	
ENSG00000214455		0.90354717	
ENSG00000267939		0.90351385	
ENSG00000106976		0.9019729	
ENSG00000129173		0.9003123	
ENSG00000263766		0.89840347	
ENSG00000278390		0.89596593	
ENSG00000109854		0.8933976	
ENSG00000183010		0.8927155	
ENSG00000185697		0.88990957	
ENSG00000166682		0.88803536	
ENSG00000274561		0.8858052	
ENSG00000180385		0.8826317	
ENSG00000130158		0.8813197	
ENSG00000156787		0.8812846	
ENSG00000072954		0.88027483	
ENSG00000234741		0.8797595	
ENSG00000130695		0.8701634	
ENSG00000136982		0.8679865	
ENSG00000114107		0.86787176	
ENSG00000277806		0.8622932	
ENSG00000118620		0.8613548	
ENSG00000008513		0.86097646	
ENSG00000264608		0.8589658	
ENSG00000152942		0.8559076	
ENSG00000130844		0.8552477	
ENSG00000238000		0.8543922	
ENSG00000120756		0.85198	
ENSG00000284106		0.8506	
ENSG00000223745		0.85045075	
ENSG00000229980		0.8497742	
ENSG00000001084		0.84811705	
ENSG00000159885		0.8478322	
ENSG00000153879		0.84609514	
ENSG00000119703		0.84485966	
ENSG00000109674		0.84485734	
ENSG00000137941		0.8393607	
ENSG00000172244		0.8378918	
ENSG00000229944		0.8373363	
ENSG00000121039		0.8360613	
ENSG00000203705		0.8357112	
ENSG00000041988		0.8350619	
ENSG00000233426		0.8328279	
ENSG00000226564		0.82951856	
ENSG00000185437		0.8288561	
ENSG00000072818		0.8279539	
ENSG00000165891		0.8202444	
ENSG00000275441		0.8189475	
ENSG00000101040		0.8137928	
ENSG00000178464		0.813029	
ENSG00000111231		0.81162584	
ENSG00000213453		0.81095505	
ENSG00000086730		0.8104907	
ENSG00000177337		0.80974495	
ENSG00000082196		0.8089083	
ENSG00000283041		0.8056105	
ENSG00000087074		0.7995807	
ENSG00000063438		0.7987535	
ENSG00000226054		0.7926609	
ENSG00000242715		0.787158	
ENSG00000231999		0.78650004	
ENSG00000122861		0.7856786	
ENSG00000225178		0.7849691	
ENSG00000171928		0.7837647	
ENSG00000140545		0.78267145	
ENSG00000166833		0.7789793	
ENSG00000101210		0.7784069	
ENSG00000105835		0.77526975	
ENSG00000157613		0.77483374	
ENSG00000070501		0.770928	
ENSG00000146410		0.76914376	
ENSG00000120915		0.76908755	
ENSG00000228049		0.7684518	
ENSG00000246174		0.767926	
ENSG00000219747		0.7657462	
ENSG00000217801		0.76520073	
ENSG00000159208		0.7646756	
ENSG00000051108		0.76408285	
ENSG00000167964		0.7616896	
ENSG00000167996		0.76122665	
ENSG00000203865		0.7606058	
ENSG00000114115		0.7574704	
ENSG00000160447		0.7560774	
ENSG00000124171		0.7555639	
ENSG00000117479		0.74925244	
ENSG00000213930		0.7486207	
ENSG00000139714		0.7465158	
ENSG00000085514		0.74506617	
ENSG00000154277		0.7437502	
ENSG00000267041		0.74366874	
ENSG00000109819		0.74308276	
ENSG00000138646		0.74038655	
ENSG00000273254		0.73852116	
ENSG00000204334		0.73391354	
ENSG00000184205		0.7337757	
ENSG00000106538		0.7329271	
ENSG00000185100		0.7328511	
ENSG00000224183		0.73185	
ENSG00000246263		0.7318361	
ENSG00000196466		0.7318247	
ENSG00000133731		0.73023397	
ENSG00000135047		0.7296793	
ENSG00000134070		0.72825587	
ENSG00000088451		0.7281612	
ENSG00000103253		0.7257388	
ENSG00000226380		0.72482926	
ENSG00000129521		0.7233244	
ENSG00000181472		0.7232973	
ENSG00000175213		0.7228378	
ENSG00000104856		0.7217359	
ENSG00000239213		0.72131294	
ENSG00000164406		0.72102237	
ENSG00000164823		0.72014356	
ENSG00000106105		0.7186843	
ENSG00000231841		0.7167966	
ENSG00000186815		0.71631855	
ENSG00000240032		0.7154869	
ENSG00000270820		0.7151972	
ENSG00000156453		0.7135088	
ENSG00000279602		0.71238595	
ENSG00000145390		0.7119985	
ENSG00000177602		0.7119765	
ENSG00000153975		0.7117045	
ENSG00000175265		0.7091089	
ENSG00000236801		0.7083978	
ENSG00000101898		0.7083557	
ENSG00000197872		0.7082829	
ENSG00000172216		0.70643425	
ENSG00000246273		0.7040451	
ENSG00000153044		0.70304334	
ENSG00000139132		0.70237917	
ENSG00000159023		0.7007074	
ENSG00000255857		0.70019615	
ENSG00000180806		0.69990593	
ENSG00000164182		0.69770074	
ENSG00000232931		0.69760454	
ENSG00000136717		0.6971604	
ENSG00000166986		0.6942828	
ENSG00000183199		0.69302666	
ENSG00000163931		0.69129026	
ENSG00000171227		0.6892901	
ENSG00000260916		0.68668336	
ENSG00000189144		0.6863771	
ENSG00000121897		0.6860201	
ENSG00000144476		0.6853975	
ENSG00000234420		0.6850504	
ENSG00000179859		0.68423104	
ENSG00000102098		0.68357444	
ENSG00000158480		0.6827428	
ENSG00000105327		0.6825416	
ENSG00000249859		0.68224883	
ENSG00000163171		0.6804024	
ENSG00000226266		0.67900276	
ENSG00000137821		0.6789463	
ENSG00000157890		0.6788261	
ENSG00000261087		0.67878073	
ENSG00000120539		0.6783994	
ENSG00000152056		0.6783243	
ENSG00000183814		0.6774862	
ENSG00000180764		0.67729974	
ENSG00000172167		0.6760146	
ENSG00000110092		0.67532945	
ENSG00000147894		0.6740832	
ENSG00000167371		0.67036635	
ENSG00000234545		0.66990465	
ENSG00000156802		0.6698779	
ENSG00000138658		0.6678275	
ENSG00000139117		0.6671462	
ENSG00000233382		0.6670927	
ENSG00000106366		0.6667957	
ENSG00000177410		0.6661989	
ENSG00000255717		0.66606	
ENSG00000162413		0.6660412	
ENSG00000173207		0.66523683	
ENSG00000120156		0.6645888	
ENSG00000147687		0.6636797	
ENSG00000108370		0.66241324	
ENSG00000205771		0.6619742	
ENSG00000237004		0.6619505	
ENSG00000268061		0.6615064	
ENSG00000138030		0.66080016	
ENSG00000170802		0.6600924	
ENSG00000101247		0.6597917	
ENSG00000139618		0.65966856	
ENSG00000100889		0.65699905	
ENSG00000111371		0.65683556	
ENSG00000111641		0.6565947	
ENSG00000280789		0.6560493	
ENSG00000175691		0.65520585	
ENSG00000228446		0.6551289	
ENSG00000183765		0.6549631	
ENSG00000143162		0.6538717	
ENSG00000146670		0.65376866	
ENSG00000086619		0.6537078	
ENSG00000105708		0.6526112	
ENSG00000090006		0.6517932	
ENSG00000127423		0.6516421	
ENSG00000174371		0.6508476	
ENSG00000102362		0.65066177	
ENSG00000142731		0.648965	
ENSG00000173020		0.6485047	
ENSG00000245614		0.646594	
ENSG00000183751		0.6461388	
ENSG00000104221		0.6440109	
ENSG00000171320		0.6430175	
ENSG00000110721		0.64253277	
ENSG00000137563		0.64133596	
ENSG00000196110		0.64083767	
