NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000231999	6	5.799657344818115	0.010263521	No	
row_1	ENSG00000106484	9	5.409693241119385	0.020261656	No	
row_2	ENSG00000110076	22	3.29825758934021	0.02508436	No	
row_3	ENSG00000237004	24	3.1515085697174072	0.030928444	No	
row_4	ENSG00000090006	26	2.958627223968506	0.036407627	No	
row_5	ENSG00000230747	29	2.846346139907837	0.0415563	No	
row_6	ENSG00000163083	41	2.3441085815429688	0.044691987	No	
row_7	ENSG00000197461	44	2.1905453205108643	0.048599984	No	
row_8	ENSG00000186907	50	2.0506913661956787	0.05188912	No	
row_9	ENSG00000233384	51	2.0156736373901367	0.05570247	No	
row_10	ENSG00000229950	52	2.0026304721832275	0.059491146	No	
row_11	ENSG00000110171	61	1.835983395576477	0.062019814	No	
row_12	ENSG00000125462	68	1.6798584461212158	0.0644893	No	
row_13	ENSG00000142046	72	1.6562092304229736	0.06726832	No	
row_14	ENSG00000187556	84	1.615045189857483	0.069024734	No	
row_15	ENSG00000239467	85	1.599660038948059	0.07205105	No	
row_16	ENSG00000221890	86	1.5991567373275757	0.07507641	No	
row_17	ENSG00000183072	93	1.550134539604187	0.07730048	No	
row_18	ENSG00000139200	96	1.5305789709091187	0.07995992	No	
row_19	ENSG00000158292	102	1.5042898654937744	0.082215354	No	
row_20	ENSG00000189157	114	1.4368677139282227	0.083634675	No	
row_21	ENSG00000138641	134	1.2911475896835327	0.08383359	No	
row_22	ENSG00000020577	142	1.268306016921997	0.08540639	No	
row_23	ENSG00000175697	143	1.2531397342681885	0.087777145	No	
row_24	ENSG00000148690	149	1.2377707958221436	0.08952836	No	
row_25	ENSG00000233237	150	1.2356882095336914	0.0918661	No	
row_26	ENSG00000135749	156	1.203120231628418	0.093551755	No	
row_27	ENSG00000238113	158	1.1966285705566406	0.09569751	No	
row_28	ENSG00000102934	159	1.187781572341919	0.09794461	No	
row_29	ENSG00000159713	169	1.1602964401245117	0.09907689	No	
row_30	ENSG00000276075	193	1.0707470178604126	0.098386474	No	
row_31	ENSG00000166833	196	1.0668208599090576	0.10016855	No	
row_32	ENSG00000136114	197	1.064120888710022	0.1021817	No	
row_33	ENSG00000276141	206	1.0488117933273315	0.10322116	No	
row_34	ENSG00000127920	239	0.9494420886039734	0.10123844	No	
row_35	ENSG00000165046	242	0.940790593624115	0.102782086	No	
row_36	ENSG00000161921	252	0.9257674813270569	0.10347067	No	
row_37	ENSG00000177738	253	0.9230679273605347	0.10521697	No	
row_38	ENSG00000063854	257	0.9160966873168945	0.106595814	No	
row_39	ENSG00000250303	260	0.9072293043136597	0.10807598	No	
row_40	ENSG00000135905	262	0.9056582450866699	0.10967125	No	
row_41	ENSG00000163806	275	0.8744522333145142	0.109908484	No	
row_42	ENSG00000156017	284	0.8474652767181396	0.110567026	No	
row_43	ENSG00000277778	298	0.8259097337722778	0.110594325	No	
row_44	ENSG00000158169	304	0.8190137147903442	0.11155332	No	
row_45	ENSG00000250565	312	0.8044877648353577	0.112248644	No	
row_46	ENSG00000105767	313	0.8011330962181091	0.11376427	No	
