NAME	TITLE	SCORE	
ENSG00000272677		7.065066	
ENSG00000235043		6.592713	
ENSG00000256464		6.4135976	
ENSG00000272009		6.30618	
ENSG00000258427		6.19377	
ENSG00000256742		5.8598056	
ENSG00000231999		5.7996573	
ENSG00000258429		5.688572	
ENSG00000250061		5.6239166	
ENSG00000106484		5.4096932	
ENSG00000232454		5.309227	
ENSG00000132005		5.299513	
ENSG00000253553		5.264454	
ENSG00000264808		5.1754847	
ENSG00000228205		5.0537457	
ENSG00000273306		4.8813124	
ENSG00000235297		4.394466	
ENSG00000196668		4.1984844	
ENSG00000171227		3.8431396	
ENSG00000155980		3.7773986	
ENSG00000217624		3.7245827	
ENSG00000253626		3.332425	
ENSG00000110076		3.2982576	
ENSG00000184209		3.2168107	
ENSG00000237004		3.1515086	
ENSG00000196152		2.9767435	
ENSG00000090006		2.9586272	
ENSG00000134058		2.9143245	
ENSG00000120318		2.8496838	
ENSG00000230747		2.8463461	
ENSG00000179912		2.8324273	
ENSG00000226396		2.8287365	
ENSG00000184708		2.784172	
ENSG00000178445		2.6803362	
ENSG00000164050		2.583929	
ENSG00000170468		2.5013227	
ENSG00000280237		2.456233	
ENSG00000231841		2.4333563	
ENSG00000054690		2.4301162	
ENSG00000224738		2.3816698	
ENSG00000248278		2.3447824	
ENSG00000163083		2.3441086	
ENSG00000166436		2.3354275	
ENSG00000242687		2.2617579	
ENSG00000197461		2.1905453	
ENSG00000176244		2.1893532	
ENSG00000039650		2.1605854	
ENSG00000177688		2.1282303	
ENSG00000196498		2.0904348	
ENSG00000232888		2.051356	
ENSG00000186907		2.0506914	
ENSG00000233384		2.0156736	
ENSG00000229950		2.0026305	
ENSG00000275464		1.9781936	
ENSG00000259891		1.9744179	
ENSG00000183850		1.9638847	
ENSG00000226686		1.9630127	
ENSG00000135451		1.9085574	
ENSG00000213801		1.8918148	
ENSG00000071282		1.8679672	
ENSG00000109111		1.8674486	
ENSG00000110171		1.8359834	
ENSG00000239213		1.8231381	
ENSG00000183199		1.7711174	
ENSG00000196150		1.7262279	
ENSG00000116128		1.7210487	
ENSG00000244119		1.708263	
ENSG00000075340		1.6940863	
ENSG00000125462		1.6798584	
ENSG00000242960		1.6717128	
ENSG00000213453		1.6670965	
ENSG00000267194		1.6605653	
ENSG00000142046		1.6562092	
ENSG00000055163		1.6524699	
ENSG00000227376		1.6522938	
ENSG00000073792		1.648722	
ENSG00000122966		1.6481487	
ENSG00000165480		1.6469198	
ENSG00000049192		1.641824	
ENSG00000226976		1.6365808	
ENSG00000239569		1.6344447	
ENSG00000128596		1.622369	
ENSG00000228288		1.6220399	
ENSG00000172273		1.618282	
ENSG00000187556		1.6150452	
ENSG00000239467		1.59966	
ENSG00000221890		1.5991567	
ENSG00000107331		1.590366	
ENSG00000137496		1.5769969	
ENSG00000198331		1.5745678	
ENSG00000253341		1.5713953	
ENSG00000149809		1.5603757	
ENSG00000159915		1.5501529	
ENSG00000183072		1.5501345	
ENSG00000198929		1.5476903	
ENSG00000244627		1.5337522	
ENSG00000139200		1.530579	
ENSG00000257103		1.5304688	
ENSG00000233264		1.5210246	
ENSG00000172974		1.5202135	
ENSG00000107371		1.5170358	
ENSG00000141934		1.5149726	
ENSG00000158292		1.5042899	
ENSG00000232995		1.4977725	
ENSG00000167528		1.4969546	
ENSG00000224411		1.4915432	
ENSG00000119574		1.4884561	
ENSG00000126001		1.4858027	
ENSG00000036672		1.4810904	
ENSG00000177106		1.4706149	
ENSG00000249592		1.4671859	
ENSG00000137434		1.4552916	
ENSG00000243406		1.454469	
ENSG00000103037		1.442868	
ENSG00000189157		1.4368677	
ENSG00000100350		1.4318371	
ENSG00000144395		1.4256815	
ENSG00000102858		1.3947021	
ENSG00000129534		1.3910987	
ENSG00000266904		1.3884467	
ENSG00000263535		1.377601	
ENSG00000271913		1.3632377	
ENSG00000262860		1.3564782	
ENSG00000089091		1.3548573	
ENSG00000223551		1.3525019	
ENSG00000090924		1.3500556	
ENSG00000185122		1.3462342	
ENSG00000256092		1.3452352	
ENSG00000130299		1.3288792	
ENSG00000076201		1.3282584	
ENSG00000143061		1.3220929	
ENSG00000140829		1.3124326	
ENSG00000187764		1.3051817	
ENSG00000266921		1.2946845	
ENSG00000138641		1.2911476	
ENSG00000167470		1.2906412	
ENSG00000171456		1.2875786	
ENSG00000080947		1.2813982	
ENSG00000145819		1.2793337	
ENSG00000141376		1.2786098	
ENSG00000149639		1.2754898	
ENSG00000120158		1.2724017	
ENSG00000020577		1.268306	
ENSG00000175697		1.2531397	
ENSG00000263272		1.2529793	
ENSG00000196263		1.2517408	
ENSG00000145088		1.251635	
ENSG00000236924		1.2495692	
ENSG00000121152		1.245623	
ENSG00000148690		1.2377708	
ENSG00000233237		1.2356882	
ENSG00000240509		1.2315729	
ENSG00000169762		1.2294505	
ENSG00000139354		1.2167549	
ENSG00000173451		1.2138703	
ENSG00000106404		1.2077417	
ENSG00000135749		1.2031202	
ENSG00000180764		1.1973711	
ENSG00000238113		1.1966286	
ENSG00000102934		1.1877816	
ENSG00000115556		1.1877571	
ENSG00000168476		1.1846228	
ENSG00000101181		1.183714	
ENSG00000065054		1.1827109	
ENSG00000186187		1.1775544	
