NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000110076	11	3.162905216217041	0.0033422483	No	
row_1	ENSG00000163083	16	3.065599203109741	0.007368351	No	
row_2	ENSG00000138744	19	2.932929277420044	0.011435957	No	
row_3	ENSG00000105696	26	2.57649564743042	0.0145081645	No	
row_4	ENSG00000198756	36	2.3067920207977295	0.016830333	No	
row_5	ENSG00000260088	43	2.0899925231933594	0.019188644	No	
row_6	ENSG00000110987	51	1.9089659452438354	0.021163225	No	
row_7	ENSG00000100077	66	1.6982266902923584	0.022001926	No	
row_8	ENSG00000124772	68	1.6903952360153198	0.024364324	No	
row_9	ENSG00000175879	72	1.6604595184326172	0.026446613	No	
row_10	ENSG00000238113	73	1.6517136096954346	0.028870342	No	
row_11	ENSG00000230185	80	1.6018847227096558	0.030512404	No	
row_12	ENSG00000106571	92	1.5567457675933838	0.03149777	No	
row_13	ENSG00000139631	93	1.5567189455032349	0.033782102	No	
row_14	ENSG00000091656	94	1.5550010204315186	0.036063917	No	
row_15	ENSG00000127423	103	1.484206199645996	0.03729711	No	
row_16	ENSG00000136826	107	1.4494718313217163	0.039069794	No	
row_17	ENSG00000180806	110	1.4004918336868286	0.040888697	No	
row_18	ENSG00000186907	115	1.3502933979034424	0.042397756	No	
row_19	ENSG00000065413	129	1.2927030324935913	0.04275948	No	
row_20	ENSG00000008513	137	1.2749186754226685	0.04380366	No	
row_21	ENSG00000159388	143	1.244326114654541	0.04503913	No	
row_22	ENSG00000121211	146	1.2419871091842651	0.04662544	No	
row_23	ENSG00000274213	153	1.2159559726715088	0.047701187	No	
row_24	ENSG00000156453	191	1.1058471202850342	0.04495452	No	
row_25	ENSG00000279602	195	1.1021161079406738	0.046217494	No	
row_26	ENSG00000135272	198	1.0956987142562866	0.047589142	No	
row_27	ENSG00000162772	200	1.0915467739105225	0.04907279	No	
row_28	ENSG00000010810	201	1.088045358657837	0.05066939	No	
row_29	ENSG00000181982	206	1.0795044898986816	0.05178109	No	
row_30	ENSG00000070366	215	1.0596812963485718	0.05239134	No	
row_31	ENSG00000228716	216	1.058684229850769	0.053944856	No	
row_32	ENSG00000205683	236	1.036073923110962	0.053221453	No	
row_33	ENSG00000237004	242	1.027732014656067	0.05413909	No	
row_34	ENSG00000106355	306	0.9272541403770447	0.048059974	No	
row_35	ENSG00000203724	308	0.923240065574646	0.049296647	No	
row_36	ENSG00000162783	315	0.9139689207077026	0.049929257	No	
row_37	ENSG00000108819	318	0.9109771251678467	0.051029846	No	
row_38	ENSG00000185483	323	0.9072669148445129	0.051888805	No	
row_39	ENSG00000235884	331	0.8995785713195801	0.05238221	No	
row_40	ENSG00000145362	339	0.8936455845832825	0.052866902	No	
row_41	ENSG00000147894	347	0.8847324848175049	0.05333852	No	
row_42	ENSG00000170545	357	0.8742265701293945	0.05355854	No	
row_43	ENSG00000152582	359	0.873353898525238	0.05472201	No	
row_44	ENSG00000113361	360	0.8720126152038574	0.056001604	No	
row_45	ENSG00000148700	389	0.8485609292984009	0.053940218	No	
row_46	ENSG00000127528	406	0.8316996693611145	0.05327119	No	
row_47	ENSG00000120278	426	0.8164622187614441	0.05222553	No	
row_48	ENSG00000183814	429	0.8136063814163208	0.053183235	No	
row_49	ENSG00000118402	430	0.8132804036140442	0.054376643	No	
row_50	ENSG00000189114	433	0.8123567700386047	0.055332515	No	
row_51	ENSG00000197183	441	0.8078984022140503	0.055691388	No	
