NAME	TITLE	SCORE	
ENSG00000224165		9.616863	
ENSG00000239523		6.514512	
ENSG00000250061		6.425632	
ENSG00000264608		5.9558916	
ENSG00000273061		5.1733484	
ENSG00000276529		5.1060843	
ENSG00000249222		4.1667395	
ENSG00000198576		3.9642947	
ENSG00000169302		3.764824	
ENSG00000085511		3.6822112	
ENSG00000266904		3.2840974	
ENSG00000110076		3.1629052	
ENSG00000248278		3.121919	
ENSG00000162944		3.1000648	
ENSG00000269439		3.0855505	
ENSG00000133624		3.067828	
ENSG00000163083		3.0655992	
ENSG00000236924		3.038348	
ENSG00000259366		3.028031	
ENSG00000138744		2.9329293	
ENSG00000187824		2.887607	
ENSG00000143333		2.7069478	
ENSG00000224905		2.6982422	
ENSG00000215386		2.6409266	
ENSG00000198157		2.6177619	
ENSG00000167992		2.5930622	
ENSG00000105696		2.5764956	
ENSG00000184068		2.5410433	
ENSG00000073605		2.5346458	
ENSG00000240695		2.482318	
ENSG00000278390		2.469423	
ENSG00000272420		2.4381692	
ENSG00000261008		2.4345665	
ENSG00000166682		2.3942728	
ENSG00000245275		2.3572307	
ENSG00000236801		2.3345613	
ENSG00000198756		2.306792	
ENSG00000140598		2.2703464	
ENSG00000275441		2.2217488	
ENSG00000264808		2.2195032	
ENSG00000224184		2.2185643	
ENSG00000244513		2.1596045	
ENSG00000271913		2.1116674	
ENSG00000260088		2.0899925	
ENSG00000240489		2.08654	
ENSG00000228049		2.0681756	
ENSG00000067533		2.026906	
ENSG00000235257		2.0135748	
ENSG00000162490		1.9359831	
ENSG00000223551		1.9203266	
ENSG00000165490		1.9123815	
ENSG00000110987		1.908966	
ENSG00000175040		1.902686	
ENSG00000250722		1.8726017	
ENSG00000109846		1.866899	
ENSG00000055163		1.8640677	
ENSG00000260160		1.8629212	
ENSG00000179750		1.8267938	
ENSG00000183763		1.8027313	
ENSG00000137496		1.8006283	
ENSG00000215158		1.7366781	
ENSG00000146670		1.7365714	
ENSG00000215067		1.7340751	
ENSG00000138092		1.7286583	
ENSG00000254726		1.7248676	
ENSG00000272009		1.7057536	
ENSG00000100077		1.6982267	
ENSG00000198840		1.692833	
ENSG00000124772		1.6903952	
ENSG00000178921		1.685364	
ENSG00000072818		1.6813059	
ENSG00000168026		1.6683271	
ENSG00000175879		1.6604595	
ENSG00000238113		1.6517136	
ENSG00000152942		1.6505314	
ENSG00000198695		1.6406085	
ENSG00000197299		1.6352967	
ENSG00000065328		1.6178873	
ENSG00000103995		1.6140963	
ENSG00000146410		1.605171	
ENSG00000230185		1.6018847	
ENSG00000227376		1.599676	
ENSG00000091651		1.5989156	
ENSG00000106246		1.5985364	
ENSG00000144161		1.5927398	
ENSG00000204815		1.5921394	
ENSG00000231841		1.5855151	
ENSG00000112877		1.5737501	
ENSG00000181544		1.56896	
ENSG00000276256		1.568233	
ENSG00000185480		1.563786	
ENSG00000260442		1.5573782	
ENSG00000106571		1.5567458	
ENSG00000139631		1.556719	
ENSG00000091656		1.555001	
ENSG00000205356		1.5484425	
ENSG00000167191		1.5150311	
ENSG00000172878		1.5103198	
ENSG00000188994		1.501421	
ENSG00000241015		1.4982792	
ENSG00000272054		1.4981556	
ENSG00000257576		1.4921161	
ENSG00000245213		1.48464	
ENSG00000127423		1.4842062	
ENSG00000002822		1.4827865	
ENSG00000256229		1.4815724	
ENSG00000203760		1.4787345	
ENSG00000136826		1.4494718	
ENSG00000083750		1.4442548	
ENSG00000130559		1.411758	
ENSG00000180806		1.4004918	
ENSG00000105327		1.3959825	
ENSG00000198093		1.3686259	
ENSG00000180385		1.3674322	
ENSG00000204934		1.362013	
ENSG00000186907		1.3502934	
ENSG00000258102		1.3446302	
ENSG00000229119		1.344379	
ENSG00000243406		1.344073	
ENSG00000241990		1.3411204	
ENSG00000117010		1.338562	
ENSG00000160207		1.3310448	
ENSG00000177602		1.3207614	
ENSG00000226396		1.318549	
ENSG00000147679		1.3081605	
ENSG00000144554		1.3076538	
ENSG00000187741		1.3070693	
ENSG00000073849		1.3023654	
ENSG00000163507		1.3014274	
ENSG00000065413		1.292703	
ENSG00000228446		1.2894304	
ENSG00000133119		1.2891237	
ENSG00000247572		1.2847533	
ENSG00000136982		1.282493	
ENSG00000235084		1.276777	
ENSG00000188312		1.2755172	
ENSG00000171320		1.2754277	
ENSG00000008513		1.2749187	
ENSG00000138180		1.2687166	
ENSG00000157933		1.2674427	
ENSG00000248527		1.2571541	
ENSG00000139618		1.2537935	
ENSG00000166881		1.247335	
ENSG00000159388		1.2443261	
ENSG00000177283		1.2424003	
ENSG00000164109		1.2421174	
ENSG00000121211		1.2419871	
ENSG00000100749		1.2418485	
ENSG00000196705		1.2405983	
ENSG00000049192		1.2365874	
ENSG00000100162		1.2269833	
ENSG00000129810		1.2217289	
ENSG00000154920		1.2201679	
ENSG00000274213		1.215956	
ENSG00000174371		1.2153339	
ENSG00000203865		1.2098879	
ENSG00000111247		1.205985	
ENSG00000184110		1.2055942	
ENSG00000262454		1.2019564	
ENSG00000242125		1.2019039	
ENSG00000182841		1.1993014	
ENSG00000160352		1.1980381	
ENSG00000178295		1.1915545	
ENSG00000116922		1.1836184	
ENSG00000138658		1.1827966	
ENSG00000179240		1.1815491	
ENSG00000130766		1.181013	
ENSG00000185730		1.1802706	
ENSG00000186871		1.1781526	
ENSG00000259865		1.1749294	
ENSG00000181026		1.1685977	
ENSG00000268403		1.1634924	
ENSG00000114767		1.1595956	
ENSG00000103599		1.1504982	
ENSG00000276600		1.1490682	
ENSG00000279865		1.1436224	
ENSG00000100629		1.1421949	
ENSG00000132740		1.1411208	
ENSG00000175782		1.1353278	
ENSG00000197275		1.132647	
ENSG00000123965		1.1271743	
ENSG00000173207		1.1257058	
ENSG00000215908		1.1244016	
ENSG00000182628		1.1232424	
ENSG00000127589		1.1164737	
ENSG00000278041		1.1139796	
ENSG00000072840		1.1121807	
ENSG00000113356		1.1115193	
ENSG00000204923		1.1112243	
ENSG00000267002		1.1104747	
ENSG00000167280		1.1072627	
ENSG00000156453		1.1058471	
ENSG00000104980		1.1037687	
ENSG00000014138		1.1032262	
ENSG00000214174		1.1030675	
ENSG00000279602		1.1021161	
ENSG00000205208		1.1012527	
ENSG00000149548		1.1007993	
ENSG00000135272		1.0956987	
ENSG00000221817		1.0925778	
ENSG00000162772		1.0915468	
ENSG00000010810		1.0880454	
ENSG00000206530		1.0874023	
ENSG00000146006		1.0870643	
ENSG00000166451		1.0831901	
ENSG00000137434		1.0796818	
ENSG00000181982		1.0795045	
ENSG00000234608		1.0791532	
ENSG00000132361		1.0791278	
ENSG00000165480		1.0778041	
ENSG00000133169		1.0771556	
ENSG00000175213		1.0771526	
ENSG00000172687		1.0742784	
ENSG00000100401		1.0714972	
ENSG00000106948		1.0703065	
ENSG00000070366		1.0596813	
ENSG00000228716		1.0586842	
ENSG00000158545		1.058614	
ENSG00000093009		1.0562352	
ENSG00000130856		1.0552298	
ENSG00000157600		1.0546188	
ENSG00000168661		1.0535407	
ENSG00000135951		1.0525928	
ENSG00000132510		1.052355	
ENSG00000185437		1.0505172	
ENSG00000234494		1.0498177	
ENSG00000171241		1.048208	
ENSG00000123485		1.046446	
ENSG00000160072		1.0460676	
ENSG00000213366		1.0435079	
ENSG00000141499		1.0434011	
ENSG00000183696		1.0425564	
ENSG00000104356		1.0406706	
ENSG00000127580		1.0395521	
ENSG00000130413		1.0391232	
ENSG00000235655		1.0385005	
ENSG00000205683		1.0360739	
ENSG00000156876		1.0337889	
ENSG00000133134		1.0337592	
