NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000120278	2	6.103100776672363	0.004280357	No	
row_1	ENSG00000156453	4	5.003026008605957	0.007864706	No	
row_2	ENSG00000125355	5	4.531594276428223	0.011218269	No	
row_3	ENSG00000172159	8	4.1724700927734375	0.014069882	No	
row_4	ENSG00000146674	18	3.475358724594116	0.015578963	No	
row_5	ENSG00000138166	21	3.2231156826019287	0.017728016	No	
row_6	ENSG00000170775	28	3.031697988510132	0.019263044	No	
row_7	ENSG00000003096	30	2.9770870208740234	0.021348117	No	
row_8	ENSG00000155816	32	2.9503283500671387	0.023413386	No	
row_9	ENSG00000198729	34	2.9220662117004395	0.025457742	No	
row_10	ENSG00000134461	35	2.9099936485290527	0.027611254	No	
row_11	ENSG00000189057	38	2.871854305267334	0.02950036	No	
row_12	ENSG00000076641	42	2.836014747619629	0.03124485	No	
row_13	ENSG00000197442	45	2.7546725273132324	0.033047237	No	
row_14	ENSG00000138650	49	2.7337732315063477	0.034716062	No	
row_15	ENSG00000113296	50	2.717668056488037	0.036727246	No	
row_16	ENSG00000171877	72	2.5024237632751465	0.036099218	No	
row_17	ENSG00000183098	74	2.4891185760498047	0.037823174	No	
row_18	ENSG00000125430	79	2.45955753326416	0.039170977	No	
row_19	ENSG00000118402	80	2.4522018432617188	0.040985707	No	
row_20	ENSG00000163935	95	2.3439314365386963	0.041067027	No	
row_21	ENSG00000185483	99	2.3267109394073486	0.04243461	No	
row_22	ENSG00000175305	105	2.282757043838501	0.043533485	No	
row_23	ENSG00000139318	118	2.1861307621002197	0.04373421	No	
row_24	ENSG00000143786	128	2.1445276737213135	0.044258423	No	
row_25	ENSG00000158164	149	2.051137685775757	0.043414515	No	
row_26	ENSG00000230798	151	2.027836561203003	0.044797104	No	
row_27	ENSG00000227051	157	1.987878441810608	0.04567776	No	
row_28	ENSG00000239445	158	1.9847123622894287	0.047146525	No	
row_29	ENSG00000023445	167	1.927200436592102	0.047627997	No	
row_30	ENSG00000058091	178	1.8942502737045288	0.047848903	No	
row_31	ENSG00000169129	180	1.8886808156967163	0.04912851	No	
row_32	ENSG00000244405	184	1.8818243741989136	0.05016686	No	
row_33	ENSG00000106066	209	1.7933820486068726	0.04865984	No	
row_34	ENSG00000180998	210	1.7933436632156372	0.049986985	No	
row_35	ENSG00000183814	213	1.7852154970169067	0.05107193	No	
row_36	ENSG00000129173	225	1.7541136741638184	0.05107104	No	
row_37	ENSG00000123552	229	1.749002456665039	0.052011095	No	
row_38	ENSG00000013619	241	1.716057300567627	0.05198204	No	
row_39	ENSG00000135049	242	1.7153266668319702	0.053251453	No	
row_40	ENSG00000123104	252	1.701700210571289	0.053447954	No	
row_41	ENSG00000081189	260	1.6789981126785278	0.05386384	No	
row_42	ENSG00000128710	274	1.6429595947265625	0.053544503	No	
row_43	ENSG00000127423	280	1.627596139907837	0.05415853	No	
row_44	ENSG00000185129	285	1.6132999658584595	0.05488007	No	
row_45	ENSG00000235884	290	1.6014853715896606	0.05559287	No	
row_46	ENSG00000100503	295	1.5914582014083862	0.056298245	No	
row_47	ENSG00000146263	299	1.5852206945419312	0.057117097	No	
row_48	ENSG00000197461	300	1.582932472229004	0.058288533	No	
row_49	ENSG00000088387	320	1.5423885583877563	0.05718622	No	
row_50	ENSG00000121039	324	1.5371270179748535	0.05796948	No	
row_51	ENSG00000185697	330	1.5233432054519653	0.05850636	No	
row_52	ENSG00000120875	338	1.512324571609497	0.058798898	No	
row_53	ENSG00000163637	355	1.4768754243850708	0.05800238	No	
row_54	ENSG00000112406	359	1.473203420639038	0.058738336	No	
row_55	ENSG00000112320	370	1.4498729705810547	0.058630385	No	
row_56	ENSG00000103528	375	1.4405289888381958	0.059224065	No	
row_57	ENSG00000134215	376	1.4392955303192139	0.060289204	No	
row_58	ENSG00000123570	379	1.43486487865448	0.061114877	No	
row_59	ENSG00000116574	381	1.4341940879821777	0.062058147	No	
row_60	ENSG00000118507	386	1.4267581701278687	0.06264164	No	
row_61	ENSG00000175471	387	1.4217743873596191	0.06369381	No	
row_62	ENSG00000228716	389	1.4116533994674683	0.0646204	No	
row_63	ENSG00000165046	402	1.3934835195541382	0.06423453	No	
row_64	ENSG00000132334	406	1.3900305032730103	0.06490894	No	
row_65	ENSG00000048052	408	1.38726007938385	0.065817475	No	
row_66	ENSG00000166262	413	1.3719335794448853	0.06636039	No	
row_67	ENSG00000145362	418	1.3656820058822632	0.06689869	No	
row_68	ENSG00000102098	419	1.3641542196273804	0.06790821	No	
row_69	ENSG00000006459	420	1.3638551235198975	0.06891752	No	
