NAME	TITLE	SCORE	
ENSG00000277806		6.318691	
ENSG00000264808		6.2249117	
ENSG00000120278		6.103101	
ENSG00000280237		5.7317114	
ENSG00000156453		5.003026	
ENSG00000125355		4.5315943	
ENSG00000102384		4.5076823	
ENSG00000189058		4.450782	
ENSG00000172159		4.17247	
ENSG00000266993		4.1554327	
ENSG00000227671		4.1227694	
ENSG00000231245		4.1044574	
ENSG00000276529		3.9116418	
ENSG00000165490		3.8352988	
ENSG00000169018		3.7351506	
ENSG00000163507		3.678381	
ENSG00000164440		3.583077	
ENSG00000129810		3.531097	
ENSG00000146674		3.4753587	
ENSG00000278041		3.4424095	
ENSG00000197429		3.3037186	
ENSG00000138166		3.2231157	
ENSG00000181544		3.183823	
ENSG00000143476		3.1404653	
ENSG00000186871		3.123835	
ENSG00000146757		3.084453	
ENSG00000224184		3.0804718	
ENSG00000086730		3.0717974	
ENSG00000170775		3.031698	
ENSG00000204923		3.0025525	
ENSG00000003096		2.977087	
ENSG00000168306		2.9515648	
ENSG00000155816		2.9503284	
ENSG00000198743		2.9343762	
ENSG00000198729		2.9220662	
ENSG00000134461		2.9099936	
ENSG00000197299		2.9022608	
ENSG00000101384		2.8894129	
ENSG00000189057		2.8718543	
ENSG00000197275		2.8701692	
ENSG00000174371		2.8544447	
ENSG00000163877		2.8406787	
ENSG00000076641		2.8360147	
ENSG00000012048		2.816467	
ENSG00000227354		2.7942383	
ENSG00000197442		2.7546725	
ENSG00000276256		2.7510822	
ENSG00000226380		2.7448316	
ENSG00000258017		2.7442374	
ENSG00000138650		2.7337732	
ENSG00000113296		2.717668	
ENSG00000065328		2.7049153	
ENSG00000171320		2.7032871	
ENSG00000103356		2.6973305	
ENSG00000198406		2.686321	
ENSG00000177602		2.6693704	
ENSG00000136492		2.6692867	
ENSG00000125871		2.666178	
ENSG00000170385		2.659234	
ENSG00000102897		2.6590893	
ENSG00000120334		2.6415677	
ENSG00000139618		2.6354518	
ENSG00000165323		2.6349483	
ENSG00000177409		2.6176763	
ENSG00000110422		2.6173873	
ENSG00000271976		2.5833313	
ENSG00000131470		2.581516	
ENSG00000174442		2.5741847	
ENSG00000094804		2.5732296	
ENSG00000102572		2.549065	
ENSG00000178498		2.535218	
ENSG00000187790		2.516813	
ENSG00000171877		2.5024238	
ENSG00000040275		2.4997463	
ENSG00000183098		2.4891186	
ENSG00000156042		2.4777331	
ENSG00000147536		2.477481	
ENSG00000006468		2.4721482	
ENSG00000172687		2.4654975	
ENSG00000125430		2.4595575	
ENSG00000118402		2.4522018	
ENSG00000125454		2.4505792	
ENSG00000137720		2.4329698	
ENSG00000171951		2.4324956	
ENSG00000090889		2.4246035	
ENSG00000278238		2.4203897	
ENSG00000197498		2.396789	
ENSG00000123473		2.3867939	
ENSG00000146410		2.3789804	
ENSG00000274421		2.3759155	
ENSG00000250061		2.3675632	
ENSG00000235823		2.3594131	
ENSG00000134802		2.3569686	
ENSG00000198039		2.35081	
ENSG00000229097		2.3492255	
ENSG00000163935		2.3439314	
ENSG00000242615		2.3388968	
ENSG00000115525		2.3301246	
ENSG00000121152		2.3269062	
ENSG00000185483		2.326711	
ENSG00000163535		2.3185005	
ENSG00000166845		2.3062387	
ENSG00000132005		2.2986703	
ENSG00000100629		2.297201	
ENSG00000231579		2.2840726	
ENSG00000175305		2.282757	
ENSG00000113578		2.2822106	
ENSG00000170312		2.2796412	
ENSG00000122952		2.2577896	
ENSG00000092853		2.2559266	
ENSG00000138771		2.248439	
ENSG00000177283		2.2287471	
ENSG00000110852		2.218411	
ENSG00000156876		2.2124314	
ENSG00000165244		2.2065477	
ENSG00000226054		2.199863	
ENSG00000031691		2.1978083	
ENSG00000258199		2.1876705	
ENSG00000139318		2.1861308	
ENSG00000154127		2.1812212	
ENSG00000148773		2.1775608	
ENSG00000175322		2.1765153	
ENSG00000186280		2.1716652	
ENSG00000164932		2.1715682	
ENSG00000163781		2.1609197	
ENSG00000272579		2.1544302	
ENSG00000183150		2.1542852	
ENSG00000080986		2.14825	
ENSG00000143786		2.1445277	
ENSG00000229036		2.1400945	
ENSG00000072062		2.1388237	
ENSG00000112742		2.1377976	
ENSG00000138182		2.1361341	
ENSG00000170296		2.1342604	
ENSG00000161800		2.1277153	
ENSG00000149308		2.117571	
ENSG00000244119		2.1138945	
ENSG00000166004		2.0973053	
ENSG00000258427		2.0956228	
ENSG00000185480		2.0881538	
ENSG00000239523		2.084111	
ENSG00000182993		2.0829892	
ENSG00000131747		2.0774314	
ENSG00000169607		2.0744283	
ENSG00000198042		2.066164	
ENSG00000253570		2.063989	
ENSG00000102908		2.0618944	
ENSG00000142731		2.057212	
ENSG00000137812		2.0569012	
ENSG00000158164		2.0511377	
ENSG00000177694		2.0344434	
ENSG00000230798		2.0278366	
ENSG00000106025		2.0128167	
ENSG00000116711		2.010633	
ENSG00000118620		2.0045788	
