NAME	TITLE	SCORE	
ENSG00000270820		13.706941	
ENSG00000143919		11.888594	
ENSG00000171121		11.675238	
ENSG00000007047		11.18506	
ENSG00000159433		11.024559	
ENSG00000158292		10.966693	
ENSG00000146648		10.838618	
ENSG00000196961		10.517275	
ENSG00000166716		10.438386	
ENSG00000266904		10.295721	
ENSG00000105656		10.264294	
ENSG00000119689		10.188309	
ENSG00000256087		10.045732	
ENSG00000176542		10.019356	
ENSG00000068028		9.775495	
ENSG00000164933		9.692888	
ENSG00000158186		9.6475935	
ENSG00000072422		9.617577	
ENSG00000196422		9.515196	
ENSG00000168924		9.487124	
ENSG00000122912		9.419474	
ENSG00000135124		9.376458	
ENSG00000089094		9.363302	
ENSG00000251442		9.232503	
ENSG00000184619		9.226901	
ENSG00000152049		9.217605	
ENSG00000231672		9.129546	
ENSG00000160345		9.110706	
ENSG00000266921		9.09518	
ENSG00000241852		9.062167	
ENSG00000224699		9.038032	
ENSG00000103494		9.026341	
ENSG00000135205		9.003022	
ENSG00000150510		8.984031	
ENSG00000136114		8.963584	
ENSG00000168502		8.9447775	
ENSG00000245571		8.932488	
ENSG00000102221		8.895946	
ENSG00000090889		8.861683	
ENSG00000047188		8.8539505	
ENSG00000078403		8.831267	
ENSG00000143164		8.814683	
ENSG00000187556		8.795172	
ENSG00000079432		8.764193	
ENSG00000120278		8.745418	
ENSG00000151917		8.711184	
ENSG00000168724		8.670356	
ENSG00000153558		8.647921	
ENSG00000175906		8.60571	
ENSG00000116885		8.6039295	
ENSG00000280088		8.57065	
ENSG00000068885		8.52806	
ENSG00000115841		8.494332	
ENSG00000084764		8.469669	
ENSG00000140474		8.456154	
ENSG00000007376		8.407169	
ENSG00000241553		8.398921	
ENSG00000122507		8.351598	
ENSG00000128309		8.32268	
ENSG00000105290		8.321907	
ENSG00000142733		8.320515	
ENSG00000139154		8.31988	
ENSG00000049192		8.319635	
ENSG00000144840		8.309255	
ENSG00000205208		8.301787	
ENSG00000167733		8.275251	
ENSG00000154917		8.246442	
ENSG00000107263		8.230911	
ENSG00000165650		8.18366	
ENSG00000269044		8.174927	
ENSG00000159788		8.174382	
ENSG00000136770		8.1551075	
ENSG00000152582		8.131136	
ENSG00000160087		8.120914	
ENSG00000179104		8.118441	
ENSG00000123570		8.095516	
ENSG00000138696		8.082868	
ENSG00000107890		8.081107	
ENSG00000164440		8.053372	
ENSG00000119599		8.035873	
ENSG00000139200		8.024373	
ENSG00000082196		8.022664	
ENSG00000175938		8.006914	
ENSG00000109689		7.999575	
ENSG00000143418		7.986652	
ENSG00000143457		7.968472	
ENSG00000173020		7.963371	
ENSG00000165115		7.9589095	
ENSG00000106823		7.9445357	
ENSG00000137185		7.9373636	
ENSG00000104738		7.9361486	
ENSG00000137449		7.9227533	
ENSG00000081320		7.901838	
ENSG00000065882		7.8927774	
ENSG00000073605		7.8872504	
ENSG00000225793		7.8754096	
ENSG00000058866		7.8729763	
ENSG00000118197		7.868345	
ENSG00000166831		7.8564644	
ENSG00000198576		7.8546877	
ENSG00000047346		7.7948575	
ENSG00000198908		7.7868013	
ENSG00000135698		7.768819	
ENSG00000186314		7.738012	
ENSG00000197496		7.736433	
ENSG00000174206		7.7338753	
ENSG00000204519		7.7310324	
ENSG00000185015		7.7138157	
ENSG00000116497		7.711734	
ENSG00000107185		7.695458	
ENSG00000164576		7.6539693	
ENSG00000165424		7.64848	
ENSG00000111684		7.629572	
ENSG00000172379		7.615588	
ENSG00000228889		7.596675	
ENSG00000132466		7.5905895	
ENSG00000123575		7.5890174	
ENSG00000122390		7.5675936	
ENSG00000198894		7.5324473	
ENSG00000146834		7.5320797	
ENSG00000198730		7.5314136	
ENSG00000124107		7.521528	
ENSG00000106069		7.4957647	
ENSG00000157036		7.481188	
ENSG00000179119		7.481078	
ENSG00000118707		7.4533625	
ENSG00000143384		7.431525	
ENSG00000167554		7.428448	
ENSG00000267454		7.3766336	
ENSG00000218510		7.371402	
ENSG00000145982		7.363374	
ENSG00000245468		7.3606253	
ENSG00000100908		7.3589015	
ENSG00000135521		7.3588166	
ENSG00000060237		7.3300805	
ENSG00000163870		7.3258777	
ENSG00000163818		7.316636	
ENSG00000176401		7.2985525	
ENSG00000108773		7.2915955	
ENSG00000101210		7.271155	
ENSG00000124225		7.269431	
ENSG00000169718		7.256051	
ENSG00000170006		7.2534385	
ENSG00000111962		7.2400856	
ENSG00000160714		7.2135363	
ENSG00000106772		7.2134657	
ENSG00000090316		7.2098403	
ENSG00000139517		7.2084312	
ENSG00000112981		7.1813655	
ENSG00000104093		7.1772223	
ENSG00000185551		7.165462	
ENSG00000196632		7.158731	
ENSG00000138434		7.153316	
ENSG00000134287		7.1453238	
ENSG00000139116		7.1391573	
ENSG00000223546		7.104151	
ENSG00000256124		7.089573	
ENSG00000204673		7.080296	
ENSG00000132603		7.069815	
ENSG00000171700		7.068741	
ENSG00000213672		7.048238	
ENSG00000160606		7.0475	
ENSG00000249709		7.0392103	
ENSG00000103111		7.0354276	
ENSG00000101898		7.0316253	
ENSG00000272047		7.0280128	
ENSG00000144320		7.006428	
ENSG00000188559		6.9998956	
ENSG00000151553		6.980677	
ENSG00000164241		6.9784036	
ENSG00000203666		6.9707427	
ENSG00000174456		6.9700356	
ENSG00000143344		6.9628935	
ENSG00000143740		6.9592338	
ENSG00000107854		6.9486628	
ENSG00000090530		6.9395633	
ENSG00000183826		6.920756	
ENSG00000090924		6.9181647	
ENSG00000186575		6.9176373	
ENSG00000251474		6.9171314	
ENSG00000118217		6.9111276	
ENSG00000128311		6.909623	
ENSG00000113597		6.904962	
ENSG00000115271		6.8959765	
ENSG00000111077		6.8957624	
ENSG00000159147		6.889826	
ENSG00000143537		6.887962	
ENSG00000250462		6.8762865	
ENSG00000112210		6.8352666	
ENSG00000120324		6.8277807	
ENSG00000189362		6.822647	
ENSG00000109265		6.81731	
ENSG00000198700		6.813989	
ENSG00000110442		6.81018	
ENSG00000101442		6.7950535	
ENSG00000145241		6.7915664	
ENSG00000077514		6.7820606	
ENSG00000169302		6.7791333	
ENSG00000162692		6.775207	
ENSG00000184840		6.772031	
ENSG00000141873		6.7660575	
ENSG00000143889		6.765082	
ENSG00000067836		6.7514515	
ENSG00000168077		6.7490163	
ENSG00000007255		6.746548	
ENSG00000130338		6.746004	
ENSG00000173786		6.7434206	
ENSG00000148335		6.740652	
ENSG00000179240		6.7239146	
ENSG00000196177		6.711455	
ENSG00000166526		6.69027	
ENSG00000163795		6.6882977	
ENSG00000129255		6.6839566	
ENSG00000138162		6.678707	
ENSG00000110318		6.675302	
ENSG00000131791		6.6729307	
ENSG00000255471		6.6712255	
ENSG00000101144		6.6590104	
ENSG00000263001		6.650737	
ENSG00000101040		6.6432467	
ENSG00000105810		6.6391196	
ENSG00000187824		6.633698	
ENSG00000104221		6.627151	
ENSG00000162614		6.6197853	
ENSG00000185483		6.6197524	
ENSG00000117500		6.617459	
ENSG00000109686		6.6165805	
ENSG00000138119		6.6074123	
ENSG00000204237		6.6005216	
ENSG00000118496		6.598778	
ENSG00000124541		6.5800624	
ENSG00000168434		6.5781083	
ENSG00000174233		6.573473	
ENSG00000147421		6.573346	
ENSG00000185896		6.5553217	
ENSG00000248278		6.555122	
ENSG00000165338		6.5422316	
ENSG00000106346		6.540971	
ENSG00000166200		6.5316143	
ENSG00000149115		6.5282288	
ENSG00000137124		6.5178485	
ENSG00000091317		6.510893	
ENSG00000126814		6.4993157	
ENSG00000161671		6.491555	
ENSG00000260027		6.476888	
ENSG00000105443		6.4766946	
ENSG00000101955		6.4640326	
ENSG00000129219		6.4534087	
ENSG00000170456		6.450242	
ENSG00000197776		6.4463167	
ENSG00000161654		6.4461684	
