geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0035295	tube development	http://amigo.geneontology.org/amigo/term/GO:0035295	911	38	16.328940843074744	2.327156449716465	9.032317181967287e-7	0.007793083264601375	187;290;374;650;729;1634;2028;2064;2263;2295;2300;2324;2705;2828;3217;4036;4070;4838;5159;5168;5228;6262;6271;6720;7547;9244;10052;23462;26508;51666;54538;56999;64399;81575;83716;123872;388591;100133941	ENSG00000005981;ENSG00000006016;ENSG00000011465;ENSG00000037280;ENSG00000039537;ENSG00000066468;ENSG00000072310;ENSG00000081479;ENSG00000103196;ENSG00000109321;ENSG00000113721;ENSG00000119630;ENSG00000125845;ENSG00000134817;ENSG00000136960;ENSG00000137273;ENSG00000138792;ENSG00000141736;ENSG00000154099;ENSG00000154133;ENSG00000156574;ENSG00000156925;ENSG00000158286;ENSG00000160678;ENSG00000163638;ENSG00000163909;ENSG00000164161;ENSG00000164683;ENSG00000166825;ENSG00000169562;ENSG00000176678;ENSG00000177464;ENSG00000178878;ENSG00000182963;ENSG00000184292;ENSG00000198626;ENSG00000260027;ENSG00000272398
GO:0098656	anion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0098656	234	15	4.194261424017003	3.576314989358468	2.1267332060981303e-5	0.05725951447126687	1836;2350;2565;4036;5243;5621;6533;6541;8140;9635;22802;57835;92745;151258;387700	ENSG00000016602;ENSG00000017483;ENSG00000081479;ENSG00000085563;ENSG00000103257;ENSG00000131389;ENSG00000137975;ENSG00000139514;ENSG00000152779;ENSG00000155850;ENSG00000163285;ENSG00000165457;ENSG00000169507;ENSG00000171867;ENSG00000188687
GO:0048709	oligodendrocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0048709	86	9	1.5414806942968473	5.838542145417778	2.2889361940503505e-5	0.05725951447126687	745;2064;2840;2934;4099;56978;79885;84504;85414	ENSG00000105695;ENSG00000124920;ENSG00000141736;ENSG00000144230;ENSG00000148180;ENSG00000148826;ENSG00000152784;ENSG00000158715;ENSG00000163517
GO:0035239	tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	743	30	13.317676230959972	2.252645242287702	2.6545903788255387e-5	0.05725951447126687	187;290;374;650;729;1634;2028;2064;2263;2324;2828;3217;4036;4070;4838;5159;5168;5228;6262;6271;7547;10052;23462;51666;54538;56999;64399;81575;123872;388591	ENSG00000005981;ENSG00000011465;ENSG00000037280;ENSG00000039537;ENSG00000066468;ENSG00000081479;ENSG00000109321;ENSG00000113721;ENSG00000119630;ENSG00000125845;ENSG00000134817;ENSG00000136960;ENSG00000138792;ENSG00000141736;ENSG00000154099;ENSG00000154133;ENSG00000156574;ENSG00000156925;ENSG00000158286;ENSG00000160678;ENSG00000163638;ENSG00000164161;ENSG00000164683;ENSG00000166825;ENSG00000177464;ENSG00000178878;ENSG00000182963;ENSG00000184292;ENSG00000198626;ENSG00000260027
GO:0014003	oligodendrocyte development	http://amigo.geneontology.org/amigo/term/GO:0014003	38	6	0.6811193765497697	8.809028500104015	5.33249076124509e-5	0.09201746057604526	745;2934;4099;56978;79885;84504	ENSG00000105695;ENSG00000124920;ENSG00000148180;ENSG00000148826;ENSG00000152784;ENSG00000163517
GO:0072006	nephron development	http://amigo.geneontology.org/amigo/term/GO:0072006	123	10	2.204675876726886	4.535814132844886	7.28700403093141e-5	0.10478711796479367	650;2028;2828;3217;4070;4811;5159;5228;26508;100133941	ENSG00000113721;ENSG00000116962;ENSG00000119630;ENSG00000125845;ENSG00000138792;ENSG00000163909;ENSG00000177464;ENSG00000184292;ENSG00000260027;ENSG00000272398
GO:0010001	glial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0010001	184	12	3.298051718030464	3.638511771782093	1.2115557623393336e-4	0.14933290167805388	650;745;2064;2840;2934;4099;10319;56978;79628;79885;84504;85414	ENSG00000050555;ENSG00000105695;ENSG00000124920;ENSG00000125845;ENSG00000141736;ENSG00000144230;ENSG00000148180;ENSG00000148826;ENSG00000152784;ENSG00000158715;ENSG00000163517;ENSG00000169247
GO:0042063	gliogenesis	http://amigo.geneontology.org/amigo/term/GO:0042063	248	14	4.445200141693234	3.1494644906285862	1.564986163038462e-4	0.15942616875333915	374;650;745;2064;2840;2934;4036;4099;10319;56978;79628;79885;84504;85414	ENSG00000050555;ENSG00000081479;ENSG00000105695;ENSG00000109321;ENSG00000124920;ENSG00000125845;ENSG00000141736;ENSG00000144230;ENSG00000148180;ENSG00000148826;ENSG00000152784;ENSG00000158715;ENSG00000163517;ENSG00000169247
GO:0009887	animal organ morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0009887	862	31	15.450655331207933	2.006387388461433	1.6629989786509647e-4	0.15942616875333915	54;374;650;1634;1758;1875;2263;2295;3216;3217;4036;4070;4148;4325;4760;4838;5159;5228;6262;7088;7122;7547;23462;26508;51053;64399;123872;127294;340706;348980;388591	ENSG00000011465;ENSG00000066468;ENSG00000081479;ENSG00000102575;ENSG00000108511;ENSG00000109321;ENSG00000112312;ENSG00000113721;ENSG00000119630;ENSG00000125845;ENSG00000132031;ENSG00000133740;ENSG00000137273;ENSG00000142661;ENSG00000152592;ENSG00000154099;ENSG00000156103;ENSG00000156574;ENSG00000156925;ENSG00000158286;ENSG00000162992;ENSG00000163909;ENSG00000164161;ENSG00000164588;ENSG00000164683;ENSG00000165816;ENSG00000184113;ENSG00000184292;ENSG00000196781;ENSG00000198626;ENSG00000260027
GO:0072359	circulatory system development	http://amigo.geneontology.org/amigo/term/GO:0072359	950	33	17.027984413744242	1.9379862700228834	1.9278111990539415e-4	0.16633155025437407	187;290;650;729;1634;2028;2064;2263;2300;2324;2828;2852;4036;4838;5159;5168;5228;6262;6271;7122;7547;10052;23462;26508;50507;51666;54538;55130;56999;81575;123872;127294;388591	ENSG00000005981;ENSG00000011465;ENSG00000037280;ENSG00000039537;ENSG00000066468;ENSG00000081479;ENSG00000086991;ENSG00000113721;ENSG00000119630;ENSG00000125845;ENSG00000134817;ENSG00000136960;ENSG00000138792;ENSG00000141736;ENSG00000142661;ENSG00000154099;ENSG00000154133;ENSG00000156574;ENSG00000156925;ENSG00000158286;ENSG00000160678;ENSG00000163638;ENSG00000163909;ENSG00000164683;ENSG00000164850;ENSG00000166825;ENSG00000169126;ENSG00000176678;ENSG00000177464;ENSG00000178878;ENSG00000182963;ENSG00000184113;ENSG00000198626
