userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000001460	STPG1	sperm tail PG-rich repeat containing 1	90529	https://www.ncbi.nlm.nih.gov/gene/?term=90529
ENSG00000003436	TFPI	tissue factor pathway inhibitor	7035	https://www.ncbi.nlm.nih.gov/gene/?term=7035
ENSG00000003989	SLC7A2	solute carrier family 7 member 2	6542	https://www.ncbi.nlm.nih.gov/gene/?term=6542
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2	8935	https://www.ncbi.nlm.nih.gov/gene/?term=8935
ENSG00000005073	HOXA11	homeobox A11	3207	https://www.ncbi.nlm.nih.gov/gene/?term=3207
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4	5244	https://www.ncbi.nlm.nih.gov/gene/?term=5244
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2	3920	https://www.ncbi.nlm.nih.gov/gene/?term=3920
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	51666	https://www.ncbi.nlm.nih.gov/gene/?term=51666
ENSG00000006016	CRLF1	cytokine receptor like factor 1	9244	https://www.ncbi.nlm.nih.gov/gene/?term=9244
ENSG00000006042	TMEM98	transmembrane protein 98	26022	https://www.ncbi.nlm.nih.gov/gene/?term=26022
ENSG00000006468	ETV1	ETS variant 1	2115	https://www.ncbi.nlm.nih.gov/gene/?term=2115
ENSG00000007171	NOS2	nitric oxide synthase 2	4843	https://www.ncbi.nlm.nih.gov/gene/?term=4843
ENSG00000007237	GAS7	growth arrest specific 7	8522	https://www.ncbi.nlm.nih.gov/gene/?term=8522
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein	29116	https://www.ncbi.nlm.nih.gov/gene/?term=29116
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1	4257	https://www.ncbi.nlm.nih.gov/gene/?term=4257
ENSG00000008405	CRY1	cryptochrome circadian regulator 1	1407	https://www.ncbi.nlm.nih.gov/gene/?term=1407
ENSG00000008516	MMP25	matrix metallopeptidase 25	64386	https://www.ncbi.nlm.nih.gov/gene/?term=64386
ENSG00000009694	TENM1	teneurin transmembrane protein 1	10178	https://www.ncbi.nlm.nih.gov/gene/?term=10178
ENSG00000010282	HHATL	hedgehog acyltransferase like	57467	https://www.ncbi.nlm.nih.gov/gene/?term=57467
ENSG00000011083	SLC6A7	solute carrier family 6 member 7	6534	https://www.ncbi.nlm.nih.gov/gene/?term=6534
ENSG00000011465	DCN	decorin	1634	https://www.ncbi.nlm.nih.gov/gene/?term=1634
ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit	5536	https://www.ncbi.nlm.nih.gov/gene/?term=5536
ENSG00000012124	CD22	CD22 molecule	933	https://www.ncbi.nlm.nih.gov/gene/?term=933
ENSG00000012171	SEMA3B	semaphorin 3B	7869	https://www.ncbi.nlm.nih.gov/gene/?term=7869
ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3	2137	https://www.ncbi.nlm.nih.gov/gene/?term=2137
