id	genes
BIOCARTA_GRANULOCYTES_PATHWAY	CXCL8, IFNG, IL1A, CSF3, SELP, ITGAM, ITGAL, TNF, ITGB2, PECAM1, ICAM2, C5, SELPLG, ICAM1, SELL
BIOCARTA_GRANULOCYTES_PATHWAY_1	IFNG, SELP, ITGAM, ITGAL, ITGB2, PECAM1, ICAM2, SELPLG, SELL
BIOCARTA_GRANULOCYTES_PATHWAY_2	CXCL8, IL1A, CSF3, TNF, C5, ICAM1
BIOCARTA_LYM_PATHWAY	CXCL8, IL1A, MADCAM1, VCAM1, ITGAL, CD34, ITGB2, PECAM1, ICAM2, ITGA4, GLYCAM1, ICAM1, ITGB1, SELL
BIOCARTA_LYM_PATHWAY_1	MADCAM1, ITGAL, ITGB2, PECAM1, ICAM2, SELL
BIOCARTA_LYM_PATHWAY_2	CXCL8, IL1A, VCAM1, CD34, ITGA4, GLYCAM1, ICAM1, ITGB1
BIOCARTA_BLYMPHOCYTE_PATHWAY	CD80, ITGAL, CR1, ITGB2, CR2, CD40, HLA-DRA, HLA-DRB5, ICAM1, FCGR2B, PTPRC, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_BLYMPHOCYTE_PATHWAY_1	ITGAL, CR1, ITGB2, CR2, HLA-DRB5, FCGR2B, PTPRC, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_BLYMPHOCYTE_PATHWAY_2	CD80, CD40, HLA-DRA, ICAM1
BIOCARTA_CARM_ER_PATHWAY	HDAC2, HDAC6, HDAC4, HDAC1, NCOR2, NRIP1, BRCA1, ESR1, NR0B1, CARM1, HDAC5, CREBBP, PHB2, GRIP1, EP300, HDAC3, CCND1, PPARGC1A, SPEN, TBP, GTF2A1, MED1, H3C14, MEF2C, SRA1, PELP1
BIOCARTA_CARM_ER_PATHWAY_1	HDAC6, HDAC4, ESR1, NR0B1, HDAC5, GRIP1, CCND1, PPARGC1A, SPEN, MEF2C, PELP1
BIOCARTA_CARM_ER_PATHWAY_2	HDAC2, HDAC1, NCOR2, NRIP1, BRCA1, CARM1, CREBBP, PHB2, EP300, HDAC3, TBP, GTF2A1, MED1, H3C14, SRA1
BIOCARTA_LAIR_PATHWAY	CXCL8, IL1A, SELP, KNG1, C7, VCAM1, ITGAL, TNF, ITGB2, ITGA4, C6, C5, C3, SELPLG, ICAM1, ITGB1, IL6
BIOCARTA_LAIR_PATHWAY_1	SELP, KNG1, C7, ITGAL, ITGB2, C6, C3, SELPLG
BIOCARTA_LAIR_PATHWAY_2	CXCL8, IL1A, VCAM1, TNF, ITGA4, C5, ICAM1, ITGB1, IL6
BIOCARTA_VDR_PATHWAY	PRMT1, CHAF1A, SMARCD1, HDAC1, TSC2, SUPT16H, SMARCC2, CARM1, SMARCA4, COPS2, ACTL6A, CREBBP, NCOR1, ARID1A, TOP2B, SMARCC1, EP300, VDR, KAT2B, RXRA, NCOA1, MED1, SMARCE1, BAZ1B
BIOCARTA_VDR_PATHWAY_1	SMARCC2, TOP2B, KAT2B, RXRA, NCOA1
BIOCARTA_VDR_PATHWAY_2	PRMT1, CHAF1A, SMARCD1, HDAC1, TSC2, SUPT16H, CARM1, SMARCA4, COPS2, ACTL6A, CREBBP, NCOR1, ARID1A, SMARCC1, EP300, VDR, MED1, SMARCE1, BAZ1B
BIOCARTA_MTA3_PATHWAY	SNAI1, TUBA4A, HDAC1, MBD3, ESR1, TUBA3C, SNAI2, MTA3, PDZK1, CDH1, GREB1, ALDOA, HSPB1, MTA1, GAPDH, TUBA1A, CTSD, HSPB2
BIOCARTA_MTA3_PATHWAY_1	TUBA4A, ESR1, MTA3, CDH1, GREB1, ALDOA, GAPDH, TUBA1A, CTSD, HSPB2
BIOCARTA_MTA3_PATHWAY_2	SNAI1, HDAC1, MBD3, TUBA3C, SNAI2, PDZK1, HSPB1, MTA1
BIOCARTA_GABA_PATHWAY	UBQLN1, GABRA5, GABRA6, GABRA2, GABRA3, GABRA1, GPHN, GABRA4, NSF, GABARAP
BIOCARTA_GABA_PATHWAY_1	UBQLN1, GABRA5, GABRA6, GABRA2, GABRA3, GABRA1, GPHN, GABRA4, NSF, GABARAP
BIOCARTA_GABA_PATHWAY_2	
