id	genes
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY	RAD50, ENDOG, ERCC1, ERCC4, MRE11, RBBP8, SETMAR, DCLRE1C, XRCC1, EXOG
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY_1	RAD50, ENDOG, SETMAR, DCLRE1C, XRCC1
GOMF_SINGLE_STRANDED_DNA_ENDODEOXYRIBONUCLEASE_ACTIVITY_2	ERCC1, ERCC4, MRE11, RBBP8, EXOG
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	ALG3, POMT1, DPY19L3, TMTC2, TMTC3, ALG1L, DPY19L1, SDF2L1, DPY19L2, DPY19L4, POMT2, ALG11, PIGV, ALG1, ALG1L2, ALG8, ALG12, ALG9, PIGZ, TMTC1, TMTC4, ALG2, DPM1, PIGM, PIGB
GOMF_MANNOSYLTRANSFERASE_ACTIVITY_1	POMT1, TMTC2, ALG1L, DPY19L4, PIGV, ALG1L2, ALG12, PIGZ, TMTC1, TMTC4
GOMF_MANNOSYLTRANSFERASE_ACTIVITY_2	ALG3, DPY19L3, TMTC3, DPY19L1, SDF2L1, DPY19L2, POMT2, ALG11, ALG1, ALG8, ALG9, ALG2, DPM1, PIGM, PIGB
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY	GGT1, GGT3P, GGT7, GGT5, GGT2
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY_1	GGT1, GGT3P
GOMF_PEPTIDYLTRANSFERASE_ACTIVITY_2	GGT7, GGT5, GGT2
GOMF_TRNA_BINDING	FARS2, DTD2, XPOT, PSTK, EARS2, TYW5, SLFN13, TRMT10B, AARS1, EEF1A1, EIF2S3, FARSA, NSUN6, MRPS27, ELP5, IFIT5, EIF2S3B, PTCD1, HSD17B10, IARS1, CTU2, IGHMBP2, KARS1, MARS1, METTL1, EIF2AK4, YARS2, SEPSECS, TRNT1, NSUN2, TRMT10C, SARS2, TRNAU1AP, THG1L, ELP3, DARS2, NAT10, TRMT1, TRMU, IARS2, AARS2, XPO5, TRMT9B, RARS1, TRMT11, EEFSEC, RPL35A, SARS1, NSUN3, SSB, TARS1, TERT, YRDC, PUS1, TRMT1L, CARS1, EIF2A, ELP1, YARS1, ALKBH1, CTU1, NEMF, SLFN11, ALKBH8, AIMP1, DTD1, TRMT10A
GOMF_TRNA_BINDING_1	DTD2, PSTK, SLFN13, AARS1, NSUN6, MRPS27, IFIT5, HSD17B10, SEPSECS, ELP3, TRMT11, EEFSEC, SARS1, TRMT1L, NEMF, SLFN11, DTD1, TRMT10A
