id	genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB	JUNB, CXCL2, ATF3, NFKBIA, TNFAIP3, PTGS2, CXCL1, IER3, CD83, CCL20, CXCL3, MAFF, NFKB2, TNFAIP2, HBEGF, KLF6, BIRC3, PLAUR, ZFP36, ICAM1, JUN, EGR3, IL1B, BCL2A1, PPP1R15A, ZC3H12A, SOD2, NR4A2, IL1A, RELB, TRAF1, BTG2, DUSP1, MAP3K8, ETS2, F3, SDC4, EGR1, IL6, TNF, KDM6B, NFKB1, LIF, PTX3, FOSL1, NR4A1, JAG1, CCL4, GCH1, CCL2, RCAN1, DUSP2, EHD1, IER2, REL, CFLAR, RIPK2, NFKBIE, NR4A3, PHLDA1, IER5, TNFSF9, GEM, GADD45A, CXCL10, PLK2, BHLHE40, EGR2, SOCS3, SLC2A6, PTGER4, DUSP5, SERPINB2, NFIL3, SERPINE1, TRIB1, TIPARP, RELA, BIRC2, CXCL6, LITAF, TNFAIP6, CD44, INHBA, PLAU, MYC, TNFRSF9, SGK1, TNIP1, NAMPT, FOSL2, PNRC1, ID2, CD69, IL7R, EFNA1, PHLDA2, PFKFB3, CCL5, YRDC, IFNGR2, SQSTM1, BTG3, GADD45B, KYNU, G0S2, BTG1, MCL1, VEGFA, MAP2K3, CDKN1A, CCN1, TANK, IFIT2, IL18, TUBB2A, IRF1, FOS, OLR1, RHOB, AREG, NINJ1, ZBTB10, PLPP3, KLF4, CXCL11, SAT1, CSF1, GPR183, PMEPA1, PTPRE, TLR2, ACKR3, KLF10, MARCKS, LAMB3, CEBPB, TRIP10, F2RL1, KLF9, LDLR, TGIF1, RNF19B, DRAM1, B4GALT1, DNAJB4, CSF2, PDE4B, SNN, PLEK, STAT5A, DENND5A, CCND1, DDX58, SPHK1, CD80, TNFAIP8, CCNL1, FUT4, CCRL2, SPSB1, TSC22D1, B4GALT5, SIK1, CLCF1, NFE2L2, FOSB, PER1, NFAT5, ATP2B1, IL12B, IL6ST, SLC16A6, ABCA1, HES1, BCL6, IRS2, SLC2A3, CEBPD, IL23A, SMAD3, TAP1, MSC, IFIH1, IL15RA, TNIP2, BCL3, PANX1, FJX1, EDN1, EIF1, BMP2, DUSP4, PDLIM5, ICOSLG, GFPT2, KLF2, TNC, SERPINB8, MXD1
HALLMARK_TNFA_SIGNALING_VIA_NFKB_1	CD83, BIRC3, EGR3, NR4A2, ETS2, SDC4, DUSP2, EHD1, TNFSF9, CXCL10, PLK2, LITAF, INHBA, TNFRSF9, SGK1, TNIP1, PNRC1, EFNA1, PFKFB3, CCL5, SQSTM1, IFIT2, IL18, TUBB2A, OLR1, RHOB, NINJ1, PLPP3, TLR2, F2RL1, DNAJB4, SNN, PLEK, STAT5A, DENND5A, CCND1, DDX58, SPHK1, FUT4, CCRL2, TSC22D1, ATP2B1, IL12B, IL6ST, ABCA1, IL23A, SMAD3, IFIH1, PANX1, EIF1, ICOSLG, KLF2
HALLMARK_TNFA_SIGNALING_VIA_NFKB_2	JUNB, CXCL2, ATF3, NFKBIA, TNFAIP3, PTGS2, CXCL1, IER3, CCL20, CXCL3, MAFF, NFKB2, TNFAIP2, HBEGF, KLF6, PLAUR, ZFP36, ICAM1, JUN, IL1B, BCL2A1, PPP1R15A, ZC3H12A, SOD2, IL1A, RELB, TRAF1, BTG2, DUSP1, MAP3K8, F3, EGR1, IL6, TNF, KDM6B, NFKB1, LIF, PTX3, FOSL1, NR4A1, JAG1, CCL4, GCH1, CCL2, RCAN1, IER2, REL, CFLAR, RIPK2, NFKBIE, NR4A3, PHLDA1, IER5, GEM, GADD45A, BHLHE40, EGR2, SOCS3, SLC2A6, PTGER4, DUSP5, SERPINB2, NFIL3, SERPINE1, TRIB1, TIPARP, RELA, BIRC2, CXCL6, TNFAIP6, CD44, PLAU, MYC, NAMPT, FOSL2, ID2, CD69, IL7R, PHLDA2, YRDC, IFNGR2, BTG3, GADD45B, KYNU, G0S2, BTG1, MCL1, VEGFA, MAP2K3, CDKN1A, CCN1, TANK, IRF1, FOS, AREG, ZBTB10, KLF4, CXCL11, SAT1, CSF1, GPR183, PMEPA1, PTPRE, ACKR3, KLF10, MARCKS, LAMB3, CEBPB, TRIP10, KLF9, LDLR, TGIF1, RNF19B, DRAM1, B4GALT1, CSF2, PDE4B, CD80, TNFAIP8, CCNL1, SPSB1, B4GALT5, SIK1, CLCF1, NFE2L2, FOSB, PER1, NFAT5, SLC16A6, HES1, BCL6, IRS2, SLC2A3, CEBPD, TAP1, MSC, IL15RA, TNIP2, BCL3, FJX1, EDN1, BMP2, DUSP4, PDLIM5, GFPT2, TNC, SERPINB8, MXD1
HALLMARK_HYPOXIA	PGK1, PDK1, GBE1, PFKL, ALDOA, ENO2, PGM1, NDRG1, HK2, ALDOC, GPI, MXI1, SLC2A1, P4HA1, ADM, P4HA2, ENO1, PFKP, AK4, FAM162A, PFKFB3, VEGFA, BNIP3L, TPI1, ERO1A, KDM3A, CCNG2, LDHA, GYS1, GAPDH, BHLHE40, ANGPTL4, JUN, SERPINE1, LOX, GCK, PPFIA4, MAFF, DDIT4, SLC2A3, IGFBP3, NFIL3, FOS, RBPJ, HK1, CITED2, ISG20, GALK1, WSB1, PYGM, STC1, ZNF292, BTG1, PLIN2, CSRP2, VLDLR, JMJD6, EXT1, F3, PDK3, ANKZF1, UGP2, ALDOB, STC2, ERRFI1, ENO3, PNRC1, HMOX1, PGF, GAPDHS, CHST2, TMEM45A, BCAN, ATF3, CAV1, AMPD3, GPC3, NDST1, IRS2, SAP30, GAA, SDC4, STBD1, IER3, PKLR, IGFBP1, PLAUR, CAVIN3, CCN5, LARGE1, NOCT, S100A4, RRAGD, ZFP36, EGFR, EDN2, IDS, CDKN1A, RORA, DUSP1, MIF, PPP1R3C, DPYSL4, KDELR3, DTNA, ADORA2B, HS3ST1, CAVIN1, NR3C1, KLF6, GPC4, CCN1, TNFAIP3, CA12, HEXA, BGN, PPP1R15A, PGM2, PIM1, PRDX5, NAGK, CDKN1B, BRS3, TKTL1, MT1E, ATP7A, MT2A, SDC3, TIPARP, PKP1, ANXA2, PGAM2, DDIT3, PRKCA, SLC37A4, CXCR4, EFNA3, CP, KLF7, CCN2, CHST3, TPD52, LXN, B4GALNT2, PPARGC1A, BCL2, GCNT2, HAS1, KLHL24, SCARB1, SLC25A1, SDC2, CASP6, VHL, FOXO3, PDGFB, B3GALT6, SLC2A5, SRPX, EFNA1, GLRX, ACKR3, PAM, TGFBI, DCN, SIAH2, PLAC8, FBP1, TPST2, PHKG1, MYH9, CDKN1C, GRHPR, PCK1, INHA, HSPA5, NDST2, NEDD4L, TPBG, XPNPEP1, IL6, SLC6A6, MAP3K1, LDHC, AKAP12, TES, KIF5A, LALBA, COL5A1, GPC1, HDLBP, ILVBL, NCAN, TGM2, ETS1, HOXB9, SELENBP1, FOSL2, SULT2B1, TGFB3
HALLMARK_HYPOXIA_1	PFKL, ALDOA, ENO2, NDRG1, ALDOC, GPI, MXI1, ENO1, PFKP, AK4, FAM162A, PFKFB3, BNIP3L, CCNG2, GAPDH, ANGPTL4, GCK, PPFIA4, RBPJ, HK1, ISG20, PYGM, VLDLR, PDK3, UGP2, ALDOB, ENO3, PNRC1, AMPD3, GPC3, NDST1, GAA, SDC4, CCN5, LARGE1, RRAGD, IDS, RORA, PPP1R3C, DPYSL4, DTNA, HS3ST1, NR3C1, GPC4, PRDX5, NAGK, CDKN1B, TKTL1, MT1E, SDC3, PKP1, PGAM2, DDIT3, PRKCA, EFNA3, CP, CHST3, TPD52, B4GALNT2, PPARGC1A, BCL2, HAS1, KLHL24, SCARB1, SLC25A1, FOXO3, EFNA1, SIAH2, FBP1, TPST2, PHKG1, CDKN1C, GRHPR, INHA, NDST2, NEDD4L, XPNPEP1, SLC6A6, KIF5A, ILVBL, NCAN, HOXB9, SELENBP1, SULT2B1
HALLMARK_HYPOXIA_2	PGK1, PDK1, GBE1, PGM1, HK2, SLC2A1, P4HA1, ADM, P4HA2, VEGFA, TPI1, ERO1A, KDM3A, LDHA, GYS1, BHLHE40, JUN, SERPINE1, LOX, MAFF, DDIT4, SLC2A3, IGFBP3, NFIL3, FOS, CITED2, GALK1, WSB1, STC1, ZNF292, BTG1, PLIN2, CSRP2, JMJD6, EXT1, F3, ANKZF1, STC2, ERRFI1, HMOX1, PGF, GAPDHS, CHST2, TMEM45A, BCAN, ATF3, CAV1, IRS2, SAP30, STBD1, IER3, PKLR, IGFBP1, PLAUR, CAVIN3, NOCT, S100A4, ZFP36, EGFR, EDN2, CDKN1A, DUSP1, MIF, KDELR3, ADORA2B, CAVIN1, KLF6, CCN1, TNFAIP3, CA12, HEXA, BGN, PPP1R15A, PGM2, PIM1, BRS3, ATP7A, MT2A, TIPARP, ANXA2, SLC37A4, CXCR4, KLF7, CCN2, LXN, GCNT2, SDC2, CASP6, VHL, PDGFB, B3GALT6, SLC2A5, SRPX, GLRX, ACKR3, PAM, TGFBI, DCN, PLAC8, MYH9, PCK1, HSPA5, TPBG, IL6, MAP3K1, LDHC, AKAP12, TES, LALBA, COL5A1, GPC1, HDLBP, TGM2, ETS1, FOSL2, TGFB3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	FDPS, CYP51A1, IDI1, FDFT1, DHCR7, SQLE, HMGCS1, NSDHL, LSS, MVD, LDLR, TM7SF2, ALDOC, EBP, SCD, PMVK, MVK, LPL, SC5D, FADS2, HMGCR, HSD17B7, ANXA13, SREBF2, PCYT2, ACSS2, ATF3, ADH4, ETHE1, ECH1, CBS, GUSB, FASN, LGALS3, ATF5, ANXA5, TP53INP1, CHKA, GSTM2, ACAT2, AVPR1A, PLSCR1, CLU, ERRFI1, TRIB3, CXCL16, TNFRSF12A, ACTG1, JAG1, LGMN, FBXO6, GPX8, PNRC1, ANTXR2, MAL2, CD9, PPARG, GLDC, STX5, STARD4, CTNNB1, TMEM97, NIBAN1, PDK3, PLAUR, SEMA3B, GNAI1, ABCA2, ATXN2, NFIL3, ALCAM, FABP5, S100A11, CPEB2
HALLMARK_CHOLESTEROL_HOMEOSTASIS_1	IDI1, FDFT1, NSDHL, TM7SF2, ALDOC, SCD, PMVK, MVK, SC5D, FADS2, ANXA13, SREBF2, PCYT2, ACSS2, ADH4, CBS, CHKA, CLU, CXCL16, LGMN, FBXO6, PNRC1, MAL2, CD9, PPARG, PDK3, SEMA3B, GNAI1, ABCA2, ALCAM, CPEB2
HALLMARK_CHOLESTEROL_HOMEOSTASIS_2	FDPS, CYP51A1, DHCR7, SQLE, HMGCS1, LSS, MVD, LDLR, EBP, LPL, HMGCR, HSD17B7, ATF3, ETHE1, ECH1, GUSB, FASN, LGALS3, ATF5, ANXA5, TP53INP1, GSTM2, ACAT2, AVPR1A, PLSCR1, ERRFI1, TRIB3, TNFRSF12A, ACTG1, JAG1, GPX8, ANTXR2, GLDC, STX5, STARD4, CTNNB1, TMEM97, NIBAN1, PLAUR, ATXN2, NFIL3, FABP5, S100A11
HALLMARK_MITOTIC_SPINDLE	ARHGEF2, CLASP1, KIF11, KIF23, ALS2, ARF6, MYO9B, MYH9, TUBGCP3, CKAP5, RACGAP1, PREX1, ARHGEF3, NUMA1, SPTBN1, KIF2C, KIF5B, TTK, APC, CEP250, PAFAH1B1, CDC42EP2, KIF3B, CCDC88A, KIF15, BIRC5, CNTROB, NF1, TSC1, CDC27, CNTRL, TUBGCP5, KIF4A, MAPRE1, FGD6, BRCA2, PLK1, RASA1, NEK2, WASF1, TOP2A, TRIO, ARHGEF11, KATNB1, PRC1, ANLN, CDK5RAP2, SMC3, TUBGCP2, ESPL1, MAP1S, ARHGAP27, DOCK4, SAC3D1, INCENP, ARHGAP5, GSN, NET1, LRPPRC, RABGAP1, FLNB, ARAP3, FGD4, ABR, CENPJ, NCK1, CENPF, KIF20B, WASF2, MYH10, CENPE, CYTH2, MID1, KLC1, MARK4, ARL8A, CEP57, UXT, ARHGAP4, CDC42EP4, SASS6, LATS1, OPHN1, WASL, MAP3K11, SOS1, ABL1, TIAM1, KIF1B, ITSN1, SHROOM1, NCK2, DLGAP5, BCR, RANBP9, EPB41L2, SEPTIN9, KATNA1, TUBD1, TPX2, KIF3C, SHROOM2, TUBGCP6, SPTAN1, PALLD, ARFIP2, KNTC1, HOOK3, SUN2, MID1IP1, DLG1, FLNA, ARHGAP10, CDC42BPA, ARHGEF12, MARCKS, NIN, PCM1, RALBP1, EZR, SSH2, CDK1, RAB3GAP1, FARP1, SYNPO, RHOF, ECT2, EPB41, RAPGEF6, KIF22, PCGF5, STAU1, ARHGDIA, AURKA, FBXO5, NUSAP1, PXN, BCAR1, CD2AP, AKAP13, HDAC6, CEP131, LLGL1, ATG4B, PCNT, ALMS1, KPTN, DST, KIFAP3, PPP4R2, ARHGAP29, RASAL2, CCNB2, PIF1, RASA2, NEDD9, SMC1A, ACTN4, PKD2, CLIP2, CDC42, NDC80, TLK1, TAOK2, TBCD, CAPZB, DOCK2, CTTN, SMC4, ARFGEF1, TUBA4A, LMNB1, ABI1, ROCK1, CEP192, BUB1, GEMIN4, PLEKHG2, RICTOR, BCL2L11, DYNC1H1, FSCN1, ARHGEF7, DYNLL2, MYO1E, BIN1, NOTCH2, RFC1, PDLIM5, RHOT2, SORBS2, CDC42EP1, VCL, CLIP1, STK38L, YWHAE, RAPGEF5, CEP72, CSNK1D
