Gene_set_name	Reference(PMID or DOI)	Source	Notes	
Zhang-Barres_endothelial	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_fetalastrocytes	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_GBMcoreastrocytes	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_matureastrocytes	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_microgliamacrophages	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_neuron	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Zhang-Barres_oligodendrocytes	Zhang_Neuron_2016_10.1016/j.neuron.2015.11.013	Puchalski_2018_10.1126/science.aaf2666	-	
Patel-Bernstein_anticellcycle	Patel_Science_2014_10.1126/science.1254257	Puchalski_2018_10.1126/science.aaf2666	-	
Patel-Bernstein_cellcycle	Patel_Science_2014_10.1126/science.1254257	Puchalski_2018_10.1126/science.aaf2666	-	
Patel-Bernstein_immune	Patel_Science_2014_10.1126/science.1254257	Puchalski_2018_10.1126/science.aaf2666	-	
Patel-Bernstein_hypoxia	Patel_Science_2014_10.1126/science.1254257	Puchalski_2018_10.1126/science.aaf2666	-	
Patel-Bernstein_stemness	Patel_Science_2014_10.1126/science.1254257	Patel_Science_2014_10.1126/science.1254257	Taken from figure 3B	
Darmanis-Barres_astrocytes	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_Endothelial	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_FetalNeuronsquiescent	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_FetalNeuronsReplicating	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_microglia	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_mixNeuronsAstrocytes	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_mixOPCOligNeurons	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_Neurons	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_Oligodendrocytes	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Darmanis-Barres_OPCs	Darmanis_PNAS_2015_10.1073/pnas.1507125112	Puchalski_2018_10.1126/science.aaf2666	-	
Puchalski_IVYGAP_cellular_tumor	Puchalski_2018_10.1126/science.aaf2666	Puchalski_2018_10.1126/science.aaf2666	"from aaf2666_table-s3.xlsx, log2FC>1, maxpadj<1E-4"	
Puchalski_IVYGAP_microvascular_proliferation	Puchalski_2018_10.1126/science.aaf2666	Puchalski_2018_10.1126/science.aaf2666	"from aaf2666_table-s3.xlsx, log2FC>2, maxpadj<1E-7"	
Puchalski_IVYGAP_pseudo-palisading_cells_around_necrosis	Puchalski_2018_10.1126/science.aaf2666	Puchalski_2018_10.1126/science.aaf2666	"from aaf2666_table-s3.xlsx, log2FC>1, maxpadj<1E-7"	
Puchalski_IVYGAP_leading_edge	Puchalski_2018_10.1126/science.aaf2666	Puchalski_2018_10.1126/science.aaf2666	"from aaf2666_table-s3.xlsx, log2FC>4, maxpadj<1E-7"	
Hasel_AlteredInAstrocytesByNeurons	Hasel_2017_28462931	Hasel_2017_28462931	"Astrocytic genes significantly altered by the presence of neurons. Mouse. From Supplementary Data 5 ncomms15132-s6.xlsx. Fold change <0.5 or >2, padj<1E-4."	
Hasel_AlteredInAstrocytesBySynapticActivity	Hasel_2017_28462931	Hasel_2017_28462931	"Genes altered in astrocytes by synaptic activity. Mouse. From Supplementary Data 10 ncomms15132-s11.xlsx. Fold change <0.5 or >2, padj<1E-2."	
Park_LongTermPotentiationInducedActivityRegulatedGenes	Park_2005_10.1074/jbc.M605876200	Park_2005_10.1074/jbc.M605876200	Genes with significant alterations in their expression levels at one or more experimental time points after long term potentiation. Mouse. Fold change <0.5 or >2.	
Llorens-Bobadilla_AdultSvcNSCs_cluster1	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Genes associated with clusters in adult subventricular zone neuronal stem cells trhough PCA. Mouse. Table S2.	
Llorens-Bobadilla_AdultSvcNSCs_cluster2	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Genes associated with clusters in adult subventricular zone neuronal stem cells trhough PCA. Mouse. Table S2.	
Llorens-Bobadilla_AdultSvcNSCs_cluster3	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Genes associated with clusters in adult subventricular zone neuronal stem cells trhough PCA. Mouse. Table S2.	
Llorens-Bobadilla_AdultSvcNSCs_cluster4	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Llorens-Bobadilla_2015_10.1016/j.stem.2015.07.002	Genes associated with clusters in adult subventricular zone neuronal stem cells trhough PCA. Mouse. Table S2.	
