Gene	outputs_absolute	AD20	AD21	AD22	AD23	Camb10	Camb12	Camb13	Camb2	Camb4	Camb7	Camb8	Camb9	H043_4PGF	H043_5VWP	H043_63R6	H043_6F91	H043_BU96	H043_D9MRCY	H043_DSX2	H043_GESMJV	H043_GKS176	H043_LNWEGT	H043_N7LCPV	H043_PWC258	H043_W99H5K	H043_XACH	H043_XG4KY2	H043_ZMHY	HF2829	HF2919	HF2934	HF2998	HF3162	K06	K12	K14	K15	K16	K17	K20	K21	K22	K24	K26	K27	K30	K32	K34	K36	K37	Leeds101	Leeds105	Leeds106	Leeds28	Preston10	Preston16	Preston22	Preston24	Preston27	Preston30	Preston34	Preston36	Preston5	Preston7	R001	R002	R003	R005	R006	R007	R008	R009	R010	R095	R099	R100	R101	R102	R104	R106	R107	R108	R109	R110	R111	R112	R113	s123	s139	s151	s181	s245	s259	s279	s295	s309	s326	s341	s357	s383	s402	Walton10	Walton14	Walton19	Walton2	Walton3	Walton43	Walton46	Walton50	Walton55	Walton59	Walton5	Walton62	Walton63	Walton64	Walton67	Walton71	Walton82	Walton84	Walton8
METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED_TARGET_GENES	NA	0.22986248	0.057142857	0.0	0.23425196	0.0	0.010330578	0.012072435	0.15768462	0.019379845	0.0	0.0	0.0	0.005964215	0.078998074	0.018108651	0.022044089	0.0	0.08102767	0.0	0.0057034222	0.0	0.3484252	0.22420634	0.0	0.003992016	0.03883495	0.013207547	0.04509804	0.0	0.052427184	0.00589391	0.017716536	0.005976096	0.0	0.007968128	0.011090573	0.007843138	0.0	0.0	0.592	0.014141414	0.4481409	0.024	0.0	0.017077798	0.008988764	0.03508772	0.04536862	0.029296875	0.033797216	0.0	0.0020408162	0.0	0.03305785	0.01898734	0.0761523	0.0	0.00390625	0.0021097045	0.27892563	0.015748031	0.005988024	0.0019646366	0.0	0.09619238	0.040935673	0.014056225	0.0	0.14777328	0.0	0.016981132	0.18554688	0.1417004	0.00203666	0.3097166	0.06570842	0.15778251	0.009823183	0.0	0.0	0.03807615	0.0041067763	0.19926874	0.0	0.26930693	0.07984032	0.027542373	0.0	0.0	0.01871102	0.0	0.0	0.0	0.004032258	0.0	0.0	0.0	0.0	0.0057803467	0.04225352	0.007905139	0.1902834	0.004056795	0.018480493	0.027290449	0.003929273	0.0	0.0020325202	0.007984032	0.0	0.025210084	0.040733196	0.004140787	0.0	0.003960396	0.048828125	0.009803922	0.0625	0.008064516	0.006024096
IGLV5_37_TARGET_GENES	NA	0.0	0.027310925	0.0018832391	0.0	0.055900622	0.5086042	0.13095239	0.13987474	0.0	0.49414062	0.39676112	0.105788425	0.0042918455	0.29761904	0.0038986355	0.11287129	0.00814664	0.0	0.7568134	0.008	0.001984127	0.68659794	0.002008032	0.19393939	0.0059288535	0.0140280565	0.031712472	0.70039684	0.09356725	0.09486166	0.035433073	0.0139442235	0.24032587	0.18087319	0.16396761	0.26482213	0.1754386	0.18762475	0.10887097	0.0	0.028985508	0.3138833	0.0	0.0	0.003976143	0.033797216	0.38398358	0.0	0.75	0.47379455	0.0018939395	0.0062761507	0.07322176	0.0	0.024667932	0.0	0.25604838	0.22614108	0.0	0.09657948	0.016460905	0.31349206	0.010183299	0.010224949	0.43856332	0.72670805	0.035196688	0.06048387	0.0	0.024439918	0.02131783	0.0038314175	0.07157464	0.0019607844	0.0	0.0	0.031558186	0.0	0.002004008	0.0	0.0	0.0	0.006263048	0.00203666	0.01417004	0.0	0.007952286	0.0019120459	0.014799154	0.021442495	0.0057471264	0.0019493178	0.0	0.002057613	0.062374245	0.010080645	0.0020242915	0.019193858	0.020618556	0.006060606	0.001934236	0.0	0.045009784	0.5038168	0.007920792	0.0	0.0	0.033009708	0.006185567	0.011428571	0.022088353	0.002173913	0.025096525	0.037924152	0.035416666	0.008	0.00984252	0.006048387	0.006134969	0.0020449897
BDP1_TARGET_GENES	NA	0.0	0.0	0.0	0.0019880715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017175572	0.0	0.0	0.0	0.12820514	0.006451613	0.0	0.0	0.0	0.0	0.0058252425	0.0	0.0	0.0	0.0	0.0	0.0	0.011952192	0.0	0.0	0.0	0.0	0.0	0.0	0.0040899795	0.0	0.0	0.0019607844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN5C_TARGET_GENES	NA	0.08221798	0.0	0.015355086	0.02020202	0.0058365758	0.003984064	0.052532833	0.0020408162	0.002020202	0.004237288	0.004040404	0.0	0.13485478	0.005597015	0.045627378	0.02886598	0.10261569	0.0	0.004040404	0.0	0.009784736	0.13806707	0.0020533882	0.024904214	0.020283977	0.0	0.002057613	0.10095238	0.004192872	0.0	0.0	0.0	0.006012024	0.002016129	0.022680413	0.0020618557	0.0019607844	0.0075329565	0.0020120724	0.5252101	0.0	0.0020408162	0.030828517	0.007905139	0.0	0.0	0.0	0.00407332	0.0060362173	0.0	0.099609375	0.0	0.0	0.0	0.0	0.0	0.008016032	0.0	0.0	0.0	0.008350731	0.0	0.0	0.0	0.0	0.013752456	0.02385686	0.004115226	0.036885247	0.007968128	0.0	0.011952192	0.0	0.021526419	0.0	0.06324111	0.25788498	0.04208417	0.025590552	0.0	0.0770751	0.0062240665	0.14779271	0.017441861	0.003929273	0.002079002	0.038539555	0.0	0.0	0.009765625	0.0020661156	0.02504817	0.0	0.014373717	0.01002004	0.0	0.0	0.0	0.0	0.022044089	0.0	0.22156863	0.002008032	0.008	0.0065789474	0.0	0.00203666	0.0	0.0019646366	0.0	0.09218437	0.0	0.0060975607	0.0	0.0	0.0	0.0	0.0	0.0	0.012072435
SMCHD1_TARGET_GENES	NA	0.66328603	0.9364754	0.12840466	0.17097415	0.560396	0.5931174	0.9513619	0.89390963	0.082840234	0.5382979	0.4438095	0.44874275	0.55186725	0.202	0.62288135	0.9358178	0.42944786	0.6529774	0.28484848	0.6660156	0.33467743	0.43849206	0.44489795	0.7816764	0.20961538	0.26565874	0.050813008	0.104	0.5102041	0.87268996	0.56273764	0.6146045	0.30309278	0.728	0.63201666	0.9247525	0.66202784	0.8241107	0.91182363	0.90234375	0.7761807	0.4516129	0.90909094	0.042016808	0.62620425	0.46862745	0.112676054	0.82163185	0.5289079	0.6811321	0.44129553	0.5304878	0.16508539	0.016096579	0.062615104	0.17729084	0.5209205	0.6818182	0.7219153	0.723658	0.37190083	0.6616702	0.4317269	0.7919192	0.22357723	0.587269	0.85795456	0.8073218	0.1494024	0.0019157088	0.3942857	0.09128631	0.6396761	0.3959596	0.6023857	0.5252101	0.6639344	0.53346455	0.8857716	0.1124498	0.8497942	0.8101266	0.88376755	0.29651162	0.753112	0.4269006	0.28973842	0.10897436	0.5585774	0.88605106	0.70541084	0.22406639	0.08281574	0.8956693	0.5279503	0.80833334	0.2534113	0.012269938	0.52837574	0.17021276	0.26112187	0.25097275	0.008097166	0.8417969	0.964	0.8268041	0.78326994	0.55578095	0.7495146	0.46666667	0.49621212	0.5555556	0.496	0.8692153	0.36417323	0.5465587	0.44893616	0.9304175	0.08224299	0.7102616
ZSCAN5B_TARGET_GENES	NA	0.2	0.040697675	0.0513347	0.124763705	0.023952097	0.87250996	0.2398374	0.25099602	0.044444446	0.00203666	0.13636364	0.019148936	0.17557251	0.05942623	0.37474543	0.048449613	0.22633745	0.24901961	0.29166666	0.34516767	0.0038461538	0.1953125	0.9057692	0.008385744	0.3731959	0.7267327	0.077568136	0.2734531	0.0	0.03976143	0.5553471	0.3707415	0.0055350554	0.24418604	0.30278885	0.003921569	0.004158004	0.0	0.05394191	0.56804734	0.14901961	0.067729086	0.7413442	0.0019569471	0.50701404	0.12929294	0.08637236	0.057259712	0.48962656	0.4056604	0.016	0.2662722	0.14534883	0.15492958	0.21052632	0.52286285	0.09053498	0.046747968	0.38791424	0.5785288	0.13267326	0.041015625	0.05984556	0.055984557	0.12427185	0.13	0.411157	0.10671937	0.06762295	0.34285715	0.002105263	0.010121457	0.21676892	0.1367347	0.69539076	0.2	0.19477911	0.002004008	0.066	0.008048289	0.7243461	0.07920792	0.14166667	0.25048923	0.6078838	0.38353413	0.0859375	0.046421662	0.1380753	0.21541502	0.87398374	0.008213553	0.044487428	0.0	0.036437247	0.047034767	0.4004065	0.17813765	0.032786883	0.20281124	0.024952015	0.04660194	0.38767394	0.9918699	0.38132295	0.17659138	0.2771318	0.21553399	0.2862823	0.17058824	0.15226337	0.33069307	0.073529415	0.027944112	0.08958333	0.027722772	0.079918034	0.33898306	0.15618661	0.03164557
AHRR_TARGET_GENES	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OVOL3_TARGET_GENES	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004056795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003992016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXE1_TARGET_GENES	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020120724	0.0	0.0	0.0	0.007936508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXN3_TARGET_GENES	NA	0.30555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
