Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.13344717	-0.17733094	-0.14516228	-0.15316314	-0.14133175	-0.13814995	-0.07205409	-0.08359679	-0.14353962	-0.15683429	-0.16478465	-0.1063842	-0.15660854	-0.12043738	-0.1213527	-0.10459421	-0.1502577	-0.11338188	-0.17138873	-0.13747147	-0.14189695	-0.1717676	-0.0825297	-0.15351576	-0.16638586	-0.121351615	-0.11278467	-0.15392596	-0.15647012	-0.059474897	-0.17673858	-0.13436508	-0.15431803	-0.17253809	-0.18917467	-0.16773748	-0.109543465	-0.12295892	-0.17366609	-0.1687821	-0.13633956	-0.16318385	0.049444165	-0.1644875	-0.15678069	-0.14217772	-0.16206917	-0.14111733	-0.1702842	-0.09795129	-0.16122547	-0.15422331	-0.12886286	-0.13436715	-0.18542086	0.058943328	-0.11009686	-0.14823319	-0.14536996	-0.09953287	-0.18163684	-0.12818095	-0.1248926	-0.12026089	-0.13701591	-0.10391754	-0.19132476	-0.16294545	-0.08387429	-0.1649992	-0.15681104	-0.13729773	-0.15090457	-0.1332059	-0.16990086	-0.1594085	-0.15378277	-0.16020066	-0.09748431	-0.12874356	-0.14985034	-0.1811009	-0.14213815	-0.17775616	-0.09976127	-0.18062283	-0.18176067	-0.15742119	-0.12256829	-0.13666444	-0.15082291	-0.15383713	-0.14112097	-0.11559029	-0.118010186	-0.11061788	-0.114364676	-0.18843962	-0.07646304	-0.1438208	-0.15794061	-0.15342568	-0.1660077	-0.11904747	-0.13761011	-0.15511592	-0.18037274	-0.14477728	-0.1604817	-0.15791818	-0.09401773	-0.1546088	-0.1665338	0.08449746	-0.17231275	-0.16734147	0.080805816	-0.14523059	-0.11577652	-0.08733798
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.2293036	-0.20105807	-0.18787564	-0.1828997	-0.1421653	-0.22816893	-0.1303764	-0.09656926	-0.22274633	-0.24110205	-0.17958212	-0.19087599	-0.20096809	-0.16488451	0.1811866	-0.15422697	-0.22654542	-0.17776671	-0.23055287	-0.20188655	-0.20337309	-0.20392756	-0.1290717	-0.22337267	-0.20942415	-0.18600778	-0.17491193	-0.2180854	-0.1980736	-0.12323308	-0.24156508	-0.17811863	-0.18375592	-0.18125267	-0.22222574	-0.19687589	-0.12791227	-0.14509994	-0.22032604	-0.1955423	-0.18368903	-0.20956539	0.097770765	-0.22326946	-0.17481399	-0.22150719	-0.19283624	-0.17440127	-0.14636996	0.16675591	-0.25313315	-0.20148057	-0.17142336	-0.14945804	-0.23794247	-0.118195914	-0.17249636	-0.15778604	-0.19765548	0.18888313	-0.2330075	-0.1863046	-0.16660784	-0.2210403	-0.24353291	-0.21921584	-0.21485916	-0.22451715	-0.16534086	-0.2066583	-0.24730277	-0.18300185	-0.23459466	-0.12211868	-0.19876595	-0.2359087	-0.19954236	-0.19156505	-0.17413649	-0.191902	-0.2744458	-0.22485372	-0.18091264	-0.18671076	-0.16376548	-0.22270629	-0.23051736	-0.22077258	-0.21062608	-0.20815037	-0.2031126	-0.20474707	-0.21178634	-0.20504528	-0.2492427	-0.14282717	-0.14552157	-0.24441387	-0.14942344	-0.20142095	-0.18791988	-0.22593805	-0.2393626	-0.11891265	-0.21949199	-0.21260785	-0.21847074	-0.17846191	-0.21680988	-0.19282673	0.13020906	-0.22543603	-0.21750133	-0.18569279	-0.24723257	-0.22615293	-0.13357556	-0.1778794	-0.1015522	-0.12796193
AFF4	-0.245256	-0.22049811	-0.2004611	-0.20087929	-0.1660511	-0.24445967	-0.13802435	-0.11337215	-0.2427014	-0.25435597	-0.19786052	-0.19161281	-0.2151302	-0.17489985	-0.18577078	-0.16665396	-0.238445	-0.1868782	-0.24546419	-0.21267168	-0.20945367	-0.21856934	-0.13827881	-0.24380793	-0.2273186	-0.19423328	-0.18453595	-0.22902092	-0.21636057	-0.13580959	-0.26113653	-0.19523941	-0.20906286	-0.2019047	-0.23840906	-0.2174828	-0.14192706	-0.16788432	-0.23324041	-0.21016772	-0.20196702	-0.22740863	0.10094416	-0.23652175	-0.19715676	-0.23329346	-0.21135674	-0.18884116	-0.16090262	0.17518313	-0.26381156	-0.21687843	-0.19277571	-0.15331656	-0.26070383	-0.124316536	-0.18352233	-0.1679553	-0.21270421	-0.19503887	-0.24370576	-0.21246573	-0.18036965	-0.22672205	-0.25815713	-0.22775121	-0.23657128	-0.24604546	-0.17262079	-0.22047497	-0.2626174	-0.20426269	-0.25518504	-0.14101732	-0.21144329	-0.2518814	-0.22104537	-0.2075229	-0.19314206	-0.20721336	-0.28850672	-0.23522344	-0.19909537	-0.20882928	-0.17351562	-0.24101485	-0.25135815	-0.23014691	-0.23197599	-0.22265524	-0.22095959	-0.21764101	-0.22536908	-0.21734144	-0.2603755	-0.1557872	-0.15167205	-0.257808	-0.16087535	-0.21611564	-0.20398487	-0.23703375	-0.25841305	-0.13696264	-0.23025681	-0.23232895	-0.23638803	-0.19837622	-0.23689798	-0.20978232	0.1367202	-0.24649812	-0.24321236	-0.20130649	-0.2549677	-0.24600957	0.1358309	-0.20150149	-0.124347635	-0.13826984
AGO1	-0.1589381	-0.15759866	-0.15048519	-0.14075956	-0.10816819	-0.15772964	-0.06060405	-0.055901714	-0.14421271	-0.16895817	-0.15489739	-0.13100746	-0.15079306	-0.12137373	-0.12855697	-0.11393714	-0.16372426	-0.119435616	-0.1601473	-0.13254248	-0.14544748	-0.1541322	-0.084977165	-0.17410775	-0.16919868	-0.13160263	-0.12393956	-0.14780466	-0.16717672	-0.07539056	-0.17977646	-0.14316392	-0.16178696	-0.14230353	-0.16674542	-0.1616258	-0.085786626	-0.12034404	-0.17235686	-0.1547848	-0.120549604	-0.14276855	0.064062625	-0.1629724	-0.14224692	-0.14499483	-0.16293436	-0.13601021	-0.11127602	-0.12386529	-0.19970475	-0.14553793	-0.14795464	-0.0879944	-0.17942002	-0.093777776	-0.12600107	-0.11047978	-0.14722423	0.12096703	-0.16666794	-0.15026967	-0.086522505	-0.13785261	-0.16815287	-0.13719572	-0.17134151	-0.18646026	-0.120048836	-0.15903601	-0.18806404	-0.14219797	-0.16249293	-0.11802233	-0.1498994	-0.17314547	-0.14278607	-0.15723488	-0.13439564	-0.123124056	-0.18451335	-0.16869156	-0.12366757	-0.14511658	-0.12133888	-0.16098142	-0.17505631	-0.16193022	-0.16062535	-0.15822764	-0.16158298	-0.15856887	-0.16269249	-0.12455252	-0.18373497	-0.09982906	-0.08702257	-0.17279673	-0.10113256	-0.15036806	-0.13329978	-0.15968451	-0.16869323	-0.10685792	-0.14978369	-0.16170257	-0.15625161	-0.1344212	-0.16144428	-0.14771405	-0.08335877	-0.1732036	-0.16460258	0.11176363	-0.17063355	-0.17782387	-0.082457535	-0.15198132	-0.09665334	-0.09116727
AGO2	-0.13275073	-0.12730865	-0.11593703	-0.10453632	-0.085537806	-0.08495646	-0.023705566	-0.030740025	-0.110037334	-0.1539577	-0.11911081	-0.08556197	-0.124372065	-0.09803322	-0.092780836	-0.073515676	-0.1306481	-0.09875347	-0.13098815	-0.10095955	-0.11834171	-0.119574234	-0.061379645	-0.12540779	-0.11120498	-0.12077295	-0.07564574	-0.11979265	-0.13308337	0.05165829	-0.15603052	-0.1102236	-0.12541762	-0.1303853	-0.12653664	-0.13110228	-0.042092305	-0.1040947	-0.13353397	-0.127852	-0.097624265	-0.11893911	0.08088951	-0.11060558	-0.099386856	-0.1036781	-0.132578	-0.11220101	-0.09204108	0.09019943	-0.14551577	-0.09318772	-0.114221126	-0.055108853	-0.13844663	-0.083912216	-0.09704218	-0.05829447	-0.10302736	0.09032001	-0.1420686	-0.11125293	-0.048779733	-0.098790385	-0.10541854	-0.105301455	-0.14297286	-0.15055753	-0.10048398	-0.13431299	-0.13396253	-0.12373141	-0.12818807	-0.1254213	-0.118113	-0.12878515	-0.11947695	-0.14454883	-0.08300251	-0.081717364	-0.15137707	-0.1336791	-0.10832401	-0.12676659	-0.091587886	-0.13387413	-0.12662643	-0.12858233	-0.12603855	-0.121080615	-0.122843884	-0.10894663	-0.12947227	-0.078223534	-0.1482562	-0.06822315	-0.062305413	-0.12542431	-0.06324474	-0.12657	-0.116471395	-0.117161244	-0.12921466	-0.09372473	-0.12294397	-0.13433965	-0.12271495	-0.11457053	-0.115124285	-0.11428991	0.056026436	-0.12860316	-0.13402389	-0.09297009	-0.13768631	-0.13682607	0.047768153	-0.11225127	-0.07438505	-0.07997876
AHR	-0.21485655	-0.1776759	-0.15085615	-0.15436694	-0.129485	-0.20534435	-0.11239777	0.07407403	-0.18395731	-0.20608933	-0.15572569	-0.15790498	-0.15702802	-0.14005597	0.16029419	-0.12545452	-0.18017036	-0.13296713	-0.18893014	-0.1670308	-0.16704369	-0.18481451	-0.109672755	-0.19833247	-0.1864981	-0.15673837	-0.16109005	-0.1862815	-0.17478047	-0.11332752	-0.20333737	-0.16038433	-0.16910431	-0.17359637	-0.1998539	-0.17048307	-0.1246857	-0.12723997	-0.19694339	-0.16588408	-0.15767035	-0.18228357	0.08470411	-0.19214119	-0.15968303	-0.18062301	-0.16962628	-0.14919844	-0.12422008	0.15437107	-0.22455737	-0.17538492	-0.16353701	-0.1270201	-0.19572985	-0.10396282	-0.14411317	-0.13714722	-0.1628271	0.16165729	-0.19259112	-0.17629679	-0.13081568	-0.19193426	-0.2156392	-0.18617128	-0.1872867	-0.20750095	-0.14764372	-0.18023765	-0.22494735	-0.16171649	-0.20006138	-0.11860527	-0.17527415	-0.20591038	-0.1748752	-0.16071741	-0.1480362	-0.17885894	-0.23575099	-0.19949897	-0.15541224	-0.16155887	0.1338744	-0.18827277	-0.20552784	-0.195302	-0.1831502	-0.1799501	-0.1814993	-0.18243085	-0.18047921	-0.16767213	-0.22579479	-0.13812028	-0.11888787	-0.21046044	-0.12572998	-0.17336665	-0.16013665	-0.19940543	-0.1965384	-0.11690413	-0.19696416	-0.1974417	-0.19267479	-0.166101	-0.18353152	-0.1575202	0.115556076	-0.19278197	-0.18789393	-0.1624178	-0.21565217	-0.19097732	0.11082748	-0.16467805	-0.10764051	-0.11430712
AHRR	-0.099885635	-0.09647628	-0.1138528	-0.085455775	-0.068380825	-0.12633446	-0.04413894	-0.069607824	-0.13859183	-0.108112976	-0.086682215	-0.081334695	-0.10798767	-0.091136605	-0.072474435	-0.10271897	-0.093979776	-0.11943611	-0.09232371	-0.08080401	-0.098572694	-0.09207351	-0.086995006	-0.097217366	-0.11665366	-0.08585501	-0.102988236	-0.11447856	-0.09425831	0.05414483	-0.10762089	-0.049784366	-0.08803083	-0.13396645	-0.10402038	-0.11898765	-0.062118493	-0.10013338	-0.13620631	-0.09176843	-0.10083934	-0.11490045	-0.060688294	-0.07228855	-0.09853666	-0.09698156	-0.092200525	-0.06642876	-0.073063	0.058801048	-0.14364041	-0.09147945	-0.08418441	-0.045965437	-0.07670971	-0.06754343	-0.0857644	-0.053101566	-0.08828652	-0.13741347	-0.103820056	-0.09404902	-0.043279827	-0.08266805	-0.09249849	-0.1159452	-0.08313489	-0.11264027	-0.05703591	-0.09277562	-0.14298809	-0.07521069	-0.11915968	-0.06325804	-0.12642568	-0.10195089	-0.11338483	-0.10313734	-0.102515794	-0.0604761	-0.13960889	-0.11970045	-0.10502982	-0.09524373	-0.091076635	-0.078433536	-0.11710013	-0.11951575	-0.08281484	-0.07356479	-0.101830795	-0.09086916	-0.07348117	-0.10605228	-0.12479354	-0.07470979	-0.10282746	-0.13073732	-0.05791706	-0.08305935	-0.115889624	-0.09310939	-0.09883299	-0.08011897	-0.10788474	-0.094169766	-0.114466354	-0.09389393	-0.075762354	-0.079295725	-0.087048866	-0.087342784	-0.10984425	-0.097584575	-0.11731599	-0.109143324	-0.069359384	-0.095123194	-0.06150636	-0.095623575
AMH	-0.39242026	-0.43257967	-0.41326794	-0.33505017	-0.30002895	-0.3551884	0.10687399	-0.22888564	-0.33871013	-0.31384057	-0.38821682	-0.17944925	-0.15573926	-0.3576961	-0.22220814	-0.2424041	-0.2697654	-0.25233063	-0.23831879	-0.29997098	-0.25026086	-0.4451594	-0.19360733	-0.14173913	-0.3516542	0.23280199	-0.24594326	-0.2901304	-0.28512466	0.12386305	-0.31722772	-0.29935783	-0.24303173	-0.26260865	-0.30165216	-0.38234106	-0.22749273	-0.22937614	-0.3473478	-0.22423618	-0.24989854	-0.43946373	-0.15717393	-0.3777681	-0.17302899	-0.2071304	-0.50971013	-0.35400924	-0.16199996	-0.26221237	-0.26586232	-0.16369565	-0.3891557	-0.30740577	-0.35413042	0.1666997	-0.22904387	-0.18797098	-0.35816026	-0.21769562	-0.42752174	-0.20871603	-0.29144347	-0.2485652	-0.20540576	-0.3283623	-0.315052	-0.25257853	-0.1788731	-0.46910143	-0.21914491	-0.250942	-0.20440578	-0.420159	-0.44884056	-0.18671013	-0.273971	-0.3293432	0.11555051	-0.17237677	-0.31735694	-0.22223184	-0.2636811	-0.2173333	-0.24866225	-0.20340729	-0.19395648	-0.28731883	-0.25911593	-0.33497104	-0.26192752	-0.2816725	-0.30592453	-0.30991304	-0.27305794	-0.25492752	-0.3069275	-0.32027534	-0.17603545	-0.37840578	-0.39378256	-0.4617681	-0.122333296	-0.17369094	-0.33175358	-0.17668112	-0.33626083	-0.35942027	-0.43504345	-0.20767172	-0.18495457	-0.28218943	-0.32711735	-0.30146375	-0.41153622	-0.33617386	-0.19532946	-0.3442462	-0.2577475	-0.21882722
APC	-0.15994035	-0.16787468	-0.14504741	-0.15181	-0.13520236	-0.14858127	-0.071215846	-0.08397552	-0.1574214	-0.17696193	-0.16101956	-0.12814067	-0.15436381	-0.12171433	-0.13007228	-0.1063916	-0.1638225	-0.11261813	-0.1618861	-0.12817423	-0.14880322	-0.17103249	-0.08552756	-0.16208959	-0.16536663	-0.1282411	-0.11075228	-0.1549217	-0.16488245	-0.063290864	-0.17362574	-0.1403698	-0.16026074	-0.18995039	-0.18890727	-0.19186871	-0.09442392	-0.15141734	-0.18504219	-0.18604949	-0.13056481	-0.1385271	0.047486812	-0.15572526	-0.15286513	-0.14803454	-0.17685163	-0.1336354	-0.15432276	-0.1165526	-0.18180464	-0.14490058	-0.13885453	-0.102385014	-0.18524548	-0.05828866	-0.10786977	-0.12939797	-0.16023046	-0.11977394	-0.17621107	-0.15375257	-0.11016968	-0.14496624	-0.14537644	-0.124451675	-0.18925303	-0.19020957	-0.09799017	-0.16664612	-0.16247642	-0.15114269	-0.15226354	-0.14394352	-0.1769306	-0.15876916	-0.14183164	-0.17330508	-0.12310357	-0.13605878	-0.16566767	-0.18707192	-0.14772719	-0.16112524	-0.10949281	-0.17262533	-0.17854217	-0.13069487	-0.14522398	-0.14757285	-0.15524668	-0.15942493	-0.14704196	-0.11674459	-0.16322649	-0.10507667	-0.112623274	-0.16834158	-0.08779223	-0.1419412	-0.14209248	-0.15750141	-0.176416	-0.13075237	-0.14902739	-0.16900034	-0.17995238	-0.14261515	-0.14884053	-0.15881094	-0.09111454	-0.17664015	-0.17426556	-0.107674606	-0.16486932	-0.18493496	-0.08831325	-0.13749948	-0.12016843	-0.094555736
