Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-4.850962	-6.5982013	-5.3902717	-5.7992973	-5.3068295	-5.109789	-2.8045557	-3.1595602	-5.314058	-5.7809677	-6.353897	-3.9606214	-6.101406	-4.5190797	-4.650378	-3.929912	-5.5868893	-4.2588186	-6.4019628	-5.1420274	-5.251164	-6.482003	-3.1934536	-5.65253	-6.338002	-4.6799517	-4.412181	-5.6944857	-5.891726	-2.2519302	-6.710801	-5.0872564	-6.03484	-6.412119	-7.082585	-6.370396	-4.1046004	-4.7712784	-6.3724036	-6.45588	-5.057284	-6.0617657	1.9136401	-6.0878587	-6.0153236	-5.1997275	-5.971736	-5.278686	-6.418175	-3.8069017	-6.185269	-5.629076	-4.9782357	-4.8472853	-6.930024	2.2329857	-4.2450385	-5.500058	-5.693194	-3.6931345	-6.6153855	-4.940219	-4.7514076	-4.5036364	-5.0368447	-3.9245353	-7.2505364	-6.240959	-3.1957035	-6.1480055	-5.72385	-5.1408057	-5.637339	-5.1152406	-6.3441925	-5.8140273	-5.6936088	-6.043843	-3.7351317	-4.6794868	-5.667659	-6.796301	-5.2385087	-6.810679	-3.8828726	-6.815595	-6.770927	-6.00885	-4.5665927	-5.227919	-5.559159	-5.968154	-5.348552	-4.322615	-4.248281	-4.0467052	-4.286262	-7.0156083	-2.950294	-5.3862004	-5.926995	-5.628462	-6.12282	-4.681851	-5.06964	-5.7232914	-6.601286	-5.283511	-5.9427814	-6.0357604	-3.5944872	-5.9610434	-6.377598	3.1459718	-6.481708	-6.1930475	3.1737154	-5.4259715	-4.508679	-3.3763893
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-19.517698	-17.072586	-16.92761	-16.176281	-12.308431	-19.067879	-11.755339	-8.773552	-19.083834	-20.669996	-16.438297	-16.232931	-17.87284	-14.735887	15.782781	-13.98023	-20.572123	-15.877283	-19.779213	-17.385784	-17.216486	-17.58635	-11.333412	-19.085522	-19.31609	-16.325062	-15.432581	-18.316385	-17.867788	-10.937081	-21.742596	-16.278477	-16.271688	-15.293224	-18.903715	-17.510178	-10.817622	-13.035597	-19.121159	-17.74936	-15.575587	-17.752674	8.722745	-19.215862	-15.6819515	-18.708694	-16.276178	-15.855781	-12.666356	15.005622	-22.592182	-16.875334	-15.214339	-12.907644	-20.075712	-10.633064	-15.303257	-13.262322	-17.480982	16.178993	-19.98721	-16.664585	-14.902055	-18.598835	-20.631763	-18.548672	-19.269163	-20.217192	-15.014718	-17.57153	-21.424461	-15.825082	-19.700583	-10.84567	-17.284252	-20.228045	-17.14718	-17.122103	-15.816096	-16.409021	-24.496891	-19.293682	-15.29434	-15.955283	-14.678291	-20.10969	-19.91047	-18.49573	-17.787949	-18.894009	-17.253149	-17.920647	-18.694273	-17.52261	-21.212044	-12.0450735	-12.152809	-20.673042	-13.282845	-17.147787	-15.82138	-19.285616	-20.39392	-10.842254	-18.692287	-18.25762	-18.31461	-15.221601	-18.64409	-17.562136	11.563315	-20.06773	-19.267067	-15.913481	-20.779057	-19.489809	-12.030313	-15.768046	-9.156107	-11.674465
AFF4	-20.586002	-18.714375	-18.268011	-18.257647	-14.514057	-20.78645	-12.211309	-10.114057	-20.497932	-22.19391	-17.484001	-16.376091	-19.019743	-15.675914	-16.45552	-15.223217	-21.045	-16.969162	-20.898823	-18.302994	-17.687786	-18.325525	-12.10867	-21.224176	-20.284552	-16.931683	-16.738316	-19.93286	-19.638088	-12.263223	-24.19102	-17.67989	-19.240019	-17.217966	-20.230253	-19.575417	-11.889815	-15.075479	-19.26462	-18.815056	-17.22157	-18.90086	8.773364	-20.053764	-17.994032	-19.958906	-18.35475	-17.02461	-13.283895	15.798522	-23.20088	-18.986563	-16.975607	-13.187792	-22.52366	-11.229996	-16.284895	-13.9881735	-19.195042	-16.42499	-21.297571	-18.60091	-16.335306	-19.177721	-21.472683	-18.938848	-21.195454	-22.115274	-15.710176	-18.716888	-21.90289	-17.392948	-21.801626	-12.333015	-18.182076	-20.686672	-18.429148	-18.711569	-17.657558	-17.840694	-26.043867	-20.096575	-17.471428	-17.791098	-15.438974	-21.53495	-21.037853	-19.24099	-19.850702	-19.876472	-18.881289	-19.36591	-20.469238	-17.985016	-21.84458	-13.269374	-12.616481	-22.295925	-14.4723625	-17.826277	-17.076963	-20.499903	-21.739464	-12.6329155	-19.567484	-19.716053	-19.920061	-16.463608	-19.488976	-18.633305	12.216313	-21.982523	-21.976412	-16.858463	-21.304586	-20.936333	11.879938	-17.990316	-11.039508	-12.525038
AGO1	-13.907265	-13.529913	-13.7451935	-12.744959	-9.458016	-13.802032	-5.6115727	-5.0834436	-12.294572	-14.5458555	-13.948177	-11.474161	-13.984215	-11.120401	-11.828208	-10.304008	-14.801863	-10.872617	-13.921947	-11.670987	-12.385656	-13.499135	-7.7184353	-15.127034	-15.431908	-12.238236	-11.209858	-12.690164	-15.324442	-6.908133	-16.49154	-12.762134	-14.584271	-12.21807	-14.350242	-14.732822	-7.4409285	-11.176726	-15.028319	-14.266242	-10.132378	-12.549957	5.805519	-14.38923	-12.869846	-12.731465	-14.044646	-12.298675	-9.729891	-11.119388	-18.687862	-12.4853735	-13.785335	-7.3551807	-15.805841	-8.637319	-11.32341	-9.762683	-13.405552	10.722127	-14.643057	-13.745933	-7.7762613	-12.109764	-14.423818	-12.131192	-15.684815	-16.270166	-10.796247	-13.89143	-16.251972	-12.293909	-14.283318	-10.468954	-13.2321205	-15.316845	-12.320451	-14.534395	-12.218971	-10.518835	-16.55897	-14.824588	-10.690285	-12.586743	-11.132327	-14.572777	-15.310058	-14.078307	-14.114722	-14.620459	-14.041504	-14.526832	-14.588199	-10.999421	-15.979066	-8.846369	-7.3778195	-14.93869	-9.051773	-12.939201	-11.563929	-14.070857	-14.740219	-9.59204	-13.333689	-13.768986	-13.191748	-11.794363	-14.091689	-13.518449	-7.420489	-15.466613	-14.80024	9.850714	-14.935178	-15.3885565	-7.6491055	-13.683266	-8.891729	-8.278045
AGO2	-5.741054	-5.4446993	-5.1450915	-4.7304626	-3.7049255	-3.640783	-1.0546411	-1.4118098	-4.679626	-6.6169543	-5.3837824	-3.8122947	-5.579648	-4.405143	-4.3010664	-3.3240004	-5.8082747	-4.4896274	-5.6746583	-4.4124665	-5.1288776	-5.2264767	-2.7699041	-5.356029	-4.957597	-5.4014125	-3.4007092	-5.1392097	-5.948544	2.3412182	-7.034993	-5.0728197	-5.7868752	-5.559292	-5.5001283	-5.8290687	-1.805264	-4.702071	-5.721732	-5.672656	-4.1903453	-5.034838	3.6112463	-4.774493	-4.5586944	-4.452399	-5.658257	-4.953366	-3.9581316	4.0833354	-6.6039886	-3.918406	-5.101229	-2.3768282	-6.0828714	-3.8068902	-4.3607635	-2.5206928	-4.6480827	3.8543046	-6.1548758	-4.996754	-2.2000124	-4.3091087	-4.5799494	-4.5414047	-6.3965316	-6.819802	-4.5628386	-5.8644314	-5.823671	-5.2796087	-5.490692	-5.577195	-5.1811523	-5.620612	-5.2270412	-6.424083	-3.7986712	-3.488112	-6.8409247	-5.9877625	-4.683995	-5.5179267	-4.066253	-6.061601	-5.484276	-5.621116	-5.44533	-5.3316493	-5.1548667	-4.8505898	-5.7491937	-3.449808	-6.6412754	-2.99082	-2.7052758	-5.3759375	-2.8799083	-5.5169997	-5.0466566	-4.997261	-5.5323358	-4.1368856	-5.288351	-5.7550807	-5.290585	-4.922692	-4.97418	-5.0846715	2.5732012	-5.661943	-6.0515857	-3.9349086	-6.0056458	-5.933094	2.1602788	-4.9611325	-3.3683608	-3.505525
AHR	-17.781172	-14.867005	-13.31253	-13.265494	-10.466341	-16.99417	-9.509045	6.4843535	-14.977108	-16.765379	-13.668322	-12.946571	-13.571639	-11.957247	14.0676985	-10.840026	-15.657986	-11.423336	-15.43343	-13.646146	-13.716706	-15.433156	-9.41917	-16.345009	-15.892319	-13.410562	-13.703891	-15.519072	-15.055486	-9.6355	-17.75643	-13.686471	-14.320045	-13.936005	-16.292692	-14.612439	-10.17648	-10.85011	-16.155146	-14.2177105	-12.860711	-15.029536	7.084066	-15.611514	-13.673549	-15.07217	-13.648695	-13.122037	-10.23962	13.153772	-19.687725	-14.485122	-14.219853	-10.457553	-15.743539	-9.09348	-12.777354	-11.219383	-13.979992	13.137985	-15.625751	-15.281015	-11.031467	-15.5816345	-17.704489	-15.214787	-16.1426	-17.878656	-12.812157	-14.625685	-18.474468	-13.519494	-16.382444	-10.376914	-14.305094	-17.07861	-14.2815075	-13.329903	-12.809871	-14.5698185	-20.323761	-16.450047	-12.651011	-13.080966	11.468784	-16.493298	-16.744146	-15.977085	-15.022404	-15.981868	-14.686516	-15.84647	-16.021042	-13.799308	-18.814974	-11.642747	-9.765514	-17.393791	-10.753956	-14.1904955	-13.141738	-16.599932	-16.480164	-10.268079	-16.03755	-16.435617	-15.285091	-13.63338	-15.478541	-13.597486	10.074037	-16.35525	-16.272346	-13.350378	-17.5669	-15.481644	9.685082	-14.154373	-9.338549	-9.882483
AHRR	-2.6961637	-2.6320932	-3.233844	-2.4166987	-1.8506274	-3.3212101	-1.2321156	-2.015616	-3.6661534	-2.9857538	-2.4678307	-2.1812313	-3.0361776	-2.5223389	-2.0285823	-2.8805428	-2.6363606	-3.3723865	-2.4552407	-2.1996913	-2.6283472	-2.5099177	-2.426852	-2.6402967	-3.2370837	-2.446054	-2.8972228	-3.0841913	-2.6098344	1.5486329	-3.0977905	-1.3753178	-2.4688585	-3.581081	-2.7384417	-3.3383675	-1.6467826	-2.8260639	-3.6182435	-2.606125	-2.6404932	-3.1302958	-1.6900531	-1.957409	-2.7579148	-2.5729249	-2.453866	-1.8554616	-1.9761441	1.6412171	-3.9280996	-2.4652915	-2.337727	-1.2072693	-2.0882282	-1.9027141	-2.4677052	-1.4038825	-2.524069	-3.6325822	-2.7763267	-2.6382627	-1.2183961	-2.198902	-2.4565516	-3.1024044	-2.389835	-3.050222	-1.5802703	-2.5108466	-3.8264387	-2.0489397	-3.1922715	-1.7657257	-3.3376317	-2.7513874	-3.0425475	-2.906765	-2.8850965	-1.5879754	-3.885339	-3.2111883	-2.7859018	-2.5277877	-2.5674696	-2.1835945	-3.2254555	-3.1605625	-2.193585	-2.0487254	-2.7317004	-2.5544362	-2.0684853	-2.8185475	-3.4423032	-2.0333104	-2.7516162	-3.505807	-1.6256516	-2.2124481	-3.1337955	-2.485282	-2.656421	-2.2963772	-2.8900018	-2.537978	-3.0232708	-2.5532486	-2.0174038	-2.3054557	-2.4586697	-2.493711	-3.056157	-2.6448166	-3.0863576	-2.9137712	-1.9589896	-2.6644602	-1.777008	-2.6806142
AMH	-1.8355439	-2.0687594	-1.9563597	-1.5806912	-1.4164288	-1.6357926	0.4895821	-1.0779208	-1.6143647	-1.441566	-1.7601465	-0.8377051	-0.73662424	-1.6772317	-1.0221028	-1.1341759	-1.25762	-1.1755517	-1.1218072	-1.4159505	-1.1626186	-2.128988	-0.90371776	-0.66795135	-1.69956	1.1014591	-1.1554042	-1.3506262	-1.3618045	0.5896392	-1.4731992	-1.3794037	-1.1473091	-1.2161456	-1.4018016	-1.8119498	-1.0838625	-1.0607932	-1.6154524	-1.0891708	-1.1337956	-2.1026566	-0.7357322	-1.7814817	-0.7967432	-0.9550384	-2.3443124	-1.6794394	-0.73903245	-1.2322129	-1.2748805	-0.7435699	-1.8368019	-1.4539106	-1.6962047	0.7693954	-1.0713384	-0.87756515	-1.6662714	-1.0083907	-2.0214114	-0.9783726	-1.3318552	-1.1635649	-0.95598024	-1.5353575	-1.4687103	-1.1861224	-0.8356539	-2.2312787	-0.9961835	-1.1817114	-0.9581959	-1.9567521	-2.1437848	-0.87190646	-1.3107651	-1.5111797	0.535974	-0.8052113	-1.4572191	-1.0198842	-1.2260656	-1.0043725	-1.1416712	-0.93177015	-0.9142857	-1.289723	-1.2255616	-1.5826962	-1.2123488	-1.3177408	-1.3981394	-1.420663	-1.3233974	-1.2093524	-1.439089	-1.5104469	-0.8118623	-1.7723465	-1.8482758	-2.116556	-0.57337713	-0.8183049	-1.548136	-0.82600826	-1.6038449	-1.683292	-2.013379	-0.9797898	-0.8629357	-1.3070741	-1.5189636	-1.3852093	-1.9031425	-1.5989869	-0.9364492	-1.614075	-1.2040769	-1.0016613
APC	-9.614398	-10.109836	-8.956531	-9.425055	-8.314724	-8.810761	-4.352951	-5.082357	-9.366065	-10.649512	-9.575454	-7.5902543	-9.2572975	-7.6567445	-8.302574	-6.5535645	-10.172397	-6.961661	-9.559028	-7.6705284	-8.736791	-10.253301	-5.270051	-9.846004	-10.328807	-8.051828	-6.7746563	-9.182283	-9.915378	-3.9863915	-10.671678	-8.608436	-10.067999	-11.203114	-11.648889	-11.670398	-5.649804	-9.208142	-11.20197	-11.287956	-8.009237	-8.339062	2.9378715	-9.398011	-9.367201	-9.077536	-10.678134	-8.293464	-9.210058	-7.103708	-11.245982	-8.735275	-8.6703415	-6.3110986	-11.173488	-3.5403736	-6.6458335	-7.8263597	-9.90968	-7.110268	-10.444575	-9.61488	-6.859636	-8.719911	-8.787433	-7.419035	-11.240906	-11.730897	-5.9933496	-9.988142	-9.668761	-9.198421	-8.999227	-9.050445	-10.724774	-9.399763	-8.608034	-10.5597	-7.756875	-8.242384	-10.326372	-11.459147	-8.785927	-9.742922	-6.6974797	-10.6678915	-10.60382	-7.781672	-8.728395	-9.338891	-9.332842	-9.9884405	-9.04156	-6.9758825	-9.88703	-6.2911925	-6.68356	-10.119167	-5.5542364	-8.450674	-8.6155	-9.506294	-10.874201	-8.155682	-9.22584	-10.132761	-10.829738	-8.631201	-8.773511	-9.967728	-5.489815	-10.926992	-10.560896	-6.531503	-10.068615	-11.054879	-5.44871	-8.368139	-7.4349613	-5.8729753
