Gene	TCGA-19-4065	GLSS-HF-B972	GLSS-19-0266	GLSS-MD-0023	GLSS-HF-6658	GLSS-CU-R019	GLSS-HF-2548	GLSS-HF-3050	GLSS-19-0268	GLSS-SM-R093	GLSS-19-0271	GLSS-CU-R004	GLSS-19-0273	GLSS-SM-R063	GLSS-CU-P102	GLSS-19-0270	GLSS-MD-LP04	GLSS-MD-0022	GLSS-19-0272	GLSS-SM-R103	GLSS-SM-R080	GLSS-SM-R066	GLSS-SM-R088	GLSS-MD-0035	TCGA-06-0125	GLSS-19-0274	GLSS-HF-57AE	GLSS-19-0267	GLSS-HF-EE74	GLSS-HF-6504	TCGA-06-0210	GLSS-19-0277	GLSS-SM-R060	GLSS-19-0276	GLSS-SM-R068	GLSS-19-0278	GLSS-19-0280	GLSS-HK-0003	GLSS-CU-P069	GLSS-HF-DF35	GLSS-CU-P055	GLSS-MD-0042	TCGA-14-1034	GLSS-CU-P003	GLSS-SM-R064	GLSS-SM-R083	TCGA-19-0957	GLSS-19-0275	GLSS-HK-0001	GLSS-19-0269	GLSS-CU-P046	GLSS-MD-0026	GLSS-SM-R065	GLSS-HF-9A7A
ADA2	-4.6602106	-6.967566	-4.7540703	-3.3693507	-5.7093544	-4.796133	-5.161358	-4.860134	-5.4938755	-2.9971209	-5.421192	-2.4799657	-5.628854	-4.82483	-4.0644226	-5.1463323	-5.8998528	-3.9038858	-5.4477158	-1.8680905	-4.233218	-2.002286	-5.4453382	2.156977	-4.436573	-5.1092925	-6.4859624	-5.2704005	-4.794403	-6.6678233	-5.015312	-5.6409154	-2.840785	-5.226749	-2.707613	-4.9642344	-6.065682	-4.9043903	-5.4999204	-6.8767743	-6.135244	-4.2835407	-4.927015	-6.9185033	-2.3142364	-3.5321572	-4.8410463	-5.475088	-6.7839336	-5.313979	-6.298447	-4.6533413	-3.3938596	-6.1591496
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-15.095789	-15.472403	-15.371416	-11.102559	-17.794405	-14.216757	-13.720507	-15.945246	-12.683448	-12.593528	-12.730765	-12.95101	-12.941384	-15.830204	-10.812815	-13.047804	-14.84328	-15.2947445	11.092548	-8.184003	-15.214433	-9.681071	-19.029892	-8.982011	-16.514467	-12.990704	-17.486904	-12.255531	-13.815148	-16.77124	-17.263294	-13.993054	-12.934935	-11.263808	-11.173677	-16.302023	-15.61325	-13.41636	-15.611048	-16.91782	-17.20944	-16.155767	-19.416086	-20.033407	-9.05978	-12.524203	-13.471981	10.720247	-16.494852	-13.947841	-15.639791	-15.470919	-7.5588036	-17.184711
AFF4	-17.038418	-16.532192	-16.920288	-11.142998	-19.306423	-15.163617	-15.82342	-16.75774	-13.767185	-13.580953	-13.751672	-13.861535	-14.550614	-17.23496	-11.820476	-14.610674	-16.847147	-16.18087	-11.516757	-8.878552	-16.8172	-9.7511015	-20.54912	-10.104315	-18.256058	-15.421129	-19.929316	-13.703507	-14.6507435	-18.869007	-19.000086	-15.034554	-13.894879	-13.532217	-11.584927	-17.88019	-17.435118	-15.100108	-17.44561	-17.838926	-17.580667	-17.15894	-21.637304	-21.387924	-9.684314	-12.648785	-14.142533	-12.430183	-17.322962	-14.6831665	-17.155073	-16.26648	-8.660962	-19.146461
AGO1	-12.601827	-12.865855	-10.18715	-8.734294	-12.295016	-11.491592	-11.901311	-12.065541	-10.725131	-9.162494	-9.736354	-10.458796	-10.474012	-11.2852545	-9.6567	-10.631038	-10.825357	-9.929547	-8.264285	-7.0283365	-10.3462515	-7.949693	-13.800969	-6.6772084	-12.081038	-9.790561	-13.770267	-10.246272	-10.551182	-13.32319	-13.031693	-11.100181	-7.837123	-10.070374	-6.9660234	-11.465684	-11.659328	-10.857975	-11.704618	-12.235981	-13.447248	-10.670857	-15.615702	-15.199713	-6.8175244	-7.8152366	-10.201828	-9.673221	-12.537022	-10.413664	-12.489228	-9.395778	-6.611567	-12.404326
AGO2	-5.109132	-4.22747	-4.573569	-4.1612506	-4.7670426	-4.023522	-4.801767	-4.223198	-4.939212	-3.1028395	-3.8922064	-4.2701373	-4.2906346	-4.464159	-4.033974	-4.0857816	-4.3922114	-4.6449637	-3.7640731	-2.4771893	-3.4181209	-2.5597475	-5.0862055	-2.2921655	-3.4019065	-3.580345	-4.873793	-4.484314	-4.122833	-4.860676	-4.8723464	-3.787947	-2.3422923	-4.3130465	-2.118322	-4.650208	-4.5114875	-4.65486	-4.829097	-4.1125937	-5.020749	-3.7530034	-5.4858527	-4.341393	-2.2518756	-3.115365	-3.6259413	-3.6444383	-4.1623464	-4.3545566	-4.520069	-3.6012123	-2.9863467	-5.2048163
AHR	-16.020597	-15.677515	-14.534004	-10.85397	-16.297678	-14.248772	-14.900196	-16.356817	-12.775448	-12.4248295	-12.767034	-12.135086	-13.164416	-15.204174	-11.668873	-11.937166	-15.20537	-14.056932	-10.036001	-9.020368	-15.319683	-8.987092	-17.412718	-8.556143	-16.48375	-13.535314	-18.567554	-11.914421	-13.235598	-16.722078	-16.998487	-12.885099	-11.99472	-13.12235	-10.620309	-14.868112	-15.039845	-13.149111	-14.926677	-15.15399	-17.223007	-15.341866	-18.302738	-18.211336	-8.79484	-11.911741	-11.854897	-11.352587	-16.744806	-13.69122	-16.283375	-14.3514595	-9.69077	-17.293314
AHRR	-2.572858	-2.720535	-2.4265172	-1.9356704	-3.1252904	-3.0443048	-2.4830573	-3.0292647	-2.8695111	-1.5638998	-2.3600671	-2.0842543	-3.294852	-2.8828046	-1.6672773	-2.4222226	-2.8790014	-2.8594756	-1.8548094	-1.3311172	-2.7396388	1.3538642	-3.1600962	-1.685748	-2.8103442	-2.523824	-2.6040845	-2.5372555	-3.5188673	-2.951386	-3.5384204	-2.1493204	-1.5696647	-2.7040532	-1.7259203	-2.090873	-3.018877	-2.3009086	-2.8790634	-2.611102	-2.505622	-2.8408413	-4.178066	-3.1367025	1.6670843	-1.906061	-2.2814753	-2.865517	-2.6894615	-2.3511512	-3.0284052	-2.8568914	-1.9357944	-2.6414604
AMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APC	-9.12973	-9.775522	-9.623595	-5.94454	-10.118105	-8.70884	-8.583926	-9.237915	-10.39461	-5.9746323	-9.260691	-5.510088	-9.35205	-7.8180346	-6.564674	-9.720579	-10.652424	-7.08919	-8.547325	-4.6746283	-6.903499	-3.3909688	-9.713616	-3.2636101	-7.9365573	-9.116962	-11.12805	-8.179709	-8.608911	-11.334564	-10.047621	-9.7742	-5.4191146	-9.375905	-4.9378734	-8.883755	-9.89108	-8.630365	-9.0441	-10.166562	-9.843332	-7.620451	-9.99935	-11.201727	-3.718803	-6.070416	-8.10269	-8.348515	-10.244333	-9.033751	-9.946837	-7.482039	-5.3686686	-9.620933
