Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	0.03080229	2.5573636E-5	0.0	0.0	0.0	0.011070978	0.6942636	0.0	3.394934E-4	0.0	0.0	0.055592455	9.479004E-6	6.1126215E-5	0.0	0.021920525	0.0	0.08710997	0.81562495	4.341792E-6	0.08560954	0.0	0.19616379	0.0	0.0	0.5296535	0.0051317215	4.770719E-6	0.0	0.006034054	0.0	3.816662E-6	0.0	0.0	0.0	0.0	2.6516298E-5	0.0	1.5434058E-4	0.0	1.21929086E-4	1.4569699E-4	6.1319163E-4	0.0	0.0	4.0954583E-6	0.0	0.0011637871	0.0	4.0007285E-6	8.645199E-6	0.0	0.0	0.0028543952	0.0	0.0139464	0.0	0.0	0.0	0.103829965	1.2108963E-5	0.0	0.0	0.0029756145	0.10249311	0.050627258	0.0	6.934843E-5	0.053523216	5.1535667E-6	0.036023386	0.0	0.017280336	1.5579E-5	0.0	0.007716501	6.924467E-5	3.9063692E-5	0.0	6.881628E-5	4.5875445E-6	0.0	0.0	0.0	0.004635733	0.0	0.0	0.6073909	0.005827327	9.416415E-6	0.0	2.7416274E-4	0.0	0.30487475	0.0	2.057604E-4	0.098329	0.0	0.083638765	0.0	0.0	1.5862899E-4	2.5829484E-4	1.9590258E-4	0.19607283	4.713822E-4	0.0	0.0	0.007375594	0.0	0.015361282	0.0	4.4604913E-6	0.46036673	4.9205846E-4	0.0	0.011156987	7.423994E-5	0.0	0.014963739
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9279207E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.1906968E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.804935E-6	0.0	0.0	1.7434048E-5	0.0	0.0	0.0	0.0	0.0	0.0	6.7905403E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGO1	0.0	0.0	0.0	0.0	0.0	0.0	5.854163E-5	1.5684504E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3988948E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8941783E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027822042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7240774E-5	1.07581545E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6346613E-4	0.0	0.0	0.0	0.0	0.0	0.041529868	0.0	0.0	0.62859166	0.0	0.0	0.0	0.0	0.0	0.0	6.7344204E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.174386E-5
AGO2	0.028485296	0.08219329	3.095649E-5	1.6683292E-5	1.0907426E-4	0.11680432	0.7328051	0.5462463	4.813942E-6	0.0040543573	1.326747E-4	0.056893747	0.04468576	0.57488406	0.0010572893	0.5024824	0.0	0.030238658	0.015822392	0.0043090642	0.8190098	0.0	0.007349524	0.0	0.0094271805	0.02996708	0.479962	1.5307507E-4	4.6193256E-4	0.0017187091	3.689877E-6	7.166652E-4	7.514529E-5	0.0	0.05711566	0.0	0.1356928	0.036368083	8.352891E-4	0.0	0.005456157	0.03350655	0.056994956	2.9000843E-5	0.0	1.1089959E-4	3.1335698E-5	0.0023104572	7.468665E-4	0.0020743574	8.665304E-6	1.8468473E-4	2.7789996E-5	0.19833091	0.0	0.082690716	0.063341916	0.14033502	0.08215533	6.097018E-4	0.0	1.2364141E-4	0.34185338	0.1375151	0.056453053	0.021650847	0.0	0.032245964	0.0021975387	0.011681706	0.0021824462	0.0	0.015544696	0.001367865	0.009460949	0.092792265	0.001487539	0.0021267491	0.0	0.008407268	0.021378154	0.096617125	0.0047370493	0.0	0.01001292	5.138138E-4	3.8914245E-6	0.6374386	0.05760515	0.12623054	0.0033542246	0.0016576367	0.0037068224	0.742172	0.0	0.27789414	0.7894855	0.0022930726	0.10451049	8.823007E-6	0.006655429	2.4171338E-4	0.09045461	0.025264444	1.7560892E-4	0.010274703	0.0014046469	0.0011830726	0.054617822	5.7955517E-4	0.2312616	0.031575266	0.0019779461	0.073558226	0.007932431	0.0022663136	0.79307634	0.0026341088	0.050559826	0.3440843
AHR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.609983E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHRR	0.09574501	0.015456421	0.0	0.03799098	0.20556012	0.08343987	0.22497454	7.507215E-4	7.0958707E-4	8.223598E-6	0.012869875	1.0	0.0044077975	0.038073722	1.6287537E-4	0.13007182	3.323313E-5	2.1705064E-5	0.9361572	0.18758342	0.06355603	3.3084805E-5	0.032581612	4.343663E-5	0.006690855	0.13182324	0.30473915	0.02568763	0.273378	0.07245668	2.5305815E-5	0.0031807625	2.9540196E-4	4.0647915E-6	0.002930562	2.16177E-5	0.6564542	9.45337E-4	0.027682392	1.0849408E-5	0.0027869954	0.04314605	0.047159605	0.0016708153	0.0	2.0413885E-5	0.006138863	0.88243467	0.3596833	1.7579988E-4	0.005233974	0.0038730374	1.4014654E-4	0.01192899	0.08796079	0.34469128	0.018255567	0.08348988	0.0075199343	0.50699466	0.13577138	0.0	0.0014857341	0.15054555	1.0	0.30017838	0.0529831	0.22319025	0.36362538	0.08179635	0.28513873	0.007747558	0.20693643	0.03471505	5.995583E-4	0.40044165	0.2632368	0.013199648	0.0	0.5577098	0.0041946974	0.01447919	0.0020556422	5.3517334E-4	5.339824E-4	2.2808748E-4	0.006029882	0.34728488	0.093039446	0.5161963	3.9677412E-4	0.0038958278	0.024700137	0.36389893	2.3554087E-4	0.09680257	0.3443478	0.004381188	0.4837655	0.03904606	2.0340155E-4	0.33640343	0.27036518	0.3202727	0.6005082	0.24194437	6.908339E-5	0.010094631	0.98327947	0.015568508	0.065202124	0.012596614	7.9320744E-4	0.014321341	0.017632488	0.036825515	0.1283064	0.37850806	0.537525	0.1731785
AMH	0.16304916	0.07596212	0.040084124	0.5813672	0.57185006	0.3987615	0.42570224	0.1443619	0.22132668	0.5069702	0.002254914	0.84586823	0.24128309	0.0065552155	0.33312148	0.30633062	2.2805716E-4	0.23823944	0.015638836	0.016194284	1.0	0.1650942	0.7369759	0.01018698	0.13594319	0.2639384	0.952469	0.079388164	0.8317705	0.9287454	0.45633656	0.32260197	0.12828645	0.0046114167	0.004231881	0.051515896	0.15665916	4.1789026E-4	0.115598336	0.09847053	0.25748223	0.22528097	0.22788425	0.0025615375	0.59617126	0.13276511	0.007483718	0.6331264	0.7616066	0.32964104	0.62429374	0.4042557	0.4022802	0.122739464	0.1919498	0.6563751	0.40187517	0.099716425	0.018954944	1.0	0.2626321	0.47412777	0.095354706	0.12172787	0.86007595	0.93722594	0.005788533	0.3995328	0.7005949	0.07362942	0.84374696	0.117635526	0.30296364	0.67881274	0.0073671592	0.10041038	1.0	0.021319542	0.9538478	0.34346944	0.91904265	0.8928826	0.0502058	0.27449447	0.82327294	0.7232364	0.34905726	0.6957218	0.20557936	0.51333165	0.020482369	0.7490663	0.10997618	0.28636026	0.03416601	0.121373795	0.5891277	0.060950372	0.99961734	0.03599817	0.09463333	0.0562488	0.6049252	0.5962385	0.20791787	0.303252	0.6887534	0.44823816	0.31888196	0.6727675	0.7470744	0.3385282	0.028406153	0.9656107	0.25705084	0.0044722874	0.29662	0.14227298	0.2123941	0.7345028
APC	5.4054577E-5	0.0	0.0	0.0	0.0	0.0	0.013126628	0.0	0.0	0.0	0.0	3.7234812E-4	0.0	0.0	0.0	0.0	0.0	3.0503423E-5	5.9016555E-4	0.0	2.530455E-4	0.0	1.1238348E-4	0.0	0.0	0.002051362	0.0019467092	0.0	0.0	4.9489245E-6	0.0	0.0	0.0	0.0	0.0	0.0	1.0776228E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.821876E-6	0.0	0.012946875	0.0	0.0	0.0	3.657534E-4	0.0	0.0	0.0	0.0	5.483781E-6	0.07180738	0.0	0.0	3.2972466E-4	0.0	1.3151908E-5	0.0	1.3772883E-4	0.0	0.0	8.4085215E-5	0.0	0.0	0.0	0.0	1.2838477E-5	0.0	0.0	0.0	6.094256E-5	0.0	0.0	0.46055686	0.0	0.0	0.0	0.0	0.0	0.06295016	0.0	4.939119E-6	6.189978E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.624917E-6	5.3810704E-6	0.0	0.0	0.0	1.13944025E-5	0.0	0.0	0.0	0.0	0.005331803	0.0	0.0	0.0	0.0	0.0	4.9047343E-5
