Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-1.7143689	-2.8490689	-4.561911	-3.7697148	-3.5762522	-1.92321	-0.83169097	-3.3097427	-2.4773042	-3.2285376	-4.579379	-1.6003249	-3.2363513	-2.7220473	-3.5786912	-1.7960111	-3.2956574	-1.4848818	1.340875	-2.9215367	-1.5051357	-4.277269	-1.2713244	-3.505758	-5.105728	-0.9542763	-2.0693543	-3.1906612	-3.2421687	-2.0227325	-4.077477	-3.1660864	-2.926596	-5.10597	-3.7154849	-5.4179444	-2.8070965	-3.1229763	-2.5904934	-5.4124894	-2.6436586	-2.5839112	-2.3676171	-4.385327	-5.0934467	-3.044387	-3.27642	-2.2645547	-4.9012966	-3.036981	-2.9222188	-3.051503	-3.0044377	-2.1445675	-4.595426	2.1142883	-3.020939	-3.7818637	-3.716106	-1.4506297	-2.8579733	-3.845003	-3.0544283	-2.164247	-1.4554117	-1.6254089	-5.0697374	-2.6549435	-1.5935048	-3.1258094	-1.6825697	-3.9419034	-1.8247526	-2.8826323	-3.7376738	-1.9927069	-2.6491838	-2.7677906	-5.609335	-2.6555228	-3.2270744	-3.298657	-4.1937184	-4.4437046	-2.054994	-3.6532795	-4.679882	-0.90954274	-2.0256007	-2.8753412	-4.253556	-2.4361405	-3.6756327	-1.1730022	-3.4269118	-2.5238569	-1.5033395	-3.5636241	-1.492852	-3.628054	-3.2938023	-2.5855744	-2.5019186	-2.5493248	-1.2780082	-2.4229002	-3.9598923	-3.8009818	-2.0080156	-4.834479	-1.8640151	-3.6625493	-3.1547132	-1.003464	-2.403035	-3.4909565	-1.9096903	-2.67633	-3.0368752	-1.8796307
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-5.487679	-6.9445806	-14.2888365	-9.760667	-8.715548	-6.8855963	-5.297379	-7.6800694	-8.507755	-9.702495	-8.836447	-7.244511	-9.317105	-6.5745673	-14.734382	-6.3608217	-14.569938	-9.541886	-6.870355	-7.8902717	-4.7323613	-12.001478	-8.519301	-11.077658	-10.211247	-6.1010933	-4.680639	-8.33471	-10.757082	-8.380233	-16.278706	-12.583187	-10.417538	-10.38754	-5.6966143	-14.879808	-4.729164	-7.909147	-6.5423007	-15.275043	-7.055443	-6.7449226	-8.49844	-14.886551	-17.07837	-10.516423	-7.6115117	-9.18065	-5.9815607	-13.583827	-9.864161	-11.712303	-11.646092	-4.984902	-13.903082	-7.6332445	-10.644088	-6.997828	-9.789685	-8.502446	-10.209913	-17.337326	-8.029412	-6.523727	-7.1264486	-6.253826	-12.779331	-8.0557	-10.117878	-5.6843405	-8.66618	-13.555182	-9.234425	-5.6012793	-7.546573	-5.6089664	-7.7524657	-7.9191146	-22.497395	-7.48957	-10.22446	-8.606615	-7.7945614	-12.646587	-12.360125	-10.61868	-13.3597	-4.125518	-9.142221	-6.365023	-8.862359	-10.5449	-10.983998	-3.574226	-19.719147	-7.84898	-2.6111636	-9.730018	-10.374401	-10.03719	-9.15252	-10.693879	-7.1844354	-2.7990947	-8.228908	-7.3988914	-9.066072	-7.7001243	-5.291289	-11.422697	-6.065841	-14.124092	-9.903352	-8.043871	-9.17222	-6.8688536	-8.00019	-8.34994	-5.465171	-6.28744
AFF4	-5.7590237	-6.680189	-14.319659	-10.949326	-9.32271	-6.2629185	-4.9780526	-7.910645	-9.4707365	-9.437144	-9.756601	-7.567417	-9.84705	-7.1911087	-15.781596	-5.9488206	-14.993266	-9.954458	-6.925605	-7.915947	-4.628448	-11.604595	-8.007174	-10.64301	-11.010288	-5.88368	-4.855825	-8.387504	-11.568064	-8.666423	-16.707905	-12.5199175	-12.334108	-10.85321	-5.659604	-16.45889	-4.639705	-8.944966	-6.4131165	-15.828424	-8.356866	-6.9842896	-8.865485	-16.187773	-18.602036	-10.839539	-7.843657	-10.376599	-6.3742747	-14.421275	-9.43699	-12.378838	-12.054916	-5.410712	-13.461235	-7.338652	-9.744749	-6.883792	-10.162857	-8.181932	-10.244749	-18.144512	-8.481198	-6.23067	-7.1645136	-6.8675513	-12.605764	-8.4333315	-10.724883	-6.230817	-9.079319	-14.469493	-8.620393	-5.658854	-8.160197	-5.7684836	-8.697231	-7.981773	-23.563915	-7.039479	-10.55853	-8.504352	-7.33428	-13.840905	-12.268962	-11.882863	-14.5243435	-4.2546525	-9.509011	-6.0600896	-9.217456	-10.745359	-11.586098	-3.1431215	-20.079565	-7.5286865	-2.8523114	-9.620401	-10.782626	-10.14564	-9.629045	-11.113594	-7.6391926	-3.058014	-7.727718	-7.4007	-9.993761	-8.757268	-5.051524	-12.842246	-6.1104307	-14.106274	-10.212462	-8.436367	-9.007036	-7.55545	-8.026938	-8.846555	-5.259569	-6.371369
AGO1	-4.0751157	-4.34887	-7.8759375	-6.497056	-6.959453	-4.908297	-2.786491	-2.980595	-5.31164	-6.0581117	-7.198863	-4.3367686	-4.7305794	-3.8183725	-9.571768	-3.1422188	-9.265313	-5.2115564	-3.967155	-4.9559665	-4.143454	-8.309178	-4.4543214	-8.395138	-7.31421	-4.2359796	-2.833779	-4.8945107	-7.633141	-3.7872891	-10.544494	-8.815597	-7.9900365	-7.7528424	-4.218356	-10.301542	-2.5548236	-5.361174	-5.009225	-11.055967	-4.391714	-3.5610867	-3.1736214	-10.364588	-11.600849	-6.4723253	-5.7926903	-6.222312	-3.4530687	-8.621112	-7.3711762	-7.519413	-8.999013	-2.1484258	-8.932763	-4.3980565	-7.05884	-4.5712767	-5.9931407	-4.8092375	-6.8099713	-10.364844	-2.8557992	-3.095948	-4.8222456	-3.997434	-9.517013	-5.6578526	-6.128764	-4.3500547	-6.176063	-9.397237	-4.904149	-4.7614083	-5.3724194	-3.924703	-5.015389	-6.114202	-14.22958	-4.2926464	-5.16783	-6.572462	-4.3707814	-9.442032	-7.723129	-6.091775	-10.528487	-2.4960008	-6.9591794	-3.9565833	-7.459933	-6.160218	-6.9330935	2.13886	-13.152766	-5.550296	0.9370918	-6.572312	-4.5420938	-7.4063396	-5.633196	-7.3596067	-4.96746	-3.0463264	-4.919181	-4.8276753	-6.3974967	-5.690783	-3.5192397	-8.143567	-3.295555	-9.088599	-5.606347	-4.7625394	-4.8995934	-4.5530953	-4.7440968	-5.500311	-3.293429	-2.944508
AGO2	-1.7303531	-1.492943	-2.772127	-2.8802245	-2.5660129	-1.4253311	0.97221017	-0.9483894	-3.2490318	-2.0670903	-2.598068	-1.5936247	-1.6275345	-0.91431385	-2.2732296	1.0836064	-3.186519	-1.7126193	-1.8465087	-2.076566	-0.74205524	-3.3624024	-1.9865687	-3.6969693	-1.920604	-1.745666	-0.9999702	-2.5632632	-2.4003782	-2.233294	-2.9126103	-2.3380194	-2.5945947	-3.3476133	-1.5860558	-3.325522	-1.3844516	-1.681679	-2.347735	-3.420195	-2.0415719	-1.703127	1.8012499	-2.8222086	-3.0994935	-2.6152322	-2.7675278	-2.162701	-2.3342063	-2.169374	-2.9278522	-2.5131881	-2.748825	1.3841604	-3.0221002	-1.5084208	-1.5494908	-1.3613064	-1.4970983	-2.394607	-3.1712165	-2.5723233	-1.1023767	-1.3861425	-1.5947436	-1.7984293	-3.7229636	-1.7012737	-2.1742747	-1.9051433	-2.191168	-3.8459876	-1.8445278	-2.2874448	-1.9199497	-1.4836385	-2.2397966	-2.1870997	-3.505939	-1.9645113	-1.7823023	-1.4564846	-2.057042	-3.1057253	-1.9217664	-2.4024515	-2.9539433	-0.88024193	-1.5717108	-1.3909974	-2.0979655	-2.2141354	-2.0935993	1.034178	-4.4869	-1.1715542	-0.774788	-2.17397	-1.438581	-3.0398726	-1.9805901	-2.5019188	-1.4780263	-1.7776812	-2.557601	-1.9208329	-2.2300906	-2.2754726	-1.6166207	-2.346701	-1.2367427	-1.695415	-2.1871521	-1.5252606	-1.9647491	-2.1616964	0.9576681	-2.1455555	-1.6145825	-1.1218479
AHR	-5.9760847	-7.528486	-12.972045	-9.788375	-9.601949	-6.5487285	-4.024723	-6.4892774	-7.3695893	-8.933557	-8.625359	-5.2033434	-9.356336	-6.2194138	-13.60854	-5.9674244	-13.352103	-8.269251	-6.6211905	-7.076491	-5.1953382	-11.946162	-7.591666	-10.283199	-10.88221	-5.47474	-4.459447	-7.2487364	-11.317783	-7.7009454	-14.064013	-11.282626	-11.005561	-13.084552	-6.636331	-15.156898	-4.560762	-7.748683	-6.8740087	-14.720278	-6.620759	-6.5811706	-7.479936	-13.486381	-16.877779	-9.488267	-7.403276	-8.775084	-7.3513527	-12.3398695	-9.448161	-10.648202	-11.25661	-5.8863454	-12.67159	-6.1278424	-8.630063	-7.114478	-9.426517	-6.3546715	-9.592056	-15.897697	-8.101255	-5.400648	-5.0767603	-4.6876383	-12.690218	-8.143107	-8.406005	-6.260393	-7.2429175	-12.721486	-7.955475	-6.204892	-8.023953	-5.2955427	-6.8190894	-8.077901	-19.821598	-7.084131	-9.762414	-9.64938	-8.019825	-12.592161	-9.731693	-9.721149	-12.738306	-3.447417	-7.8593736	-5.829778	-9.946893	-9.681841	-9.715875	-2.970316	-18.288363	-7.3137755	-3.1838763	-9.753259	-8.778127	-8.509945	-8.858192	-9.483328	-7.323171	-4.752586	-6.3337655	-7.795377	-9.190062	-9.119582	-4.435315	-11.521513	-5.6265736	-12.437594	-9.251153	-6.506219	-7.7055044	-7.379613	-7.081859	-8.086506	-5.736926	-4.7114205
AHRR	-1.4633723	-1.8468528	-3.215815	-1.6567714	-1.2567164	-1.5113264	-1.2492085	-2.357049	-2.3688204	-2.818185	-1.8765539	0.9183308	-2.0557594	-1.6674641	-2.5230381	-1.3969976	-2.72469	-2.7892332	-0.62344104	-1.2896601	-1.5792466	-2.6771157	-1.6984407	-2.679706	-1.9833459	-1.3977473	-1.1609477	-1.7473178	-1.1724082	-1.5357382	-2.7705636	-2.0994549	-2.4492602	-3.0213726	-2.1336672	-2.782006	-0.8599477	-2.3158858	-1.7378887	-2.8696206	-2.153033	-1.6490787	-1.6119021	-2.206869	-3.0385299	-2.8039825	-2.0231836	-0.681405	-1.087657	-2.5217128	-2.0274813	-2.0736148	-2.5501256	-1.9002781	-1.4640588	1.3001648	-1.8076673	-1.4918209	-1.9717033	-0.97777593	-1.372254	-3.51903	-2.2416258	-1.3610419	0.92845935	-1.1593715	-1.579659	-1.2387928	-1.0895315	-1.5044562	-1.1702591	-1.9523151	-1.2584677	-1.7023176	-2.3533928	-1.0666976	-1.1959743	-1.871722	-3.2803857	-0.93469274	-2.0755837	-1.8538735	-2.198329	-2.3884382	-2.4043	-2.5014482	-1.9937179	-1.1324952	-1.4597559	-0.9609397	-2.4264872	-2.0782197	-1.7482345	-1.1139563	-2.4828172	-1.4606029	1.2187735	-2.0626981	-0.99016315	-1.6577268	-2.5003784	-1.10787	-1.1825098	-1.1472596	-0.9002275	-1.2113905	-2.6031446	-1.9160485	0.55739415	-1.8343016	-1.5644404	-1.8668143	-2.3246796	-1.8648615	-1.8226905	-1.668269	-1.3843918	-1.0693913	-0.9497023	-1.3306587
AMH	-1.325423	-1.5109497	-1.6407903	-0.9101007	-0.91923714	-1.0704107	-1.041607	-1.3678721	-1.2422352	-0.96157116	-2.165821	-0.71408725	-1.214398	-2.009691	-1.1040924	-1.1561909	-2.4712586	-1.2237929	-1.8484539	-1.8422284	0.5288957	-1.3119404	-0.7991422	-1.9093095	-1.3683639	-1.2004453	1.0441478	-1.5015097	-0.7206055	0.7863679	-0.9972282	-1.1205375	-1.3783697	-2.0343091	-2.0770743	-1.5849522	-1.3428583	-2.432111	-1.4214838	-1.4359499	-1.1951404	-1.2451603	-1.223075	-2.135624	0.9769179	-1.3736912	-1.9866626	-0.8754453	-0.7798198	-1.114912	-0.8826093	-1.0523708	-1.0465221	-1.4033289	-1.2658906	-0.86655205	-1.0474793	-1.4480656	-1.8013691	1.2244184	-1.1902566	-0.98126864	-1.4491557	-1.4172559	0.8624945	-0.62790835	-2.0061643	-1.0539813	1.0677086	-1.5294427	-0.7234194	-1.3928889	-1.141357	-0.8449986	-1.9645747	-1.4644649	0.72940594	-1.7804884	-0.592219	-1.1191105	-0.6391829	-0.6726593	-1.6075397	-1.1677076	-0.72912794	-0.8094323	-1.0902493	-0.8358744	-1.2556458	-0.9635961	-1.776591	-0.78915256	-1.4200616	-1.1931481	-1.6685268	-1.4041394	-0.940103	-1.5632389	0.58210844	-1.6751792	-1.4499348	-1.5783025	-0.8987168	-0.9138583	-1.2610626	-1.1449758	-0.8327043	-1.0101652	-1.1509922	-0.8402225	0.88935775	-1.1035191	-1.7202736	0.6806825	-1.1979017	-2.0548208	-1.1504028	-1.3559818	-1.2608244	1.0150416
APC	-2.7000904	-4.7734957	-6.838345	-5.6996465	-4.9811373	-3.5364735	-1.9100015	-3.6497223	-4.889062	-4.632568	-5.1978865	-2.482487	-5.637898	-4.0103908	-4.9165998	-3.1147993	-5.8012094	-2.7460244	-2.3858807	-3.8044438	-2.5387309	-7.4581122	-2.596943	-4.768482	-7.7345896	-2.2160652	-2.2334783	-3.347861	-6.037846	-2.9680912	-6.481529	-5.4796147	-4.6956515	-8.436107	-5.122964	-9.395223	-2.9176192	-5.9682016	-3.7938857	-8.816161	-3.159917	-3.8704193	-3.4197192	-5.7205915	-8.806871	-4.7605314	-5.566475	-3.4204404	-5.9464593	-5.1669054	-4.885103	-5.4728894	-4.2367997	-2.9383261	-7.7150664	2.1457624	-3.8606973	-5.177773	-5.152376	-2.475357	-5.091185	-7.439724	-3.1363297	-3.3366382	-3.2658148	-1.546168	-7.8965635	-5.5083766	-2.461263	-3.59719	-2.9249156	-5.4495807	-2.5743248	-5.0546837	-6.6038795	-2.657814	-3.244452	-5.0640936	-8.278145	-4.39235	-2.9676013	-6.332946	-5.0563793	-7.004393	-2.6949115	-5.4635615	-7.3507857	-1.0329479	-3.794536	-3.7816079	-6.6205544	-3.6849353	-5.130412	-1.5936219	-7.096342	-3.2023993	-2.4408367	-3.9765844	-3.1879394	-4.2021456	-5.3706856	-4.1858025	-3.7909057	-3.013999	-3.2341633	-4.2541013	-5.9530745	-5.425544	-2.9355104	-6.993585	-3.1996408	-6.113657	-5.408156	-2.0424814	-3.49239	-4.923024	-3.2984228	-3.641298	-4.0062027	-2.7475004
