Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	0.018255578	0.0	0.0	0.0	0.0	0.0058252425	0.6822612	0.0	0.0	0.0	0.0	0.05357143	0.0	0.0	0.0	0.013487476	0.0	0.06938776	0.12452107	0.0	0.05168986	0.0	0.18379447	0.0	0.0	0.49898168	0.002	0.0	0.0	0.0019723866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020703934	0.0	0.0	0.0	0.001980198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020618557	0.0	0.0	0.0	0.0	0.0	0.08171206	0.0	0.0	0.0	0.0	0.08704454	0.05068226	0.0	0.0	0.03809524	0.0	0.030674847	0.0	0.004132231	0.0	0.0	0.0020120724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003868472	0.0	0.0	0.5575049	0.004056795	0.0	0.0	0.0020491802	0.0	0.24223602	0.0	0.0	0.07392996	0.0	0.06924643	0.0	0.0	0.0	0.0	0.0	0.16839917	0.0	0.0	0.0	0.0	0.0	0.01968504	0.0	0.0	0.4539749	0.0	0.0	0.007843138	0.0	0.0	0.006134969
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52190477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGO2	0.020618556	0.08118812	0.0	0.0	0.0	0.09448819	0.48296595	0.50309277	0.0	0.005952381	0.0	0.04553734	0.029906543	0.5683594	0.0020449897	0.34243697	0.0	0.020715632	0.019148936	0.0	0.7882353	0.0	0.007797271	0.0	0.0040816325	0.024952015	0.42716536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043659043	0.0	0.08704454	0.030828517	0.0020833334	0.0	0.0076045627	0.017821781	0.013282732	0.0	0.0	0.0	0.0	0.0	0.001984127	0.0	0.0	0.0	0.0	0.091451295	0.0	0.06378601	0.051759835	0.10373444	0.07959183	0.0	0.0	0.0	0.33849558	0.125	0.049281314	0.015086207	0.0	0.017892644	0.0	0.007575758	0.0	0.0	0.011235955	0.0020661156	0.013833992	0.06626506	0.001934236	0.0	0.0	0.012820513	0.026970955	0.07628866	0.002008032	0.0	0.010373444	0.0	0.0	0.5917526	0.045009784	0.10927835	0.0	0.0	0.002016129	0.39922482	0.0	0.25	0.7292929	0.0	0.09823183	0.0	0.0040650405	0.0	0.08979592	0.017316017	0.0	0.0040241447	0.0	0.0	0.035643563	0.0019305019	0.19193858	0.037181996	0.0	0.060215052	0.008350731	0.001968504	0.4921875	0.002004008	0.037117902	0.31504065
AHR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHRR	0.08997955	0.014492754	0.0	0.026639344	0.17073171	0.070993915	0.1750503	0.0021008404	0.0	0.0	0.011976048	0.5440313	0.0021276595	0.017578125	0.0019455253	0.12172285	0.0	0.0	0.92621356	0.1553398	0.03968254	0.0	0.022346368	0.0	0.0058365758	0.08924949	0.26819924	0.022727273	0.25502008	0.043568466	0.0	0.0	0.0	0.0	0.002	0.0	0.65182185	0.0	0.024253732	0.0	0.002008032	0.029166667	0.03359684	0.0	0.0	0.0	0.0	0.84790874	0.32723576	0.0	0.004192872	0.002079002	0.0	0.0062370063	0.072874494	0.17573221	0.006085193	0.058467742	0.011904762	0.4883227	0.13502936	0.0	0.0	0.11788618	0.545809	0.2718254	0.054108217	0.19556452	0.32748538	0.06666667	0.24691358	0.008163265	0.16504854	0.02964427	0.0	0.35670102	0.22776572	0.010309278	0.0	0.52663934	0.004115226	0.017408123	0.0041841003	0.0	0.0	0.002074689	0.0057581575	0.27380952	0.09054326	0.4989733	0.0	0.0020408162	0.01632653	0.3225191	0.0	0.07968128	0.23404256	0.0042283298	0.4516129	0.03976143	0.0	0.3265306	0.238	0.25204918	0.5627615	0.2096436	0.0	0.008196721	0.9828694	0.017509727	0.054	0.009823183	0.0	0.012024048	0.006	0.029013539	0.09221312	0.34355828	0.5138632	0.15116279
AMH	0.14836223	0.06924643	0.028625954	0.57421875	0.5395257	0.35306123	0.3866171	0.13582677	0.19477911	0.48478702	0.0020876827	0.8319838	0.23529412	0.008264462	0.294	0.2760736	0.0	0.2200393	0.011494253	0.01734104	0.98638135	0.16409266	0.71881187	0.0062761507	0.13043478	0.2407045	0.38671875	0.07575758	0.8309859	0.7326733	0.43589744	0.3078394	0.13157895	0.005882353	0.0038610038	0.045548655	0.1541502	0.0019880715	0.1021611	0.08902691	0.21414141	0.20970874	0.23203285	0.0020283975	0.47081712	0.118609406	0.007889546	0.6368932	0.756	0.30097088	0.61538464	0.35222673	0.38430583	0.10472279	0.19123507	0.6388309	0.39215687	0.08617234	0.024528302	0.21142857	0.2580645	0.4726477	0.09859155	0.08888889	0.6344294	0.913215	0.003984064	0.39499035	0.35328186	0.057939913	0.8113208	0.11201629	0.29148936	0.62765956	0.012793177	0.08617234	0.805668	0.013861386	0.9237918	0.32101166	0.88977957	0.87148595	0.04743083	0.2632653	0.7980583	0.6954023	0.326	0.6471774	0.1959596	0.4989775	0.026639344	0.7236842	0.08793456	0.22928709	0.026819924	0.086538464	0.5056391	0.045454547	0.9665971	0.044265594	0.097363085	0.03742204	0.5569106	0.5378486	0.17943548	0.26974952	0.6917148	0.4120083	0.27935222	0.6269531	0.59922177	0.3190184	0.022222223	0.8627859	0.23904383	0.0	0.27683616	0.122047246	0.16603054	0.44399184
APC	0.0	0.0	0.0	0.0	0.0	0.0	0.00591716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020325202	0.0	0.0	0.0041753654	0.004056795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001980198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041753654	0.0	0.0	0.4117647	0.0	0.0	0.0	0.0	0.0	0.03529412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007561437	0.0	0.0	0.0	0.0	0.0	0.0
