Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.16817014	-0.16606623	0.18688463	-0.20077386	-0.24683082	-0.25937045	0.17601201	0.17796317	0.18042402	-0.15405974	-0.14092249	-0.20704629	-0.16345471	-0.20883514	0.1842542	-0.23712155	0.16177732	-0.3118522	-0.21981455	-0.1482935	0.13695188	0.12961525	0.19463277	0.27267197	0.16989827	0.25135443	0.13809021	0.17934671	-0.14421572	-0.21179944	-0.1925281	-0.18200932	0.1890776	-0.19001678	0.15945092	-0.17137069	-0.1650792	-0.20115067	0.18347919	-0.22820365	-0.20745324	0.15188915	-0.40843996	0.18456869	-0.21121702	0.15516748	-0.14901765	0.14122723	-0.23513907	-0.15135546	-0.12851347	-0.2013018	-0.20752206	0.16099988	-0.21920615	-0.3517758	-0.21740924	0.13729031	-0.19234516	0.35911104	-0.198365	0.17141084	-0.21691939	-0.21851648	0.14302622	0.16104299	-0.24003841	0.23041366	-0.27519992	0.18149982	0.1960463	0.18452762	0.14701045	0.16105077	-0.15564583	-0.12707618	0.22333159	-0.1589039	0.28637055	-0.23225582	-0.17817514	0.15581743	-0.17664298	0.2173674	-0.2560758	0.1679203	-0.19619384	0.16755553	0.27400327	0.2401964	-0.13392924	0.13431606	-0.15547305	-0.15777633	0.16182604	-0.16633976	-0.21391532	0.12698346	0.29588068	-0.27393445	-0.19373246	-0.16215298	-0.16029833	-0.23561946	0.15366688	-0.20427151	0.1473419	-0.1694221	0.18584588	0.16080977	-0.22647575	-0.21995482	0.19480653	-0.34678546	0.1710991	-0.20715941	0.19529776	-0.178155	0.12876686	0.17631899
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.1614812	-0.12655878	0.11715787	-0.124874614	-0.20835139	-0.1932383	0.14118794	0.15979531	-0.12613639	-0.09599748	0.1372146	0.15777376	-0.15525363	-0.2748155	0.17994049	-0.17914315	-0.09515542	-0.2335075	-0.12384306	-0.14240225	0.13190682	0.1139228	0.2037448	0.16440687	0.09380117	0.17814937	0.12308082	0.14206508	-0.20057835	-0.19523129	-0.18627751	0.18002976	-0.13386284	-0.15010196	0.16486736	-0.14844184	-0.1441693	-0.16922641	0.1789691	-0.20786071	0.156072	0.12493574	-0.36595926	0.10332008	-0.2207868	0.14857751	-0.1244476	0.1191831	-0.21246076	0.17817448	-0.11137032	-0.21261558	0.1722799	0.15147294	-0.22993788	-0.23826417	-0.1650017	-0.12526968	-0.115681246	0.28981346	0.09640086	-0.19994141	-0.1630478	-0.1437886	-0.111128576	0.11018143	-0.22138049	0.21649724	-0.1357114	0.11775861	0.1242132	0.17466758	-0.124883525	0.16084267	0.112562925	0.15061808	0.15019935	-0.13322112	0.339001	-0.19537528	-0.16857405	0.16917609	0.14272973	0.121109225	-0.18790536	0.12988459	-0.16552095	0.1412194	0.15478003	0.14906178	0.15241575	-0.11296408	-0.12096134	0.13979779	0.17773503	-0.1431795	-0.11920954	0.102540776	0.242349	-0.1732454	-0.113717265	0.13015684	0.101061195	-0.220476	0.13924035	-0.17269482	0.12082835	0.17110454	0.19377829	0.13635051	-0.21859135	-0.20582534	-0.102240555	-0.2667815	0.122996196	-0.14650229	0.16171569	0.11725894	-0.14607912	0.16246961
AFF4	-0.13455589	-0.12936364	-0.105526775	-0.12482507	-0.22629188	-0.17656507	0.12918627	0.15031607	-0.1327129	0.08371815	0.10224373	0.16077624	-0.15689889	-0.29710534	0.18520464	-0.1891474	-0.08875225	-0.24208029	-0.143785	-0.121881075	0.12630434	0.1009974	0.18786484	0.17794663	0.11339007	0.19412199	0.12757759	0.15622744	-0.16641241	-0.18689512	-0.19253503	0.16793169	-0.095690206	-0.112220705	0.12046866	-0.12742455	-0.114800274	-0.19752549	0.15002716	-0.18272786	0.1483673	0.11544146	-0.37533098	0.10867578	-0.18699893	0.15336697	-0.13746534	-0.10488657	-0.19052278	0.18008825	-0.10355907	-0.21872678	0.12939943	0.15140341	-0.22331585	-0.2583821	-0.1665005	-0.13643005	-0.122892626	0.2782162	0.10019957	-0.16630015	-0.1739667	-0.13259926	-0.09768279	0.12215114	-0.20654161	0.17404233	-0.15000772	0.11088266	0.12221947	0.15626237	-0.124724396	0.130671	0.10494252	0.16081153	0.1393846	-0.14496836	0.33889714	-0.1720366	-0.1605555	0.160979	0.15034536	0.1392177	-0.18325669	0.10365779	-0.14180797	0.14745757	0.16951199	0.15583579	0.14492817	0.09727768	-0.11584691	0.13803515	0.16606621	-0.12995927	-0.12448051	-0.083312094	0.24770877	-0.198526	-0.13944536	0.11190207	0.102117434	-0.23663014	0.13107294	-0.14965624	0.102116294	0.1433627	0.17003837	-0.14365114	-0.19642545	-0.19353186	0.1168049	-0.25125787	0.12023479	-0.13641518	0.15343566	-0.12322243	-0.1369827	0.17267205
AGO1	-0.24482669	0.14208946	0.13074951	0.150255	-0.21698828	-0.24271382	0.26289263	0.24479613	-0.202804	0.1379674	0.1183444	0.17278445	-0.15788542	-0.2518968	0.20840256	0.1550898	-0.13902386	-0.2273297	-0.14109406	-0.17877613	-0.14055222	0.14917153	0.17448698	0.1837263	0.14669028	-0.1124006	-0.15029947	0.17183754	-0.20025799	-0.2206767	-0.16324669	0.17479715	0.116326384	0.12804888	0.16456166	-0.15369436	-0.19746178	-0.16084458	0.19779462	-0.17548046	-0.15896091	0.1603181	-0.43591747	-0.15252435	0.15614711	0.14222078	0.13442992	-0.16530241	-0.20963971	-0.17045538	0.1146618	-0.14189541	0.16059054	0.23611964	-0.21850544	-0.24315879	0.1311946	0.15789953	-0.12847884	0.32989928	0.13384788	0.14160718	-0.2794929	-0.2017542	-0.13517016	-0.13322961	-0.1801221	0.17741665	0.1458453	0.16297577	0.17092453	0.1541941	-0.2054723	0.13162263	0.13744259	0.19254456	0.1723042	-0.13663954	0.24936415	-0.26069772	-0.19013415	0.2023699	0.14994343	0.12738831	-0.1876164	-0.1393717	-0.1685653	0.13539377	0.20459847	0.18144208	0.17659453	0.15074402	-0.16558729	0.2593869	0.14954379	-0.17588048	0.17537886	-0.16721292	0.21385945	-0.18050002	0.14360136	-0.18187743	0.13780831	-0.17893456	-0.14832172	-0.19673876	-0.13447253	0.17674638	0.15656821	0.19078152	-0.22286762	-0.19481677	0.1400471	-0.32545534	0.18966594	-0.14713214	0.19804722	-0.16566277	0.16631301	-0.14348958
AGO2	-0.25847152	0.15060379	0.19899045	0.18503353	-0.20295921	-0.28486267	0.25570774	0.28141084	-0.19843309	-0.15531543	0.13098992	-0.19522247	-0.19147857	-0.23755744	0.22821975	0.19186813	-0.22000016	-0.20962563	-0.17452498	-0.20048106	-0.16720755	0.19451451	-0.1603527	0.16465154	0.18940647	-0.13932057	-0.20564641	0.1892375	-0.21807347	-0.2808848	-0.19129105	0.22796823	-0.13785736	0.150891	0.18501902	0.18967673	-0.27689922	-0.15369941	0.16931203	-0.1853962	-0.16494878	0.18941058	-0.44460303	-0.19879614	0.23361315	-0.16068341	0.17970385	-0.22632979	-0.1845591	0.16233486	0.17347716	0.13415258	0.2191223	0.28932947	-0.20560695	-0.24434921	0.1471807	0.2177789	-0.16403659	0.38667166	0.14776495	0.15337735	-0.30118343	-0.21567775	-0.15853676	0.15642656	-0.18534158	0.18628517	0.20746157	0.20554498	0.22681421	0.17913802	-0.25191894	-0.17052716	0.1960995	0.20240703	-0.2158218	-0.18396354	0.2398849	-0.2626782	-0.21402362	0.22674818	-0.1497259	-0.13737607	-0.20481123	-0.18049636	-0.15142387	-0.15942931	0.21399046	0.19741641	0.18609765	0.14338812	0.1284605	0.2948082	-0.116221726	-0.22072394	0.23183627	-0.24469237	0.16793141	-0.16181596	-0.1283363	-0.23888734	0.16462624	-0.18650202	-0.20162731	-0.23303574	0.13363613	0.19552764	0.17858566	0.19329633	-0.22504838	-0.22241288	0.12453739	-0.33418107	0.23084345	-0.22612408	0.26390043	-0.1767344	0.19031961	-0.18195981
AHR	-0.1660481	0.12834437	-0.13699476	-0.120336115	-0.20198922	-0.22364555	0.1462228	0.20037453	-0.14237663	0.12443233	-0.120324	0.19241376	0.13103542	-0.2489761	0.20088722	-0.15958188	-0.12294999	-0.23087491	-0.14239362	-0.14094344	-0.13034973	0.13567974	0.17695001	0.18165198	0.1433504	0.17291093	0.13095608	0.18019983	-0.19889323	-0.1669196	-0.18571068	0.17820229	-0.11039093	0.10894542	0.12076275	0.115453295	-0.13379216	-0.17996806	0.17618129	-0.15676028	0.15250959	0.15439272	-0.36065304	0.10997121	-0.14805539	0.13450277	0.12302355	-0.11967348	-0.14433986	0.17812654	0.115154944	-0.17424875	-0.14151129	0.18349205	-0.1829556	-0.26801065	0.1272343	-0.11767403	-0.12495614	0.31820673	0.15000322	-0.1523035	-0.19031551	-0.14552617	0.113893814	0.12621541	-0.16659664	0.16205338	-0.18451728	0.1635676	0.1691567	0.14459682	-0.18442187	0.15404281	0.11450666	0.18875685	0.13764507	-0.11450066	0.28902638	-0.18843666	-0.14877526	0.18583702	0.16876414	-0.13788614	-0.17995006	-0.10701658	-0.14283112	0.14777598	0.19979875	0.15035094	0.18505245	-0.10348821	-0.1344199	0.18323596	0.13695972	-0.13543235	0.13617167	-0.13768573	0.21249752	-0.17415582	-0.11705118	-0.14659113	0.1456056	-0.21634385	0.15359548	-0.15797597	-0.11148433	0.13753606	0.18032685	0.17014527	-0.1966443	-0.20287128	-0.10462151	-0.28802553	0.15526643	-0.13532026	0.17925315	-0.1253236	-0.1291417	0.16929416
AHRR	-0.33755848	-0.21855634	0.1953496	0.16407938	-0.19517344	-0.232525	0.1685093	0.19441488	-0.19615588	-0.17436458	-0.15136385	0.32077962	0.1798774	-0.17833555	0.33404404	0.1648298	-0.18953088	-0.22598435	-0.25646162	-0.21841204	0.2151871	0.14048393	0.21273439	0.26635534	0.1449034	0.26341456	0.1699891	0.16701077	-0.23356698	-0.21351625	-0.17052348	0.2520516	-0.20691673	-0.1367393	0.20318036	0.1951135	0.15683012	-0.24188985	0.22766863	-0.25089523	-0.25434184	-0.15706167	-0.32011774	0.21815556	-0.19824736	-0.13447522	0.17000394	-0.19769952	-0.24216196	0.20724215	-0.16935576	-0.15974912	0.15288451	0.21656625	-0.25717172	-0.25253436	-0.20879051	0.14669019	-0.15631233	0.36337706	0.19315818	-0.22690026	-0.27182126	-0.26564002	0.1756064	0.16141073	-0.27097526	0.16900463	-0.16461769	0.20088728	0.22387376	0.23187967	-0.22746119	-0.16824159	-0.15194637	-0.23985429	0.22912791	0.16256855	0.25514105	-0.21248323	-0.24128637	0.19359423	-0.1575212	-0.18867165	-0.24855286	-0.25582165	-0.24435537	0.16774341	0.28156072	0.22970846	0.21036929	0.14577945	0.17146905	0.22028053	-0.169696	0.15871999	0.15404095	-0.19771697	0.23293391	-0.20456335	0.15309678	0.19235726	0.2205428	-0.26085892	-0.22230366	-0.280293	-0.17992592	-0.2632648	0.20551813	0.25353593	-0.17594662	-0.27823174	0.16065042	-0.34422585	0.22283821	0.22653663	0.2399711	-0.15539348	-0.20413356	0.15987988
AMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APC	-0.14932235	-0.18110536	0.2175061	-0.12742165	-0.27514973	-0.23075265	0.14717552	0.19075191	-0.1545877	0.12816508	-0.19368394	-0.16715623	-0.149696	-0.22904964	0.23616087	-0.1669912	-0.12056833	-0.28452772	-0.1965864	-0.18017283	0.20455056	-0.14142013	0.18065569	0.27273226	0.21920249	0.20496178	0.15456402	0.15373309	0.13339506	-0.15360413	-0.20003206	-0.14811487	0.23477967	-0.10027307	-0.108003475	-0.15230572	-0.13221592	-0.20851938	-0.14922969	-0.13789898	-0.1422284	0.16638611	-0.39933738	0.12893845	0.16016965	0.17526197	-0.15253173	-0.22062813	-0.17668775	0.1528689	0.15760632	-0.22681245	-0.20644319	0.23228231	-0.22408693	-0.35340613	-0.18296534	-0.1310982	-0.18476124	0.3256688	-0.14640805	0.17761283	-0.24826989	-0.20838414	0.1382289	0.13679834	-0.14898315	0.16186926	-0.21302459	0.16420466	0.161731	0.13581148	-0.20260353	-0.13378617	-0.14477271	0.21307118	-0.16355291	-0.2188668	0.3212126	-0.19828866	-0.16993317	0.14505108	-0.18824019	0.22262026	-0.20142134	-0.12646064	0.14354652	0.19784363	0.30761075	0.21297978	0.113715544	0.11262804	-0.19704084	0.15384555	0.11624569	0.14510454	-0.1531474	-0.15948851	0.2491069	-0.24322496	-0.168697	-0.18782867	0.13451576	-0.27198935	-0.16019498	-0.15094094	0.12530157	-0.12572747	0.13169588	-0.14160478	-0.19708835	-0.16751777	0.18459076	-0.315054	0.15635464	0.14965613	0.21172114	-0.29112965	0.19471018	0.17417054
