Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	1.0	1.0	---	0.9130435	0.016129032	0.999	1.0	1.0	1.0	1.0	1.0	1.0	---	0.99421966	1.0	---	1.0	0.42752868	1.0	1.0	1.0	1.0	0.9817518	0.0625	1.0	0.017595308	1.0	1.0	1.0	0.6150235	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9989551	1.0	1.0	0.0	1.0	0.9812362	1.0	1.0	1.0	0.53198296	1.0	---	0.14285715	0.9848485	1.0	0.787728	0.0	---	1.0	0.9940653	1.0	1.0	1.0	0.9631191	1.0	1.0	1.0	0.9808081	1.0	0.0	1.0	1.0	1.0	---	1.0	1.0	1.0	0.99486524	1.0	0.0	0.7896406	1.0	1.0	1.0	---	0.48958334	1.0	1.0	1.0	0.82912034	0.0	---	1.0	1.0	---	1.0	1.0	0.14285715	1.0	0.0	0.0	1.0	1.0	1.0	0.0053475937	1.0	1.0	1.0	1.0	1.0	1.0	0.87356323	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	0.9962733
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	1.0	1.0	---	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	---	1.0	1.0	1.0	---	---	1.0	0.9419419	---	---	1.0	1.0	1.0	1.0	0.9340278	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	---	0.0	1.0	1.0	1.0	---	1.0	0.998	1.0	---	---	1.0	1.0	0.02057143	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	---	---	1.0	1.0	---	1.0	---	1.0	1.0	---	1.0	1.0	1.0	---	---	0.0	---	---	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	0.9694501	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0
AFF4	1.0	1.0	1.0	---	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	---	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	---	---	0.6516854	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	---	0.0	---	1.0	1.0	---	---	1.0	1.0	---	---	1.0	1.0	0.12331839	0.815	---	---	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	---	---	1.0	1.0	---	1.0	---	1.0	---	---	1.0	1.0	1.0	---	1.0	0.0	---	---	---	1.0	---	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	1.0	1.0	1.0	---	1.0	1.0
AGO1	1.0	1.0	---	1.0	---	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	0.0033112583	1.0	1.0	---	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	---	0.0	1.0	---	1.0	1.0	---	0.999	---	1.0	---	1.0	0.122	0.39171597	0.998	1.0	1.0	1.0	1.0	1.0	---	0.0	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	0.028	1.0	1.0	1.0	---	---	1.0	1.0	---	1.0	---	1.0	---	---	1.0	1.0	1.0	1.0	1.0	0.0	---	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	0.8739496	1.0	---	1.0	1.0	1.0	1.0	---	1.0	1.0
AGO2	1.0	1.0	---	1.0	0.76785713	0.994	0.007194245	0.499	1.0	1.0	1.0	1.0	---	0.5509259	1.0	1.0	0.9470199	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99029124	1.0	0.8319088	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.050916497	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.21348314	1.0	1.0	0.26666668	0.99786556	1.0	1.0	1.0	0.95679665	0.012318029	0.9504	0.8358358	1.0	0.982	1.0	0.999	1.0	1.0	0.035306334	1.0	---	1.0	1.0	1.0	0.8841642	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.31928346	1.0	0.99593496	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.928	1.0	0.91220987	0.8316633	0.93013555	1.0	1.0	1.0	0.99682206	1.0	0.7329193	1.0	1.0	1.0	0.99785405	1.0	1.0	0.8971428	1.0	---	1.0	1.0	1.0	0.7723996	1.0	0.99882215	0.93333334
AHR	1.0	1.0	1.0	---	---	1.0	1.0	1.0	---	1.0	---	1.0	1.0	---	1.0	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	---	0.0	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	0.328	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	---	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	0.0016977929	---	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0
AHRR	0.872	0.996997	---	1.0	0.94	0.999	1.0	0.999	1.0	1.0	1.0	0.47657296	1.0	1.0	0.2786624	1.0	1.0	1.0	0.9175705	0.9800995	0.9875	1.0	0.8340081	0.11881188	1.0	0.06923077	1.0	1.0	1.0	0.7846154	1.0	0.95987964	0.979661	1.0	0.99880666	0.99763596	1.0	0.33333334	1.0	0.90959203	0.84801763	1.0	0.04307692	0.9805195	1.0	1.0	1.0	1.0	0.5541176	1.0	1.0	1.0	1.0	0.8595147	0.31658292	0.73298967	0.25	1.0	1.0	1.0	1.0	0.9937965	0.35990888	0.6532663	1.0	1.0	0.80482686	1.0	1.0	1.0	1.0	0.56681037	1.0	1.0	1.0	0.82325584	0.9768786	1.0	0.041666668	0.9610849	0.96417606	1.0	1.0	1.0	0.84814817	0.5923913	1.0	1.0	0.75741524	0.45833334	0.99593085	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3008299	0.95238096	1.0	1.0	0.9849246	0.00729927	1.0	0.985	1.0	0.36872587	1.0	1.0	1.0	1.0	1.0	0.998	1.0	0.97709924	0.93873084	1.0	0.87946427	1.0
AMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APC	1.0	1.0	---	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	---	0.5	1.0	---	1.0	0.8808809	1.0	1.0	---	---	1.0	0.0	0.0	0.32352942	1.0	1.0	---	1.0	1.0	---	0.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	---	0.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	---	1.0	0.3865285	0.4428773	0.0	---	---	1.0	1.0	1.0	1.0	0.5565566	1.0	1.0	1.0	1.0	1.0	0.30416667	1.0	1.0	1.0	1.0	---	---	1.0	1.0	---	---	1.0	1.0	1.0	---	---	1.0	1.0	---	1.0	0.369	---	1.0	---	1.0	1.0	1.0	---	---	1.0	0.0	---	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	1.0	1.0	1.0	---	0.9883598	1.0
