Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	1.0	1.0	1.0	0.7994559	0.14581674	1.0	1.0	1.0	1.0	1.0	0.32117966	1.0	1.0	0.6537535	1.0	1.0	1.0	1.0	1.0	0.54951334	0.9700833	1.0	1.0	0.7959174	1.0	1.0	1.0	1.0	1.0	0.74938744	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.30819765	1.0	1.0	1.0	0.7111735	0.00462953	1.0	0.7805405	1.0	0.44094193	1.0	1.0	1.0	1.0	0.19152866	0.55548257	1.0	1.0	0.12204309	1.0	1.0	1.0	1.0	0.7419929	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5545026	1.0	1.0	0.4498354	0.48453507	1.0	1.0	1.0	0.4364041	1.0	0.9394814	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.83390355	1.0	1.0	1.0	0.32944888	1.0	0.6481667	0.061278347	0.31609854	1.0	1.0	0.18689923	0.74356115	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.22371824	0.8657703	1.0
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	1.0	1.0	0.77981484	1.0	1.0	1.0	0.81356585	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.83999217	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9481073	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.63616836	0.005214236	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.989923	1.0	1.0	1.0	0.71335256	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.78355443	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99977434	1.0	1.0	1.0	1.0	1.0	1.0	0.34969124	1.0	1.0	0.9596382	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.76635647	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AFF4	1.0	1.0	0.77651423	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.83355016	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.80625135	0.92548376	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6311365	0.004896225	1.0	0.83287716	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.87551904	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.761351	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.88749933	1.0	1.0	1.0	0.9574438	1.0	1.0	0.48814747	1.0	1.0	0.9525394	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AGO1	1.0	1.0	1.0	1.0	1.0	1.0	0.033697773	0.5534012	0.8598523	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9132681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.37440893	1.0	1.0	0.8317591	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.96769816	1.0	3.2951115E-4	1.0	1.0	1.0	1.0	1.0	0.69293046	1.0	1.0	1.0	1.0	0.25968418	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1241834	1.0	1.0	0.84465694	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.30311772	1.0	1.0	1.0	0.80705667	0.804066	1.0	1.0	0.72522664	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.71082103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.71013355	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.51500404
AGO2	1.0	1.0	1.0	1.0	0.3140618	1.0	0.036259428	0.16791487	0.85087603	1.0	1.0	1.0	1.0	0.739503	1.0	1.0	1.0	0.9981904	1.0	0.56952626	1.0	1.0	0.76993537	1.0	1.0	1.0	1.0	0.8630249	1.0	0.28507552	1.0	1.0	0.92228174	1.0	1.0	1.0	0.047592133	1.0	1.0	1.0	1.0	1.0	1.5234786E-4	1.0	0.3953127	1.0	1.0	0.18779281	0.35727176	1.0	1.0	1.0	1.0	0.121777825	1.0	1.0	1.0	0.56562006	1.0	1.0	1.0	1.0	0.061523072	1.0	1.0	1.0	1.0	1.0	0.12446505	1.0	1.0	1.0	1.0	0.26821467	1.0	1.0	1.0	0.45269626	1.0	0.14514768	1.0	1.0	1.0	0.85300547	0.74380666	1.0	1.0	0.9813588	1.0	1.0	1.0	1.0	0.72998	1.0	1.0	1.0	0.787632	1.0	1.0	1.0	1.0	1.0	1.0	0.65270257	1.0	1.0	1.0	1.0	1.0	1.0	0.5703995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2720398
AHR	1.0	1.0	0.9429311	1.0	1.0	1.0	0.6674645	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9930737	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8635957	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0069432925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8377406	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9057577	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.83715004	1.0	1.0	1.0	1.0	1.0	1.0	1.0
AHRR	1.0	1.0	0.81311727	0.7982987	0.48948726	1.0	0.19045034	1.0	0.74017435	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.29373178	1.0	0.70502096	1.0	0.6598549	0.41696268	1.0	1.0	1.0	1.0	0.5152092	1.0	1.0	1.0	1.0	0.69990504	1.0	1.0	0.3151584	1.0	1.0	1.0	0.98888636	0.028128548	1.0	1.0	0.9040766	1.0	0.19223088	1.0	1.0	1.0	1.0	0.5391693	1.0	1.0	1.0	0.42024636	1.0	1.0	1.0	1.0	1.0	0.38058424	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35199827	1.0	1.0	1.0	1.0	0.852309	1.0	1.0	1.0	0.46486175	1.0	0.752228	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.16087982	1.0	1.0	1.0	0.3833657	0.9204982	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99306124	0.89125305
AMH	1.0	0.5804827	0.36427617	0.13830829	0.52942055	0.9131314	1.0	0.28963885	0.67237514	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5096614	0.46422988	1.0	0.22480768	0.06425827	1.0	0.2807908	1.0	0.3954344	1.0	1.0	1.0	0.55055207	0.32149088	1.0	1.0	1.0	0.028283063	0.6711332	0.31167907	1.0	0.3224086	1.0	0.99737716	1.0	1.0	0.016557574	1.0	0.7930399	1.0	0.14689411	0.26720518	0.14976779	1.0	0.21464165	0.21531752	1.0	1.0	1.0	0.10728546	1.0	0.8456129	1.0	1.0	0.7324506	1.0	1.0	0.8042006	1.0	1.0	1.0	1.0	1.0	1.0	0.8883667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.066125676	1.0	0.9974116	1.0	0.48261923	0.39058888	1.0	1.0	1.0	0.9963259	0.9999648	0.6110314	0.57555616	1.0	1.0	0.9328765	1.0	1.0	0.43370748	1.0	0.5668828	1.0	1.0	1.0	1.0	0.62437737	0.06004256	1.0	1.0	1.0	0.97290504	0.44831765	1.0	1.0	0.2032196	1.0	1.0	1.0	1.0	0.046393663	0.48497462	1.0
APC	1.0	1.0	1.0	1.0	0.03845581	1.0	1.0	1.0	0.73458534	1.0	1.0	1.0	1.0	0.75303876	1.0	1.0	1.0	1.0	1.0	0.5850338	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9023509	1.0	1.0	1.0	1.0	0.2567001	1.0	0.9279543	1.0	1.0	0.003514657	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.55377775	0.33454457	1.0	0.1086638	1.0	1.0	1.0	1.0	0.60631627	1.0	0.15056975	1.0	1.0	0.8910335	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8474111	1.0	1.0	1.0	1.0	1.0	1.0	0.9631122	1.0	1.0	1.0	1.0	1.0	1.0	0.3573472	1.0	1.0	1.0	1.0	0.112352565	0.75793886	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.87812227
