Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.5180018	-0.6776713	---	-0.8428284	-1.0974495	-0.7524562	0.8101586	0.8131542	0.7443797	-0.679432	-0.7198294	-0.75182825	0.57965577	-0.727781	0.65520114	---	-0.6142954	-0.92490625	-0.7324911	-0.7038362	-0.59658575	0.61284554	0.8400923	1.0259951	0.7082522	1.0856034	-0.70623904	0.64157706	-0.548454	-1.0332463	-0.6593438	---	0.80424446	-0.8642894	0.70979476	-0.8666154	-0.7853016	-0.8506293	0.5727995	-0.8631111	-0.8673804	-0.5396049	-1.5180093	0.603376	-0.6325167	0.7176562	-0.6933855	0.60053927	-1.0260442	0.65647525	---	-0.84472483	-0.8740884	0.790067	-1.0345967	-1.2050229	---	0.6866836	-0.87490755	0.825619	-0.8602742	0.8017434	-0.9653344	-0.958072	0.58328414	0.79395366	-0.7185836	0.7645816	-1.0649984	0.72533864	0.69806993	0.8824603	-0.4996768	0.62063867	-0.71947336	-0.6325449	0.96912104	-0.69859314	1.1633532	-0.9439099	-0.76171994	0.6785097	-0.83595926	---	-0.94264066	0.65064347	-0.6663377	0.75199944	0.9306992	0.9979497	0.54671013	-0.51375026	-0.69126993	0.6480385	0.7165995	-0.6801785	-0.91505706	0.619455	1.2708858	-1.0994439	-0.7692429	-0.67573965	-0.709664	-1.1130501	-0.67713046	-0.6795844	0.5538458	-0.7690754	0.68540895	0.5733338	-0.9068126	-0.6532217	---	-0.84545803	0.6013838	-0.7206017	0.7821753	-0.8380038	-0.612714	0.71265805
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.5469274	-0.5808551	-0.3808256	0.5209603	---	-0.61113036	1.0041509	0.7478651	---	-0.48011833	0.5605942	0.58683735	---	---	0.66387784	0.50983024	-0.50834125	-0.7598436	0.52814883	---	-0.44056347	0.4832361	0.99747765	---	---	0.76611745	-0.55686635	0.5106887	-0.6048775	-0.94571126	-0.5815482	0.5940672	-0.60514504	-0.66439015	0.7155305	-0.75294167	-0.7578372	---	0.548348	-0.7385474	---	-0.44235513	-1.4856262	-0.53972393	-0.7805565	0.61021614	0.46878582	0.46098644	-0.9782514	0.65843374	---	---	0.78350806	0.8095861	-1.0365796	-0.88213784	---	0.4737822	-0.58232147	0.6629072	0.48221406	-0.6691789	-0.8194205	-0.6583627	0.32818705	-0.42268673	-0.77244765	0.75852954	0.74353665	0.53982896	0.41958246	0.86451507	-0.42160633	0.62596595	0.49380836	0.61412257	0.6427607	---	---	-0.9043343	-0.61195266	0.71001613	0.5313365	-0.43887842	---	0.606218	-0.49481872	---	0.59347445	---	0.57178086	-0.4866217	---	0.57993716	0.78017676	-0.6456894	0.5163794	-0.40378022	1.1253109	---	0.48399463	-0.4344289	0.47297567	---	0.49151295	-0.54203767	0.56449866	0.8310756	0.58685213	0.46001238	-0.9670806	-0.5531791	-0.38340673	-0.6667927	0.463752	-0.6098617	0.6350437	0.47089782	0.68320024	0.6369678
AFF4	-0.46938843	-0.5540612	-0.36809134	0.44686663	---	-0.56316465	0.88497084	0.7055622	---	0.42576635	0.46087658	0.6047569	---	---	0.6780718	---	-0.48302367	-0.7703287	-0.5187477	---	-0.41850138	0.45904565	0.9021313	---	---	0.86868995	0.58524805	0.5507766	-0.50357896	-0.92791307	-0.61061215	0.5526772	-0.5037706	-0.49915665	0.6044562	-0.6601074	-0.66765887	---	0.513223	-0.66813004	---	-0.4108392	-1.5025138	-0.45642295	-0.6645106	0.62414014	---	---	-0.885253	0.66301584	---	---	0.6177098	0.81816053	-0.9869026	-0.9574135	---	0.42039642	-0.627356	0.6324398	0.45791954	-0.58288497	-0.8524777	-0.6215698	0.3476369	---	-0.72003686	0.614392	0.63660604	0.5324065	0.4161482	0.77626723	-0.43596137	0.5153661	0.4595917	0.6083241	0.57690287	---	---	-0.7760814	-0.557926	0.6642161	0.54145175	-0.38301504	---	0.5073569	-0.43778232	---	0.6376665	---	0.5492429	-0.3957749	---	0.56275254	0.7524558	-0.56018484	0.4706358	-0.40067643	1.1725132	---	---	-0.42748562	0.44795057	---	0.46364737	-0.48263067	0.49595916	0.7256038	0.53016424	0.4236473	-0.8892238	-0.5204291	---	-0.62555784	0.46558517	-0.5141611	0.6117906	---	0.63650644	0.68136835
AGO1	-0.7570246	-0.6733254	---	0.81939137	---	-0.7611057	1.5415568	1.0563678	-0.8606769	0.6114885	0.54081464	0.6390825	0.47450796	---	0.8048493	0.7700965	-0.7287633	-0.7611567	0.6238805	---	-0.55913866	0.57799274	0.8878568	---	---	-0.76437926	-0.8595152	0.60283184	-0.5971114	-1.1766974	-0.6097454	0.57013565	-0.5299882	0.69865704	0.7153036	-0.80714226	-0.99457455	---	0.61853343	-0.66356784	-0.6314536	---	-1.8239334	-0.73641354	---	0.62135714	0.52226937	---	-1.0471977	---	0.37283656	0.50802463	0.7729954	1.1966072	-0.9897747	-0.9336489	0.6281562	0.7926199	-0.6986488	0.7595003	0.5518586	---	-1.2536263	-0.9231292	0.44004458	-0.5559023	-0.7022414	0.6637131	0.9432678	0.7222627	0.57640195	0.8002048	-0.62097514	---	0.6199946	0.7671762	0.70171785	---	---	-1.1462336	-0.6943709	0.8433521	0.55224484	-0.47775108	-0.7609836	-0.70433754	-0.52371556	-0.53820187	0.7981001	---	0.62696326	---	---	0.9258323	0.72460234	-0.80826735	0.85742617	-0.6948568	1.0129553	---	0.66395676	-0.6878469	0.6029293	---	---	-0.62810963	-0.69215894	0.8868739	0.5092449	0.58905673	-1.0430821	-0.5450977	---	-0.7985462	0.61149377	-0.59554887	0.7624653	---	0.8856993	-1.0686886
AGO2	-0.7756079	-0.66616946	---	0.9883966	-0.9912889	-0.8726657	1.5182548	1.2722398	-0.94838285	-0.6535118	0.64212906	-0.74337995	---	-0.95568067	0.86852026	0.98115206	-0.9331519	-0.63197255	0.6596272	-0.90966326	-0.6875179	0.71779704	-0.9354755	0.69353473	0.9433838	-0.96323764	-1.1804404	-0.74359167	-0.69447154	-1.4052966	-0.6426828	0.72339547	-0.5952602	0.76006967	0.7791879	0.76306844	-1.4062625	0.68705356	0.6086268	-0.68817055	-0.7455303	0.7462221	-1.8944473	-0.9083826	1.4557676	-0.82516444	0.7198769	-1.0252376	-1.0927523	---	0.5997464	0.917751	0.998495	1.5330856	-0.85688096	-0.87660277	0.75317264	1.1547306	0.75182277	0.85453534	0.6612678	0.9283348	-1.4365829	-0.893153	0.5403536	0.79988414	-0.679977	0.6758275	1.2277511	0.9032002	0.6509141	0.77567214	-0.72585595	-0.97407764	0.92489606	0.8783911	-0.82918245	-0.77411264	---	-1.2610798	-0.75584435	0.98823917	---	-0.52684104	-0.7350564	-0.80621153	-0.5931488	-0.66467816	0.93472755	0.9427292	0.6895726	0.8179952	-0.63290834	1.037018	0.59483594	-1.0035245	1.1043421	-0.88714904	0.84926707	---	0.6086688	-0.7711707	0.77841425	-0.795455	-0.8011579	-0.6626734	0.66400874	0.88489306	0.59090763	0.664417	-1.0607544	-0.581343	---	-0.8254885	0.68892884	-0.8461849	1.009476	---	0.9946472	-1.2410461
AHR	-0.57631123	0.6385765	-0.5929569	0.59841216	---	-0.68959004	1.014744	0.89655447	---	0.5925758	0.5443216	0.7408899	0.55981797	---	0.76488936	0.63254446	-0.6488232	-0.7575477	0.659166	---	-0.6062281	0.6091838	0.79052347	---	---	0.71805024	-0.6236683	0.6807012	-0.6105743	-0.8815479	-0.6308042	0.64027584	-0.5544305	---	0.5875866	-0.61300105	-0.75132895	---	0.5973571	-0.6129319	---	---	-1.4305577	-0.6197247	---	0.6180774	0.6077513	0.49870536	-0.75783813	0.70506686	0.40616503	0.488516	0.63673115	0.9234064	-0.8345061	-0.9293031	0.6309126	0.5752401	-0.6797101	0.75093395	0.73619205	-0.5620058	-0.9237155	-0.6735119	0.4280524	---	-0.6565974	0.65241736	-0.78871953	0.72807735	0.549734	0.76229894	-0.61639345	0.6442646	0.56563413	0.79076517	---	0.5626541	---	-0.8157589	-0.57126254	0.8239794	0.71839684	-0.57049394	0.676565	-0.5824254	-0.48465165	---	0.74464744	---	0.71201724	-0.49793643	---	0.7514449	0.6344202	-0.6512594	0.70415163	-0.65752345	0.99158865	---	0.54705065	-0.5651991	0.73204345	---	0.57016635	-0.527813	-0.66984653	0.6943165	0.60116893	0.61499906	-0.8816402	-0.5854535	-0.4809243	-0.69828683	0.5796074	-0.5800139	0.69483316	0.48953348	0.7361261	0.71613926
AHRR	-0.94789654	-0.8561105	-0.4791396	-0.83283484	-0.8460792	-0.5767583	-1.1287752	0.8621434	-0.72597826	-0.67159605	0.64370775	1.071011	0.719944	0.8100455	0.91345185	0.6430029	-0.9912668	0.7227817	-0.83286875	-1.0579314	0.787907	-0.7880102	0.7611115	1.1301821	-0.72363096	1.0017891	0.63740194	0.73507786	-0.74566925	-1.0732546	-0.6656432	0.8904282	-0.7517852	-0.7551966	-0.82090926	-0.72200423	-0.6859484	-0.832574	0.658989	-0.78945327	-0.9062349	-0.6807596	-1.2154198	0.83152074	0.79880595	-0.7209615	0.755376	-1.0192568	-1.0095285	0.7541621	0.46084636	0.724538	-0.72360724	1.0094862	-1.0279508	-0.9421888	-0.86188185	0.800873	-0.8062513	0.7838406	0.74590945	-0.88860595	-1.0598123	-1.1391557	0.67813784	0.6857454	-0.9938905	0.63596445	0.9128715	0.8597586	0.7488771	0.99972653	-0.5664905	-0.887642	0.5538434	-0.92618006	0.8837706	0.78359544	0.92512494	-1.017902	-0.9587296	0.7225432	-0.75518984	-0.6861675	-0.7389776	-1.0231745	-0.6966458	0.8198391	0.98782027	0.9269207	0.74351764	-0.6975967	0.7737831	0.8297077	-0.6650389	-0.65375805	0.65046746	-0.78822184	0.9080512	-0.86768866	0.74778134	-0.8847307	0.82884264	-1.0051993	-0.7760204	-0.8074536	-0.7957189	-0.9832756	0.65684235	0.7690964	-0.7703141	-0.71487665	---	-0.8321754	0.73682135	-0.7213491	0.78214836	0.599602	-0.93222183	-0.7556324
AMH	-1.0820395	-1.3914154	1.4220914	-1.2287822	-0.62320465	0.9565671	-0.8472801	-0.9386875	-0.38186124	-0.498353	0.53818214	-1.09105	0.8014832	0.6926053	0.5066227	0.8342544	-1.1444118	-1.346714	-0.9611859	-1.1029799	-1.2599534	0.5957032	1.1629008	0.78786033	-0.65647787	0.62064725	-0.9341824	0.9774605	1.0818805	1.1037784	0.6676164	1.0632621	-0.908785	-1.3354342	1.2043939	-1.3334261	-0.72668844	-0.8071831	0.51551235	0.5340973	0.8979371	0.76885235	-1.2873071	0.50933355	-0.99806833	0.730053	-1.1102242	-0.94152325	-1.2044172	0.64613646	-0.6603524	-0.7203834	0.57891303	0.86595243	0.56018686	-1.2406719	0.49566865	1.0829536	-0.70313215	0.9880189	-0.8260469	0.8639806	-0.8901373	1.167885	0.5587492	-0.8426141	-0.6840345	0.9818798	-0.69457793	-0.7651436	-0.5126385	-0.7841316	-0.92648137	0.9528601	0.50836605	0.529572	1.0808514	0.80989045	1.7561225	0.71622646	0.5327108	1.0533705	-0.46639535	1.1944473	1.0383372	-1.0764145	-0.48566765	0.4846992	0.3848188	-0.6679867	-0.94781536	-0.6757305	0.5037573	-0.88249874	1.0461082	0.80306756	-0.47872198	0.45607626	1.0253075	0.9701665	0.7040196	0.6975095	0.69834757	-0.8674896	-1.4021419	-0.74913025	0.7637166	0.68990266	-0.71773225	-1.0521563	-0.68674415	-0.9592269	-1.0854857	-0.58546233	0.2903011	-0.5281504	0.92956334	-1.211285	-1.0907525	0.88866425
APC	-0.5494474	-0.8366604	---	0.5268553	-1.3121423	-0.71719885	0.98368543	0.8202126	-0.7223995	-0.5806295	---	0.6396107	0.54220647	-0.9168963	0.8032588	0.63836735	-0.75769967	-0.90380186	-0.68572026	-0.8328896	---	---	0.77341956	---	0.99380124	0.8290749	0.6927792	0.59965694	-0.4927971	-0.9007186	-0.6560197	0.5449988	1.1342978	0.5565071	0.5248177	-0.8075747	-0.733074	-0.9264098	0.52310985	-0.5717409	-0.6568648	---	-1.5895886	-0.6773807	0.95086706	0.7316253	---	---	-0.8871147	0.67753893	0.56222224	---	-0.85006905	1.1241703	-0.9552368	-1.2351397	0.5683466	0.5530315	-0.9612169	0.77986306	-0.5910453	0.7855912	-1.1952865	-0.91115326	0.5778281	-0.57622653	-0.6021821	0.56941634	-0.8803935	0.57853794	0.6742285	0.695867	-0.70501006	---	0.5140606	0.74778694	-0.70393753	---	---	-0.8990789	-0.6904053	0.65879506	---	---	-0.78295004	-0.6847134	-0.4799398	0.7514758	1.0114174	---	0.49343467	-0.45864806	-0.863062	0.71284056	-0.60096294	---	0.55152994	-0.7142691	1.1335512	---	---	-0.72709316	0.5992394	-1.211723	-0.6848521	-0.57423407	0.6183329	-0.7142332	0.48619127	0.49423417	-0.81188667	-0.5317024	---	-0.80583537	0.57240254	0.6218981	0.87231356	---	1.0084137	-0.72070473
