Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.3758903	-0.31429803	0.16342932	-0.3459268	-0.31648037	-0.38606086	-0.25599864	0.18732907	0.28613862	-0.22166634	-0.24999422	-0.28610396	-0.26167113	-0.20112467	-0.22223815	-0.26832312	0.1895288	-0.35474935	-0.34317243	-0.26371092	0.23789598	0.19481622	0.29352155	0.30575702	-0.20310922	0.30813858	-0.2361329	0.31430465	-0.3390846	-0.30240384	-0.38087755	-0.20360537	0.26616707	-0.1776484	-0.2099898	-0.17739822	0.1487311	-0.22393353	-0.25273722	-0.25065708	-0.24980283	-0.2927821	-0.43883997	0.18461618	-0.2328443	0.32967365	-0.29468274	-0.2012251	-0.27211156	0.3490691	-0.2337593	-0.31264272	-0.3396276	0.21492618	-0.2727098	-0.41684285	-0.2788865	0.17036636	-0.22579041	0.4049577	-0.23923863	0.22404438	-0.34204143	0.2787446	0.28522944	-0.28083205	-0.22580732	-0.19163819	-0.35068467	0.27191928	0.44355515	0.20985007	-0.41336492	0.261028	-0.17639232	0.35694852	-0.28432974	-0.27821234	0.2456772	0.24483192	-0.40196836	0.20692804	-0.25573272	0.29837754	-0.34182248	0.1719582	-0.26503265	0.39710552	0.38677564	0.31927523	-0.2012199	-0.20971133	-0.15759958	0.25721806	-0.20810579	-0.17960504	-0.22804286	0.1892898	0.40864566	-0.2804527	-0.26856393	-0.2869626	0.25933045	-0.31740597	0.2931371	-0.3530418	0.19602978	-0.17489004	0.440444	0.20559031	-0.2566374	-0.36050478	0.35125902	-0.3725698	0.32175016	-0.23394692	0.26328045	-0.24881345	0.22618549	0.24011594
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.38668755	-0.2962769	-0.17091021	-0.37070858	-0.25282413	-0.39255336	-0.22609891	0.16586891	-0.24343808	0.21327293	-0.14370082	0.27163512	-0.26835492	-0.21914154	-0.19655867	-0.22704709	0.12963434	-0.28298378	-0.3179983	-0.22411007	0.25375608	0.21703114	0.22936927	0.25077048	-0.23558135	0.24540092	-0.25970164	0.30065048	-0.3514642	-0.35256281	-0.3442888	0.24798977	-0.16116454	-0.21398626	-0.24240942	-0.13831896	0.16419551	-0.23334894	0.24950795	-0.2359666	0.27618045	-0.2805994	-0.4264806	-0.14080103	-0.28137612	0.33740684	-0.23300333	0.21875298	-0.25653672	0.2940654	-0.24578446	-0.34485173	-0.16855885	0.2330899	-0.27511358	-0.27970657	-0.20515236	0.16583076	-0.22103299	0.35028777	-0.19643772	-0.2056874	-0.3002401	0.26490077	0.2641556	-0.2867334	-0.27870733	-0.16669835	-0.23316565	0.28776583	0.4113931	0.19652067	-0.36483973	0.23725463	0.21032925	0.40194058	-0.26087114	-0.23779006	0.2629983	0.24618322	-0.43567896	0.21379489	0.15537508	0.17561117	-0.23175748	0.16953717	-0.25669113	0.37709546	0.2882781	0.26399127	0.17117067	-0.20046179	0.2323537	0.2928066	0.20666979	-0.23320399	-0.18544874	0.23340763	0.3570004	-0.25537217	-0.22748461	-0.25311843	0.23477657	-0.29623052	0.31835702	-0.3433337	0.16533633	0.21190871	0.4034513	-0.17496645	-0.25562462	-0.3184963	0.15338847	-0.33429652	0.29512206	-0.20925575	0.22718574	0.17126863	0.22206928	0.21913306
AFF4	-0.38552547	-0.3031629	-0.17590013	-0.3770973	-0.25468582	-0.39531535	-0.24041481	0.15750855	-0.24675325	0.2072268	-0.1456798	0.27245322	-0.27601144	-0.2231727	-0.19591203	-0.2304164	0.12063731	-0.2880341	-0.32217556	-0.21181133	0.25825626	0.21799713	0.22242557	0.25219184	-0.21900918	0.25987148	-0.25779867	0.3108946	-0.33230537	-0.3515758	-0.35063145	0.25621057	-0.12577818	-0.19846444	-0.26029775	-0.13246162	0.17915228	-0.24309596	0.24095999	-0.21524383	0.2759722	-0.2845158	-0.42602977	-0.13706802	-0.2645447	0.34674948	-0.24284458	0.20519067	-0.2391457	0.29562968	-0.24189927	-0.3533504	-0.18232825	0.22493939	-0.27468416	-0.29951584	-0.2215876	-0.16517444	-0.22518045	0.34718168	-0.19138783	-0.20632283	-0.297625	0.2644521	0.26934534	-0.28140205	-0.27367866	-0.17052308	-0.24724583	0.28699845	0.40284437	0.19398768	-0.36469492	0.22475603	0.21951742	0.40961587	-0.26740226	-0.24934025	0.27665445	0.2647289	-0.43334496	0.2116373	0.16675434	0.17352273	-0.2353975	0.15522204	-0.23344001	0.38246548	0.29852474	0.2771566	0.17005368	-0.19110844	0.22787285	0.2940493	0.20096	-0.23405598	-0.18820548	0.22458957	0.37633196	-0.26780415	-0.24814205	-0.2492863	0.24590376	-0.30964467	0.3249272	-0.3358407	-0.16391529	0.19538131	0.39916462	-0.18408246	-0.23894854	-0.31479025	0.16024804	-0.3257264	0.30117482	-0.21313721	0.22108126	0.15932606	0.2203035	0.22029366
AGO1	-0.4071251	-0.29092735	-0.19760422	-0.3110934	-0.26276138	-0.39602822	0.22072235	0.24776785	-0.27861136	0.22344376	-0.17278245	0.29335824	-0.25572363	-0.2365446	-0.21732478	0.18431881	-0.14958753	-0.29543513	-0.31514916	-0.23398323	0.2557283	0.22980522	0.24201153	0.2622623	-0.21813998	0.18509075	-0.29471338	0.32479346	-0.3514195	-0.3677149	-0.34049022	0.23153105	0.15027592	-0.1844026	-0.26535848	-0.16041908	-0.16751233	-0.2308828	0.24833535	-0.23028949	0.26071563	-0.2961548	-0.4588157	-0.16981147	-0.21007687	0.33067372	-0.21408446	0.20489325	-0.2469338	0.2817947	-0.21521764	-0.29017672	-0.20591915	0.27804345	-0.27196068	-0.30753595	-0.18138556	0.20881496	-0.21095331	0.37107164	-0.2140426	-0.16489746	-0.37460902	0.26185498	0.27822617	-0.28656876	-0.2507075	-0.18518254	-0.20819825	0.3042232	0.41573706	0.19078329	-0.3930261	0.22645567	0.22736011	0.40418667	-0.2748986	-0.23752776	0.19975147	0.25031272	-0.4500579	0.2213348	-0.18010834	0.18002295	-0.24629328	0.17057177	-0.26036695	0.36316502	0.31110877	0.29289198	0.18293379	-0.20542924	0.21743992	0.31580523	0.18798521	-0.25026888	0.21953979	0.20921618	0.32657972	-0.24156205	-0.20131408	-0.2888978	0.25845194	-0.25550327	0.32632196	-0.3519528	-0.19714077	0.2070917	0.4025713	0.21915823	-0.28036666	-0.342848	0.19150916	-0.35712212	0.3226621	-0.21052496	0.25945246	0.16337638	0.27466765	0.18619575
AGO2	-0.4541222	-0.25482717	-0.18395145	-0.2676034	-0.23413283	-0.4304229	0.25944495	0.2683467	-0.2414888	0.24314146	-0.1911909	0.29592225	-0.2519266	-0.24874826	-0.34646103	0.2373924	-0.15833819	-0.30794993	-0.32420948	0.21956481	0.26190323	0.2884014	0.25999746	0.22097334	-0.22231905	-0.20055209	-0.2887179	0.29246625	-0.32141277	-0.3402872	-0.36999765	0.29423305	-0.1838649	-0.19427258	-0.2658468	0.21144016	-0.2476514	-0.22308525	-0.23577616	-0.25986958	0.2820651	-0.29271972	-0.43493053	-0.22159764	-0.16580006	0.31178638	-0.22506152	-0.22583167	-0.23170218	0.31392184	-0.21004704	-0.2606677	-0.19727527	0.30401313	-0.3074199	-0.3260814	-0.18912196	0.22587858	-0.23269603	0.37907317	-0.20421621	-0.20220649	-0.3910668	-0.31199607	0.26617306	-0.26582685	-0.31120327	-0.21209225	-0.19688669	0.29092368	0.39614147	0.19106995	-0.4453719	-0.1955682	0.25306013	0.38683027	-0.29464585	-0.25645468	0.1846012	0.24218023	-0.4313022	0.2662492	-0.22375011	0.18317978	-0.22986758	0.20630759	-0.27833813	0.3327688	0.30506435	0.27843988	0.2151144	-0.28836456	0.20988451	0.33031362	-0.21965034	-0.27054507	0.26455116	-0.27440733	0.28538162	-0.22209355	-0.22108369	-0.32052907	0.2303141	-0.25283805	0.2891619	-0.33421692	0.19215338	-0.18265595	0.4074664	0.2647415	-0.25700635	-0.37508523	0.17508557	-0.38038477	0.32918447	-0.29211798	0.3431929	0.21556832	0.2713809	0.23402089
AHR	-0.37366933	-0.2831518	-0.17672592	-0.35751626	-0.25453272	-0.39592782	-0.24467044	0.20464545	-0.24598266	0.20021895	-0.18568492	0.2754702	-0.2436021	-0.21796186	-0.21641918	-0.23392351	-0.12522645	-0.29516387	-0.33036292	-0.2227742	0.25931823	0.21715797	0.22910021	0.25024745	-0.2061618	0.25606272	-0.251273	0.32032627	-0.32835904	-0.33584425	-0.33643752	0.22901778	0.13899133	-0.16788696	-0.2587003	-0.12667292	0.1807747	-0.23228137	0.23683006	-0.20589392	0.26765195	-0.284316	-0.41432077	-0.1503153	-0.24177873	0.32105875	-0.23118208	0.20611383	-0.21547772	0.2938919	-0.22549953	-0.31757772	-0.2124048	0.22960259	-0.24365574	-0.32345617	-0.20643705	0.16330983	-0.21120071	0.3662614	-0.19619362	-0.17217027	-0.30047503	0.26578924	0.2719047	-0.27946374	-0.23091757	-0.17284372	-0.2527244	0.29074636	0.41461316	0.17310701	-0.37547743	0.24763939	0.20342146	0.40405622	-0.26893657	-0.22117963	0.23461574	0.2521869	-0.4265268	0.21620004	0.1624981	0.18068285	-0.24370956	-0.15214708	-0.24621393	0.35603255	0.30610433	0.27361456	0.17602433	-0.21163349	0.216296	0.2776842	0.17079782	-0.20769548	-0.18207622	0.19669536	0.3413536	-0.25252113	-0.23691149	-0.26050282	0.25028366	-0.28675404	0.33260357	-0.33554476	-0.17676689	0.17688648	0.3939251	0.18428072	-0.25691172	-0.3090881	0.17140609	-0.34340966	0.2992512	-0.20860855	0.22875227	0.15157573	0.23621552	0.22544716
AHRR	-0.38135162	-0.31129602	0.17574418	-0.43121648	-0.24867989	-0.4472072	-0.37156928	0.15589623	0.25804132	0.1627727	-0.23395813	0.28822482	-0.20661788	0.19845164	-0.25774297	-0.24840829	-0.18323758	-0.28997168	-0.350615	-0.2547211	0.2881458	-0.23294616	-0.21755072	0.38925126	-0.2690359	0.2965399	-0.20445658	0.3532079	-0.42687374	-0.309937	-0.3977404	0.2463003	-0.15594076	-0.19224317	-0.26797664	-0.19362073	0.26373702	-0.34724832	0.2883045	-0.2521717	0.2724533	-0.29368684	-0.36989215	0.21348654	-0.3327382	0.26770326	-0.22028404	0.25823888	-0.22946316	0.30253312	-0.27622688	-0.27864292	-0.23027603	0.19632478	-0.2345905	-0.3615903	-0.23043108	-0.23741971	-0.29626644	0.3814905	0.22918215	-0.22606947	-0.30888614	0.28308177	0.34630856	-0.29021683	-0.26743528	-0.2256918	-0.21323599	-0.33359504	0.4091718	0.17309776	-0.436571	0.2984067	0.26100066	0.3914265	-0.28714177	-0.24076109	0.22609977	0.24710444	-0.46465734	-0.19169992	-0.18523504	0.19626339	-0.29388794	-0.24601142	-0.24756418	0.40870443	0.2800059	0.31522474	-0.24864765	-0.30551732	0.312803	0.25050268	0.22486363	-0.19780281	-0.2302483	-0.2277795	0.33091497	-0.24407336	-0.30029213	-0.29175356	-0.24184088	-0.39264542	0.3449987	-0.32687426	-0.24255677	-0.31183863	0.37832355	0.29308754	-0.2198273	-0.30395094	0.20120607	-0.37146306	0.33260083	0.22897923	-0.2244164	0.19941781	0.21131413	-0.24987338
AMH	-0.50709593	-0.31225616	0.36374965	-0.5851083	-0.4653926	-0.27610844	-0.32119486	-0.2736978	0.57307106	0.29298213	-0.3381654	0.4271182	-0.57629	0.3383145	0.2110509	-0.50244874	0.2696358	-0.38103145	-0.70696294	0.54191947	-0.487079	-0.22913052	0.53354484	0.46507847	-0.44658476	0.2800812	-0.34493667	-0.3866432	-0.51619935	-0.41810867	-0.2719852	-0.39174294	-0.53961957	-0.4166747	0.24959292	-0.17305617	-0.22860116	-0.26814857	0.3089885	-0.44293466	-0.27837038	-0.21544659	-0.51674986	0.2981496	-0.5845565	0.24972984	-0.4979091	0.5855602	-0.48527217	0.39752823	-0.3492524	-0.452827	-0.3231706	-0.2669671	0.38331035	-0.46663108	-0.35903513	-0.1718009	0.21147193	0.33413786	-0.22612773	-0.45101693	-0.53571856	0.525716	0.5081426	-0.3668222	-0.4799675	0.3709503	-0.5172802	0.1602345	0.52587175	0.3550658	0.42561936	0.44653833	-0.23668545	0.54305655	0.3479527	-0.16681406	0.61109465	0.43609262	-0.5619942	-0.37277177	-0.22244264	0.44599068	-0.41807154	0.35449386	-0.53164	0.2989799	-0.34003636	-0.56184953	0.17480445	-0.2839131	0.2430259	-0.26767394	0.18354481	-0.19366051	-0.40634146	0.41470915	0.63477993	0.3988732	-0.41664803	-0.46640638	-0.44301984	-0.4660099	0.33680198	-0.6810351	0.3494344	0.40317947	0.38128197	0.33406433	-0.32895535	-0.33892316	0.17019047	-0.57688797	0.5322562	-0.24337421	0.29864043	0.4949843	-0.2386012	-0.26241946
APC	-0.3571578	-0.3010473	0.20639716	-0.34529123	-0.29241216	-0.38191697	-0.2604654	0.22155349	-0.24861953	-0.21242131	-0.2449821	-0.2810705	-0.22846924	-0.21127935	-0.2432242	-0.23946398	0.154739	-0.36328787	-0.33351678	-0.2518978	0.29087466	0.18762311	0.29586995	0.33303562	-0.17210832	0.2606942	-0.24731408	0.33215666	-0.3362109	-0.30907688	-0.3611499	0.2135651	0.25649914	-0.1320407	-0.2612547	0.14061911	0.18483321	-0.22165574	-0.23330826	-0.2136556	0.25711262	-0.27786368	-0.41685352	-0.16644445	-0.1939576	0.3190473	-0.26643726	-0.2220497	-0.24105708	0.35176718	-0.19640473	-0.32237414	-0.3220681	0.2689656	-0.27771488	-0.38939998	-0.24006733	-0.15841183	-0.23961145	0.40060386	-0.20669498	0.19661298	-0.34854805	0.28059864	0.29076406	-0.292433	-0.21640061	-0.21836308	-0.31829095	0.26600683	0.43355247	0.18976775	-0.39357507	0.23556536	-0.16705559	0.40624416	-0.31419244	-0.2768247	0.24839196	0.2666458	-0.42801487	0.19637918	-0.24670275	0.2628405	-0.27847967	-0.17208508	-0.25414273	0.3861206	0.3557027	0.27429038	-0.17262901	-0.22562054	0.19527021	0.28101864	0.19243267	-0.1950912	-0.1845381	0.21976829	0.33747724	-0.27453893	-0.24924405	-0.2842881	0.28204536	-0.3123459	0.31436744	-0.33224496	-0.16650638	-0.17905535	0.40729654	0.19594742	-0.27142188	-0.30199274	0.24252354	-0.38704145	0.33764428	0.22840689	0.25527933	-0.28599977	0.2724491	0.27129632
