Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	1.0	0.46203703	1.0	0.023832703	0.08446242	1.0	0.22153087	1.0	1.0	1.0	0.1505849	1.0	0.113187104	1.0	1.0	0.032900292	1.0	0.439183	1.0	0.5578631	0.8914721	1.0	0.1471945	0.055237953	1.0	0.19477792	1.0	1.0	1.0	0.7417046	0.8082591	0.92400765	0.50347394	1.0	1.0	1.0	1.0	0.17864692	0.33712167	1.0	1.0	1.0	0.041314222	1.0	1.0	0.13363278	0.46427274	0.99081707	0.15111421	0.27773827	0.46272266	0.0037850891	0.43758708	1.0	0.06912496	0.54199845	0.024180507	1.0	0.44937363	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6001607	0.073756054	0.8203864	1.0	1.0	1.0	0.45241055	0.4736855	0.6703349	0.13230601	0.21011668	1.0	1.0	0.5550386	1.0	0.15746765	0.43912807	1.0	1.0	1.0	0.06837243	0.5677423	0.22658777	0.7658879	1.0	1.0	0.79678434	0.6834896	1.0	0.10207104	0.87227666	0.0032060433	0.03531503	0.17435552	1.0	0.58926284	0.066119954	0.645617	1.0	1.0	1.0	0.70073473	1.0	1.0	1.0	0.61646074	1.0	1.0	1.0	1.0	0.11359879	1.0	0.3178623
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	0.6451851	0.7696279	0.96999735	0.026705548	0.18401664	1.0	0.8253624	1.0	1.0	1.0	1.0	0.9301965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.32971027	1.0	0.53396386	0.07731648	1.0	1.0	1.0	0.98556876	1.0	0.17293072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.37951484	1.0	0.04316713	0.90150195	0.17963344	0.25550494	0.29080352	1.0	0.16208634	0.534683	0.16879185	1.0	1.0	1.0	0.10531797	1.0	1.0	1.0	0.29770404	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.052817944	0.30248833	1.0	1.0	1.0	0.79166085	1.0	0.11960928	0.20669448	0.2717037	1.0	1.0	0.16870885	1.0	1.0	1.0	1.0	1.0	1.0	0.036223758	1.0	0.09253527	1.0	1.0	1.0	0.094493516	1.0	0.069917135	1.0	1.0	0.0022215915	1.0	0.14360142	1.0	0.9331474	0.064375564	0.13315532	1.0	1.0	0.7799739	0.38257974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.320171
AFF4	0.66202927	0.5838319	1.0	0.031050935	0.17129216	1.0	0.33698758	1.0	1.0	1.0	1.0	0.91953737	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.35292858	1.0	0.8256429	0.07417841	1.0	1.0	1.0	1.0	1.0	0.16961992	1.0	1.0	1.0	1.0	0.64412653	1.0	1.0	1.0	1.0	1.0	0.3452713	1.0	0.0429975	0.8677989	0.24260025	0.4084386	0.33383194	1.0	0.22711249	0.47857952	0.16637276	1.0	1.0	1.0	0.11274911	1.0	1.0	1.0	0.2965093	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04036966	0.3102575	1.0	1.0	1.0	1.0	1.0	0.14153504	0.14689021	0.21010076	1.0	1.0	0.15051453	1.0	1.0	1.0	1.0	1.0	1.0	0.047399182	1.0	0.089279056	1.0	1.0	1.0	0.096027546	1.0	0.06957988	1.0	1.0	0.0022097128	1.0	0.17450185	1.0	0.61452556	0.06486373	0.18108803	1.0	1.0	1.0	0.3677102	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.32460228
AGO1	0.7127699	0.889998	1.0	0.048121992	0.13851716	1.0	0.5464976	1.0	0.50995445	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.32663083	1.0	0.22584051	0.06598408	1.0	1.0	0.66349626	0.8742748	1.0	0.21403246	1.0	1.0	1.0	1.0	0.46096903	1.0	0.92272717	1.0	1.0	1.0	0.15034842	1.0	0.050022278	1.0	1.0	0.16729744	0.3728747	1.0	0.1818639	0.9014367	0.5829275	1.0	1.0	0.52206045	0.09674486	1.0	1.0	1.0	0.41998628	1.0	1.0	1.0	0.43329588	1.0	1.0	1.0	1.0	1.0	0.11969518	0.52105194	1.0	1.0	1.0	1.0	1.0	0.1245203	0.13715152	0.2762574	1.0	1.0	0.3120539	1.0	1.0	1.0	0.91090125	1.0	1.0	0.02701783	1.0	0.15190278	1.0	1.0	1.0	0.12553859	1.0	0.06251389	1.0	1.0	0.0037530987	1.0	0.28829232	1.0	0.33349863	0.2137071	0.19033472	1.0	1.0	1.0	0.3796019	1.0	0.60602486	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.86585516
AGO2	0.80133194	0.99522024	1.0	0.59114015	0.85820067	0.9864995	0.47024247	1.0	1.0	1.0	1.0	0.9819862	0.14672236	1.0	0.860518	1.0	1.0	1.0	1.0	1.0	0.467594	1.0	0.20560136	0.962826	1.0	0.2771572	0.9238989	0.97334677	1.0	0.14894272	0.8497833	0.720406	1.0	1.0	0.70637935	1.0	0.27937454	0.20069207	0.36581302	1.0	0.15005022	1.0	0.043657962	1.0	1.0	0.13325514	0.5207178	1.0	0.6242181	0.25035292	1.0	0.020064848	1.0	0.4784328	0.1708451	1.0	0.24995106	1.0	0.36368406	1.0	1.0	0.34538868	0.3893567	0.8778816	1.0	1.0	0.8602388	0.603248	0.7969707	0.37409025	1.0	1.0	1.0	0.91174597	1.0	0.13617629	0.16729942	0.22479926	1.0	1.0	0.1360844	1.0	0.32577407	0.96842587	1.0	1.0	1.0	0.046858188	1.0	0.09181248	1.0	1.0	1.0	0.12719458	0.71162957	0.06274877	0.49840024	0.54668254	0.0289528	0.15834309	0.25766787	1.0	1.0	0.42671448	0.82338744	1.0	1.0	1.0	0.38339478	1.0	1.0	1.0	0.929359	1.0	1.0	0.65106815	0.9072551	1.0	1.0	0.38347688
AHR	1.0	0.9371893	1.0	0.021851158	0.17114587	1.0	0.24389765	1.0	1.0	1.0	1.0	0.98083293	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.36763674	1.0	0.54197574	0.078590296	1.0	1.0	1.0	0.98653316	1.0	0.1521419	1.0	1.0	1.0	1.0	0.7064904	1.0	1.0	1.0	1.0	1.0	0.17555808	1.0	0.039797314	0.99730235	0.6798349	0.12209888	0.28850937	1.0	0.97967666	0.5236648	0.25322786	1.0	1.0	1.0	0.07424882	1.0	1.0	1.0	0.41531634	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.037667364	0.35545617	1.0	1.0	1.0	0.50380856	1.0	0.12033457	0.1437661	0.69182193	1.0	1.0	0.13208662	1.0	1.0	1.0	0.9230838	1.0	1.0	0.027636942	1.0	0.086169615	1.0	1.0	1.0	0.11985388	1.0	0.14391379	1.0	1.0	0.0029679108	1.0	0.14544739	1.0	0.4809024	0.0696712	0.26672083	1.0	1.0	1.0	0.40883052	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.31219038
AHRR	1.0	0.6654175	0.9616976	0.042997763	0.6130505	0.9366487	0.028990764	1.0	1.0	1.0	0.69606	0.9439668	0.42357588	1.0	1.0	0.06615566	1.0	1.0	0.9407458	1.0	0.32855585	1.0	1.0	0.04921836	1.0	0.253242	0.9995677	0.50994873	1.0	0.57300365	0.83019865	1.0	1.0	1.0	0.98413444	1.0	0.29865438	0.011885399	1.0	1.0	0.24334273	1.0	0.095009014	1.0	0.15992673	0.95456755	0.8145839	1.0	1.0	0.5490555	0.17760193	0.021023113	1.0	1.0	0.737109	0.4080669	0.15973324	0.078620486	0.39635786	1.0	1.0	0.3185608	1.0	1.0	1.0	1.0	1.0	0.5960975	0.65883243	0.5373444	1.0	0.9848406	1.0	0.44529676	1.0	0.13495968	0.20386074	0.7639957	0.6378356	1.0	0.366035	1.0	0.70864046	0.98461056	0.78591824	1.0	1.0	0.05570003	1.0	0.101283945	0.4778079	1.0	0.30985647	0.9925636	1.0	1.0	0.14915955	0.6335753	0.014218713	0.124718584	0.21473171	1.0	1.0	0.06381855	0.18158014	1.0	1.0	0.65619844	0.943809	1.0	1.0	1.0	0.92404634	1.0	1.0	1.0	0.6066837	1.0	1.0	1.0
AMH	0.80071867	1.0	1.0	0.028215945	0.090057336	0.99495953	0.94773155	0.54116106	0.6633352	0.99699837	1.0	0.9392653	0.024894178	1.0	0.998126	0.024946596	1.0	1.0	0.37473267	1.0	0.41012147	0.9928916	0.16553901	0.07284564	0.7061184	0.9088582	1.0	1.0	1.0	0.9016828	1.0	0.67732364	0.14566395	0.80586374	1.0	1.0	0.88365173	0.39042622	1.0	1.0	1.0	0.99830234	0.043435063	1.0	0.100892626	1.0	0.4289954	0.31959537	0.15505096	0.9726736	1.0	0.033923775	1.0	0.8863431	1.0	0.4421085	0.24165364	0.2898118	0.9994036	1.0	0.9924435	0.13119334	0.37938815	0.8613131	1.0	1.0	0.8560254	1.0	0.037672073	0.99996245	1.0	1.0	0.697791	0.5188686	0.5537915	0.1505253	1.0	0.9984751	0.073686734	0.80336565	0.46779808	1.0	0.7804003	0.4849709	1.0	1.0	1.0	0.9956462	1.0	0.22023234	0.99983835	0.9780593	1.0	0.98671114	0.9927315	1.0	0.10203556	0.7012987	0.0042503	0.96474785	0.18414553	1.0	0.9497043	0.06938704	0.99869037	0.20655546	1.0	0.7005516	0.9963881	1.0	1.0	1.0	0.9983103	1.0	1.0	0.9998787	1.0	0.34425828	0.95421183	1.0
APC	1.0	0.6838423	1.0	0.02278787	0.0882678	1.0	0.13082834	1.0	1.0	1.0	0.14316227	1.0	0.18626738	1.0	1.0	1.0	1.0	0.46574306	1.0	0.73996633	0.6814148	1.0	0.1660998	0.055661783	1.0	1.0	1.0	0.6228502	1.0	0.428023	1.0	1.0	0.5040024	0.92444813	0.6230024	1.0	1.0	0.1542218	1.0	1.0	0.17128561	1.0	0.040021833	1.0	1.0	0.11951427	0.40805513	1.0	0.22530413	0.29733875	1.0	5.9978885E-4	0.53287625	0.67371607	0.10148143	0.47374836	1.0	1.0	0.30174354	1.0	1.0	1.0	0.8638364	1.0	1.0	1.0	1.0	0.492271	0.034429807	0.83893454	1.0	1.0	1.0	0.898904	1.0	0.12552992	0.37584898	0.20132136	1.0	1.0	0.13259909	1.0	0.15694596	0.43202525	0.78854674	1.0	1.0	0.0563793	0.59140843	0.08638591	0.76259744	1.0	1.0	0.11610513	1.0	0.74063295	1.0	1.0	0.0037698392	1.0	0.1512136	1.0	0.5068615	0.064543575	0.13880767	1.0	1.0	1.0	0.3942372	1.0	0.917194	1.0	0.65747064	1.0	1.0	1.0	1.0	0.035210796	1.0	0.53698736
