gene	prim_up_silent	prim_up_deleterious	recu_up_silent	recu_up_deleterious	prim_down_silent	prim_down_deleterious	recu_down_silent	recu_down_deleterious
LRRC41	0	0	0	0	1	0	1	0
PLEKHG4B	1	1	1	1	1	0	1	0
CDH18	0	0	0	0	1	0	1	0
PCDHB7	0	0	0	0	1	0	1	0
TIMD4	0	0	0	0	1	0	1	0
GTF2IRD1	0	0	0	0	1	1	1	1
BLK	0	0	0	0	1	0	0	0
RBMXL2	0	0	0	0	1	0	1	0
BARX2	0	0	0	0	1	0	1	0
HEBP1	0	0	0	0	1	0	1	0
NBEA	0	0	0	0	1	0	1	0
JMJD7-PLA2G4B	0	0	0	0	1	1	0	0
CELF6	0	0	0	1	1	0	0	0
PRSS22	0	0	0	0	1	0	1	0
RP11-166B2.1	0	0	0	0	1	0	0	0
ZNF469	1	1	1	1	1	0	1	0
BPIFC	0	0	0	1	1	0	0	0
OR2T12	1	0	2	0	0	0	0	0
CHDH	1	0	1	1	0	0	0	0
WFS1	1	0	1	0	0	0	0	0
HNRNPH1	1	0	1	0	0	0	0	0
TRPV5	1	0	1	0	0	0	0	0
ADAMDEC1	1	0	2	0	0	0	0	0
PLEKHA2	1	0	0	0	0	0	0	0
TRIM51	1	1	1	1	0	0	0	0
MCAM	1	0	1	0	0	0	0	0
IGF1	1	0	1	0	0	0	0	0
ABCC12	1	0	1	0	0	0	0	0
KRT26	1	0	1	0	0	0	0	0
TIMM44	1	0	0	0	0	0	0	0
LPHN1	1	0	0	0	0	0	0	0
TPRX2P	1	0	1	0	0	0	0	0
BCAS4	2	0	0	0	0	0	0	0
CELSR1	2	1	1	0	0	0	1	1
MXRA5	2	1	2	1	0	1	0	0
USP11	1	0	1	0	0	0	0	0
LHX4	1	0	2	1	0	0	0	0
CENPF	1	0	0	0	0	0	0	0
CDC42BPA	1	0	0	1	0	0	0	0
FLG2	2	0	0	2	0	1	0	1
TTN	2	7	1	8	2	3	3	3
TMEFF2	1	0	0	0	0	0	0	0
ZFAND2B	1	0	0	0	0	0	0	0
ZDHHC23	1	0	0	0	0	0	0	0
PDE6B	1	0	0	0	0	0	0	0
MMRN1	2	1	2	1	0	0	0	0
PDE8B	1	0	1	0	0	0	0	0
OR12D2	1	0	1	1	0	0	0	0
BTBD9	1	0	0	0	0	0	0	0
PRPS1L1	1	0	0	0	0	0	0	0
MUC17	1	3	1	2	1	0	0	0
KCND2	1	0	0	0	0	0	0	0
TTC16	1	0	1	0	0	0	0	0
OR10AG1	1	1	1	1	0	0	0	0
GPR133	1	0	1	0	0	1	0	1
RANBP3	1	0	0	0	0	0	0	0
ZNF429	1	0	0	0	0	0	0	0
CCDC114	1	0	1	0	0	0	0	0
HUWE1	1	0	1	1	1	0	0	0
RUNX3	0	0	0	0	1	0	0	0
ARHGAP15	0	0	0	0	1	0	0	0
TACR3	0	0	0	0	1	0	0	0
SORBS2	0	0	0	0	1	0	0	0
PCDHGB3	0	0	0	0	1	0	1	0
HIST1H4D	0	0	0	0	1	0	1	0
ITGB8	0	0	0	0	1	0	1	0
FGD3	0	0	0	0	1	0	0	0
TCF4	0	0	0	0	1	0	1	0
ALPK2	0	0	0	0	2	0	2	0
ITLN1	1	1	1	0	0	0	0	0
PRAMEF14	1	1	0	0	0	0	0	0
DMRTA2	1	0	0	0	0	0	0	0
CD1A	1	0	0	0	0	0	0	0
DAW1	1	0	0	0	0	0	0	0
HDAC4	1	0	0	0	0	0	0	0
CRTAP	1	0	1	0	0	0	0	0
ZNF330	1	0	1	0	0	0	0	0
MEGF10	1	0	0	0	0	0	0	0
PCDHB2	2	0	2	0	0	0	0	0
ZNF273	1	0	0	0	0	0	0	0
