Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
GLSS-LU-00C4-TP	1	878314	3816910	147	0.01456
GLSS-LU-00C4-TP	1	4772053	6713114	75	-0.451648
GLSS-LU-00C4-TP	1	7527996	9416747	36	-1.339412
GLSS-LU-00C4-TP	1	10068175	12266612	71	-0.415119
GLSS-LU-00C4-TP	1	12633052	16778265	87	0.118728
GLSS-LU-00C4-TP	1	17248500	17272436	11	0.676595
GLSS-LU-00C4-TP	1	17410364	22147739	178	0.034141
GLSS-LU-00C4-TP	1	22303501	22305047	6	0.313871
GLSS-LU-00C4-TP	1	22310190	22313017	2	-0.209952
GLSS-LU-00C4-TP	1	22327961	22333595	10	-0.189479
GLSS-LU-00C4-TP	1	22408106	40226046	369	0.051523
GLSS-LU-00C4-TP	1	40236074	40236074	1	-0.306197
GLSS-LU-00C4-TP	1	40313849	89637578	377	-0.024054
GLSS-LU-00C4-TP	1	89652071	89652102	9	0.003346
GLSS-LU-00C4-TP	1	89661228	145075854	328	0.013465
GLSS-LU-00C4-TP	1	145075923	145282093	12	-0.391733
GLSS-LU-00C4-TP	1	145507826	152083325	121	-0.046439
GLSS-LU-00C4-TP	1	152191051	152192219	4	-0.328013
GLSS-LU-00C4-TP	1	152384833	248309356	1308	-0.007687
GLSS-LU-00C4-TP	1	248436805	248737664	18	-0.39875
GLSS-LU-00C4-TP	1	248789753	249149486	14	-0.043601
GLSS-LU-00C4-TP	2	672745	70164034	529	0.064669
GLSS-LU-00C4-TP	2	70524368	70524576	16	0.128477
GLSS-LU-00C4-TP	2	70900403	74466594	88	0.032672
GLSS-LU-00C4-TP	2	74649921	74788344	8	0.175176
GLSS-LU-00C4-TP	2	75061873	79350505	25	-0.059741
GLSS-LU-00C4-TP	2	79385631	79385823	5	0.172644
GLSS-LU-00C4-TP	2	80772972	233244930	1137	0.035419
GLSS-LU-00C4-TP	2	233245090	233274169	8	-0.290992
GLSS-LU-00C4-TP	2	233323177	242743357	301	0.074633
GLSS-LU-00C4-TP	3	1262474	195497743	1567	0.043893
GLSS-LU-00C4-TP	3	195505762	195505886	8	0.435961
GLSS-LU-00C4-TP	3	195515401	197241286	44	0.084415
GLSS-LU-00C4-TP	4	86018	367267	3	-0.294537
GLSS-LU-00C4-TP	4	368272	1165748	63	0.038022
GLSS-LU-00C4-TP	4	1231491	1231492	2	0.076066
GLSS-LU-00C4-TP	4	1388350	1388350	1	0.002072
GLSS-LU-00C4-TP	4	1388378	1388972	8	0.002072
GLSS-LU-00C4-TP	4	1656801	166929276	1086	0.063733
GLSS-LU-00C4-TP	4	169138291	190863127	130	-0.593764
GLSS-LU-00C4-TP	5	163266	140209467	826	0.033399
GLSS-LU-00C4-TP	5	140213796	140222157	5	-0.06022
GLSS-LU-00C4-TP	5	140222641	180626242	535	0.056503
GLSS-LU-00C4-TP	6	312023	350829	7	0.509153
GLSS-LU-00C4-TP	6	497520	17282415	138	0.078876
GLSS-LU-00C4-TP	6	17601035	17633033	15	0.121606
GLSS-LU-00C4-TP	6	17688798	29795139	158	-0.032073
GLSS-LU-00C4-TP	6	29909339	29910688	21	-0.60663
GLSS-LU-00C4-TP	6	29910698	29911092	23	-0.367959
GLSS-LU-00C4-TP	6	29911112	29911803	19	-0.367959
GLSS-LU-00C4-TP	6	29911893	31238759	77	-0.245802
GLSS-LU-00C4-TP	6	31238814	31239016	15	-0.151131
GLSS-LU-00C4-TP	6	31321856	31323020	15	0.198571
GLSS-LU-00C4-TP	6	31323067	31323468	11	-0.361988
GLSS-LU-00C4-TP	6	31323991	31324077	6	-0.311375
GLSS-LU-00C4-TP	6	31324078	31324373	9	-0.311375
GLSS-LU-00C4-TP	6	31324489	31324506	7	-0.35717
GLSS-LU-00C4-TP	6	31324547	31324664	7	-0.35717
GLSS-LU-00C4-TP	6	31324788	32489675	37	-0.35717
GLSS-LU-00C4-TP	6	32489707	32546843	47	-0.292156
GLSS-LU-00C4-TP	6	32546863	32546879	3	-0.288856
GLSS-LU-00C4-TP	6	32546888	32546899	5	-0.288856
GLSS-LU-00C4-TP	6	32546914	32551970	70	-0.315158
GLSS-LU-00C4-TP	6	32551995	32551998	2	-0.454615
GLSS-LU-00C4-TP	6	32552016	32609673	48	-0.308827
GLSS-LU-00C4-TP	6	32609722	32610220	14	0.113116
GLSS-LU-00C4-TP	6	32610478	32632608	120	-0.465407
GLSS-LU-00C4-TP	6	32632628	57472488	494	0.010523
GLSS-LU-00C4-TP	6	62390916	74530421	71	-0.440536
GLSS-LU-00C4-TP	6	75797302	76022082	9	0.077334
GLSS-LU-00C4-TP	6	76344431	80837253	28	-0.410232
GLSS-LU-00C4-TP	6	83602583	105736502	91	0.087929
GLSS-LU-00C4-TP	6	106555025	151286224	232	-0.48293
GLSS-LU-00C4-TP	6	151789709	160564476	154	0.079332
GLSS-LU-00C4-TP	6	163149497	170892848	91	-0.392211
GLSS-LU-00C4-TP	7	540741	56049117	625	0.903555
GLSS-LU-00C4-TP	7	56082992	56088908	9	1.111635
GLSS-LU-00C4-TP	7	56119730	76069811	59	0.917511
GLSS-LU-00C4-TP	7	76069902	76131645	3	1.010739
GLSS-LU-00C4-TP	7	76131695	141755987	451	0.823971
GLSS-LU-00C4-TP	7	141759274	141759340	2	0.59612
GLSS-LU-00C4-TP	7	141760293	151680175	190	0.894596
GLSS-LU-00C4-TP	7	151945007	151970856	4	0.402453
GLSS-LU-00C4-TP	7	152373252	158851804	113	0.901885
GLSS-LU-00C4-TP	8	363192	10467604	121	0.187436
GLSS-LU-00C4-TP	8	10467605	10467636	6	0.045564
GLSS-LU-00C4-TP	8	10467652	143867905	871	0.046972
GLSS-LU-00C4-TP	8	143959857	143960043	3	-0.134903
GLSS-LU-00C4-TP	8	144103125	146171437	92	0.083329
GLSS-LU-00C4-TP	9	214706	38414067	270	-0.526175
GLSS-LU-00C4-TP	9	71478595	137808427	938	0.071684
GLSS-LU-00C4-TP	9	137982232	137988049	5	0.497897
GLSS-LU-00C4-TP	9	137988675	139996714	150	0.022399
GLSS-LU-00C4-TP	9	139996749	139996749	1	-0.216214
GLSS-LU-00C4-TP	9	140002136	140242773	23	0.137985
GLSS-LU-00C4-TP	9	140249942	140249951	2	0.566594
GLSS-LU-00C4-TP	9	140249979	140250162	4	0.747556
GLSS-LU-00C4-TP	9	140289696	141015351	29	0.057374
GLSS-LU-00C4-TP	10	285113	46999030	328	-0.589362
GLSS-LU-00C4-TP	10	46999151	46999596	8	-0.261957
GLSS-LU-00C4-TP	10	46999604	135204669	983	-0.606668
GLSS-LU-00C4-TP	11	196592	1263776	172	0.074773
GLSS-LU-00C4-TP	11	1264691	1267960	5	0.08233
GLSS-LU-00C4-TP	11	1271429	51412353	716	0.020152
GLSS-LU-00C4-TP	11	55035043	55111413	64	-0.278137
GLSS-LU-00C4-TP	11	55111584	56143570	107	-0.203347
GLSS-LU-00C4-TP	11	56143690	56143696	2	-0.319113
GLSS-LU-00C4-TP	11	56185159	64070940	171	-0.062998
GLSS-LU-00C4-TP	11	64083221	64085148	12	-0.086927
GLSS-LU-00C4-TP	11	64107735	71276632	227	0.090094
GLSS-LU-00C4-TP	11	71276681	71276702	2	0.33548
GLSS-LU-00C4-TP	11	71276831	73361781	33	0.091046
GLSS-LU-00C4-TP	11	73498933	73499123	4	0.466427
GLSS-LU-00C4-TP	11	73611349	134244631	758	0.028076
GLSS-LU-00C4-TP	12	247900	11036008	349	0.064622
GLSS-LU-00C4-TP	12	11083356	11420517	7	0.157492
GLSS-LU-00C4-TP	12	11421522	108986031	991	0.011561
GLSS-LU-00C4-TP	12	109017672	109017674	3	0.538085
GLSS-LU-00C4-TP	12	109278747	133778796	489	0.112304
GLSS-LU-00C4-TP	13	19751544	115064542	552	0.052604
GLSS-LU-00C4-TP	14	20215989	105413790	991	-0.612193
GLSS-LU-00C4-TP	14	105414238	105695446	29	-0.920206
GLSS-LU-00C4-TP	15	22369248	102264476	1115	0.057201
GLSS-LU-00C4-TP	16	115041	1279623	208	0.076412
GLSS-LU-00C4-TP	16	1291188	1291639	11	-0.709547
GLSS-LU-00C4-TP	16	1306355	1306681	5	0.294714
GLSS-LU-00C4-TP	16	1306802	1306927	5	-0.072329
GLSS-LU-00C4-TP	16	1306971	15110077	389	0.08829
GLSS-LU-00C4-TP	16	15111218	15122812	4	0.1611
GLSS-LU-00C4-TP	16	15128416	17294295	59	0.209617
GLSS-LU-00C4-TP	16	19041595	24980189	134	-0.403825
GLSS-LU-00C4-TP	16	25182032	55862901	126	0.093627
GLSS-LU-00C4-TP	16	55862955	55862961	4	0.044881
GLSS-LU-00C4-TP	16	55905676	69973825	198	0.081596
GLSS-LU-00C4-TP	16	70163691	70191161	11	-0.011248
GLSS-LU-00C4-TP	16	70285901	90130136	505	0.093031
GLSS-LU-00C4-TP	17	131756	14095309	589	0.062422
GLSS-LU-00C4-TP	17	14095550	14095639	3	-0.195458
GLSS-LU-00C4-TP	17	14095682	15217437	8	0.020952
GLSS-LU-00C4-TP	17	15641457	15641540	5	-0.449784
GLSS-LU-00C4-TP	17	15644392	18252010	83	0.072662
GLSS-LU-00C4-TP	17	18541296	18542519	6	-0.150982
GLSS-LU-00C4-TP	17	18638151	39340707	310	0.090774
GLSS-LU-00C4-TP	17	39340812	39340852	4	0.222035
GLSS-LU-00C4-TP	17	39340910	78061979	874	0.078473
GLSS-LU-00C4-TP	17	78063957	78064064	6	-0.073905
GLSS-LU-00C4-TP	17	78071052	81043039	155	0.095141
GLSS-LU-00C4-TP	18	196829	77895192	531	0.084116
GLSS-LU-00C4-TP	19	282753	2415469	213	0.071583
GLSS-LU-00C4-TP	19	2418247	2418284	6	0.477152
GLSS-LU-00C4-TP	19	2477277	4493708	151	0.122211
GLSS-LU-00C4-TP	19	4511281	4511677	10	-0.252576
GLSS-LU-00C4-TP	19	4511737	4511830	4	-0.351225
GLSS-LU-00C4-TP	19	4511920	4511948	5	-0.351225
GLSS-LU-00C4-TP	19	4512669	15918455	691	0.053676
GLSS-LU-00C4-TP	19	15918647	15989730	2	-0.267824
GLSS-LU-00C4-TP	19	15989811	17397244	140	0.094868
GLSS-LU-00C4-TP	19	17397483	17397497	2	0.77127
GLSS-LU-00C4-TP	19	17397501	22256396	206	0.062824
GLSS-LU-00C4-TP	19	22363448	22364233	12	-0.460011
GLSS-LU-00C4-TP	19	23837145	33392087	36	0.16684
GLSS-LU-00C4-TP	19	33444707	33490566	8	0.719216
GLSS-LU-00C4-TP	19	33490585	33490616	2	0.719216
GLSS-LU-00C4-TP	19	33498843	41313202	395	0.102221
GLSS-LU-00C4-TP	19	41354606	41382613	6	-0.101891
GLSS-LU-00C4-TP	19	41512841	42190859	34	-0.014503
GLSS-LU-00C4-TP	19	42260569	59082605	958	-0.475492
GLSS-LU-00C4-TP	20	168466	1638231	43	0.111519
GLSS-LU-00C4-TP	20	1895621	1896060	14	0.375675
GLSS-LU-00C4-TP	20	1896100	17639857	221	0.084426
GLSS-LU-00C4-TP	20	17639893	17639902	2	0.040887
GLSS-LU-00C4-TP	20	17933511	62737318	644	0.118644
GLSS-LU-00C4-TP	21	10907137	10910347	6	-0.961777
GLSS-LU-00C4-TP	21	15481234	47612720	471	0.053174
GLSS-LU-00C4-TP	21	47613559	47613716	4	-0.104482
GLSS-LU-00C4-TP	21	47626728	48022375	73	0.120277
GLSS-LU-00C4-TP	22	17288988	50928026	896	-0.589156
GLSS-LU-00C4-TP	23	2835831	140993745	33	-0.217334
GLSS-LU-00C4-TP	23	140993852	140994037	7	-0.321329
GLSS-HF-3050-TP	1	881627	16378725	378	-0.004829
GLSS-HF-3050-TP	1	16378931	16385131	30	0.272223
GLSS-HF-3050-TP	1	16385248	16385330	4	0.30002
