sampleID	chrom	arm	start.pos	end.pos	n.probes	mean
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	878314	3816910	150	0.07553
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	4772053	6713114	80	-0.283598
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	7527996	9416852	38	-0.993666
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	10068175	12266612	73	-0.272687
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	12633052	16778265	88	0.121369
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	17248500	17272436	13	0.556391
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	17410364	22141206	181	0.063236
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	22147739	22305047	7	-0.110536
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	22310190	22408106	13	-0.323574
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	22817114	40226046	379	0.084064
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	40236074	40236074	1	-0.208608
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	40313849	89637578	395	0.013897
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	89652071	89652102	9	-0.21356
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	89661228	144912233	312	0.040715
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	144915561	145115810	33	0.316355
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	145115820	145282093	11	-0.398667
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	145507826	152083325	128	-0.007248
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	152191051	152192219	4	-0.178274
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	152384833	161480649	295	0.016086
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	161518159	161600189	10	0.158655
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	161600832	247769217	1046	0.046005
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	247835950	248737664	45	-0.392347
GLSS-LU-00C4-R1	1	GLSS-LU-00C4-R1	248789753	249149486	14	-0.134078
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	672745	39995908	339	0.039478
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	40403104	45170153	64	-0.353028
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	45640334	70164034	154	0.011603
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	70524368	70524576	16	0.015579
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	70900403	74466594	94	-0.052361
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	74649921	74788344	8	0.242128
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	75061873	79350505	26	-0.084124
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	79385631	79385823	5	0.303607
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	80772972	131688783	348	0.064785
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	132290441	132290441	1	0.369474
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	133425912	233244586	872	0.04023
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	233244930	233274169	9	-0.106048
GLSS-LU-00C4-R1	2	GLSS-LU-00C4-R1	233323177	242743357	318	0.097044
GLSS-LU-00C4-R1	3	GLSS-LU-00C4-R1	1262474	195497743	1666	0.039658
GLSS-LU-00C4-R1	3	GLSS-LU-00C4-R1	195505762	195505886	8	0.090962
GLSS-LU-00C4-R1	3	GLSS-LU-00C4-R1	195515387	197241286	49	0.015282
GLSS-LU-00C4-R1	4	GLSS-LU-00C4-R1	86018	40428056	500	-0.279187
GLSS-LU-00C4-R1	4	GLSS-LU-00C4-R1	40947112	88534235	353	0.037545
GLSS-LU-00C4-R1	4	GLSS-LU-00C4-R1	88536029	88537261	11	0.444846
GLSS-LU-00C4-R1	4	GLSS-LU-00C4-R1	88537420	166929276	380	0.014508
GLSS-LU-00C4-R1	4	GLSS-LU-00C4-R1	169138291	190863127	145	-0.379998
GLSS-LU-00C4-R1	5	GLSS-LU-00C4-R1	163266	140186657	878	0.041263
GLSS-LU-00C4-R1	5	GLSS-LU-00C4-R1	140186937	140187102	3	0.017998
GLSS-LU-00C4-R1	5	GLSS-LU-00C4-R1	140187322	157170986	298	0.038437
GLSS-LU-00C4-R1	5	GLSS-LU-00C4-R1	157285888	157285895	2	0.520399
GLSS-LU-00C4-R1	5	GLSS-LU-00C4-R1	158140222	180626242	263	0.110993
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	312023	350829	7	0.683109
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	497520	17282415	154	0.05994
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	17601035	17601111	14	0.369428
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	17633033	26157403	93	0.012305
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	26184041	26225881	10	-0.78316
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	26234883	29323905	65	-0.091944
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	29795139	29911227	54	-0.183757
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	29911296	29911397	6	-0.183757
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	29911419	29912856	33	-0.440898
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	29913067	31238759	52	-0.087494
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31238814	31239016	15	-0.209563
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31321856	31323020	15	0.002745
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31323067	31324373	26	-0.369672
