Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
GLSS-LU-00C7-R1	1	871334	16385815	451	0.496806
GLSS-LU-00C7-R1	1	16385874	16385874	1	0.457911
GLSS-LU-00C7-R1	1	16385980	16778265	15	0.479414
GLSS-LU-00C7-R1	1	17270751	89637578	1092	0.041283
GLSS-LU-00C7-R1	1	89652071	89652102	9	0.331179
GLSS-LU-00C7-R1	1	89661228	116946635	234	0.027828
GLSS-LU-00C7-R1	1	117122285	117122285	1	0.03756
GLSS-LU-00C7-R1	1	117487392	152129094	183	0.015043
GLSS-LU-00C7-R1	1	152129100	152129115	3	0.092807
GLSS-LU-00C7-R1	1	152192114	240656841	1520	0.035337
GLSS-LU-00C7-R1	1	241712134	242287684	18	-0.865702
GLSS-LU-00C7-R1	1	243388370	248814126	63	-0.042383
GLSS-LU-00C7-R1	2	41404	74687781	774	0.054809
GLSS-LU-00C7-R1	2	74788224	74788344	9	0.633739
GLSS-LU-00C7-R1	2	75101364	113877713	299	0.028869
GLSS-LU-00C7-R1	2	113878622	113878655	4	0.494038
GLSS-LU-00C7-R1	2	113878667	242814009	1379	0.048532
GLSS-LU-00C7-R1	3	361508	101576175	996	0.038148
GLSS-LU-00C7-R1	3	105260520	125301711	286	0.872298
GLSS-LU-00C7-R1	3	125725455	142272314	221	0.415497
GLSS-LU-00C7-R1	3	142277399	149243694	31	-0.017833
GLSS-LU-00C7-R1	3	149374572	150883600	23	0.4999
GLSS-LU-00C7-R1	3	151012497	151046604	2	-0.914852
GLSS-LU-00C7-R1	3	151056616	195452951	370	0.59704
GLSS-LU-00C7-R1	3	195452987	195453412	9	1.050881
GLSS-LU-00C7-R1	3	195453434	195515414	31	0.965694
GLSS-LU-00C7-R1	3	195515568	197765432	59	0.569278
GLSS-LU-00C7-R1	4	338156	367267	14	0.006261
GLSS-LU-00C7-R1	4	436067	1377615	60	-0.078136
GLSS-LU-00C7-R1	4	1388350	1388379	3	-0.335986
GLSS-LU-00C7-R1	4	1388583	52896050	470	-0.031893
GLSS-LU-00C7-R1	4	53751932	55125058	7	3.225238
GLSS-LU-00C7-R1	4	55524304	88537456	310	0.078594
GLSS-LU-00C7-R1	4	88537486	88537513	7	-0.173022
GLSS-LU-00C7-R1	4	88537522	189026524	424	0.039058
GLSS-LU-00C7-R1	5	413591	666323	13	0.138124
GLSS-LU-00C7-R1	5	878461	878525	2	-0.127714
GLSS-LU-00C7-R1	5	917110	126213764	737	0.030239
GLSS-LU-00C7-R1	5	126667126	129040056	32	-0.792446
GLSS-LU-00C7-R1	5	129244122	129244122	1	-3.226404
GLSS-LU-00C7-R1	5	130495415	140554006	159	-0.870596
GLSS-LU-00C7-R1	5	140554172	140559350	7	-0.408347
GLSS-LU-00C7-R1	5	140559532	159776637	314	-0.855618
GLSS-LU-00C7-R1	5	159830603	180687212	273	0.065061
GLSS-LU-00C7-R1	6	311938	29911203	284	-0.888543
GLSS-LU-00C7-R1	6	29911222	29912030	16	-1.021287
GLSS-LU-00C7-R1	6	30859335	57018969	655	-0.78138
GLSS-LU-00C7-R1	6	57467100	57472488	4	-0.872889
GLSS-LU-00C7-R1	6	66044927	170892848	831	-0.813916
GLSS-LU-00C7-R1	7	538277	945246	30	-0.31519
GLSS-LU-00C7-R1	7	945292	945405	4	0.280626
GLSS-LU-00C7-R1	7	1024002	56155219	640	-0.229287
GLSS-LU-00C7-R1	7	64023371	81355449	100	-0.6751
GLSS-LU-00C7-R1	7	82387960	114210814	343	-0.005604
GLSS-LU-00C7-R1	7	115892295	126544242	44	-0.856123
GLSS-LU-00C7-R1	7	127017391	135328110	128	0.053043
GLSS-LU-00C7-R1	7	135375921	135375921	1	0.357488
GLSS-LU-00C7-R1	7	135375925	158902741	314	0.053492
GLSS-LU-00C7-R1	8	363192	10467576	108	0.011186
GLSS-LU-00C7-R1	8	10467605	10467629	5	0.080684
GLSS-LU-00C7-R1	8	10467636	101661603	661	0.046113
GLSS-LU-00C7-R1	8	101718768	101721899	15	0.828303
GLSS-LU-00C7-R1	8	102555060	146171437	418	0.019707
GLSS-LU-00C7-R1	9	214706	20953049	167	-0.819757
GLSS-LU-00C7-R1	9	20982328	22029547	8	-3.524954
GLSS-LU-00C7-R1	9	23705108	32784838	29	-0.835856
GLSS-LU-00C7-R1	9	32973777	33988919	35	0.64806
GLSS-LU-00C7-R1	9	34016249	34017106	8	1.451453
GLSS-LU-00C7-R1	9	34093274	36276857	94	0.694319
GLSS-LU-00C7-R1	9	36597142	37860058	41	0.939278
GLSS-LU-00C7-R1	9	38395928	101984936	291	-0.012521
GLSS-LU-00C7-R1	9	102591042	139996714	809	0.537052
GLSS-LU-00C7-R1	9	139996749	139996749	1	0.257267
GLSS-LU-00C7-R1	9	140002136	141015351	103	0.48215
GLSS-LU-00C7-R1	10	285113	46969496	364	0.370601
GLSS-LU-00C7-R1	10	46998894	47087609	27	-0.057448
GLSS-LU-00C7-R1	10	49393002	86018460	351	0.435886
GLSS-LU-00C7-R1	10	87675994	135237196	741	-0.864826
GLSS-LU-00C7-R1	11	196534	1017552	156	-0.853744
GLSS-LU-00C7-R1	11	1017596	1017655	2	-0.84831
GLSS-LU-00C7-R1	11	1017773	18267373	521	-0.817595
GLSS-LU-00C7-R1	11	18267431	18267478	7	-0.840346
GLSS-LU-00C7-R1	11	18267702	18793685	42	-0.758709
GLSS-LU-00C7-R1	11	18955515	18955744	2	0.204078
GLSS-LU-00C7-R1	11	18956194	18956194	1	0.409554
GLSS-LU-00C7-R1	11	18956196	18956196	1	0.409554
