Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
GLSS-LU-00C7-TP	1	871334	16778265	452	0.683836
GLSS-LU-00C7-TP	1	17270751	43826312	594	0.193812
GLSS-LU-00C7-TP	1	43855546	46976717	116	0.260092
GLSS-LU-00C7-TP	1	47014821	47014821	1	0.923373
GLSS-LU-00C7-TP	1	47016917	89652078	323	0.22803
GLSS-LU-00C7-TP	1	89652087	89652102	6	0.251465
GLSS-LU-00C7-TP	1	89661228	116946635	211	0.104613
GLSS-LU-00C7-TP	1	117122285	117122285	1	0.554201
GLSS-LU-00C7-TP	1	117487392	144946768	77	-0.069175
GLSS-LU-00C7-TP	1	145015877	145282093	19	0.230506
GLSS-LU-00C7-TP	1	145507826	152129094	75	0.135904
GLSS-LU-00C7-TP	1	152129100	152192219	6	-0.271666
GLSS-LU-00C7-TP	1	152282684	240656841	1425	0.139572
GLSS-LU-00C7-TP	1	241712134	242287684	15	-0.630275
GLSS-LU-00C7-TP	1	243388370	248129240	42	0.107659
GLSS-LU-00C7-TP	1	248202344	248814126	19	-0.630682
GLSS-LU-00C7-TP	2	672976	11758294	117	-0.003981
GLSS-LU-00C7-TP	2	11776911	11777199	11	0.702896
GLSS-LU-00C7-TP	2	11905876	74687781	590	-0.031856
GLSS-LU-00C7-TP	2	74788224	74788344	9	0.427549
GLSS-LU-00C7-TP	2	75101364	233201328	1246	-0.027175
GLSS-LU-00C7-TP	2	233243586	233274169	17	-0.212072
GLSS-LU-00C7-TP	2	233322875	242814009	280	0.046386
GLSS-LU-00C7-TP	3	361508	97806944	844	-0.083848
GLSS-LU-00C7-TP	3	97851998	97983981	13	-1.063087
GLSS-LU-00C7-TP	3	98002587	112185025	118	0.143184
GLSS-LU-00C7-TP	3	112997725	125301711	198	0.472231
GLSS-LU-00C7-TP	3	125725455	195452951	589	-0.007087
GLSS-LU-00C7-TP	3	195452987	195475799	17	0.443941
GLSS-LU-00C7-TP	3	195475989	195497743	13	0.302922
GLSS-LU-00C7-TP	3	195505762	195505838	4	0.924358
GLSS-LU-00C7-TP	3	195505870	197765432	59	0.155467
GLSS-LU-00C7-TP	4	338156	436067	15	0.003542
GLSS-LU-00C7-TP	4	663908	1231470	42	0.007565
GLSS-LU-00C7-TP	4	1231491	1231492	2	-0.276185
GLSS-LU-00C7-TP	4	1317247	1377615	10	-0.150544
GLSS-LU-00C7-TP	4	1388350	1388379	3	0.138981
GLSS-LU-00C7-TP	4	1388583	1388583	1	0.138981
GLSS-LU-00C7-TP	4	1388755	1388976	9	0.138981
GLSS-LU-00C7-TP	4	1389156	52896050	426	-0.020938
GLSS-LU-00C7-TP	4	53751932	55125058	7	1.5304
GLSS-LU-00C7-TP	4	55524304	88537438	279	0.00614
GLSS-LU-00C7-TP	4	88537444	88537522	11	0.034232
GLSS-LU-00C7-TP	4	88577754	189026524	380	-0.054531
GLSS-LU-00C7-TP	5	413591	666323	12	-0.020182
GLSS-LU-00C7-TP	5	878461	878525	2	0.305855
GLSS-LU-00C7-TP	5	917110	139260428	760	-0.163633
GLSS-LU-00C7-TP	5	139722345	140554808	76	-0.33176
GLSS-LU-00C7-TP	5	140558089	140559532	5	-0.170382
GLSS-LU-00C7-TP	5	140559849	140563173	4	0.135049
GLSS-LU-00C7-TP	5	140563574	140581076	24	-0.349126
GLSS-LU-00C7-TP	5	140581261	159776637	269	-0.246777
GLSS-LU-00C7-TP	5	159830603	180687212	260	0.412456
GLSS-LU-00C7-TP	6	311938	1313980	11	-0.847797
GLSS-LU-00C7-TP	6	1742794	16327615	118	0.447232
GLSS-LU-00C7-TP	6	16327909	16327921	2	0.745852
GLSS-LU-00C7-TP	6	17282415	24871031	51	0.465421
GLSS-LU-00C7-TP	6	25420344	29911228	82	-1.032242
GLSS-LU-00C7-TP	6	29911246	29912030	13	-1.346632
GLSS-LU-00C7-TP	6	30859335	44320548	472	-0.721488
GLSS-LU-00C7-TP	6	45480190	66044927	126	-0.947794
GLSS-LU-00C7-TP	6	69666520	121642851	321	-0.132868
GLSS-LU-00C7-TP	6	122720806	142691549	90	-0.822892
GLSS-LU-00C7-TP	6	142718801	170627651	328	-0.089722
GLSS-LU-00C7-TP	6	170627739	170892848	15	-0.588959
GLSS-LU-00C7-TP	7	538277	42088232	452	0.502243
GLSS-LU-00C7-TP	7	43485248	44147485	35	0.440814
GLSS-LU-00C7-TP	7	44179223	56155219	159	0.447425
GLSS-LU-00C7-TP	7	64023371	73472050	42	0.074245
GLSS-LU-00C7-TP	7	73803644	76054372	27	0.766825
GLSS-LU-00C7-TP	7	76069629	87180198	53	0.3708
GLSS-LU-00C7-TP	7	87745903	158902741	749	0.006145
GLSS-LU-00C7-TP	8	363192	10396415	89	-0.047672
GLSS-LU-00C7-TP	8	10464755	10467576	10	-0.062293
GLSS-LU-00C7-TP	8	10467605	10467629	5	-0.094034
GLSS-LU-00C7-TP	8	10467636	101661603	596	-0.068615
GLSS-LU-00C7-TP	8	101718768	103573037	25	0.119114
GLSS-LU-00C7-TP	8	103851052	143763531	256	-0.057759
GLSS-LU-00C7-TP	8	143959857	143959868	2	-0.268524
GLSS-LU-00C7-TP	8	144124548	146171437	107	-0.001841
GLSS-LU-00C7-TP	9	214706	20953049	150	-0.755771
GLSS-LU-00C7-TP	9	20990099	22029547	5	-2.813536
GLSS-LU-00C7-TP	9	23705108	32784838	24	-0.905294
GLSS-LU-00C7-TP	9	32973777	33948652	30	0.198363
GLSS-LU-00C7-TP	9	33988919	34017106	9	1.578686
GLSS-LU-00C7-TP	9	34093274	38413159	137	0.237023
GLSS-LU-00C7-TP	9	71395013	75783937	42	-0.255289
GLSS-LU-00C7-TP	9	77407636	101984936	211	-0.525286
GLSS-LU-00C7-TP	9	102591042	107331504	31	-0.048367
GLSS-LU-00C7-TP	9	107360922	107379895	11	-0.751695
GLSS-LU-00C7-TP	9	107380396	139996714	726	0.250557
GLSS-LU-00C7-TP	9	139996749	139996749	1	-0.211656
GLSS-LU-00C7-TP	9	140002136	141015351	98	0.333186
GLSS-LU-00C7-TP	10	285200	46148326	326	0.036457
GLSS-LU-00C7-TP	10	46963738	47087609	36	-0.200442
GLSS-LU-00C7-TP	10	49393002	86018460	332	0.027192
GLSS-LU-00C7-TP	10	87675994	90537732	31	-1.0421
GLSS-LU-00C7-TP	10	90983629	123986119	367	-0.837485
GLSS-LU-00C7-TP	10	123996976	124459139	41	-1.125808
GLSS-LU-00C7-TP	10	124768292	135237196	209	-0.530122
GLSS-LU-00C7-TP	11	196534	4624432	302	-0.718553
GLSS-LU-00C7-TP	11	4903500	8118116	178	-1.070543
